"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0046847","GO:0046847",1,"GO:0046847",1.45784270559685,70,"filopodium assembly","filopodium assembly",0.908675,0.505,0
"GO:2000765","GO:2000765",2,"GO:2000765",1.45784270559685,33,"regulation of cytoplasmic translation","regulation of cytoplasmic translation",0.870425,0.43275,0
"GO:0043200","GO:0043200",3,"GO:0043200",1.45784270559685,126,"response to amino acid","response to amino acid",0.89133125,0.353666666666667,0
"GO:0071229","GO:0071229",3,"GO:0043200",1.45784270559685,94,"cellular response to acid chemical","response to amino acid",0.88310625,0.347,0.965
"GO:0030216","GO:0030216",4,"GO:0030216",1.41390633880532,177,"keratinocyte differentiation","keratinocyte differentiation",0.92813125,0.375625,0
"GO:0071230","GO:0071230",3,"GO:0043200",1.41390633880532,85,"cellular response to amino acid stimulus","response to amino acid",0.85945625,0.344,0.974
"GO:0031325","GO:0031325",5,"GO:0031325",1.36457738041382,3426,"positive regulation of cellular metabolic process","positive regulation of cellular metabolic process",0.8358875,0.6345,0
"GO:0009913","GO:0009913",4,"GO:0030216",1.36457738041382,245,"epidermal cell differentiation","keratinocyte differentiation",0.9324625,0.361625,0.969
"GO:0043588","GO:0043588",6,"GO:0043588",1.27160360238689,317,"skin development","skin development",0.96335625,1,0
"GO:0034310","GO:0034310",11,"GO:0034310",1.19241221038608,15,"primary alcohol catabolic process","primary alcohol catabolic process",0.93630625,0.672,0
"GO:0035235","GO:0035235",8,"GO:0035235",1.19241221038608,24,"ionotropic glutamate receptor signaling pathway","ionotropic glutamate receptor signaling pathway",0.8996625,0.5315,0
"GO:0071417","GO:0071417",9,"GO:0071417",1.19241221038608,654,"cellular response to organonitrogen compound","cellular response to organonitrogen compound",0.84648125,0.487666666666667,0
"GO:0071379","GO:0071379",10,"GO:0071379",1.19241221038608,21,"cellular response to prostaglandin stimulus","cellular response to prostaglandin stimulus",0.88105625,0.476166666666667,0
"GO:0031960","GO:0031960",10,"GO:0071379",1.19241221038608,149,"response to corticosteroid","cellular response to prostaglandin stimulus",0.88836875,0.391333333333333,0.598
"GO:0036294","GO:0036294",7,"GO:0036294",1.19241221038608,158,"cellular response to decreased oxygen levels","cellular response to decreased oxygen levels",0.87995,0.337666666666667,0
"GO:1903142","GO:1903142",4,"GO:0030216",1.19241221038608,6,"positive regulation of establishment of endothelial barrier","keratinocyte differentiation",0.88923125,0.3215,0.596
"GO:1901552","GO:1901552",4,"GO:0030216",1.19241221038608,6,"positive regulation of endothelial cell development","keratinocyte differentiation",0.88923125,0.3215,0.596
"GO:0003376","GO:0003376",14,"GO:0003376",1.17985097439002,15,"sphingosine-1-phosphate receptor signaling pathway","sphingosine-1-phosphate receptor signaling pathway",0.91038125,1,0
"GO:0032069","GO:0032069",15,"GO:0032069",1.17985097439002,22,"regulation of nuclease activity","regulation of nuclease activity",0.91935625,0.589,0
"GO:1901701","GO:1901701",12,"GO:1901701",1.17985097439002,1293,"cellular response to oxygen-containing compound","cellular response to oxygen-containing compound",0.84969375,0.508,0
"GO:0071398","GO:0071398",10,"GO:0071379",1.17985097439002,34,"cellular response to fatty acid","cellular response to prostaglandin stimulus",0.8811875,0.463166666666667,0.607
