,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0046847,filopodium assembly,GO:0046847,0.03484635,125.6296,1070.903,DNM3;S1PR2,Filopodium Assembly (GO:0046847)
1,GO:2000765,regulation of cytoplasmic translation,GO:2000765,0.03484635,66.45752,491.7427,CPEB1;CPEB4,Regulation Of Cytoplasmic Translation (GO:2000765)
2,GO:0043200,response to amino acid,GO:0043200,0.03484635,59.45029,427.8197,CPEB1;CPEB4,Response To Amino Acid (GO:0043200)
3,GO:0030216,keratinocyte differentiation,GO:0030216,0.03855615,45.15556,302.0738,AKR1C3;TGM3,Keratinocyte Differentiation (GO:0030216)
4,GO:0031325,positive regulation of cellular metabolic process,GO:0031325,0.04319392,37.61111,238.8195,LIPT2;AKR1C3,Positive Regulation Of Cellular Metabolic Process (GO:0031325)
5,GO:0043588,skin development,GO:0043588,0.05350525,30.47447,181.5211,AKR1C3;TGM3,Skin Development (GO:0043588)
6,GO:0034310,primary alcohol catabolic process,GO:0034310,0.0642078,267.9737,1376.893,AKR1C3,Primary Alcohol Catabolic Process (GO:0034310)
7,GO:0035235,ionotropic glutamate receptor signaling pathway,GO:0035235,0.0642078,536.0,2970.887,CPEB4,Ionotropic Glutamate Receptor Signaling Pathway (GO:0035235)
8,GO:0071417,cellular response to organonitrogen compound,GO:0071417,0.0642078,20.09722,104.0318,CPEB1;CPEB4,Cellular Response To Organonitrogen Compound (GO:0071417)
9,GO:0071379,cellular response to prostaglandin stimulus,GO:0071379,0.0642078,267.9737,1376.893,AKR1C3,Cellular Response To Prostaglandin Stimulus (GO:0071379)
10,GO:0036294,cellular response to decreased oxygen levels,GO:0036294,0.0642078,25.03704,139.913,CPEB1;CPEB4,Cellular Response To Decreased Oxygen Levels (GO:0036294)
11,GO:0003376,sphingosine-1-phosphate receptor signaling pathway,GO:0003376,0.06609202,178.6316,866.6153,S1PR2,Sphingosine-1-Phosphate Receptor Signaling Pathway (GO:0003376)
12,GO:0032069,regulation of nuclease activity,GO:0032069,0.06609202,178.6316,866.6153,NEIL1,Regulation Of Nuclease Activity (GO:0032069)
13,GO:1901701,cellular response to oxygen-containing compound,GO:1901701,0.06609202,9.040724,45.62779,CPEB1;AKR1C3;CPEB4,Cellular Response To Oxygen-Containing Compound (GO:1901701)
14,GO:0120034,positive regulation of plasma membrane bounded cell projection assembly,GO:0120034,0.06609202,18.14158,90.43457,AKIRIN1;MARK4,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034)
15,GO:0006862,nucleotide transport,GO:0006862,0.06984006,133.9605,620.1298,EPG5,Nucleotide Transport (GO:0006862)
16,GO:0090287,regulation of cellular response to growth factor stimulus,GO:0090287,0.06984006,133.9605,620.1298,FSTL1,Regulation Of Cellular Response To Growth Factor Stimulus (GO:0090287)
17,GO:1904892,regulation of receptor signaling pathway via STAT,GO:1904892,0.07091316,107.1579,476.6175,MGAT5,Regulation Of Receptor Signaling Pathway Via STAT (GO:1904892)
