term,fdr,Odds Ratio,Combined Score,Genes,description
GO:1901897,0.1198453,inf,inf,PDE4D,Regulation Of Relaxation Of Cardiac Muscle (GO:1901897)
GO:0032754,0.1198453,391.4231,2052.207,PDE4D,Positive Regulation Of Interleukin-5 Production (GO:0032754)
GO:1901078,0.1198453,391.4231,2052.207,PDE4D,Negative Regulation Of Relaxation Of Muscle (GO:1901078)
GO:0048874,0.1198453,391.4231,2052.207,SPRR2A,Host-Mediated Regulation Of Intestinal Microbiota Composition (GO:0048874)
GO:1903115,0.1198453,391.4231,2052.207,PDE4D,Regulation Of Actin Filament-Based Movement (GO:1903115)
GO:0001819,0.1198453,8.834507,44.62462,MAPK11;PDE4D;CYP1B1,Positive Regulation Of Cytokine Production (GO:0001819)
GO:0097267,0.1198453,195.6923,946.9051,CYP1B1,Omega-Hydroxylase P450 Pathway (GO:0097267)
GO:0019373,0.1198453,195.6923,946.9051,CYP1B1,Epoxygenase P450 Pathway (GO:0019373)
GO:0061549,0.1198453,195.6923,946.9051,FZD3,Sympathetic Ganglion Development (GO:0061549)
GO:0032674,0.1198453,195.6923,946.9051,PDE4D,Regulation Of Interleukin-5 Production (GO:0032674)
GO:0060287,0.1198453,130.4487,593.8463,RFX3,Epithelial Cilium Movement Involved In Determination Of Left/Right Asymmetry (GO:0060287)
GO:0048485,0.1198453,130.4487,593.8463,FZD3,Sympathetic Nervous System Development (GO:0048485)
GO:0061548,0.1198453,130.4487,593.8463,FZD3,Ganglion Development (GO:0061548)
GO:2000074,0.1198453,130.4487,593.8463,RFX3,Regulation Of Type B Pancreatic Cell Development (GO:2000074)
GO:0060285,0.1198453,130.4487,593.8463,RFX3,Cilium-Dependent Cell Motility (GO:0060285)
GO:0043652,0.1198453,130.4487,593.8463,XKR8,Engulfment Of Apoptotic Cell (GO:0043652)
GO:0000165,0.1198453,12.84444,56.12624,MAPK11;ZDHHC9,MAPK Cascade (GO:0000165)
GO:0010460,0.1198453,97.82692,423.636,PDE4D,Positive Regulation Of Heart Rate (GO:0010460)
GO:1900118,0.1198453,97.82692,423.636,FZD3,Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)
GO:0045822,0.1198453,97.82692,423.636,PDE4D,Negative Regulation Of Heart Contraction (GO:0045822)
GO:0043951,0.1198453,97.82692,423.636,PDE4D,Negative Regulation Of cAMP-mediated Signaling (GO:0043951)
GO:1901844,0.1198453,97.82692,423.636,PDE4D,Regulation Of Cell Communication By Electrical Coupling Involved In Cardiac Conduction (GO:1901844)
