term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0046856,0.1261362,55.84066,394.7623,PIP4P2;INPP5J,Phosphatidylinositol Dephosphorylation (GO:0046856)
GO:0046839,0.1261362,35.50699,221.9221,PIP4P2;INPP5J,Phospholipid Dephosphorylation (GO:0046839)
GO:0043009,0.1261362,31.23692,187.8837,STIL;BMP7,Chordate Embryonic Development (GO:0043009)
GO:0016266,0.1261362,30.03254,178.4648,GALNT6;ST3GAL1,O-glycan Processing (GO:0016266)
GO:0070092,0.1261362,inf,inf,PASK,Regulation Of Glucagon Secretion (GO:0070092)
GO:0032488,0.1261362,376.8889,1962.317,RHOU,Cdc42 Protein Signal Transduction (GO:0032488)
GO:0046488,0.1261362,17.31966,85.27806,PIP4P2;INPP5J,Phosphatidylinositol Metabolic Process (GO:0046488)
GO:0006591,0.1261362,188.4259,904.9107,ODC1,Ornithine Metabolic Process (GO:0006591)
GO:0043576,0.1261362,188.4259,904.9107,PASK,Regulation Of Respiratory Gaseous Exchange (GO:0043576)
GO:0060039,0.1261362,188.4259,904.9107,BMP7,Pericardium Development (GO:0060039)
GO:0010818,0.1261362,188.4259,904.9107,CXCL16,T Cell Chemotaxis (GO:0010818)
GO:0030903,0.1261362,188.4259,904.9107,STIL,Notochord Development (GO:0030903)
GO:0003344,0.1261362,125.6049,567.2463,BMP7,Pericardium Morphogenesis (GO:0003344)
GO:0001823,0.1261362,125.6049,567.2463,BMP7,Mesonephros Development (GO:0001823)
GO:0015677,0.1261362,125.6049,567.2463,ATP7B,Copper Ion Import (GO:0015677)
GO:0097503,0.1261362,125.6049,567.2463,ST3GAL1,Sialylation (GO:0097503)
GO:0006576,0.1261362,125.6049,567.2463,ODC1,Biogenic Amine Metabolic Process (GO:0006576)
GO:0006493,0.1261362,12.54963,54.33019,GALNT6;ST3GAL1,Protein O-linked Glycosylation (GO:0006493)
GO:0014706,0.1261362,94.19444,404.4985,BMP7,Striated Muscle Tissue Development (GO:0014706)
GO:0045719,0.1261362,94.19444,404.4985,PASK,Negative Regulation Of Glycogen Biosynthetic Process (GO:0045719)
GO:0070874,0.1261362,94.19444,404.4985,PASK,Negative Regulation Of Glycogen Metabolic Process (GO:0070874)
GO:0072678,0.1261362,94.19444,404.4985,CXCL16,T Cell Migration (GO:0072678)
GO:0002011,0.1261362,94.19444,404.4985,BMP7,Morphogenesis Of An Epithelial Sheet (GO:0002011)
GO:0010664,0.1261362,94.19444,404.4985,BMP7,Negative Regulation Of Striated Muscle Cell Apoptotic Process (GO:0010664)
GO:1900407,0.1261362,75.34815,309.9289,BMP7,Regulation Of Cellular Response To Oxidative Stress (GO:1900407)
GO:0034116,0.1261362,75.34815,309.9289,BMP7,Positive Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034116)
GO:0043401,0.1261362,75.34815,309.9289,BMP7,Steroid Hormone Mediated Signaling Pathway (GO:0043401)
GO:0001574,0.1261362,75.34815,309.9289,ST3GAL1,Ganglioside Biosynthetic Process (GO:0001574)
GO:0045839,0.1261362,75.34815,309.9289,BMP7,Negative Regulation Of Mitotic Nuclear Division (GO:0045839)
