Protein_Group,Genes,ETP-56035_6hr,ETP-56328_6hr,ETP-56168_6hr
A0A024RBG1,NUDT4B,No,No,No
A0A087WUV0,,No,No,No
A0A096LP01,SMIM26,No,No,No
A0A0B4J2D5;P0DPI2,GATD3A;GATD3B,No,No,No
A0A0B4J2E5,LOC102724159,No,No,No
A0A0B4J2F0,PIGBOS1,No,No,No
A0A0C4DGP1,,No,No,No
A0A0U1RRE5,NBDY,No,No,No
A0A0U1RRI6;A0A0U1RR11;P0DPI3,CENPVL1;CENPVL2;CENPVL3,No,No,No
A0A0U1RRL7,MMP24OS,No,No,No
A0A140TA62,,No,No,No
A0A1B0GUL7,,No,No,No
A0A1W2PQ72,LOC100421372,No,No,No
A0A2R8YFR7,,No,No,No
A0A2U3TZM8,LOC112694756,No,No,No
A0A2Z4LIS9,FOXO3B,No,No,No
A0A3B3IRV3,MCTS2P,No,No,No
A0A590UJ96,,No,No,No
A0A6I8PU40,TUG1,No,No,No
A0AV02,SLC12A8,No,No,No
A0AV96,RBM47,No,No,No
A0AVF1,TTC26,No,No,No
A0AVI4,TMEM129,No,No,No
A0AVK6,E2F8,No,No,No
A0AVT1,UBA6,No,No,No
A0FGR8,ESYT2,No,No,No
A0JLT2,MED19,No,No,No
A0JNW5,UHRF1BP1L,No,No,No
A0MZ66,SHTN1,No,No,No
A0PJW6,TMEM223,No,No,No
A0PK00,TMEM120B,No,No,No
A1A4S6,ARHGAP10,No,No,No
A1A5C7,SLC22A23,No,No,No
A1IGU5,ARHGEF37,No,No,No
A1L020,MEX3A,No,No,No
A1L0T0,ILVBL,No,No,No
A1L170,C1orf226,No,No,No
A1L188,NDUFAF8,No,No,No
A1L390,PLEKHG3,No,No,No
A1L3X0,ELOVL7,No,No,No
A1X283,SH3PXD2B,No,No,No
A1XBS5,FAM92A,No,No,No
A1Z1Q3,MACROD2,No,No,No
A2A3K4,PTPDC1,No,No,No
A2AJT9,BCLAF3,No,No,No
CON__A2I7N0,SERPINA3-4,No,No,No
CON__A2I7N1,SERPINA3-5,No,No,No
CON__A2I7N3,SERPINA3-7,No,No,No
A2RRD8,ZNF320,No,No,No
A2RRP1,NBAS,No,No,No
A2RTX5,TARS3,No,No,No
A2RU49,HYKK,No,No,No
A2RU67,FAM234B,No,No,No
A2RUB1,MEIOC,No,No,No
A2RUB6,CCDC66,No,No,No
A2RUC4,TYW5,No,No,No
A2RUS2,DENND3,No,No,No
A2VDF0,FUOM,No,No,No
A2VDJ0,TMEM131L,No,No,No
A3KMH1,VWA8,No,No,No
A3KN83,SBNO1,No,No,No
A4D126,CRPPA,ETP-56035_6hr,ETP-56328_6hr,No
A4D161,FAM221A,No,No,No
A4D1E9,GTPBP10,No,No,No
A4D1P6,WDR91,No,No,No
A4D1S0,KLRG2,No,No,No
A4D1S5,RAB19,No,No,No
A4D1U4,DENND11,No,No,No
A4D2B0,MBLAC1,No,No,No
A5A3E0,POTEF,No,No,No
A5D8V6,VPS37C,No,No,No
A5PL33,KRBA1,No,No,No
A5PLL7,PEDS1,No,No,No
A5PLN9,TRAPPC13,No,No,No
A5YKK6,CNOT1,No,No,No
A5YM69,ARHGEF35,No,No,No
A6H8Y1,BDP1,No,No,No
A6NC05,C5orf63,No,No,No
A6NCE7;Q9GZQ8,MAP1LC3B;MAP1LC3B2,No,No,No
A6NCL7,ANKRD33B,No,No,No
A6NCS6,C2orf72,No,No,No
A6ND36,FAM83G,No,No,No
A6NDB9,PALM3,No,No,No
A6NDG6,PGP,No,No,No
A6NDU8,C5orf51,No,No,No
A6NED2,RCCD1,No,No,No
A6NEE1,PLEKHD1,No,No,No
A6NEF3;A6NEY3,GOLGA6L3;GOLGA6L4,No,No,No
A6NFI3,ZNF316,No,No,No
A6NFQ2,TCAF2,No,No,No
A6NFY4,NEMP2,No,No,No
A6NFY7,SDHAF1,No,No,No
A6NGB9,WIPF3,No,No,No
A6NGR9,MROH6,No,No,No
A6NHL2,TUBAL3,No,No,No
A6NHQ4,EPOP,No,No,No
A6NHR9,SMCHD1,No,No,No
A6NHX0,CASTOR2,No,No,No
A6NI28,ARHGAP42,No,No,No
A6NIH7,UNC119B,No,No,No
A6NJ78,METTL15,No,No,No
A6NK58,LIPT2,No,No,ETP-56168_6hr
A6NKD9,CCDC85C,No,No,No
A6NKF1,SAC3D1,No,No,No
A6NM28,ZFP92,No,No,No
A6NNL5,C15orf61,No,No,No
A6NNY8,USP27X,No,No,No
A6QL63,BTBD11,No,No,No
A7E2V4,ZSWIM8,No,No,No
A7KAX9,ARHGAP32,No,No,No
A7XYQ1,SOBP,No,No,No
A8CG34,POM121C,No,No,No
A8K0R7,ZNF839,No,No,No
A8K855,EFCAB7,No,No,No
A8K8P3,SFI1,DMSO_6hr,No,No
A8K8V0,ZNF785,No,No,No
A8MPP1,DDX11L8,No,No,No
A8MPS7,YDJC,No,No,No
A8MQ27,NEURL1B,No,No,No
A8MT69,CENPX,No,No,No
A8MTT3,CEBPZOS,No,No,No
A8MTY0,ZNF724,No,No,No
A8MTZ0,BBIP1,No,No,No
A8MU93,C17orf100,No,No,No
A8MUP2,CSKMT,No,No,No
A8MVW0,FAM171A2,No,No,No
A8MW92,PHF20L1,No,No,No
A8MWD9;P62308,SNRPG;SNRPGP15,No,No,No
A8MWL7;Q9NUH8,TMEM14B;TMEM14DP,No,No,No
A8MWY0,ELAPOR2,No,No,No
A8MXV4,NUDT19,No,No,No
A8MZ97,C2orf74,No,No,No
A9QM74,KPNA7,No,No,No
A9UHW6,MIF4GD,No,No,No
B0FP48;E5RIL1,UPK3BL1;UPK3BL2,No,No,No
B0YJ81,HACD1,No,No,No
B1AK53,ESPN,No,No,No
B2RBV5,,No,No,No
B2RTY4,MYO9A,No,No,No
B2RUZ4,SMIM1,No,No,No
B3EWG3;B3EWG5;B3EWG6,FAM25A;FAM25C;FAM25G,No,DMSO_6hr,No
B3KNS4,ERVK3-1,No,No,No
B3KU38;P0DPB3,IQCJ-SCHIP1;SCHIP1,No,No,No
B4DS77,SHISA9,No,No,No
B7ZAQ6;P0CG08,GPR89A;GPR89B,No,No,No
B7ZBB8,PPP1R3G,No,No,No
B7ZLF3,LOC402624,No,No,No
B9A064,IGLL5,No,No,No
C9J7I0,UMAD1,No,No,No
C9JI98,TMEM238,No,No,No
C9JLW8,MCRIP1,No,No,No
C9JQL5,,No,No,No
CON__E1B991,,No,No,No
CON__E1BCW0,HGFAC,No,No,No
CON__E1BJK2,TUBB1,No,No,No
E7ETH6,ZNF587B,No,No,No
E9PAV3,NACA,No,No,No
E9PRG8,C11orf98,No,No,No
L0R819,ASDURF,No,No,No
O00115,DNASE2,No,No,No
O00116,AGPS,No,No,No
O00124,UBXN8,No,No,No
O00139,KIF2A,No,No,No
O00142,TK2,No,No,No
O00148,DDX39A,No,No,No
O00151,PDLIM1,No,No,No
O00154,ACOT7,No,No,No
O00159,MYO1C,No,No,No
O00161,SNAP23,No,No,No
O00165,HAX1,No,No,No
O00170,AIP,No,No,No
O00178,GTPBP1,No,No,No
O00180,KCNK1,No,No,No
O00186,STXBP3,No,No,No
O00189,AP4M1,No,No,No
