term,ES,NES,fdr,Gene %,Genes,description
Reactome_Pathways_2024__Activation of C3 and C5,-0.6178578345922913,-1.844553144437049,0.249521051838237,38.32%,CFB;C2;CFP;C3;C5;C4A;C4B,Reactome_Pathways_2024__Activation of C3 and C5
Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA,0.5384233785050209,1.834993943897532,0.1865827799017392,32.67%,PSMA7;PSMC2;PSMC6;PSMC4;PSMB7;PSMC5;PSMD13;PSMD1;PSMD6;PSMD7;PSMD14;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;PSMC1;EIF4G1;PSMD3;PSMC3;PSMA2;PSMB1;PABPC1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11,Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA
Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,0.5204441693042425,1.7899324828064906,0.2211724911361907,32.67%,PSMA7;PSMC2;PSMC6;PSMC4;PSMB7;PSMC5;PSMD13;PSMD1;PSMD6;PSMD7;PSMD14;ANAPC7;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;PSMC1;ANAPC4;PSMD3;PSMC3;PSMA2;PSMB1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11,Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1
Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin,0.5204441693042425,1.7899324828064906,0.2211724911361907,32.67%,PSMA7;PSMC2;PSMC6;PSMC4;PSMB7;PSMC5;PSMD13;PSMD1;PSMD6;PSMD7;PSMD14;ANAPC7;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;PSMC1;ANAPC4;PSMD3;PSMC3;PSMA2;PSMB1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin
Reactome_Pathways_2024__ABC-family Proteins Mediated Transport,0.4932726512051251,1.7792506335539542,0.2393870724545138,35.36%,PSMA7;PSMC2;PSMC6;PSMC4;EIF2S1;PSMB7;PSMC5;PSMD13;PSMD1;ABCC4;PSMD6;PSMD7;ABCB6;PSMD14;ABCC3;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;SEL1L;PSMC1;ABCF1;ABCC1;PSMD3;ERLIN2;EIF2S3;ERLEC1;VCP;EIF2S2;PSMC3;PSMA2;PSMB1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11;ABCD3;PSMB2,Reactome_Pathways_2024__ABC-family Proteins Mediated Transport
Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint,0.5112532691109305,1.765968287866423,0.217908364194418,32.67%,PSMA7;PSMC2;PSMC6;PSMC4;PSMB7;PSMC5;PSMD13;PSMD1;PSMD6;PSMD7;PSMD14;ANAPC7;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;PSMC1;ANAPC4;PSMD3;PSMC3;PSMA2;PSMB1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11,Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint
Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.5112532691109305,1.765968287866423,0.217908364194418,32.67%,PSMA7;PSMC2;PSMC6;PSMC4;PSMB7;PSMC5;PSMD13;PSMD1;PSMD6;PSMD7;PSMD14;ANAPC7;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;PSMC1;ANAPC4;PSMD3;PSMC3;PSMA2;PSMB1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins
Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.5112532691109305,1.765968287866423,0.217908364194418,32.67%,PSMA7;PSMC2;PSMC6;PSMC4;PSMB7;PSMC5;PSMD13;PSMD1;PSMD6;PSMD7;PSMD14;ANAPC7;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;PSMC1;ANAPC4;PSMD3;PSMC3;PSMA2;PSMB1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11,Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins
Reactome_Pathways_2024__ABC Transporter Disorders,0.5048476023438552,1.76359273639979,0.210913806462048,32.67%,PSMA7;PSMC2;PSMC6;PSMC4;PSMB7;PSMC5;PSMD13;PSMD1;PSMD6;PSMD7;ABCB6;PSMD14;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;SEL1L;PSMC1;PSMD3;ERLIN2;ERLEC1;VCP;PSMC3;PSMA2;PSMB1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11,Reactome_Pathways_2024__ABC Transporter Disorders
Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins,0.4983626098783448,1.7315938208638983,0.2453932822139087,32.67%,PSMA7;PSMC2;PSMC6;PSMC4;PSMB7;PSMC5;PSMD13;PSMD1;PSMD6;PSMD7;PSMD14;ANAPC7;ADRM1;PSMB3;PSMD8;PSMD12;PSMB4;SKP1;PSMC1;ANAPC4;PSMD3;PSMC3;PSMA2;PSMB1;PSMA4;PSMD2;PSMB5;PSMA1;PSMD11,Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins
Reactome_Pathways_2024__ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress,-0.5286599535243998,-1.5343625683147055,0.3979338442304408,47.21%,EXOSC7;ATF6;EXOSC2;IGFBP1;EXOSC6;EXOSC4,Reactome_Pathways_2024__ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress
Reactome_Pathways_2024__Activation of AMPK Downstream of NMDARs,0.5170545379822554,1.496835182126283,0.4379658810253124,18.18%,TUBAL3;TUBB4A;PRKAA1;PRKAB2;PRKAG1;TUBA1C;TUBB6;TUBA8,Reactome_Pathways_2024__Activation of AMPK Downstream of NMDARs
Reactome_Pathways_2024__AURKA Activation by TPX2,0.4129423787025726,1.411559280586787,0.4962054879170146,52.21%,DYNC1H1;TUBB4A;CKAP5;DCTN3;PRKACA;DCTN2;MAPRE1;DCTN1;CLASP1;CEP135;PRKAR2B;PPP2R1A;ACTR1A;TUBB;CEP131;DYNLL1;YWHAE;TUBA4A;TUBB4B;YWHAG;HSP90AA1;PAFAH1B1;TUBG1;DYNC1I2;NEDD1,Reactome_Pathways_2024__AURKA Activation by TPX2
Reactome_Pathways_2024__ALK Mutants Bind TKIs,0.535373036416224,1.3696058053719866,0.5133127123191549,38.99%,STRN;EML4;BIRC6;PPM1B;CLTC;NPM1;PRKAR1A,Reactome_Pathways_2024__ALK Mutants Bind TKIs
Reactome_Pathways_2024__A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis,0.4190655262908387,1.2883420878508265,0.5402053575543325,48.68%,CSPG4;SDC1;XYLT2;GPC6;VCAN;SDC4;DCN;B3GALT6;BGN;AGRN;GPC1;NCAN;GPC4;BCAN,Reactome_Pathways_2024__A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis
Reactome_Pathways_2024__Acetylcholine Regulates Insulin Secretion,0.4976084559659841,1.251402563851962,0.5608333720029703,34.66%,PLCB2;PLCB3;PRKCA;GNA14;GNAQ,Reactome_Pathways_2024__Acetylcholine Regulates Insulin Secretion
Reactome_Pathways_2024__AKT Phosphorylates Targets in the Cytosol,0.4406448145085574,1.2119766541425772,0.6067588325079841,25.94%,CHUK;TSC2;AKT2;GSK3A;AKT1;AKT1S1,Reactome_Pathways_2024__AKT Phosphorylates Targets in the Cytosol
Reactome_Pathways_2024__Activated NTRK3 Signals Through RAS,-0.4755082284607938,-1.1982530399290938,0.608680944114842,52.51%,HRAS;KRAS;SOS1;SHC1;GRB2,Reactome_Pathways_2024__Activated NTRK3 Signals Through RAS
Reactome_Pathways_2024__Activated NOTCH1 Transmits Signal to the Nucleus,-0.2724980605120248,-1.1106085233154646,0.7368616282766915,72.84%,CNTN1;JAG2;MIB1;ARRB2;PSEN2;APH1B;JAG1;ADAM17;NOTCH1;NCSTN;ARRB1;ITCH;ADAM10;NUMB,Reactome_Pathways_2024__Activated NOTCH1 Transmits Signal to the Nucleus
Reactome_Pathways_2024__Activated NTRK2 Signals Through RAS,-0.3791634391944229,-1.061450697141888,0.733224239402853,62.15%,HRAS;KRAS;SOS1;SHC1;GRB2;NTRK2,Reactome_Pathways_2024__Activated NTRK2 Signals Through RAS
Reactome_Pathways_2024__ABC Transporters in Lipid Homeostasis,-0.3408870811543676,-1.0120084690887317,0.7914779832253742,65.98%,APOA1;ABCA7;PEX3;ABCA3;ABCD1;PEX19;ABCD3,Reactome_Pathways_2024__ABC Transporters in Lipid Homeostasis
Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 1,0.3265617266096625,1.0025321162786769,0.8042207763477885,66.60%,PLA2G4A;GNB4;MAPK14;GNB1;GNA14;GNAQ;GNB5;SRC;GNB2;GNG7;GNG11;GNG2;GNA11;GNG8;P2RY1;GNG5;GNG12,Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 1
Reactome_Pathways_2024__ADORA2B Mediated Anti-Inflammatory Cytokines Production,0.3030226085760005,0.993080214042709,0.8114619265362975,67.43%,PRKAR2A;ADCY6;PRKACA;GNB4;PRKAR2B;GNAS;GNAI3;GNB1;GNAZ;PRKACB;PRKAR1A;GNB5;GNAI2;GNB2;GNG7;GNG11;GNG2;GNG8;GNG5;GNAI1;GNG12;PRKAR1B,Reactome_Pathways_2024__ADORA2B Mediated Anti-Inflammatory Cytokines Production
Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 12,0.3238428162636009,0.9595664052959156,0.8338918035316037,66.60%,GNB4;GNAI3;GNB1;P2RY12;GNB5;GNAI2;GNB2;GNG7;GNG11;GNG2;GNG8;GNG5;GNAI1;GNG12,Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 12
Reactome_Pathways_2024__Activation of BH3-only Proteins,0.3266452533237589,0.9595196659412484,0.8335641877381755,60.12%,AKT2;AKT1;YWHAZ;PPP3R1;DYNLL1;YWHAE;YWHAG;YWHAB;YWHAQ;YWHAH;AKT3;BAD,Reactome_Pathways_2024__Activation of BH3-only Proteins
Reactome_Pathways_2024__Activation of BAD and Translocation to Mitochondria,0.3202214934454416,0.9239864907446708,0.8640422464510503,60.12%,AKT2;AKT1;YWHAZ;PPP3R1;YWHAE;YWHAG;YWHAB;YWHAQ;YWHAH;AKT3;BAD,Reactome_Pathways_2024__Activation of BAD and Translocation to Mitochondria
Reactome_Pathways_2024__Activation of GABAB Receptors,0.2946948523943284,0.8863068325253378,0.8899388564046671,66.60%,ADCY6;GNB4;GNAI3;GNB1;GNB5;GNAI2;GNB2;GNG7;GNG11;GNG2;GNG8;GNG5;GNAI1;GNG12,Reactome_Pathways_2024__Activation of GABAB Receptors
Reactome_Pathways_2024__Activation of G Protein Gated Potassium Channels,0.3187922470621783,0.8766568729102898,0.8932808771719352,66.60%,GNB4;GNB1;GNB5;GNB2;GNG7;GNG11;GNG2;GNG8;GNG5;GNG12,Reactome_Pathways_2024__Activation of G Protein Gated Potassium Channels
Reactome_Pathways_2024__AXIN Missense Mutants Destabilize the Destruction Complex,0.2919670367566749,0.77954578742238,0.9455409279860986,48.70%,PPP2R5A;PPP2R5D;PPP2R1A;GSK3B;PPP2CA;PPP2R5C,Reactome_Pathways_2024__AXIN Missense Mutants Destabilize the Destruction Complex
Reactome_Pathways_2024__APC Truncation Mutants Have Impaired AXIN Binding,0.2919670367566749,0.77954578742238,0.9455409279860986,48.70%,PPP2R5A;PPP2R5D;PPP2R1A;GSK3B;PPP2CA;PPP2R5C,Reactome_Pathways_2024__APC Truncation Mutants Have Impaired AXIN Binding
Reactome_Pathways_2024__Aberrant Regulation of Mitotic Exit in Cancer Due to RB1 Defects,0.3235235016153637,0.7790365137343842,0.9439786308290262,19.86%,ANAPC7;ANAPC4,Reactome_Pathways_2024__Aberrant Regulation of Mitotic Exit in Cancer Due to RB1 Defects
Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Cyclin B,0.3235235016153637,0.7790365137343842,0.9439786308290262,19.86%,ANAPC7;ANAPC4,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Cyclin B
Reactome_Pathways_2024__ARMS-mediated Activation,-0.2940948693126815,-0.7565668564917928,0.9459100474507276,70.64%,BRAF;CRK;RAP1A;YWHAB;KIDINS220,Reactome_Pathways_2024__ARMS-mediated Activation
Reactome_Pathways_2024__APC-Cdc20 Mediated Degradation of Nek2A,0.2770107456330312,0.6959571294721568,0.9740640173692892,19.86%,ANAPC7;ANAPC4,Reactome_Pathways_2024__APC-Cdc20 Mediated Degradation of Nek2A
Reactome_Pathways_2024__Activated NTRK2 Signals Through FRS2 and FRS3,0.2924397945822158,0.6916351769121817,0.9742648372439736,66.32%,PTPN11;NTRK2;GRB2;SOS1;KRAS,Reactome_Pathways_2024__Activated NTRK2 Signals Through FRS2 and FRS3
Reactome_Pathways_2024__Acetylcholine Neurotransmitter Release Cycle,0.3118057535851088,0.6854304260620437,0.9743348758108354,53.13%,VAMP2;STXBP1;PPFIA1,Reactome_Pathways_2024__Acetylcholine Neurotransmitter Release Cycle
Reactome_Pathways_2024__Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects,0.2516036646236211,0.6503504958974111,0.9832215181603758,70.37%,ANAPC7;ANAPC4;CDC16;CDKN1A;CDC23;CDK2;ANAPC1,Reactome_Pathways_2024__Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects
