term,ES,NES,fdr,Gene %,Genes,description
GO:0015671,-0.9527464337147784,-2.5407358274657152,0.004973986851025,4.50%,MB;HBG1;HBB;HBD,GO_Biological_Process_2025__Oxygen Transport (GO:0015671)
GO:0032375,-0.837915601023018,-2.3407680800360007,0.0154193592381777,16.40%,ADIPOQ;APOC1;APOA2;APOC2;APOE;APOC3,GO_Biological_Process_2025__Negative Regulation of Cholesterol Transport (GO:0032375)
GO:1904872,0.9002238567316918,2.246315429017326,0.0005003005510953,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7,GO_Biological_Process_2025__Regulation of Telomerase RNA Localization to Cajal Body (GO:1904872)
GO:1904871,0.9002238567316918,2.246315429017326,0.0005003005510953,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7,GO_Biological_Process_2025__Positive Regulation of Protein Localization to Cajal Body (GO:1904871)
GO:1904874,0.9002238567316918,2.246315429017326,0.0005003005510953,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7,GO_Biological_Process_2025__Positive Regulation of Telomerase RNA Localization to Cajal Body (GO:1904874)
GO:1904869,0.9002238567316918,2.246315429017326,0.0005003005510953,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7,GO_Biological_Process_2025__Regulation of Protein Localization to Cajal Body (GO:1904869)
GO:0051086,0.9002238567316918,2.246315429017326,0.0005003005510953,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7,GO_Biological_Process_2025__Chaperone Mediated Protein Folding Independent of Cofactor (GO:0051086)
GO:0032212,0.7644134413662071,2.0918327125365,0.0059410690442567,17.49%,CCT4;CCT8;TCP1;CCT3;CCT2;CCT5;CCT6A;CCT7;HSP90AA1,GO_Biological_Process_2025__Positive Regulation of Telomere Maintenance via Telomerase (GO:0032212)
GO:1904358,0.7644134413662071,2.0918327125365,0.0059410690442567,17.49%,CCT4;CCT8;TCP1;CCT3;CCT2;CCT5;CCT6A;CCT7;HSP90AA1,GO_Biological_Process_2025__Positive Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904358)
GO:0043161,0.5418967811012114,2.0830124588136787,0.0060036066131437,25.56%,PSMA6;PSMB3;VCP;PSMB4;PSMA7;PSMB8;PSMB7;PSMB10;NSFL1C;PSMC2;PSMD2;DDB1;PSMD11;PSMB5;PSMA1;PSMB9;PSMC6;PSMA5;PSMC3;PSMD13;PSMC5;PSMC1;PSMB2;PSMB1;RAD23A;PSMA2;FBXO7;PSMA4;PSMD1;PROC;PSMD7;UBR4;PSMD14;SKP1;PSMA3;ARRB1;PCBP2;PSMB6;PSMC4,GO_Biological_Process_2025__Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)
GO:0045833,-0.6570697376839412,-2.064459352074687,0.141592825692514,34.49%,CEACAM1;APOC1;APOA2;APOD;APOC2;APOE;APOC3;PRKAA1,GO_Biological_Process_2025__Negative Regulation of Lipid Metabolic Process (GO:0045833)
GO:2000573,0.700945467071793,2.060163688620821,0.0082681248970487,17.49%,CCT4;CCT8;TCP1;CCT3;CCT2;CCT5;CCT6A;CCT7;PDGFRB;HSP90AA1,GO_Biological_Process_2025__Positive Regulation of DNA Biosynthetic Process (GO:2000573)
GO:0051084,0.6077341809317404,2.0273189773712925,0.0134580848244637,10.18%,UGGT1;CCT4;CCT8;TCP1;CCT3;HSPA9;CCT2;HSPE1;CCT5;CCT6A;ENTPD5;CCT7,GO_Biological_Process_2025__'De Novo' Post-Translational Protein Folding (GO:0051084)
GO:2001044,0.6909612636427365,2.0072525481030774,0.0155745736775756,21.09%,LIMS1;LMNB2;CD63;LAMC1;LAMA1;FLNA;LAMA2;NID1,GO_Biological_Process_2025__Regulation of Integrin-Mediated Signaling Pathway (GO:2001044)
GO:0031032,0.5680743930639756,1.997820369960496,0.0165299302081889,35.99%,F11R;ROCK2;TPM1;SRC;PDCD10;TMOD3;CSRP1;MYL9;EPB41;MYH9;BMP10;FLII;CDC42BPB;ITGB5;PDLIM1;ZYX;DNM2;ROCK1;ARRB1;WDR1;RHOA;EPB41L3;MYO18A;EPB41L2,GO_Biological_Process_2025__Actomyosin Structure Organization (GO:0031032)
GO:0030239,0.6899922293827265,1.969545820795326,0.0225492605529385,24.19%,TPM1;TMOD3;CSRP1;MYL9;BMP10;FLII;PDGFRA;PDGFRB;WDR1,GO_Biological_Process_2025__Myofibril Assembly (GO:0030239)
GO:0032210,0.6724911043667062,1.955357196355524,0.0259489219168099,17.49%,CCT4;CCT8;TCP1;CCT3;CCT2;CCT5;CCT6A;CCT7;HSP90AA1,GO_Biological_Process_2025__Regulation of Telomere Maintenance via Telomerase (GO:0032210)
GO:0014033,-0.7526366251198466,-1.9372467143537253,0.2760562702318921,24.89%,TCOF1;PEF1;PDCD6;LRP6;CDH2,GO_Biological_Process_2025__Neural Crest Cell Differentiation (GO:0014033)
GO:0051051,0.6808836951296179,1.9285957636927311,0.0294279349798112,18.70%,SNCA;PPM1F;RAB7A;ITGAV;ITGB3;ARL6IP5;EGF,GO_Biological_Process_2025__Negative Regulation of Transport (GO:0051051)
GO:0090557,0.8382869926494086,1.9087931831044955,0.0367470754779503,16.31%,F11R;RAB1B;TJP2;RAP2B;RAB1A,GO_Biological_Process_2025__Establishment of Endothelial Intestinal Barrier (GO:0090557)
