term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__SF1126,-0.8417642880807216,-1.853035530732378,0.3396497455029185,1.30%,PRKDC;PIK3C2A,DGIdb_Drug_Targets_2024__SF1126
DGIdb_Drug_Targets_2024__ATALUREN,0.7053715708983676,1.8271119180530533,0.0688497525617179,8.87%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS8;RPS11;RPL17;RPL24;RPL4;RPL38;RPL27A;RPL11;RPS14;RPLP0,DGIdb_Drug_Targets_2024__ATALUREN
DGIdb_Drug_Targets_2024__MT 3724,0.6976036340421873,1.8102662543694488,0.0674672274098762,8.87%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS8;RPS11;RPL17;RPL24;RPL4;RPL38;RPL27A;RPL11;RPS14;RPLP0,DGIdb_Drug_Targets_2024__MT 3724
DGIdb_Drug_Targets_2024__CYCLOHEXIMIDE,0.6858337650759678,1.7927362736965402,0.0659820003896119,8.87%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS8;RPS11;RPL17;RPL24;RPL4;RPL38;RPL27A;RPL11;RPS14;RPLP0,DGIdb_Drug_Targets_2024__CYCLOHEXIMIDE
DGIdb_Drug_Targets_2024__DORLIMOMAB ARITOX,0.6906164743555916,1.7869920913813082,0.0689492943726505,20.24%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS11;RPL17;RPL24;RPL4;RPL38;RPL27A;RPL11;RPS14;RPLP0;RPS10;RPS16;RPL12;RPS19;RPL22;RPS21;RPS9;RPL10A;RPSA;RPS15A,DGIdb_Drug_Targets_2024__DORLIMOMAB ARITOX
DGIdb_Drug_Targets_2024__IBRUTINIB,-0.791040686319869,-1.5837402274318857,0.6683450189836342,2.87%,EGFR;MYD88,DGIdb_Drug_Targets_2024__IBRUTINIB
DGIdb_Drug_Targets_2024__ISOPROTERENOL,-0.7822153921866455,-1.5580703436911278,0.7142291313350437,0.14%,LIPE,DGIdb_Drug_Targets_2024__ISOPROTERENOL
DGIdb_Drug_Targets_2024__OSIMERTINIB,-0.7889377671297195,-1.5297691375337314,0.7874330942491193,0.55%,EGFR,DGIdb_Drug_Targets_2024__OSIMERTINIB
DGIdb_Drug_Targets_2024__ETANERCEPT,0.8077386900276907,1.5281559498553805,0.3847749408779713,5.06%,ALPL;CERS6,DGIdb_Drug_Targets_2024__ETANERCEPT
DGIdb_Drug_Targets_2024__AFATINIB,-0.7695735004467246,-1.5169264481474083,0.8108944786561009,3.35%,EGFR;EML4,DGIdb_Drug_Targets_2024__AFATINIB
DGIdb_Drug_Targets_2024__METFORMIN HYDROCHLORIDE,-0.4812870194387255,-1.5054339161011756,0.7768864704988412,15.45%,NDUFV3;MT-ND5;NDUFA9;NDUFC1;PRKAB1;NDUFC2;NDUFB7;NDUFB9;MTOR;MT-ND4,DGIdb_Drug_Targets_2024__METFORMIN HYDROCHLORIDE
DGIdb_Drug_Targets_2024__TESTOSTERONE,0.8153978217158953,1.50086780801487,0.4333815574069681,11.75%,CAV1;FAS;DBH,DGIdb_Drug_Targets_2024__TESTOSTERONE
DGIdb_Drug_Targets_2024__MARIMASTAT,0.7910489266683638,1.4906061589891662,0.4481477109039457,10.38%,MMP1;MMP2;MMP3,DGIdb_Drug_Targets_2024__MARIMASTAT
DGIdb_Drug_Targets_2024__NALTREXONE,0.8229527674066497,1.4864058410180154,0.4592075200199181,11.75%,GCG;ALDH2;DBH,DGIdb_Drug_Targets_2024__NALTREXONE
DGIdb_Drug_Targets_2024__OCTREOTIDE,0.8515915724555025,1.4849792941620996,0.4583290953787655,8.43%,TG;MPO,DGIdb_Drug_Targets_2024__OCTREOTIDE
DGIdb_Drug_Targets_2024__COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,0.6779958028149751,1.4747371277173176,0.4607948578610985,14.80%,COL3A1;COL6A1;COL6A2;COL1A2;COL5A1;COL28A1;COL5A2;COL6A3;COL1A1,DGIdb_Drug_Targets_2024__COLLAGENASE CLOSTRIDIUM HISTOLYTICUM
DGIdb_Drug_Targets_2024__PREDNISONE,0.7042181273489745,1.4723599189691396,0.4595740869130418,16.25%,TG;ITGB2;ABCB1;TPMT;ANXA1;VWF;APOE;BMP7,DGIdb_Drug_Targets_2024__PREDNISONE
DGIdb_Drug_Targets_2024__CRIZOTINIB,-0.6333566753419648,-1.4654152539501986,0.8682884365490794,13.45%,EGFR;EML4;NPM1;KIT;NTRK2;JAK2,DGIdb_Drug_Targets_2024__CRIZOTINIB
DGIdb_Drug_Targets_2024__TALAZOPARIB,-0.7524031843726325,-1.465405639508151,0.8607072524193989,0.55%,EGFR,DGIdb_Drug_Targets_2024__TALAZOPARIB
DGIdb_Drug_Targets_2024__CAPTOPRIL,-0.7793665369842636,-1.460948456505287,0.860683891819205,18.42%,SERPINE1;DPP4;ACE;MYO9B,DGIdb_Drug_Targets_2024__CAPTOPRIL
DGIdb_Drug_Targets_2024__PIOGLITAZONE,-0.6916147178199625,-1.4595317403938892,0.8389150513952827,14.19%,LPL;SLC2A1;YES1,DGIdb_Drug_Targets_2024__PIOGLITAZONE
DGIdb_Drug_Targets_2024__DEXAMETHASONE,0.5892898418531832,1.4434649007271092,0.4896813671729813,16.25%,RET;CDK6;TJP1;TG;IRS2;CDH17;ANXA1;S100A10;VCAM1;RPS19;BMP7,DGIdb_Drug_Targets_2024__DEXAMETHASONE
DGIdb_Drug_Targets_2024__PANITUMUMAB,-0.7071540459858654,-1.4416300685831656,0.8562066275449642,0.55%,EGFR,DGIdb_Drug_Targets_2024__PANITUMUMAB
DGIdb_Drug_Targets_2024__IL 2,0.6486779654811815,1.4331520232240298,0.4941389155076647,12.28%,CD244;CD2;TG;MMP2;PRF1;FCGR3B,DGIdb_Drug_Targets_2024__IL 2
DGIdb_Drug_Targets_2024__CUDC 101,-0.7666613239260041,-1.4307066119409504,0.8500198847516598,14.19%,EGFR;HDAC5;HDAC6;YES1,DGIdb_Drug_Targets_2024__CUDC 101
DGIdb_Drug_Targets_2024__AT9283,0.7528179055390465,1.423661401337042,0.5193679797314603,0.89%,RET,DGIdb_Drug_Targets_2024__AT9283
DGIdb_Drug_Targets_2024__TRIMIPRAMINE,-0.6450174784622663,-1.4174269698890731,0.8795693455518943,20.95%,RPTOR;FCHSD1;HLA-A;BDNF;SLC6A4,DGIdb_Drug_Targets_2024__TRIMIPRAMINE
DGIdb_Drug_Targets_2024__CEP 11981,-0.7822495655888604,-1.4132035240454,0.862997124448257,0.55%,EGFR,DGIdb_Drug_Targets_2024__CEP 11981
DGIdb_Drug_Targets_2024__DORAMAPIMOD,-0.6205523737581808,-1.408941058387164,0.8588897479742188,20.23%,EGFR;TYRO3;NTRK2;YES1;LYN;PRKD2,DGIdb_Drug_Targets_2024__DORAMAPIMOD
