term,ES,NES,fdr,Gene %,Genes,description
GO:0032375,-0.941399582780201,-2.7066714436306323,0.0,5.99%,ADIPOQ;APOA2;APOC1;APOE;APOC2;APOC3,GO_Biological_Process_2025__Negative Regulation of Cholesterol Transport (GO:0032375)
GO:0043691,-0.583364982909229,-2.316307077460536,0.0329380971406459,41.83%,APOA4;APOA2;APOA1;APOE;LCAT;APOC2;APOM;APOC3;CLU;CETP;CES1;LIPG;LIPC,GO_Biological_Process_2025__Reverse Cholesterol Transport (GO:0043691)
GO:0033700,-0.7007590132827325,-2.269489992771041,0.0322061394264094,30.06%,APOA4;APOA2;APOA1;APOC1;APOE;APOC2;APOC3;ABCA7;APOA5,GO_Biological_Process_2025__Phospholipid Efflux (GO:0033700)
GO:0002456,-0.5573490315229775,-2.224969702283874,0.0343105178548395,44.42%,CR1;CR2;BTN3A3;CD8A;JAG1;CTSH;C4BPA;CRTAM;GNL1;HLA-A;CD46;MYO1G;CADM1,GO_Biological_Process_2025__T Cell Mediated Immunity (GO:0002456)
GO:0051917,-0.5944971537001897,-2.1179474818067927,0.073561750280776,40.67%,F12;KLKB1;PLG;SERPINF2;GLMN;THBD;VTN;SERPINE1;THBS1,GO_Biological_Process_2025__Regulation of Fibrinolysis (GO:0051917)
GO:0015669,-0.7870686386044747,-2.0640668447908643,0.0675230991383242,21.39%,HBB;HBD;HBG2;CA2;RHAG,GO_Biological_Process_2025__Gas Transport (GO:0015669)
GO:0015670,-0.7870686386044747,-2.0640668447908643,0.0675230991383242,21.39%,HBB;HBD;HBG2;CA2;RHAG,GO_Biological_Process_2025__Carbon Dioxide Transport (GO:0015670)
GO:0019755,-0.7870686386044747,-2.0640668447908643,0.0675230991383242,21.39%,HBB;HBD;HBG2;CA2;RHAG,GO_Biological_Process_2025__One-Carbon Compound Transport (GO:0019755)
GO:0045833,-0.5355178639144234,-2.0621982901343587,0.061728433900618,5.99%,CEACAM1;APOA2;APOC1;APOD;APOE;APOC2;APOC3,GO_Biological_Process_2025__Negative Regulation of Lipid Metabolic Process (GO:0045833)
GO:0002455,-0.7957906712172923,-2.0500994497685565,0.0620334162815499,20.52%,C1QB;C1QC;FCMR;CD81;C1R,GO_Biological_Process_2025__Humoral Immune Response Mediated by Circulating Immunoglobulin (GO:0002455)
GO:0033344,-0.4744279137627369,-1.9800411152220565,0.0872859574227118,30.06%,APOA4;APOA2;APOA1;APOC1;APOE;APOC2;APOM;APOC3;ABCA7;TSKU;NPC1;APOA5,GO_Biological_Process_2025__Cholesterol Efflux (GO:0033344)
GO:0031639,-0.7728479332574896,-1.9746117016303044,0.0841188326976497,22.81%,KLKB1;FGG;FGA;FGB;PGK1,GO_Biological_Process_2025__Plasminogen Activation (GO:0031639)
GO:0007088,0.676001719508275,1.936337502690997,0.9935331035376548,21.78%,EGF;RGCC;TOM1L1;PRMT5;LRP5;PDGFB;PDGFRB;TOM1L2,GO_Biological_Process_2025__Regulation of Mitotic Nuclear Division (GO:0007088)
GO:0030150,0.7038180452033336,1.9233431762443247,0.6031458432332674,16.94%,TIMM44;TOMM70;PAM16;TOMM40;TOMM40L;TIMM50;GRPEL1,GO_Biological_Process_2025__Protein Import Into Mitochondrial Matrix (GO:0030150)
GO:0045916,-0.5446953881191877,-1.917503803554813,0.1162244284819936,45.65%,CR1;CR2;CD59;SERPING1;CD55;C4BPA;C4BPB;CD46;VSIG4;MASP1,GO_Biological_Process_2025__Negative Regulation of Complement Activation (GO:0045916)
GO:0009060,0.5053137256901294,1.9140970224509075,0.4565238430597987,37.64%,NDUFA10;MTFR1L;NDUFS3;OGDH;NDUFA9;SDHB;LDLR;DLAT;NDUFV1;NDUFA13;NDUFS2;NDUFS4;IDH3B;NDUFS8;IDH3A;NDUFA6;NDUFB3;SIRT3;NDUFA12;SUCLG1;NDUFS5;SUCLG2;NDUFA2;SURF1;NDUFA11;NIPSNAP2;NDUFB1;NDUFB4;NDUFA8;IDH3G;NDUFAB1;BLOC1S1;NDUFB8;NDUFA1;SDHA;NDUFB9;MFN2;SDHD;MDH2;UQCRC2;NDUFS1;NDUFV3;SDHC;NDUFS7;NDUFV2;UQCRC1;NDUFA5;DLST;NNT;NDUFS6;SUCLA2,GO_Biological_Process_2025__Aerobic Respiration (GO:0009060)
GO:0010256,0.4661461434382606,1.881915016573936,0.421756781601343,33.95%,GAK;COG2;LAMTOR1;VAPB;GOLGB1;TMED2;HUWE1;TMED7;VPS11;TMED4;SEC16A;VPS51;ARHGEF7;MIA3;DNAJC13;HOOK3;ATL2;LMNB2;AP3D1;SEC23IP;UBR4;PI4K2A;VPS4A;CLASP1;TRIP11;VPS18;GOLPH3;RAB2B;RAB30;PLEKHF2;TRAPPC8;TOR1AIP2;TBC1D20;RAB29;NPLOC4;ZW10;COG3;LNPK;ARFGEF2;TRAPPC12;SLC6A4;ARFGEF1;BAG5;MYO18A;GOLGA2;ATL3;SEC31A;ARHGAP21;VPS33B;CLASP2;TOR1A;TRAPPC11;NSFL1C;TMED1;WASHC5;SQSTM1;COG4;EXOC8;COG7;OSBPL2;RAB22A;TMED9;TMED3;BNIP1;SYNGR2;COG6;DNM1;SURF4;COG5;RAB2A;JAGN1;LMAN1;PTGES2;SPTBN1;VAPA;LYSMD3;SEC61A1,GO_Biological_Process_2025__Endomembrane System Organization (GO:0010256)
GO:0009063,0.6512246060375926,1.847364754435014,0.4766923200240425,35.03%,IVD;ALDH6A1;MCCC2;HIBCH;DBT;BCKDHA;ALDH5A1;MCCC1;BCKDK;ETFA;ECHS1;ETFB,GO_Biological_Process_2025__Amino Acid Catabolic Process (GO:0009063)
GO:0043276,0.8323993102152234,1.8471881733207485,0.4179716579748176,14.40%,MTOR;TSC2;IKBKG;MAP3K7,GO_Biological_Process_2025__Anoikis (GO:0043276)
GO:0007030,0.466290156060051,1.840144693348675,0.4047360949670326,34.17%,GAK;COG2;GOLGB1;TMED2;HUWE1;TMED7;TMED4;SEC16A;VPS51;ARHGEF7;ATL2;SEC23IP;VTI1B;PI4K2A;CLASP1;TRIP11;GOLPH3;VCPIP1;RAB2B;RAB30;TRAPPC8;BET1;TBC1D20;PRMT5;RAB29;NPLOC4;ZW10;COG3;TRAPPC12;SLC6A4;ARFGEF1;BAG5;GCC2;MYO18A;GOLGA2;ATL3;ARHGAP21;CLASP2;TRAPPC11;NSFL1C;TMED1;COG4;COG7;TMED9;TMED3;COG6;SURF4;COG5;RAB2A;LMAN1;PTGES2;YIPF5;LYSMD3;STX5,GO_Biological_Process_2025__Golgi Organization (GO:0007030)
GO:0051785,0.7872179025222835,1.8364638958956616,0.3803925547807514,21.37%,EGF;RGCC;SIRT2;LRP5;PDGFB;PDGFRB,GO_Biological_Process_2025__Positive Regulation of Nuclear Division (GO:0051785)
GO:0018205,0.5859554385260853,1.8301495147272653,0.3742391987247956,20.00%,PLOD2;SIRT3;RANGAP1;SIRT2;HINT1;IVL;TRPM4;NDUFAB1;BLOC1S1;VPS33B;PLOD3,GO_Biological_Process_2025__Peptidyl-Lysine Modification (GO:0018205)
GO:0001510,-0.741941600303375,-1.822499758701529,0.1935113207012952,25.90%,TFB1M;SNRPF;TARBP1;WDR6;THUMPD3,GO_Biological_Process_2025__RNA Methylation (GO:0001510)
GO:0016064,-0.6408116821543713,-1.8171762134607483,0.1889742592814317,36.01%,IGLL5;IGLL1;FCMR;CD81;CD74;FCER1G,GO_Biological_Process_2025__Immunoglobulin Mediated Immune Response (GO:0016064)
GO:0046395,0.5687394823716864,1.78732986590845,0.4547426084120222,7.96%,IVD;ACOT8;ALDH6A1;MCCC2;HIBCH;MPST;DBT;BCKDHA,GO_Biological_Process_2025__Carboxylic Acid Catabolic Process (GO:0046395)
GO:0042730,-0.5889605462822458,-1.7872544524139868,0.2145856032236899,41.20%,PLG;SERPINF2;FGG;FGA;FGB;SERPINE1;GP1BA,GO_Biological_Process_2025__Fibrinolysis (GO:0042730)
GO:0006099,0.5708259039641994,1.7731946420616422,0.4693495086608922,37.64%,OGDH;SDHB;LDLR;DLAT;IDH3B;IDH3A;SUCLG1;SUCLG2;IDH3G;SDHA;SDHD;MDH2;SDHC;DLST;NNT;SUCLA2,GO_Biological_Process_2025__Tricarboxylic Acid Cycle (GO:0006099)
GO:0009081,0.6285283010004847,1.7704333354474564,0.4577333233761903,31.63%,IVD;PCCA;PCCB;MCCC2;HIBCH;DBT;BCKDHA;BCAT2;MCCC1;BCKDK;ECHS1,GO_Biological_Process_2025__Branched-Chain Amino Acid Metabolic Process (GO:0009081)
GO:0051873,-0.7254455821008722,-1.768747272193602,0.2302199631725151,27.54%,CFHR2;DCD;CFHR5;PF4;GAPDH,GO_Biological_Process_2025__Killing by Host of Symbiont Cells (GO:0051873)
GO:0034063,0.570072041144735,1.7629590279373428,0.4484258225777771,27.88%,DDX3X;DYNC1H1;PRRC2C;G3BP2;UBAP2L;DDX6;FMR1;CSDE1;ATXN2;ATXN2L;LSM14A;G3BP1,GO_Biological_Process_2025__Stress Granule Assembly (GO:0034063)
GO:0006085,0.7044516072930163,1.757420491582036,0.4552044099873716,24.63%,ACSS2;DLAT;PDHX;MLYCD;ACSS1;PDHA1;PDHB,GO_Biological_Process_2025__acetyl-CoA Biosynthetic Process (GO:0006085)
GO:0032024,0.5765330306893734,1.7524738727525613,0.4581731344003327,28.15%,STX4;PDHX;PPP3CB;IRS2;ACSL4;LRRC8A;MAP4K2;TRPM4;C2CD2L;PSMD9;MCU,GO_Biological_Process_2025__Positive Regulation of Insulin Secretion (GO:0032024)
