term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__CARFILZOMIB,0.5799090901610804,2.062501065972405,0.0101661628437654,29.40%,PSMC2;PSMD2;PSMD11;PSMD5;PSMC1;PSMC6;PSMD13;PSMC3;PSMC5;PSMD1;PSMD14;PSMD7;PSMC4;PSMD6;PSMB3;PSMD8;PSMF1;PSMD4;PSMB10;PSMB9;PSMA7;PSMB7;PSMD12;PSMA2;PSMA5;PSMB1;PSMA1;PSMA3;PSMB2;PSMB8;PSMA6;PSMA4;PSMB4,DGIdb_Drug_Targets_2024__CARFILZOMIB
DGIdb_Drug_Targets_2024__CRENOLANIB,0.8746879874231281,1.933191267388744,0.0497257965184179,9.81%,IDH2;PDGFRA;PDGFRB,DGIdb_Drug_Targets_2024__CRENOLANIB
DGIdb_Drug_Targets_2024__BORTEZOMIB,0.4985595947589795,1.828215062856028,0.1116178379183421,29.40%,PSMC2;PSMD2;PSMD11;PSMD5;PSMC1;PSMC6;PSMD13;PSMC3;PSMC5;PSMD1;PSMD14;PSMD7;PSMC4;PSMD6;PSMB3;PSMD8;PSMF1;PSMD4;PSMB10;PSMB9;FGFR3;HSPA4;PSMA7;PSMB7;PSMD12;PSMA2;PSMA5;PSMB1;PSMA1;PSMA3;PSMB2;PSMB8;PSMA6;PSMA4;PSMB4,DGIdb_Drug_Targets_2024__BORTEZOMIB
DGIdb_Drug_Targets_2024__ATENOLOL,0.6866102644688148,1.8222910518557944,0.1164546073302304,23.87%,FTO;PLA2G4A;SNX9;ARAP1;LRRC15;LDLR;TGFB1,DGIdb_Drug_Targets_2024__ATENOLOL
DGIdb_Drug_Targets_2024__INDOMETHACIN,0.6708217162150207,1.7267600297312478,0.2351919673551127,8.30%,FST;ENO2;PTGS1,DGIdb_Drug_Targets_2024__INDOMETHACIN
DGIdb_Drug_Targets_2024__XL228,0.7666412717042408,1.684526448490808,0.2796818851765225,21.61%,FGFR2;SRC;FGFR1;FGFR3,DGIdb_Drug_Targets_2024__XL228
DGIdb_Drug_Targets_2024__E 3810,0.7194202898550724,1.6736253382616948,0.2986531338896182,28.18%,FGFR2;PDGFRA;PDGFRB;FGFR1;FGFR3;FLT4,DGIdb_Drug_Targets_2024__E 3810
DGIdb_Drug_Targets_2024__ACETAZOLAMIDE,-0.5802898550724638,-1.6557688674477349,0.3843738716668862,42.10%,CA3;CA2;CA1;MMP2;AQP1;CA4,DGIdb_Drug_Targets_2024__ACETAZOLAMIDE
DGIdb_Drug_Targets_2024__FENOFIBRATE,-0.5011600928074246,-1.639374635196995,0.3973594754394162,50.03%,ADIPOQ;APOB;SCARB1;APOE;HLA-A;CD40LG;CFL1;TFPI,DGIdb_Drug_Targets_2024__FENOFIBRATE
DGIdb_Drug_Targets_2024__TALAZOPARIB,0.686838831562065,1.6083240521380016,0.4020270007298825,18.61%,IDH2;ARID1A;PSMD4,DGIdb_Drug_Targets_2024__TALAZOPARIB
DGIdb_Drug_Targets_2024__LENVATINIB,0.6919664889026593,1.6083126424890963,0.397207266165194,10.68%,FGFR2;PDGFRA;PDGFRB;FGFR1,DGIdb_Drug_Targets_2024__LENVATINIB
DGIdb_Drug_Targets_2024__METHYLPHENIDATE,0.5925861151037282,1.5595713653735843,0.4380493720314597,25.46%,CDH23;PURA;ETFDH;ALDH1L1;CORO7,DGIdb_Drug_Targets_2024__METHYLPHENIDATE
DGIdb_Drug_Targets_2024__CURCUMIN,0.5088303982000355,1.55387374414267,0.454926178408935,33.85%,TUBB4B;TUBB4A;PTGS1;TOP1;APP;TUBB;THBD;TUBA4A;CCN2;TUBB1,DGIdb_Drug_Targets_2024__CURCUMIN
DGIdb_Drug_Targets_2024__NINTEDANIB,0.6121796551871501,1.5503255212783715,0.4569210732965272,28.18%,FGFR2;PDGFRA;PDGFRB;FGFR1;FGFR3;FLT4,DGIdb_Drug_Targets_2024__NINTEDANIB
DGIdb_Drug_Targets_2024__SUNITINIB,0.4987694558713425,1.5298450744689656,0.4967218589404654,33.74%,FGFR2;CA9;PDGFC;PDGFRA;POR;PDGFRB;FGFR1;VEGFC;PTPN12;FLT4;PDGFD;PDGFA,DGIdb_Drug_Targets_2024__SUNITINIB
DGIdb_Drug_Targets_2024__ANG1005,0.6431884057971015,1.5274918676384766,0.4983289823399608,35.79%,TUBB4B;TUBB4A;TUBB;TUBA4A;TUBB1;LRP1,DGIdb_Drug_Targets_2024__ANG1005
DGIdb_Drug_Targets_2024__PONATINIB,0.5667781147244824,1.523459586154062,0.5095869260308834,10.68%,FGFR2;PDGFRA;SRC;PDGFRB;FGFR1,DGIdb_Drug_Targets_2024__PONATINIB
DGIdb_Drug_Targets_2024__QUIZARTINIB,0.6861557398459521,1.5205133589842008,0.506157041064809,9.81%,IDH2;PDGFRA;PDGFRB,DGIdb_Drug_Targets_2024__QUIZARTINIB
DGIdb_Drug_Targets_2024__REGORAFENIB,0.5773951588745819,1.5093941436714848,0.5241519171039999,33.13%,FGFR2;PDGFRA;PDGFRB;FGFR1;FGFR3;FLT4;DDR2,DGIdb_Drug_Targets_2024__REGORAFENIB
DGIdb_Drug_Targets_2024__SORAFENIB,0.4692414947673073,1.506020485766855,0.5306571251790503,21.61%,IDH2;PDGFRA;MAPK14;LYN;ARID1A;PDGFRB;SLK;FGFR1;NTRK2;PTPN6;FGFR3,DGIdb_Drug_Targets_2024__SORAFENIB
DGIdb_Drug_Targets_2024__MIDOSTAURIN,0.5737860479064578,1.4970472935433372,0.5489727935633343,21.61%,IDH2;PDGFRA;PDGFRB;FGFR1;PRKCB;FGFR3,DGIdb_Drug_Targets_2024__MIDOSTAURIN
DGIdb_Drug_Targets_2024__PREDNISOLONE,0.5331915266541,1.493915341385587,0.5583610239460114,16.06%,CD34;RAC2;TG;RPS19,DGIdb_Drug_Targets_2024__PREDNISOLONE
DGIdb_Drug_Targets_2024__DIGITOXIN,0.6399842437061066,1.4893446549247118,0.5448133401438691,25.17%,ATP1A1;ATP1B3;STAT3;TOP2B,DGIdb_Drug_Targets_2024__DIGITOXIN
DGIdb_Drug_Targets_2024__DOLASTATIN 10,0.6624166908142566,1.4850703503648794,0.5351567638719894,33.85%,TUBB4B;TUBB4A;TUBB;TUBA4A;TUBB1,DGIdb_Drug_Targets_2024__DOLASTATIN 10
DGIdb_Drug_Targets_2024__ABT 751,0.6624166908142566,1.4850703503648794,0.5351567638719894,33.85%,TUBB4B;TUBB4A;TUBB;TUBA4A;TUBB1,DGIdb_Drug_Targets_2024__ABT 751
DGIdb_Drug_Targets_2024__EPOTHILONE D,0.6624166908142566,1.4850703503648794,0.5351567638719894,33.85%,TUBB4B;TUBB4A;TUBB;TUBA4A;TUBB1,DGIdb_Drug_Targets_2024__EPOTHILONE D
DGIdb_Drug_Targets_2024__PF 06263507,0.6624166908142566,1.4850703503648794,0.5351567638719894,33.85%,TUBB4B;TUBB4A;TUBB;TUBA4A;TUBB1,DGIdb_Drug_Targets_2024__PF 06263507
DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE,0.6624166908142566,1.4850703503648794,0.5351567638719894,33.85%,TUBB4B;TUBB4A;TUBB;TUBA4A;TUBB1,DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE
DGIdb_Drug_Targets_2024__AGS 16C3F,0.6624166908142566,1.4850703503648794,0.5351567638719894,33.85%,TUBB4B;TUBB4A;TUBB;TUBA4A;TUBB1,DGIdb_Drug_Targets_2024__AGS 16C3F
DGIdb_Drug_Targets_2024__IXABEPILONE,0.6624166908142566,1.4850703503648794,0.5351567638719894,33.85%,TUBB4B;TUBB4A;TUBB;TUBA4A;TUBB1,DGIdb_Drug_Targets_2024__IXABEPILONE
