term,ES,NES,fdr,Gene %,Genes,description
DGIdb_Drug_Targets_2024__CARFILZOMIB,0.6467318666356591,2.43260704027831,0.0,21.74%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;PSMB8;PSMC4;PSMA7;PSMB9;PSMB10;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD5;PSMD6;PSMD14;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSME2;PSMA3;PSMD4;PSMD12,DGIdb_Drug_Targets_2024__CARFILZOMIB
DGIdb_Drug_Targets_2024__BORTEZOMIB,0.5730353991716132,2.2325960297575724,0.0005005321676915,21.74%,PSMB1;PSMA6;PSMB3;PSMB4;PSMB5;HSPA4;PSMB8;PSMC4;PSMA7;PSMB9;PSMB10;PSMB7;PSMD2;PSMC2;PSMD11;PSMC5;PSMD13;PSMC6;PSMC3;PSMC1;PSMD1;PSMA4;PSMD5;PSMD6;PSMD14;FGFR3;PSMD7;PSMA5;PSMA1;PSMB2;PSMA2;PSME2;PSMA3;PSMD4;PSMD12,DGIdb_Drug_Targets_2024__BORTEZOMIB
DGIdb_Drug_Targets_2024__UCN 01,0.7634397783600505,1.8272545502374955,0.1525908065505377,18.03%,PRKCB;PRKCQ;PRKCD;PRKCA;DIABLO,DGIdb_Drug_Targets_2024__UCN 01
DGIdb_Drug_Targets_2024__PEMBROLIZUMAB,-0.4748743718592965,-1.7810239176620524,1.0,52.64%,EGFR;MET;PTEN;B2M;PDCD1LG2;KIT;KRAS;IDH1;JAK1;JAK2,DGIdb_Drug_Targets_2024__PEMBROLIZUMAB
DGIdb_Drug_Targets_2024__OSI 027,-0.6694045174537988,-1.7438387996954914,0.6097349204221922,33.16%,PTEN;RPTOR;MLST8;RICTOR;MTOR,DGIdb_Drug_Targets_2024__OSI 027
DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:52,-0.675108373260324,-1.7311144783406534,0.5230473282841985,32.59%,A1BG;A2M;ABCB7;ALDH1A1;ABCD1,DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:52
DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:56,-0.675108373260324,-1.7311144783406534,0.5230473282841985,32.59%,A1BG;A2M;ABCB7;ALDH1A1;ABCD1,DGIdb_Drug_Targets_2024__IUPHAR.LIGAND:56
DGIdb_Drug_Targets_2024__MIDOSTAURIN,0.5333677806235763,1.699523956880389,0.2457490862348993,25.16%,PRKCB;PRKCQ;PRKCD;FGFR1;PDGFRA;PDGFRB;FGFR3;PRKCA;NPM1;IDH2;JAK3,DGIdb_Drug_Targets_2024__MIDOSTAURIN
DGIdb_Drug_Targets_2024__HYDROCHLOROTHIAZIDE,0.5656540937201195,1.6826507274732605,0.265889436226079,17.78%,USP5;NUCB2;PDE3A;CSK;PRKCA;PTGS1;LRRC15,DGIdb_Drug_Targets_2024__HYDROCHLOROTHIAZIDE
DGIdb_Drug_Targets_2024__ABT 751,0.6667427527961653,1.6672459282676997,0.2745747572019456,33.43%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__ABT 751
DGIdb_Drug_Targets_2024__ENFORTUMAB VEDOTIN,0.6667427527961653,1.6672459282676997,0.2745747572019456,33.43%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__ENFORTUMAB VEDOTIN
DGIdb_Drug_Targets_2024__AGS 16C3F,0.6667427527961653,1.6672459282676997,0.2745747572019456,33.43%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__AGS 16C3F
DGIdb_Drug_Targets_2024__PF 06263507,0.6667427527961653,1.6672459282676997,0.2745747572019456,33.43%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__PF 06263507
DGIdb_Drug_Targets_2024__DOLASTATIN 10,0.6667427527961653,1.6672459282676997,0.2745747572019456,33.43%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__DOLASTATIN 10
DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE,0.6667427527961653,1.6672459282676997,0.2745747572019456,33.43%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__TRASTUZUMAB EMTANSINE
DGIdb_Drug_Targets_2024__EPOTHILONE D,0.6667427527961653,1.6672459282676997,0.2745747572019456,33.43%,TUBB4A;TUBB6;TUBB;TUBA1C;TUBA4A;TUBB1;TUBB4B,DGIdb_Drug_Targets_2024__EPOTHILONE D
