term,ES,NES,fdr,Gene %,Genes,description
GO:0032375,-0.8408313601683768,-2.5667006328892765,0.0090848949470578,16.10%,SHH;ADIPOQ;APOC1;APOA2;APOC3;APOE;APOC2,GO_Biological_Process_2025__Negative Regulation of Cholesterol Transport (GO:0032375)
GO:0043691,-0.5546738666177885,-2.2265034603446168,0.0874421138654317,26.34%,APOA4;APOA1;LCAT;APOA2;APOC3;APOE;APOM;APOC2;CES1;LIPC;CETP;CLU,GO_Biological_Process_2025__Reverse Cholesterol Transport (GO:0043691)
GO:0033081,-0.7743886405469367,-2.0356339128699448,0.2528629093597767,22.69%,SHH;VNN1;IHH;SOD1;CLPTM1,GO_Biological_Process_2025__Regulation of T Cell Differentiation in Thymus (GO:0033081)
GO:0006936,0.6284103307309488,2.0250456332263687,0.2933981863029657,23.06%,ROCK2;TMOD3;ASPH;EMD;ROCK1;UTRN;SLMAP;TPM1;TPM4;MYH7;MYLK;SMTN;SNTB1;TPM3,GO_Biological_Process_2025__Muscle Contraction (GO:0006936)
GO:0035329,0.8975570215544325,2.0236146083771405,0.1516218815122709,4.28%,STK24;STK4;FAT4;DCHS1,GO_Biological_Process_2025__Hippo Signaling (GO:0035329)
GO:0001732,0.688151739304166,2.0176278421472404,0.1119113887352475,21.95%,EIF3J;EIF3D;EIF3F;EIF5;EIF3I;EIF3K;EIF3G;EIF3E;EIF3H;EIF3M,GO_Biological_Process_2025__Formation of Cytoplasmic Translation Initiation Complex (GO:0001732)
GO:0030239,0.6836273239621684,2.003395824616149,0.0832935790645332,14.08%,TMOD3;MYL9;FLII;BMP10;PDGFRA;TPM1;PDGFRB;ACTN2,GO_Biological_Process_2025__Myofibril Assembly (GO:0030239)
GO:1902991,0.7034074292600012,1.995653448555435,0.0764673125375738,9.43%,SORL1;ROCK2;FLOT2;LYN;ROCK1;APP,GO_Biological_Process_2025__Regulation of Amyloid Precursor Protein Catabolic Process (GO:1902991)
GO:0042274,-0.327706802022409,-1.989856713970875,0.2073627271665953,41.81%,RPS9;RPS16;RPS25;RPS7;RPS13;RPS27;RPS28;RPS17;RPS4X;NOP56;RIOK3;RPS8;RPS14;RPS6;RPS15A;NPM1;WDR43;RPS23;RPS5;RPS19;NOP58;RPS24;RPSA,GO_Biological_Process_2025__Ribosomal Small Subunit Biogenesis (GO:0042274)
GO:0051127,0.7874479286817515,1.9829120375351108,0.0784833115805632,8.51%,CYFIP1;NCKAP1;WASF2;BRK1;WASF1,GO_Biological_Process_2025__Positive Regulation of Actin Nucleation (GO:0051127)
GO:1903530,0.6402554565906818,1.97765386277725,0.0740879648298596,18.01%,RAB33B;SEPTIN5;NSF;RAB37;VAMP8;RAB21;STX4;STXBP5;RALA;VAMP3,GO_Biological_Process_2025__Regulation of Secretion by Cell (GO:1903530)
GO:0048705,0.7242033207028372,1.9562179512548776,0.0920014446982827,14.18%,FGFR2;RAB33B;LRP5;LAMA5;PDGFRA;FGFR3;FGFR1,GO_Biological_Process_2025__Skeletal System Morphogenesis (GO:0048705)
GO:0000338,0.7294559990371523,1.946087195598992,0.0957974615009348,19.75%,COPS4;COPS5;COPS6;COPS7A;COPS7B;GPS1;TOR1A;COPS3,GO_Biological_Process_2025__Protein Deneddylation (GO:0000338)
GO:0070646,0.5574209139193106,1.9242879569030424,0.1185944468735294,26.52%,COPS4;COPS5;USP15;COPS6;USP47;COPS7A;PSMD14;COPS2;USP5;COPS7B;GPS1;UCHL3;HINT1;TOR1A;COPS3;BRCC3;USP9X;USP4;OTUB1,GO_Biological_Process_2025__Protein Modification by Small Protein Removal (GO:0070646)
