term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0030195,0.007832877,20.40248,228.6206,CPB2;APOH;F12;PLG;KLKB1,Negative Regulation of Blood Coagulation (GO:0030195)
GO:0051917,0.05096086,32.52217,268.1091,F12;PLG;KLKB1,Regulation of Fibrinolysis (GO:0051917)
GO:0045765,0.05096086,5.909056,46.80728,CEACAM1;LRG1;APOH;TIE1;SPINK5;CHI3L1;KLKB1,Regulation of Angiogenesis (GO:0045765)
GO:0030853,0.05096086,150.1818,1132.528,CEACAM1;C1QC,Negative Regulation of Granulocyte Differentiation (GO:0030853)
GO:0150146,0.05096086,150.1818,1132.528,C1QB;C1QC,Cell Junction Disassembly (GO:0150146)
GO:0005976,0.05096086,150.1818,1132.528,EXT1;EXT2,Polysaccharide Metabolic Process (GO:0005976)
GO:0010954,0.06061813,20.68339,148.3662,CLEC3B;F12;KLKB1,Positive Regulation of Protein Processing (GO:0010954)
GO:0030194,0.06061813,18.9569,131.9361,F12;APOH;PLG,Positive Regulation of Blood Coagulation (GO:0030194)
GO:0015014,0.06061813,75.07955,514.7967,EXT1;EXT2,"Heparan Sulfate Proteoglycan Biosynthetic Process, Chain Elongation (GO:0015014)"
GO:0000271,0.06061813,75.07955,514.7967,EXT1;EXT2,Polysaccharide Biosynthetic Process (GO:0000271)
GO:0002455,0.08345603,50.04545,318.0207,C1QB;C1QC,Humoral Immune Response Mediated by Circulating Immunoglobulin (GO:0002455)
GO:0015671,0.08345603,50.04545,318.0207,HBG1;MB,Oxygen Transport (GO:0015671)
GO:0006508,0.09306823,3.695265,22.03703,CELA2A;CPB2;CFH;F12;PLG;PEPD;KLKB1;TRHDE,Proteolysis (GO:0006508)
GO:0098883,0.09306823,37.52841,223.5921,C1QB;C1QC,Synapse Pruning (GO:0098883)
GO:0030852,0.09306823,37.52841,223.5921,CEACAM1;C1QC,Regulation of Granulocyte Differentiation (GO:0030852)
GO:1901072,0.09306823,37.52841,223.5921,CHI3L1;CTBS,Glucosamine-Containing Compound Catabolic Process (GO:1901072)
GO:0015669,0.1087654,30.01818,169.0093,HBG1;MB,Gas Transport (GO:0015669)
GO:0010756,0.1087654,30.01818,169.0093,CLEC3B;F12,Positive Regulation of Plasminogen Activation (GO:0010756)
GO:0003073,0.1087654,30.01818,169.0093,PRCP;KLKB1,Regulation of Systemic Arterial Blood Pressure (GO:0003073)
GO:0001936,0.1241535,6.493815,34.8022,LRG1;APOH;TIE1;ANG,Regulation of Endothelial Cell Proliferation (GO:0001936)
GO:0007413,0.1241535,25.01136,133.8434,CNTN4;MEGF8,Axonal Fasciculation (GO:0007413)
GO:0002673,0.1241535,25.01136,133.8434,F12;KLKB1,Regulation of Acute Inflammatory Response (GO:0002673)
GO:0010594,0.1263382,6.357558,33.62771,CEACAM1;APOH;PRCP;RNASE1,Regulation of Endothelial Cell Migration (GO:0010594)
GO:0015012,0.1392478,21.43506,109.506,EXT1;EXT2,Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012)
GO:0016051,0.1392478,21.43506,109.506,EXT1;EXT2,Carbohydrate Biosynthetic Process (GO:0016051)
GO:0051180,0.1659094,18.75284,91.78249,AFM;GC,Vitamin Transport (GO:0051180)
GO:0042551,0.1935712,16.66667,78.37302,C1QA;B4GALT5,Neuron Maturation (GO:0042551)
GO:0050830,0.1967247,7.562069,35.16251,PGLYRP2;ANG;RNASE1,Defense Response to Gram-positive Bacterium (GO:0050830)
GO:0006024,0.2036421,14.99773,67.92137,EXT1;EXT2,Glycosaminoglycan Biosynthetic Process (GO:0006024)
GO:0050820,0.2036421,14.99773,67.92137,F12;APOH,Positive Regulation of Coagulation (GO:0050820)
GO:0002762,0.2036421,13.63223,59.57875,CEACAM1;C1QC,Negative Regulation of Myeloid Leukocyte Differentiation (GO:0002762)
GO:0010755,0.2036421,13.63223,59.57875,CLEC3B;F12,Regulation of Plasminogen Activation (GO:0010755)
GO:0050808,0.2036421,4.756541,20.69183,C1QB;C1QA;CNTN4;C1QC,Synapse Organization (GO:0050808)
GO:0006704,0.2036421,inf,inf,SERPINA6,Glucocorticoid Biosynthetic Process (GO:0006704)
GO:0060402,0.2036421,inf,inf,CACNA2D1,Calcium Ion Transport Into Cytosol (GO:0060402)
GO:0060836,0.2036421,inf,inf,TIE1,Lymphatic Endothelial Cell Differentiation (GO:0060836)
GO:0071907,0.2036421,inf,inf,MEGF8,Determination of Digestive Tract Left/Right Asymmetry (GO:0071907)
GO:0035050,0.2036421,inf,inf,MEGF8,Embryonic Heart Tube Development (GO:0035050)
