term,fdr,Odds Ratio,Combined Score,Genes,description
Regulation of Complement Cascade,4.361745e-12,14.40079,461.0158,C1QB;C1QA;CPB2;IGHV3-53;CFH;IGHV3-11;CFI;IGHV1-69;C8B;CFP;C2;IGHG4;C6;C7;CFHR2;IGLV2-23;CFB;IGKV2-30;C1QC,Regulation of Complement Cascade
Complement Cascade,1.292375e-11,12.84898,388.4744,C1QB;C1QA;CPB2;IGHV3-53;CFH;IGHV3-11;CFI;IGHV1-69;C8B;CFP;C2;IGHG4;C6;C7;CFHR2;IGLV2-23;CFB;IGKV2-30;C1QC,Complement Cascade
Innate Immune System,2.655105e-10,4.443667,119.1162,C1QB;C1QA;ORM1;CPB2;CFH;CRISP3;CFI;HP;HBB;PRCP;IGHV1-69;A1BG;C8B;CFP;LILRA3;C2;CST3;IGHG4;FCGR3B;C6;C7;AGA;B2M;SIGLEC14;IGHV3-53;AHSG;IGHV3-11;FUCA2;GGH;PPBP;OSCAR;BST1;CEACAM1;VNN1;LRG1;CFHR2;CD209;IGLV2-23;IGHE;CHI3L1;CFB;IGKV2-30;C1QC,Innate Immune System
Immune System,4.313901e-08,3.392274,72.68834,ORM1;CRISP3;HP;HBB;C8B;PVR;IGHG4;CA1;FCGR3B;MRC1;TIMP1;B2M;AHSG;IL1R2;OSCAR;CEACAM1;IGHD;IGHE;CHI3L1;CFB;IGKV2-30;C1QB;C1QA;CPB2;CFH;CFI;PRCP;IGHV1-69;A1BG;CFP;LILRA3;C2;CST3;C6;C7;INPP5D;AGA;SIGLEC14;IGHV3-53;IGHV3-11;FUCA2;GGH;PPBP;BST1;VNN1;LRG1;CFHR2;CD209;IGLV2-23;HNRNPA2B1;C1QC,Immune System
Initial Triggering of Complement,1.384535e-06,10.23539,181.5326,C1QB;IGHG4;C1QA;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;CFP;CFB;IGKV2-30;C2;C1QC,Initial Triggering of Complement
Hemostasis,2.457461e-06,3.997178,67.87085,ITIH4;ORM1;SERPINC1;HBB;PLG;PRCP;IGHV1-69;HBD;A1BG;CLEC3B;APOH;INPP5D;TIMP1;A2M;IGHV3-53;HBG2;AHSG;F12;IGHV3-11;RARRES2;F11;PPBP;MERTK;CEACAM1;IGLV2-23;KLKB1;IGKV2-30,Hemostasis
Post-translational Modification Synthesis of GPI-anchored Proteins,8.874604e-06,16.56131,257.3873,BST1;FCGR3B;VNN1;NEGR1;CNTN3;CNTN4;RECK;ART3,Post-translational Modification Synthesis of GPI-anchored Proteins
Neutrophil Degranulation,1.898153e-05,3.91535,57.35077,ORM1;SIGLEC14;AHSG;CRISP3;FUCA2;HP;HBB;GGH;PRCP;PPBP;A1BG;CFP;LILRA3;OSCAR;CST3;BST1;CEACAM1;FCGR3B;VNN1;LRG1;CHI3L1;AGA;B2M,Neutrophil Degranulation
Intrinsic Pathway of Fibrin Clot Formation,9.337168e-05,20.13606,260.4956,SERPINC1;F12;F11;PRCP;A2M;KLKB1,Intrinsic Pathway of Fibrin Clot Formation
Classical Antibody-Mediated Complement Activation,9.389657e-05,9.033251,115.8587,C1QB;IGHG4;C1QA;IGHV3-53;IGHV3-11;IGLV2-23;IGHV1-69;IGKV2-30;C1QC,Classical Antibody-Mediated Complement Activation
