term,fdr,Odds Ratio,Combined Score,Genes,description
CARFILZOMIB,4.351349e-14,23.14204,851.875,PSMD10;PSMD12;PSMD11;PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMD5;PSMB3;PSMD2;PSMB1;PSMD1;PSMF1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSMC1;PSMC2;PSME1;PSME2,CARFILZOMIB
BORTEZOMIB,1.476806e-10,7.125572,199.4293,PSMD10;PSMD12;PSMD11;PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMD5;PSMB3;PSMD2;PSMB1;PSMD1;CAPN1;PSMF1;PRSS2;CTSB;HSPA4;F2;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSMC1;PSMC2;PSME1;PSME2;FGFR3,BORTEZOMIB
MARIMASTAT,0.03078411,inf,inf,ADAM17;MMP7;MMP1;MMP2;MMP3;ADAM10;MMP9,MARIMASTAT
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,0.06162708,5.6184,41.2023,COL1A1;COL18A1;COL15A1;COL3A1;COL5A1;COL6A2;COL5A3;COL11A2;COL5A2;COL6A1;COL6A3;COL6A6,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM
PALIFERMIN,0.06162708,inf,inf,NRP1;FGFR4;HSPG2;FGFR3;FGFR2;FGFR1,PALIFERMIN
MASITINIB,0.1141933,7.015477,44.77469,PDGFRB;LYN;PDGFRA;CSF1R;SRC;KIT;FGFR3;FGFR2;PTK2,MASITINIB
SUNITINIB,0.1141933,3.642087,22.49554,PDGFRB;CSF1R;PDGFRA;FLT4;PDGFA;VEGFC;PTPN12;PTPRB;POR;PDGFD;PDGFC;KIT;FGFR2;FGFR1,SUNITINIB
EPTIFIBATIDE,0.1141933,inf,inf,FGB;FGA;ITGB3;ITGA2B;FGG,EPTIFIBATIDE
PI 88,0.1141933,inf,inf,FLT4;HPSE;TFPI;FGFR2;FGFR1,PI 88
HEPARIN,0.1188316,4.011429,23.55699,SRGN;LIPC;F10;VWF;CCL21;HSPA4;SDC1;HPSE;TFPI;F2;SERPINA5;TGM2,HEPARIN
XL999,0.1209041,14.01595,78.11408,PDGFRB;AXL;SRC;FLT4;KIT;FGFR2,XL999
E 3810,0.1209041,14.01595,78.11408,PDGFRB;PDGFRA;FLT4;FGFR3;FGFR2;FGFR1,E 3810
SULFASALAZINE,0.1209041,14.01595,78.11408,G6PD;NT5E;HLA-B;PTGS1;ACAT1;TYMP,SULFASALAZINE
NINTEDANIB,0.1209041,6.232868,33.97067,PDGFRB;PDGFRA;FLT4;KIT;FGFR4;FGFR3;FGFR2;FGFR1,NINTEDANIB
PIOGLITAZONE,0.1209041,8.178304,44.56941,G6PD;TGFB1;HSPA4;SLC2A1;LPL;GHRL;THBS1,PIOGLITAZONE
