term,fdr,Odds Ratio,Combined Score,Genes,description
IUPHAR.LIGAND:14,0.0766034,inf,inf,A1BG;A2M,IUPHAR.LIGAND:14
IUPHAR.LIGAND:707,0.1718709,8.228319,49.67994,C7;C8B;C2;C1QC,IUPHAR.LIGAND:707
OSIMERTINIB,0.2532652,21.37255,104.5563,MET;EGFR,OSIMERTINIB
NEVIRAPINE,0.2532652,21.37255,104.5563,ADIPOQ;APOB,NEVIRAPINE
HEPARIN,0.2532652,8.052632,37.96147,FCGR3B;SERPINC1;APOB,HEPARIN
IUPHAR.LIGAND:52,0.2532652,14.24401,61.22599,A1BG;A2M,IUPHAR.LIGAND:52
PANITUMUMAB,0.2532652,14.24401,61.22599,MET;EGFR,PANITUMUMAB
MK 2461,0.2532652,12.20728,49.58879,MERTK;MET,MK 2461
IUPHAR.LIGAND:56,0.2532652,12.20728,49.58879,A1BG;A2M,IUPHAR.LIGAND:56
TRIAMCINOLONE,0.2532652,10.67974,41.16221,BCHE;SERPINA6,TRIAMCINOLONE
CHOLECALCIFEROL,0.2532652,inf,inf,FCGR3B,CHOLECALCIFEROL
ISRADIPINE,0.2532652,inf,inf,CACNA2D1,ISRADIPINE
ZONISAMIDE,0.2532652,inf,inf,CA1,ZONISAMIDE
FENOFIBRATE,0.2532652,9.491649,34.82184,ADIPOQ;APOB,FENOFIBRATE
INDOMETHACIN,0.2532652,8.541176,29.90651,FCGR3B;ACE,INDOMETHACIN
PRAVASTATIN,0.2532652,7.763518,26.00357,ACE;APOB,PRAVASTATIN
DEXAMETHASONE,0.2532652,4.433984,14.62814,FABP1;PZP;APOB,DEXAMETHASONE
TRASTUZUMAB,0.2532652,7.115468,22.84306,MET;EGFR,TRASTUZUMAB
LAPATINIB,0.2532652,7.115468,22.84306,MET;EGFR,LAPATINIB
PREGABALIN,0.2532652,42.48701,131.0601,CACNA2D1,PREGABALIN
IUPHAR.LIGAND:50,0.2532652,42.48701,131.0601,A1BG,IUPHAR.LIGAND:50
PERTUZUMAB,0.2532652,42.48701,131.0601,EGFR,PERTUZUMAB
OXYMETHOLONE,0.2532652,42.48701,131.0601,PLG,OXYMETHOLONE
PEMBROLIZUMAB,0.2532652,6.567119,20.24144,MET;EGFR,PEMBROLIZUMAB
PREDNISOLONE,0.2532652,6.567119,20.24144,FCGR3B;PLG,PREDNISOLONE
CRIZOTINIB,0.2532652,6.097106,18.06988,MET;EGFR,CRIZOTINIB
ATORVASTATIN,0.2532652,5.333333,14.66983,ACE;APOB,ATORVASTATIN
SAFINAMIDE,0.2532652,21.24026,57.15247,CACNA2D1,SAFINAMIDE
CHLOROTHIAZIDE,0.2532652,21.24026,57.15247,CA1,CHLOROTHIAZIDE
IUPHAR.LIGAND:2644,0.2532652,21.24026,57.15247,BCHE,IUPHAR.LIGAND:2644
METHIMAZOLE,0.2532652,21.24026,57.15247,FCGR3B,METHIMAZOLE
UROKINASE,0.2532652,21.24026,57.15247,PLG,UROKINASE
BMS 690514,0.2532652,21.24026,57.15247,EGFR,BMS 690514
CANERTINIB,0.2532652,21.24026,57.15247,EGFR,CANERTINIB
IUPHAR.LIGAND:91,0.2532652,21.24026,57.15247,A1BG,IUPHAR.LIGAND:91
TRICHLORMETHIAZIDE,0.2532652,21.24026,57.15247,CA1,TRICHLORMETHIAZIDE
LIDOCAINE,0.2532652,21.24026,57.15247,EGFR,LIDOCAINE
BRIGATINIB,0.2532652,21.24026,57.15247,EGFR,BRIGATINIB
CETUXIMAB,0.2532652,5.018839,13.32126,MET;EGFR,CETUXIMAB
CAPECITABINE,0.2532652,5.018839,13.32126,SIRPA;MAN1A1,CAPECITABINE
FELODIPINE,0.2627479,14.15801,34.18527,CACNA2D1,FELODIPINE
SPIRONOLACTONE,0.2627479,14.15801,34.18527,ADIPOQ,SPIRONOLACTONE
FUROSEMIDE,0.2627479,14.15801,34.18527,ACE,FUROSEMIDE
MGCD265,0.2627479,14.15801,34.18527,MET,MGCD265
ZIPRASIDONE,0.2627479,14.15801,34.18527,CNTN4,ZIPRASIDONE
XL647,0.2627479,14.15801,34.18527,EGFR,XL647
DULOXETINE,0.2627479,14.15801,34.18527,FCN2,DULOXETINE
CLOFIBRATE,0.2627479,14.15801,34.18527,FABP1,CLOFIBRATE
ALTIRATINIB,0.2627479,14.15801,34.18527,MET,ALTIRATINIB
LUSUTROMBOPAG,0.2949425,10.61688,23.38729,SERPINC1,LUSUTROMBOPAG
DANAZOL,0.2949425,10.61688,23.38729,PLG,DANAZOL
AMUVATINIB,0.2949425,10.61688,23.38729,MET,AMUVATINIB
BUMETANIDE,0.2949425,10.61688,23.38729,ACE,BUMETANIDE
CURCUMIN,0.2949425,3.408627,6.998335,CA1;EGFR,CURCUMIN
IPILIMUMAB,0.2949425,8.492208,17.25536,EGFR,IPILIMUMAB
NALTREXONE,0.2949425,8.492208,17.25536,DBH,NALTREXONE
GABAPENTIN,0.2949425,8.492208,17.25536,CACNA2D1,GABAPENTIN
IBRUTINIB,0.2949425,8.492208,17.25536,EGFR,IBRUTINIB
CRENOLANIB,0.2949425,8.492208,17.25536,MET,CRENOLANIB
SULTHIAME,0.2949425,8.492208,17.25536,CA1,SULTHIAME
ETHOXZOLAMIDE,0.2949425,8.492208,17.25536,CA1,ETHOXZOLAMIDE
FLUTICASONE PROPIONATE,0.2949425,8.492208,17.25536,CD163,FLUTICASONE PROPIONATE
AFATINIB,0.2949425,8.492208,17.25536,EGFR,AFATINIB
TRIFLUOPERAZINE,0.2949425,8.492208,17.25536,APOB,TRIFLUOPERAZINE
ERLOTINIB,0.298274,3.155168,6.110779,MET;EGFR,ERLOTINIB
NERATINIB,0.298274,7.075758,13.36679,EGFR,NERATINIB
FORETINIB,0.298274,7.075758,13.36679,MET,FORETINIB
VASOPRESSIN,0.298274,7.075758,13.36679,ACE,VASOPRESSIN
BUPROPION,0.298274,7.075758,13.36679,ACE,BUPROPION
ACETAZOLAMIDE,0.298274,7.075758,13.36679,CA1,ACETAZOLAMIDE
