term,fdr,Odds Ratio,Combined Score,Genes,description
Post-translational Modification Synthesis of GPI-anchored Proteins,0.8331711,5.349876,29.53411,FCGR3B;VNN2;MELTF;PIGG;PIGH,Post-translational Modification Synthesis of GPI-anchored Proteins
Alpha-oxidation of Phytanate,0.8331711,32.81313,173.1115,HACL1;SLC27A2,Alpha-oxidation of Phytanate
Synthesis of Glycosylphosphatidylinositol (GPI),0.8331711,32.81313,173.1115,PIGG;PIGH,Synthesis of Glycosylphosphatidylinositol (GPI)
Butyrophilin (BTN) Family Interactions,0.8331711,16.40152,72.1495,CD209;BTN3A3,Butyrophilin (BTN) Family Interactions
DDX58 IFIH1-mediated Induction of Interferon-Alpha Beta,0.8331711,3.942002,17.26991,SIKE1;IRF3;SAA1;S100A12;PIN1,DDX58 IFIH1-mediated Induction of Interferon-Alpha Beta
TRAF3-dependent IRF Activation Pathway,0.8331711,13.11919,53.55507,SIKE1;IRF3,TRAF3-dependent IRF Activation Pathway
E3 Ubiquitin Ligases Ubiquitinate Target Proteins,0.8331711,6.170368,24.84,PRKDC;PEX5;BCL10,E3 Ubiquitin Ligases Ubiquitinate Target Proteins
IRF3-mediated Induction of Type I IFN,0.8331711,10.93098,41.69264,IRF3;PRKDC,IRF3-mediated Induction of Type I IFN
"Regulation of Glycolysis by Fructose 2,6-Bisphosphate Metabolism",0.8331711,9.367965,33.56047,PFKFB2;PPP2CA,"Regulation of Glycolysis by Fructose 2,6-Bisphosphate Metabolism"
mRNA Editing C to U Conversion,0.8331711,inf,inf,APOBEC3C,mRNA Editing C to U Conversion
Formation of the Editosome,0.8331711,inf,inf,APOBEC3C,Formation of the Editosome
STING Mediated Induction of Host Immune Responses,0.8331711,8.195707,27.69241,IRF3;PRKDC,STING Mediated Induction of Host Immune Responses
TRAF6 Mediated IRF7 Activation,0.8331711,8.195707,27.69241,SIKE1;IRF3,TRAF6 Mediated IRF7 Activation
Metabolism of RNA,0.8331711,1.657269,5.442021,APOBEC3C;FUS;CSTF2;THUMPD1;PRPF19;RPL6;ADAT3;MRM3;PPP2CA;CTU2;PAN3;NUP62;GEMIN4;DHX38;PPIE;IGF2BP3;RPL17;EXOSC2,Metabolism of RNA
Toll Like Receptor 3 (TLR3) Cascade,0.8331711,2.798783,8.90203,PPP2CA;IRF3;SAA1;S100A12;BIRC2,Toll Like Receptor 3 (TLR3) Cascade
tRNA Modification in the Nucleus and Cytosol,0.8331711,6.554545,19.89225,CTU2;ADAT3,tRNA Modification in the Nucleus and Cytosol
Advanced Glycosylation Endproduct Receptor Signaling,0.8331711,6.554545,19.89225,SAA1;S100A12,Advanced Glycosylation Endproduct Receptor Signaling
MyD88-independent TLR4 Cascade,0.8331711,2.662117,8.025858,PPP2CA;IRF3;SAA1;S100A12;BIRC2,MyD88-independent TLR4 Cascade
TRIF (TICAM1)-mediated TLR4 Signaling,0.8331711,2.662117,8.025858,PPP2CA;IRF3;SAA1;S100A12;BIRC2,TRIF (TICAM1)-mediated TLR4 Signaling
Cytosolic Sensors of Pathogen-Associated DNA,0.8331711,3.791292,11.05051,IRF3;PRKDC;DHX36,Cytosolic Sensors of Pathogen-Associated DNA
SARS-CoV-1 Activates Modulates Innate Immune Responses,0.8331711,3.791292,11.05051,SIKE1;IRF3;NMI,SARS-CoV-1 Activates Modulates Innate Immune Responses
RHO GTPases Activate CIT,0.8331711,5.957759,17.20147,DLG4;MYH14,RHO GTPases Activate CIT
Vitamin B5 (Pantothenate) Metabolism,0.8331711,5.957759,17.20147,SLC5A6;VNN2,Vitamin B5 (Pantothenate) Metabolism
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,0.8331711,32.65327,92.51388,PNKP,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway
mRNA Editing,0.8331711,32.65327,92.51388,APOBEC3C,mRNA Editing
Phase 3 - Rapid Repolarisation,0.8331711,32.65327,92.51388,KCNE3,Phase 3 - Rapid Repolarisation
