term,fdr,Odds Ratio,Combined Score,Genes,description
Metabolism of Folate and Pterines,0.1348899,30.47222,242.8466,ALDH1L1;MTHFS;ALDH1L2,Metabolism of Folate and Pterines
Molybdenum Cofactor Biosynthesis,0.2265026,60.42202,389.0776,MOCS2;MOCS3,Molybdenum Cofactor Biosynthesis
Miscellaneous Transport and Binding Events,0.2265026,15.22222,96.69967,LRRC8C;NIPA1;ADD2,Miscellaneous Transport and Binding Events
AMPK Inhibits chREBP Transcriptional Activation Activity,0.25678,40.27523,239.2102,STK11;ADIPOR1,AMPK Inhibits chREBP Transcriptional Activation Activity
Metabolism of Water-Soluble Vitamins and Cofactors,0.4580818,4.733672,24.31884,ALDH1L1;MOCS2;MOCS3;MTHFS;ALDH1L2,Metabolism of Water-Soluble Vitamins and Cofactors
Metabolism of Vitamins and Cofactors,0.5765828,3.528163,16.24168,ALDH1L1;MOCS2;MOCS3;MTHFS;COQ8A;ALDH1L2,Metabolism of Vitamins and Cofactors
Ethanol Oxidation,0.5765828,15.09174,67.75447,ADH4;ADH1B,Ethanol Oxidation
FOXO-mediated Transcription,0.5765828,7.010684,31.1088,IGFBP1;STK11;TXNIP,FOXO-mediated Transcription
ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress,0.5874642,13.41284,57.6703,IGFBP1;EXOSC8,ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress
Phase I - Functionalization of Compounds,0.5874642,6.282567,26.18287,ADH4;ADH1B;EPHX1,Phase I - Functionalization of Compounds
NR1H2 & NR1H3 Regulate Gene Expression Linked to Triglyceride Lipolysis in Adipose,0.5874642,inf,inf,PLIN1,NR1H2 & NR1H3 Regulate Gene Expression Linked to Triglyceride Lipolysis in Adipose
Interferon Alpha Beta Signaling,0.7296771,5.200794,19.28326,BST2;IFIT1;GBP2,Interferon Alpha Beta Signaling
Gluconeogenesis,0.7296771,9.280169,34.30001,ALDOB;ENO3,Gluconeogenesis
Mitochondrial Translation Initiation,0.7296771,3.751546,13.53837,MRPS15;MRPS30;MTIF3;MRPL13,Mitochondrial Translation Initiation
PERK Regulates Gene Expression,0.7296771,8.61599,30.78708,IGFBP1;EXOSC8,PERK Regulates Gene Expression
HDMs Demethylate Histones,0.7540068,59.88182,204.5136,JMJD6,HDMs Demethylate Histones
Signalling to P38 via RIT and RIN,0.7540068,59.88182,204.5136,BRAF,Signalling to P38 via RIT and RIN
Mitochondrial Translation,0.7644542,3.431354,11.47008,MRPS15;MRPS30;MTIF3;MRPL13,Mitochondrial Translation
Prostanoid Ligand Receptors,0.7644542,29.93636,90.34927,PTGER4,Prostanoid Ligand Receptors
Glycerophospholipid Catabolism,0.7644542,29.93636,90.34927,GDE1,Glycerophospholipid Catabolism
Energy Dependent Regulation of mTOR by LKB1-AMPK,0.7644542,6.025688,17.97091,STK11;MTOR,Energy Dependent Regulation of mTOR by LKB1-AMPK
Regulation of PTEN Gene Transcription,0.7644542,5.47623,15.47384,MTOR;HDAC7,Regulation of PTEN Gene Transcription
Regulation of FOXO Transcriptional Activity by Acetylation,0.7644542,19.95455,54.64678,TXNIP,Regulation of FOXO Transcriptional Activity by Acetylation
FOXO-mediated Transcription of Cell Death Genes,0.7644542,19.95455,54.64678,STK11,FOXO-mediated Transcription of Cell Death Genes
Fructose Catabolism,0.7644542,19.95455,54.64678,ALDOB,Fructose Catabolism
Serine Biosynthesis,0.7644542,19.95455,54.64678,PHGDH,Serine Biosynthesis
RND1 GTPase Cycle,0.7644542,5.018349,13.46619,RRAS2;ARHGAP35,RND1 GTPase Cycle
ARMS-mediated Activation,0.7644542,14.96364,37.7622,BRAF,ARMS-mediated Activation
Eicosanoid Ligand-Binding Receptors,0.7644542,14.96364,37.7622,PTGER4,Eicosanoid Ligand-Binding Receptors
Synthesis of PIPs at the ER Membrane,0.7644542,14.96364,37.7622,PI4K2B,Synthesis of PIPs at the ER Membrane
SARS-CoV-1 Activates Modulates Innate Immune Responses,0.7644542,4.458716,11.11344,BST2;RCAN3,SARS-CoV-1 Activates Modulates Innate Immune Responses
Negative Feedback Regulation of MAPK Pathway,0.7644542,11.96909,28.12058,BRAF,Negative Feedback Regulation of MAPK Pathway
Reversible Hydration of Carbon Dioxide,0.7644542,11.96909,28.12058,CA1,Reversible Hydration of Carbon Dioxide
Fructose Metabolism,0.7644542,11.96909,28.12058,ALDOB,Fructose Metabolism
MTOR Signalling,0.7644542,3.88103,8.816846,STK11;MTOR,MTOR Signalling
Mitochondrial Translation Elongation,0.7644542,2.703566,5.980173,MRPS15;MRPS30;MRPL13,Mitochondrial Translation Elongation
Mitochondrial Translation Termination,0.7644542,2.703566,5.980173,MRPS15;MRPS30;MRPL13,Mitochondrial Translation Termination
Negative Regulation of FLT3,0.7644542,9.972727,21.97408,SH2B3,Negative Regulation of FLT3
RA Biosynthesis Pathway,0.7644542,9.972727,21.97408,ADH4,RA Biosynthesis Pathway
Erythrocytes Take up Oxygen and Release Carbon Dioxide,0.7644542,9.972727,21.97408,CA1,Erythrocytes Take up Oxygen and Release Carbon Dioxide
SHOC2 M1731 Mutant Abolishes MRAS Complex Function,0.7644542,9.972727,21.97408,BRAF,SHOC2 M1731 Mutant Abolishes MRAS Complex Function
Sema4D Mediated Inhibition of Cell Attachment and Migration,0.7644542,9.972727,21.97408,ARHGAP35,Sema4D Mediated Inhibition of Cell Attachment and Migration
Gain-of-function MRAS Complexes Activate RAF Signaling,0.7644542,9.972727,21.97408,BRAF,Gain-of-function MRAS Complexes Activate RAF Signaling
Signaling by MRAS-complex Mutants,0.7644542,9.972727,21.97408,BRAF,Signaling by MRAS-complex Mutants
Role of LAT2 NTAL LAB on Calcium Mobilization,0.7644542,2.663399,5.807038,IGLV3-22;IGHE;IGHV3-9,Role of LAT2 NTAL LAB on Calcium Mobilization
Post-translational Modification Synthesis of GPI-anchored Proteins,0.7644542,3.536967,7.521366,CPM;GPLD1,Post-translational Modification Synthesis of GPI-anchored Proteins
Intra-Golgi Traffic,0.7644542,3.435387,7.150241,VTI1A;RAB33B,Intra-Golgi Traffic
mRNA Decay by 3' to 5' Exoribonuclease,0.7644542,8.546753,17.76014,EXOSC8,mRNA Decay by 3' to 5' Exoribonuclease
Regulation of IFNG Signaling,0.7644542,8.546753,17.76014,PTPN2,Regulation of IFNG Signaling
Frs2-mediated Activation,0.7644542,8.546753,17.76014,BRAF,Frs2-mediated Activation
Heme Biosynthesis,0.7644542,8.546753,17.76014,UROS,Heme Biosynthesis
Ubiquinol Biosynthesis,0.7644542,8.546753,17.76014,COQ8A,Ubiquinol Biosynthesis
RHOD GTPase Cycle,0.7644542,3.248698,6.48255,VRK2;ARHGAP35,RHOD GTPase Cycle
O2 CO2 Exchange in Erythrocytes,0.7644542,7.477273,14.71756,CA1,O2 CO2 Exchange in Erythrocytes
Erythrocytes Take up Carbon Dioxide and Release Oxygen,0.7644542,7.477273,14.71756,CA1,Erythrocytes Take up Carbon Dioxide and Release Oxygen
Interleukin-35 Signalling,0.7644542,7.477273,14.71756,IL27RA,Interleukin-35 Signalling
RHOB GTPase Cycle,0.7644542,3.162723,6.181573,AKAP13;ARHGAP35,RHOB GTPase Cycle
FCERI Mediated MAPK Activation,0.7644542,2.380117,4.635145,IGLV3-22;IGHE;IGHV3-9,FCERI Mediated MAPK Activation
FCERI Mediated Ca+2 Mobilization,0.7644542,2.348846,4.511312,IGLV3-22;IGHE;IGHV3-9,FCERI Mediated Ca+2 Mobilization
Interleukin-12 Family Signaling,0.7644542,3.00367,5.636113,CA1;IL27RA,Interleukin-12 Family Signaling
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP Kinases",0.7644542,6.645455,12.43374,ARHGAP35,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP Kinases"
Prolonged ERK Activation Events,0.7644542,6.645455,12.43374,BRAF,Prolonged ERK Activation Events
Recognition of DNA Damage by PCNA-containing Replication Complex,0.7644542,6.645455,12.43374,CUL4B,Recognition of DNA Damage by PCNA-containing Replication Complex
Dual Incision in GG-NER,0.7644542,6.645455,12.43374,CUL4B,Dual Incision in GG-NER
Retrograde Transport at the Trans-Golgi-Network,0.7644542,2.929962,5.388517,VTI1A;STX10,Retrograde Transport at the Trans-Golgi-Network
