term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0015669,3.988289e-05,135.7645,2298.758,HBG2;CA2;MB;HBB;HBD,Gas Transport (GO:0015669)
GO:0015671,0.0002646784,215.4754,3091.263,HBG2;MB;HBB;HBD,Oxygen Transport (GO:0015671)
GO:0015670,0.0005216509,107.7213,1428.632,HBG2;CA2;HBB;HBD,Carbon Dioxide Transport (GO:0015670)
GO:0019755,0.000899603,71.80328,892.4902,HBG2;CA2;HBB;HBD,One-Carbon Compound Transport (GO:0019755)
GO:0030853,0.001169795,inf,inf,CEACAM1;INPP5D;C1QC,Negative Regulation of Granulocyte Differentiation (GO:0030853)
GO:0042744,0.01548211,21.51803,197.5077,HBG2;PXDN;HBB;HBD,Hydrogen Peroxide Catabolic Process (GO:0042744)
GO:0042743,0.0382049,15.36066,124.7236,HBG2;PXDN;HBB;HBD,Hydrogen Peroxide Metabolic Process (GO:0042743)
GO:0007413,0.0382049,32.03902,255.9195,CNTN4;EPHB2;MEGF8,Axonal Fasciculation (GO:0007413)
GO:0007156,0.06240132,8.189331,59.92966,CEACAM1;CEACAM6;CNTN4;ROBO1;NECTIN1,Homophilic Cell Adhesion via Plasma Membrane Adhesion Molecules (GO:0007156)
GO:0032652,0.06240132,22.87805,165.9395,ORM1;CEACAM1;SIRPA,Regulation of Interleukin-1 Production (GO:0032652)
GO:0019730,0.06240132,7.719008,54.62968,CCL14;RARRES2;ANG;PPBP;B2M,Antimicrobial Humoral Response (GO:0019730)
GO:0030195,0.06240132,10.74262,74.79172,CPB2;APOH;F12;KLKB1,Negative Regulation of Blood Coagulation (GO:0030195)
GO:0150146,0.06240132,106.0,728.0624,C1QB;C1QC,Cell Junction Disassembly (GO:0150146)
GO:0005976,0.06240132,106.0,728.0624,EXT1;EXT2,Polysaccharide Metabolic Process (GO:0005976)
GO:0051838,0.06240132,106.0,728.0624,CFHR2;CFHR1,Cytolysis by Host of Symbiont Cells (GO:0051838)
GO:0007169,0.08404421,3.6137,23.18153,EFNB2;DDR1;COL4A2;RARRES2;PXDN;EPHB2;MERTK;RNASE1;EPHB4,Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)
GO:0032091,0.08404421,8.587541,53.50387,CFHR2;CFHR1;ADIPOQ;B2M,Negative Regulation of Protein Binding (GO:0032091)
GO:0061844,0.08404421,8.587541,53.50387,CCL14;ANG;PPBP;B2M,Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)
