term,fdr,Odds Ratio,Combined Score,Genes,description
Regulation of Complement Cascade,1.534291e-08,10.84389,256.556,C1QB;C1QA;CPB2;IGKV2D-30;CFH;CFI;CFP;C2;IGLV3-16;IGLV3-27;C7;CFHR2;CFHR1;CFB;IGKV2-30;C1QC,Regulation of Complement Cascade
Complement Cascade,3.236129e-08,9.710965,215.7736,C1QB;C1QA;CPB2;IGKV2D-30;CFH;CFI;CFP;C2;IGLV3-16;IGLV3-27;C7;CFHR2;CFHR1;CFB;IGKV2-30;C1QC,Complement Cascade
Innate Immune System,2.531651e-07,3.588049,70.88922,C1QB;SERPINA3;C1QA;ORM1;CPB2;IGKV2D-30;CFH;CRISP3;CFI;HP;HBB;PRCP;A1BG;CFP;LILRA3;C2;CST3;IGLV3-27;C7;SIRPA;LTA4H;AGA;B2M;SIGLEC14;FUCA1;FUCA2;PPBP;OSCAR;CEACAM1;IGLV3-16;LRG1;CFHR2;CEACAM6;CFHR1;IGHE;CHI3L1;CFB;IGKV2-30;C1QC,Innate Immune System
Neutrophil Degranulation,6.662437e-05,3.722283,51.72698,SERPINA3;ORM1;SIGLEC14;FUCA1;CRISP3;FUCA2;HP;HBB;PRCP;PPBP;A1BG;CFP;LILRA3;OSCAR;CST3;CEACAM1;LRG1;CEACAM6;CHI3L1;SIRPA;LTA4H;AGA;B2M,Neutrophil Degranulation
Hemostasis,8.276569e-05,3.425117,46.09003,SERPINA3;ITIH4;ORM1;IGKV2D-30;HBB;PRCP;HBD;A1BG;CLEC3B;IGLV3-27;APOH;INPP5D;SIRPA;A2M;HBG2;F12;RARRES2;F11;PPBP;MERTK;CEACAM1;IGLV3-16;CEACAM6;KLKB1;IGKV2-30,Hemostasis
Initial Triggering of Complement,0.0001269249,7.783764,99.99477,C1QB;C1QA;IGLV3-16;IGLV3-27;IGKV2D-30;CFP;CFB;IGKV2-30;C2;C1QC,Initial Triggering of Complement
Immune System,0.001072484,2.304181,24.32822,C1QB;SERPINA3;C1QA;ORM1;CPB2;IGKV2D-30;CFH;CRISP3;CFI;HP;HBB;PRCP;A1BG;CFP;LILRA3;C2;CST3;CA1;IGLV3-27;C7;INPP5D;MRC1;SIRPA;LTA4H;AGA;B2M;SIGLEC14;FUCA1;FUCA2;PPBP;OSCAR;CEACAM1;IGLV3-16;LRG1;CFHR2;CEACAM6;CFHR1;IGHE;CHI3L1;CFB;IGKV2-30;C1QC,Immune System
Scavenging of Heme From Plasma,0.001447719,7.237566,73.27856,HPX;CD163;IGLV3-16;IGLV3-27;IGKV2D-30;HP;HBB;IGKV2-30,Scavenging of Heme From Plasma
Intrinsic Pathway of Fibrin Clot Formation,0.001789969,15.04821,147.3936,F12;F11;PRCP;A2M;KLKB1,Intrinsic Pathway of Fibrin Clot Formation
Binding and Uptake of Ligands by Scavenger Receptors,0.002088687,5.734748,54.68117,HPX;CD163;IGLV3-16;IGLV3-27;COL4A2;IGKV2D-30;HP;HBB;IGKV2-30,Binding and Uptake of Ligands by Scavenger Receptors
