term,fdr,Odds Ratio,Combined Score,Genes,description
DORLIMOMAB ARITOX,2.648177e-11,9.355404,278.9035,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL38;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS5;RPL23;RPS6;RPL22;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPS2;RPL15;RPL18;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPL27A;RPS20;RPS21;RPS24;RPS23,DORLIMOMAB ARITOX
ATALUREN,2.648177e-11,9.355404,278.9035,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL38;RPS11;RPS10;RPS13;RPS12;RPS7;RPS8;RPL23;RPS5;RPS6;RPL22;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPL27A;RPS20;RPS21;RPS24;RPS23,ATALUREN
MT 3724,5.671782e-11,8.313689,235.8078,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL38;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPS5;RPL23;RPS6;RPL22;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPL27A;RPS20;RPS21;RPS24;RPS23,MT 3724
CYCLOHEXIMIDE,5.671782e-11,7.743607,219.5873,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL6;RPL7;RPS4X;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL38;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPS5;RPL23;RPS6;RPL22;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPS2;RPL15;RPL18;RPL17;RPL19;RPL35A;RPL23A;EEF2;RPS25;RPS28;RPL27A;RPS20;RPS21;RPS24;RPS23,CYCLOHEXIMIDE
CARFILZOMIB,6.259645e-11,26.34106,738.4841,PSMD10;PSMD12;PSMD11;PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMD5;PSMB3;PSMD2;PSMD3;PSMB1;PSMD1;PSMF1;ADRM1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSMC1;PSMC2;PSME1;PSME2,CARFILZOMIB
BORTEZOMIB,1.736961e-07,5.725739,114.0842,PSMD8;PSMD9;PSMD6;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PSMD1;CAPN1;PRSS3;PRSS2;CTSB;F2;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME1;PSME2;PSMD10;PSMD12;PSMD11;PSMD14;PSMD13;PSMA7;PSMB10;PSMB6;PSMB7;PSMB4;PSMB5;PSMB2;PSMB3;PSMB1;PSMF1;HSPA4;ADRM1;PSMB8;NFKB1;PSMB9;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;FGFR3,BORTEZOMIB
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,0.09704256,5.939683,38.82948,COL28A1;COL18A1;COL15A1;COL11A1;COL11A2;COL1A1;COL3A1;COL5A1;COL6A2;COL5A3;COL5A2;COL6A1;COL6A3;COL6A6,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM
DICLOFENAC,0.1893005,inf,inf,GDF15;ANPEP;PLA2G4A;GGT1;MPO;UGT2B7;PTGS1,DICLOFENAC
MASITINIB,0.3423547,6.356997,31.94573,PDGFRB;LYN;HCK;PDGFRA;CSF1R;SRC;KIT;FGFR3;FGFR2;PTK2,MASITINIB
PALIFERMIN,0.3438246,inf,inf,NRP1;FGFR4;HSPG2;FGFR3;FGFR2;FGFR1,PALIFERMIN
SUNITINIB,0.5164232,2.908101,12.83501,PDGFRB;CSF1R;PDGFRA;FLT4;PDGFB;PDGFA;VEGFC;PTPN12;POR;EWSR1;PDGFD;PDGFC;KIT;CA9;FGFR2;FGFR1,SUNITINIB
ENMD 2076,0.5574699,3.306358,13.89697,CSF1R;PDGFRA;SRC;FLT4;ARID1A;PTK2;LCK;KIT;FYN;FGFR4;FGFR3;FGFR2;FGFR1,ENMD 2076
EPTIFIBATIDE,0.5574699,inf,inf,FGB;FGA;ITGB3;ITGA2B;FGG,EPTIFIBATIDE
