term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0002181,1.379329e-13,9.596875,365.3049,EIF4A2;RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RACK1;RPLP2;RPL38;RPS11;EIF2B1;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPS3A;SARS1;EEF1D;RPL27;ETF1;RPL29;RPL28;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL19;EIF2B5;RWDD1;EIF2B4;EIF2B3;EIF2B2;VTA1;RPL35A;RPL23A;EIF2S2;RPS25;RPS28;EIF3M;EIF2S3;RPL27A;EIF3I;RPS20;RPS21;RPS24;RPS23,Cytoplasmic Translation (GO:0002181)
GO:0007160,3.307288e-05,3.73914,66.13966,ITGB1;ECM2;ITGAM;ITGB5;ITGB3;ITGA2B;ITGB2;ILK;ITGAE;PTPRK;ITGAL;ARHGAP6;PKD1;TNN;EMILIN1;ITGAV;MADCAM1;CD34;FGB;CD96;FGA;ITGA4;ITGA2;FGG;NPNT;BCAM;ADAM15;CTTN;CDH11;ANGPTL3;ADAM9;ITGA7;ITGA6;VWA2;ITGA5;ARHGEF7;VCL;CD44;ITGA9;CD63;SRC;THY1;NID2;THSD1;FBLN5;THBS3;VTN;ADAMTS13;VCAM1;RCC2;FN1;L1CAM;LYVE1;COL3A1;PARVG;ITGA11;ZYX;ITGBL1;HPSE;FERMT2;FERMT3,Cell-Matrix Adhesion (GO:0007160)
GO:0007229,3.307288e-05,4.160461,73.52017,ITGB1;NRP1;ITGAM;ITGB5;ITGB3;ITGA2B;ITGB2;PLEK;ILK;ITGAE;ITGAL;PPP3CA;ADAMTS1;ITGAV;MADCAM1;ITGA4;SYK;ITGA2;ADAM10;FGR;HCK;ADAM15;ANGPTL3;ADAM9;ITGA7;MYH9;ITGA6;CD47;ITGA5;CDH17;ITGA9;LAMA5;SRC;CUL3;FBLN1;THY1;CDC42;VTN;ADAMTS13;FYB1;MPIG6B;RCC2;ERBIN;FN1;ISG15;PTK2;COL3A1;CD40LG;PTPRA;ITGA11;ZYX;ITGBL1;CCM2;FERMT2;FERMT3,Integrin-Mediated Signaling Pathway (GO:0007229)
GO:0006282,0.0002389415,9.272564,142.8529,H2AX;SMARCD2;SMARCB1;PCNA;SF3B3;DHX9;BRCC3;BABAM1;BABAM2;PPP4C;TRIM28;RUVBL2;RUVBL1;DPF2;RPS3;SMARCE1;SMARCC1;SMARCC2;PARP1;ACTL6A;DEK;ARID1A;SMARCA2;ARID1B;UCHL5;SMARCA4;MRGBP;UBE2N;UBE2V1,Regulation of DNA Repair (GO:0006282)
GO:0030198,0.000744116,2.829986,39.75239,ITGB1;APP;COL18A1;ECM2;COL14A1;COL12A1;LOXL3;PLOD3;PLOD2;LAMC1;LOXL1;CTSS;LOXL2;ADAMTS5;ADAMTS2;MMP25;IBSP;ADAMTS1;FLOT1;CTSG;QSOX1;ADAMTS8;PRSS2;POSTN;MMP7;ITGA2;APLP1;SERPINF2;MMP3;ADAM10;NPNT;MMP9;MMP14;ADAM15;LOX;MMP23B;MMP19;COL6A6;GAS6;DDR2;MATN2;COL15A1;COL11A1;COL11A2;DPT;FURIN;NID1;NID2;ADAMTS13;SERPINH1;ELANE;COL28A1;CRTAP;TGFB2;TGFB1;LUM;COL1A1;COL3A1;BMP1;COL5A1;P4HA1;COL5A3;COL5A2;TLL2;TLL1;TGFBI,Extracellular Matrix Organization (GO:0030198)
GO:0097435,0.001783267,2.143735,27.84825,APP;COL12A1;INPPL1;LOXL3;PLOD3;CIB1;PLOD2;LOXL1;LOXL2;EFEMP2;SLK;BASP1;CHORDC1;ZNF207;AGFG1;TMOD1;TPM4;TPM3;ACTN1;TMOD3;SERPINF2;TPM1;CD2AP;CLIP2;CLIP1;LOX;ELMO1;TAGLN2;MYL9;FLII;LTBP4;DPT;SLAIN2;LTBP3;CORO1A;CORO1B;FBLN5;CNN3;CORO1C;CNN2;SPTA1;SERPINH1;MAP4;CARMIL1;CRTAP;TGFB2;FUS;TBCB;COL1A1;DLG1;BMP1;COL5A1;P4HA1;COL5A3;COL5A2;FAT1;HSP90AB1;TNFAIP6;SH3KBP1;COL14A1;ARHGAP6;PPP1R9B;ADAMTS2;RAC2;EMILIN1;CD36;EMD;CAP1;RHOG;ARAP1;CKAP5;RHOA;KIF2A;HCLS1;DBN1;DDR2;TNXB;COL11A1;COL11A2;FURIN;CDC42;BID;SNCA;DYNC1H1;MARCKSL1;USP9X;LUM;FKBP1A;MYO1D;MFAP4;COL3A1;MARCKS;TLL2;EPPK1;TLL1;VIM;TARDBP;MYO1G,Supramolecular Fiber Organization (GO:0097435)
GO:0009059,0.002035745,2.242518,28.48886,RPL4;RPL5;HBS1L;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;EEF1B2;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPLP2;KPNA4;RPL38;RPS11;RPS10;RPS13;GAL3ST4;RPS12;TGM2;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPS3A;GTPBP2;DARS1;TUFM;EEF1G;SARS1;EEF1D;EEF1A2;RPL27;RPL29;RPL28;RPL12;RPL11;PDGFB;RRBP1;MRPL12;GSPT2;GSPT1;RPS15A;RPL14;RPS3;APOE;RPL15;RPS2;RPL18;ABCF1;RPL19;HARS1;ANGPT2;RPL35A;RPL23A;INHBA;EEF2;WARS1;RPS25;RPS28;COPS5;COL5A1;NACA;RPL27A;RPS20;RPS21;EIF4G2;RPS24;EIF4G1;FARSB;RPS23,Macromolecule Biosynthetic Process (GO:0009059)
GO:0008284,0.003083207,1.913779,22.97768,CSF1;HNRNPU;CIB1;CCAR1;CRKL;CAPNS1;NAMPT;CAPN1;IL6R;TPD52;PDGFRB;PDGFRA;RPS9;SMARCC1;RPL23;CLEC11A;SERPINF2;RPS6;ADAM10;CLDN5;ADAM17;S100A6;PRTN3;S100A9;CSF1R;NOTCH1;DHX9;CUL3;NOP2;PDGFB;CHRD;PDGFA;FBLN1;PRDX3;SDCBP;PDCD10;BLOC1S2;PDGFD;PDGFC;SSR1;RPRD1B;ELANE;LYN;TGFB2;TGFB1;INSR;TNFSF13;FN1;IGF1;SMARCA2;PTK2;SMARCA4;BMP5;BST2;BMP4;PTPRC;NACA;HPSE;CALR;FGFR4;IL7R;NES;FGFR3;FGFR2;FGFR1;BMP10;FLT4;LAMC2;LAMC1;CX3CL1;RPS4X;PPP3CA;UFL1;ESM1;CTSH;ITGAV;PRMT1;ACTL6A;IL18;RHOG;NME1;TGFBR3;HCK;KIT;HCLS1;CDH13;MVD;CD47;GAS6;SLC25A5;DDR2;TNXB;LRP5;THBS1;RELA;GNAI2;RPS15A;EPCAM;STX4;CHGA;NTRK2;CD74;NPM1;STAT1;BAD;EGF;VEGFC;LAMB1;NAP1L1;S100B;TJP1;KITLG;DNAJA2;CCM2;PTPN6;PKN1;FAM98A,Positive Regulation of Cell Population Proliferation (GO:0008284)
GO:0030334,0.003083207,1.772117,21.19703,SERPINE2;CSF1;SERPINE1;CLSTN1;CIB1;CLDN1;MYLK;CCAR1;DOCK10;CDH5;SLK;TNN;AKT2;DAG1;TNR;CPNE3;PDGFRB;PDGFRA;IGFBP5;SEMA6D;TPM1;ADAM10;ACTN4;CLDN5;ADAM17;CLDN3;ADAM15;MYADM;ADAM9;S100A9;VCL;CSF1R;IGSF8;MACF1;CEMIP;CD151;NOTCH1;CUL5;PDGFB;CHRD;PDGFA;STC1;THY1;RTN4;CORO1C;SDCBP;PDCD10;PODXL;PDGFD;PDGFC;CARMIL1;HSPA8;JAG1;TGFB1;UBE2I;HSPA5;INSR;RCC2;RDX;IGF1;CYRIB;PTK2;COL1A1;BST2;IGSF10;PROC;STK24;STK26;CASS4;PLXNB2;PLXNB1;FERMT2;FERMT3;ITGB1;BMP10;CLIC4;FLT4;MIA3;PTPRJ;LAMC2;PTPRK;CX3CL1;ARHGAP4;PPP3CA;RACK1;EMILIN2;CTSH;EMILIN1;APPL2;APPL1;SERPINB1;ANXA1;MMP7;TNNC1;RHOA;PTP4A1;FGR;TGFBR3;F7;MMP14;RAP2B;KIF2A;KIT;CDH11;MMRN2;ANGPTL3;NUMB;PECAM1;CDH13;ITGA6;CAMK2B;LRRC15;TNXB;ROCK1;ROCK2;SRC;SEMA3B;CAMK2A;NEXN;SEMA3F;THBS1;PPM1F;CDC42;RELN;GPNMB;RBBP4;MGAT5;LMNA;FLNA;STX4;RBBP7;CTNNA2;MAP4K4;SPAG9;CHGA;CD74;EGF;STAT3;MEAK7;LAMB1;PODN;SORL1;TJP1;EPPK1;PKN1,Regulation of Cell Migration (GO:0030334)
GO:0000398,0.003083207,2.530812,30.19809,EIF4A3;HNRNPU;HNRNPR;PRPF19;EFTUD2;PNN;SYNCRIP;SNRPD2;SNRNP70;SNRPD3;SRRM2;PRMT5;WDR77;ILF3;SFPQ;DDX39B;HNRNPUL1;HNRNPUL2;CLNS1A;SRSF3;SNRPE;SNRPA1;HNRNPH3;PABPC1;SNRPF;SNRNP200;SRSF7;SF3B4;SF3B2;DDX5;SF3B3;RBM8A;DHX9;DDX1;SRSF1;SNU13;HTATSF1;PRPF8;PUF60;U2AF2;TRA2B;RALY;SNRPB2;KCNN4;DCPS;SF3B1;RBM10;HSPA8;SF3A1;HNRNPA3;SF3A2;CDC5L;CWC15;LSM4;LSM3;LSM2;HNRNPM;LSM8;LSM7;HNRNPK;LSM6;HNRNPF;HNRNPA2B1;HNRNPC;RBMX,"mRNA Splicing, via Spliceosome (GO:0000398)"
