term,fdr,Odds Ratio,Combined Score,Genes,description
CARFILZOMIB,0.02092579,4.357807,41.14956,PSMD12;PSMD11;PSMD14;PSMD13;PSMB9;PSMD8;PSMD6;PSMC6;PSMD5;PSMC1;PSMD1;PSME2;PSMF1,CARFILZOMIB
BORTEZOMIB,0.3439564,2.773768,16.50404,PSMD12;PSMD11;PSMD14;PSMD13;PSMB9;PSMD8;PSMD6;PSMC6;PSMD5;PSMC1;PSMD1;PSME2;PSMF1,BORTEZOMIB
PIROXICAM,0.3702852,inf,inf,GGT1;PTGS1,PIROXICAM
ISOSORBIDE DINITRATE,0.3702852,inf,inf,GUCY1A1;GUCY1B1,ISOSORBIDE DINITRATE
IBUDILAST,0.3702852,inf,inf,PDE3A;PDE5A,IBUDILAST
LEVOSIMENDAN,0.3702852,inf,inf,TNNC1;PDE3A,LEVOSIMENDAN
THEOPHYLLINE,0.4700482,9.936275,43.57016,PRKAR2B;PDE3A;PDE5A,THEOPHYLLINE
METHYLPHENIDATE,0.4881053,4.147541,17.25317,PURA;PDIA2;ALDH1L1;ESYT2;CORO7,METHYLPHENIDATE
JNJ 26483327,0.4881053,7.45098,29.02364,LCK;SRC;FYN,JNJ 26483327
DICLOFENAC,0.4881053,7.45098,29.02364,GGT1;UGT2B7;PTGS1,DICLOFENAC
BARASERTIB,0.4881053,7.45098,29.02364,LCK;KIT;FYN,BARASERTIB
ASPIRIN,0.6047279,2.682566,9.641193,FCER1G;TGFB1;ITGA2B;TBXAS1;GP6;TAPBP;PTGS1,ASPIRIN
LINIFANIB,0.6309277,2.214168,6.898403,NTRK2;MAP2K2;ROCK1;SRC;ROCK2;KIT;CAMK1;PRKG1,LINIFANIB
FUROSEMIDE,0.6309277,9.921697,30.86951,TBXA2R;ADD1,FUROSEMIDE
CILOSTAZOL,0.6309277,9.921697,30.86951,ALDH1A1;PDE3A,CILOSTAZOL
HYDROCHLOROTHIAZIDE,0.6309277,3.312602,9.762281,VASP;USP5;PDE3A;PTGS1,HYDROCHLOROTHIAZIDE
CRIZOTINIB,0.6309277,3.312602,9.762281,EML4;NTRK2;KIT;PTPN12,CRIZOTINIB
AST 487,0.6309277,2.762295,8.072674,NTRK2;ROCK2;LCK;KIT;FYN,AST 487
OPIOIDS,0.6309277,4.255602,12.21656,TAOK3;EXOC4;PDE3A,OPIOIDS
IUPHAR.LIGAND:1713,0.6309277,6.613377,17.60747,ITPR1;APEH,IUPHAR.LIGAND:1713
IMATINIB MESYLATE,0.6309277,6.613377,17.60747,KIT;PDGFB,IMATINIB MESYLATE
NITROGLYCERIN,0.6309277,6.613377,17.60747,GUCY1A1;GUCY1B1,NITROGLYCERIN
BRYOSTATIN,0.6309277,6.613377,17.60747,PRKCB;PRKCD,BRYOSTATIN
VALPROIC ACID,0.6309277,2.485246,6.500875,COL1A1;APEH;GGT1;HDAC6;OTC,VALPROIC ACID
ENMD 2076,0.6309277,2.838438,7.301023,SRC;LCK;KIT;FYN,ENMD 2076
MORPHINE,0.6309277,3.308824,7.944551,TAOK3;TBXA2R;HMOX2,MORPHINE
ATENOLOL,0.6309277,3.308824,7.944551,TGFB1;SLC4A1;ARAP1,ATENOLOL
BUSPIRONE,0.6309277,inf,inf,ALDH1A1,BUSPIRONE
ETHINYL ESTRADIOL,0.6309277,inf,inf,GGT1,ETHINYL ESTRADIOL
ENOXIMONE,0.6309277,inf,inf,PDE3A,ENOXIMONE
LAROPIPRANT,0.6309277,inf,inf,TBXA2R,LAROPIPRANT
ISOFLURANE,0.6309277,inf,inf,ATP2C1,ISOFLURANE
PHENYLBUTAZONE,0.6309277,inf,inf,PTGS1,PHENYLBUTAZONE
METHYSERGIDE MALEATE,0.6309277,inf,inf,CASP6,METHYSERGIDE MALEATE
ZUCAPSAICIN,0.6309277,inf,inf,ALDH1A1,ZUCAPSAICIN
TAMOXIFEN CITRATE,0.6309277,inf,inf,ALDH1A1,TAMOXIFEN CITRATE
MEFENAMIC ACID,0.6309277,inf,inf,PTGS1,MEFENAMIC ACID
ILORASERTIB,0.6309277,1.687911,3.931424,NTRK2;MAP2K2;ROCK1;LCK;SRC;ROCK2;PRKCD;KIT;FYN;CAMK1,ILORASERTIB
SARACATINIB,0.6309277,4.959217,11.49705,EML4;SRC,SARACATINIB
KENPAULLONE,0.6309277,2.160014,4.803806,ROCK1;ROCK2;SRC;LCK;FYN,KENPAULLONE
DOVITINIB,0.6309277,1.768699,3.927148,NTRK2;MAP2K2;LCK;ROCK2;SRC;PRKCD;KIT;FYN,DOVITINIB
CI 1040,0.6309277,2.977451,6.569119,MAP2K2;ROCK1;LCK,CI 1040
FASUDIL,0.6309277,2.977451,6.569119,ROCK1;ROCK2;PRKCD,FASUDIL
VINBLASTINE,0.6309277,2.977451,6.569119,TBXA2R;TUBB1;TUBA4A,VINBLASTINE
CENISERTIB,0.6309277,1.579693,3.235058,NTRK2;MAP2K2;ROCK1;LCK;ROCK2;SRC;PRKCD;KIT;FYN;PRKG1,CENISERTIB
BUPROPION,0.6309277,3.966721,8.102781,EPB41;SACM1L,BUPROPION
