term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0031032,0.0007016551,6.473723,98.57711,WDR1;ROCK1;EPB41;ROCK2;SRC;TMOD3;FLII;PDLIM1;TNNT1;PDCD10;MYO18A;ZYX;MYH9;TCAP;FLNC;MYL9,Actomyosin Structure Organization (GO:0031032)
GO:0030219,0.007179786,23.33717,284.9127,GP9;MPIG6B;GP1BB;UBA5;KIT;FLNA;GP5,Megakaryocyte Differentiation (GO:0030219)
GO:0051893,0.01797208,5.031561,53.34646,MACF1;DMTN;ROCK1;ROCK2;SRC;ARHGAP6;THBS1;CORO1C;SLC9A1;TLN1;VCL;FERMT2;LIMS1,Regulation of Focal Adhesion Assembly (GO:0051893)
GO:0071560,0.01797208,4.320714,45.79024,TGFB2;TGFB1;SRC;USP9X;FURIN;TSKU;CRKL;CDH5;FNTA;PDE3A;ZYX;FERMT2;APPL2;APPL1;LIMS1,Cellular Response to Transforming Growth Factor Beta Stimulus (GO:0071560)
GO:0007009,0.04146955,4.357807,41.14956,NSF;CAVIN2;VPS4B;VPS4A;ANO6;SYTL4;BIN2;COL5A1;CHMP1B;PACSIN2;MYH9;CHMP6;CHMP5,Plasma Membrane Organization (GO:0007009)
GO:0030239,0.04146955,8.005272,74.42237,WDR1;TNNT1;TMOD3;MYL2;FLII;TCAP;FLNC;MYL9,Myofibril Assembly (GO:0030239)
GO:0090109,0.04146955,9.995066,91.79923,MACF1;ROCK1;ROCK2;TLN1;VCL;CORO1C;SLC9A1,Regulation of Cell-Substrate Junction Assembly (GO:0090109)
GO:0035855,0.04146955,24.92623,226.0448,GP9;MPIG6B;GP1BB;KIT;GP5,Megakaryocyte Development (GO:0035855)
GO:0006936,0.0504352,5.276207,46.1934,MYH1;SMTN;ROCK1;ROCK2;TMOD3;SLMAP;TCAP;EMD;MYLK;MYH7,Muscle Contraction (GO:0006936)
GO:1901889,0.05046777,8.744243,75.53181,DMTN;ROCK1;ROCK2;SRC;ARHGAP6;THBS1;CORO1C,Negative Regulation of Cell Junction Assembly (GO:1901889)
GO:0010543,0.05046777,5.632426,47.1336,GP9;FCER1G;GP1BB;GNAQ;PLEK;PDGFB;FLNA;PEAR1;GP5,Regulation of Platelet Activation (GO:0010543)
GO:0007015,0.05046777,2.928514,24.18007,VASP;CAP1;CARMIL1;SVIL;ACTN1;TMOD3;FLII;INPPL1;ARAP1;ARHGAP6;CD2AP;CORO1C;CNN2;SPTA1;ELMO1;PLS3;FLNA;TCAP,Actin Filament Organization (GO:0007015)
GO:0032570,0.05046777,16.61475,135.6815,TGFB2;TGFB1;SRC;WBP2;THBS1,Response to Progesterone (GO:0032570)
GO:0061515,0.05046777,7.771382,63.29363,GP9;DMTN;MPIG6B;GP1BB;KIT;FLNA;GP5,Myeloid Cell Development (GO:0061515)
GO:0001778,0.05046777,7.771382,63.29363,VPS4B;CHMP1B;VPS4A;MYH9;CHMP6;SYTL4;CHMP5,Plasma Membrane Repair (GO:0001778)
GO:0070527,0.05046777,4.772137,38.79382,ACTN1;PLEK;GNAS;ILK;FLNA;MYH9;TLN1;MYL9;VCL;FERMT3,Platelet Aggregation (GO:0070527)
GO:1901550,0.05046777,39.82324,319.687,PPP1R12A;ROCK1;ROCK2;VCL,Regulation of Endothelial Cell Development (GO:1901550)
GO:0090148,0.05046777,4.243377,34.00825,SH3GLB1;VPS4B;CHMP1B;VPS4A;EXOC4;STAM;DNM1L;CHMP6;DNM1;CORO1C;CHMP5,Membrane Fission (GO:0090148)
GO:0071559,0.05046777,9.980296,79.91402,TGFB1;ROCK1;ROCK2;PDE3A;CRKL;LIMS1,Response to Transforming Growth Factor Beta (GO:0071559)
GO:0097435,0.0586012,2.201973,17.08563,FLII;COL11A2;INPPL1;SLAIN2;FURIN;ARHGAP6;CORO1C;CNN2;SPTA1;CHORDC1;EMD;SNCA;CAP1;CARMIL1;TGFB2;USP9X;ACTN1;TMOD3;ARAP1;CD2AP;COL1A1;CLIP2;CLIP1;KIF2A;COL5A1;P4HA1;ELMO1;MYL9,Supramolecular Fiber Organization (GO:0097435)
GO:0034109,0.0586012,4.085541,31.6943,ACTN1;PLEK;GNAS;ILK;FLNA;MYH9;TLN1;MYL9;VCL;FERMT3;TJP2,Homotypic Cell-Cell Adhesion (GO:0034109)
GO:0061024,0.06076053,2.397969,18.31696,SH3GLB1;DBNL;SAR1A;IST1;VPS4B;SNAP23;VPS4A;AP3D1;STAM;ATP2C1;NAPG;STX11;CORO1C;CHMP1B;LPCAT3;CHORDC1;MYADM;EXOC4;ESYT1;CHMP6;EMD;PICALM;CHMP5,Membrane Organization (GO:0061024)
GO:0007179,0.06076053,3.649028,27.434,CDH5;TGFB2;TGFB1;FNTA;SRC;USP9X;ZYX;FURIN;TSKU;APPL2;FERMT2;APPL1,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)
GO:0030866,0.06076053,8.553132,63.87883,NCKAP1;ROCK1;ROCK2;FHOD1;PLEK;RAB13,Cortical Actin Cytoskeleton Organization (GO:0030866)
GO:1904903,0.06076053,12.45902,92.61794,IST1;CHMP1B;VPS4B;VPS4A;CHMP5,ESCRT III Complex Disassembly (GO:1904903)
GO:1904896,0.06076053,12.45902,92.61794,IST1;CHMP1B;VPS4B;VPS4A;CHMP5,ESCRT Complex Disassembly (GO:1904896)
GO:0095500,0.06076053,12.45902,92.61794,GNA11;GNAQ;GNB1;RGS10;LY6G6F,Acetylcholine Receptor Signaling Pathway (GO:0095500)
GO:0019934,0.06076053,12.45902,92.61794,GUCY1A1;GUCY1B1;IRAG1;PDE3A;THBS1,cGMP-mediated Signaling (GO:0019934)
GO:0051128,0.06476132,2.875268,21.08995,PTPN1;SPARC;ROCK1;ROCK2;TNNC1;SNX12;ARAP1;RASGRP2;ARFGAP1;NUBP2;RUFY1;BAG5;PACSIN2;CAMK1;PICALM;PAPPA2,Regulation of Cellular Component Organization (GO:0051128)
GO:0009584,0.06522599,inf,inf,GNA11;GNAQ;MAPRE2,Detection of Visible Light (GO:0009584)
GO:0050849,0.06522599,inf,inf,PLEK;ITPR1;SLA2,Negative Regulation of Calcium-Mediated Signaling (GO:0050849)
GO:0007603,0.06522599,inf,inf,GNA11;GNAQ;MAPRE2,"Phototransduction, Visible Light (GO:0007603)"
GO:0002732,0.06522599,inf,inf,MAVS;KIT;PLCG2,Positive Regulation of Dendritic Cell Cytokine Production (GO:0002732)
GO:0072698,0.06522599,inf,inf,DIAPH1;MAPRE1;MAPRE2,Protein Localization to Microtubule Cytoskeleton (GO:0072698)
GO:0006939,0.06889502,19.90835,139.4499,SMTN;ROCK1;ROCK2;MYLK,Smooth Muscle Contraction (GO:0006939)
GO:0030836,0.06889502,19.90835,139.4499,CARMIL1;CRACD;PLEK;PDXP,Positive Regulation of Actin Filament Depolymerization (GO:0030836)
GO:1901654,0.06889502,7.482759,52.29728,TGFB2;TGFB1;WBP2;GNAQ;GNAS;THBS1,Response to Ketone (GO:1901654)
