term,fdr,Odds Ratio,Combined Score,Genes,description
IUPHAR.LIGAND:14,0.01059413,inf,inf,A1BG;A2M,IUPHAR.LIGAND:14
IUPHAR.LIGAND:52,0.1125399,30.64352,175.7601,A1BG;A2M,IUPHAR.LIGAND:52
IUPHAR.LIGAND:56,0.1125399,26.2619,144.2168,A1BG;A2M,IUPHAR.LIGAND:56
TRIAMCINOLONE,0.1125399,22.97569,121.208,BCHE;SERPINA6,TRIAMCINOLONE
ZONISAMIDE,0.1518194,inf,inf,CA1,ZONISAMIDE
ISRADIPINE,0.1518194,inf,inf,CACNA2D1,ISRADIPINE
PREGABALIN,0.1518194,90.73973,346.4418,CACNA2D1,PREGABALIN
PERTUZUMAB,0.1518194,90.73973,346.4418,EGFR,PERTUZUMAB
IUPHAR.LIGAND:50,0.1518194,90.73973,346.4418,A1BG,IUPHAR.LIGAND:50
IUPHAR.LIGAND:707,0.1518194,7.97343,27.78704,C2;C1QC,IUPHAR.LIGAND:707
BMS 690514,0.1518194,45.36301,155.049,EGFR,BMS 690514
CANERTINIB,0.1518194,45.36301,155.049,EGFR,CANERTINIB
IUPHAR.LIGAND:91,0.1518194,45.36301,155.049,A1BG,IUPHAR.LIGAND:91
SAFINAMIDE,0.1518194,45.36301,155.049,CACNA2D1,SAFINAMIDE
TRICHLORMETHIAZIDE,0.1518194,45.36301,155.049,CA1,TRICHLORMETHIAZIDE
LIDOCAINE,0.1518194,45.36301,155.049,EGFR,LIDOCAINE
CHLOROTHIAZIDE,0.1518194,45.36301,155.049,CA1,CHLOROTHIAZIDE
IUPHAR.LIGAND:2644,0.1518194,45.36301,155.049,BCHE,IUPHAR.LIGAND:2644
BRIGATINIB,0.1518194,45.36301,155.049,EGFR,BRIGATINIB
CURCUMIN,0.1530084,7.333333,24.50846,CA1;EGFR,CURCUMIN
FELODIPINE,0.1530084,30.23744,94.81626,CACNA2D1,FELODIPINE
ZIPRASIDONE,0.1530084,30.23744,94.81626,CNTN4,ZIPRASIDONE
SPIRONOLACTONE,0.1530084,30.23744,94.81626,ADIPOQ,SPIRONOLACTONE
XL647,0.1530084,30.23744,94.81626,EGFR,XL647
CLOFIBRATE,0.1530084,30.23744,94.81626,FABP1,CLOFIBRATE
FLUOROURACIL,0.1621666,5.230159,14.49671,HBB;EGFR,FLUOROURACIL
OSIMERTINIB,0.1621666,18.13699,49.71565,EGFR,OSIMERTINIB
IPILIMUMAB,0.1621666,18.13699,49.71565,EGFR,IPILIMUMAB
GABAPENTIN,0.1621666,18.13699,49.71565,CACNA2D1,GABAPENTIN
IBRUTINIB,0.1621666,18.13699,49.71565,EGFR,IBRUTINIB
FLUTICASONE PROPIONATE,0.1621666,18.13699,49.71565,CD163,FLUTICASONE PROPIONATE
SULTHIAME,0.1621666,18.13699,49.71565,CA1,SULTHIAME
AFATINIB,0.1621666,18.13699,49.71565,EGFR,AFATINIB
NEVIRAPINE,0.1621666,18.13699,49.71565,ADIPOQ,NEVIRAPINE
ETHOXZOLAMIDE,0.1621666,18.13699,49.71565,CA1,ETHOXZOLAMIDE
JNJ 26483327,0.1688726,15.11187,39.1758,EGFR,JNJ 26483327
