term,fdr,Odds Ratio,Combined Score,Genes,description
DORLIMOMAB ARITOX,2.645737e-15,18.06866,690.7517,RPL5;RPS9;RPS7;RPL23;RPS3A;RPL6;RPL7;RPS14;RPL7A;RPS25;RPS28;RPS19;RPS18;RPL14;RPL35;RPL13;RPL27;RPS11;RPL29;RPL18;RPL28,DORLIMOMAB ARITOX
CYCLOHEXIMIDE,5.195496e-15,16.5834,611.2855,RPL5;RPS9;RPS7;RPL23;RPS3A;RPL6;RPL7;RPS14;RPL7A;RPS25;RPS28;RPS19;RPS18;RPL14;RPL35;RPL13;RPL27;RPS11;RPL29;RPL18;RPL28,CYCLOHEXIMIDE
ATALUREN,1.556394e-14,16.73137,591.5985,RPL5;RPS7;RPL23;RPS3A;RPL6;RPL7;RPS14;RPL7A;RPS25;RPS28;RPS19;RPS18;RPL14;RPL35;RPL13;RPL27;RPS11;RPL29;RPL18;RPL28,ATALUREN
MT 3724,1.624017e-14,16.37285,573.5152,RPL5;RPS9;RPS7;RPL23;RPS3A;RPL6;RPL7;RPS14;RPL7A;RPS25;RPS28;RPS19;RPS18;RPL14;RPL35;RPL13;RPL27;RPS11;RPL29;RPL18,MT 3724
PROCHLORPERAZINE,0.04075639,70.0,425.0276,ATXN2;CBX1,PROCHLORPERAZINE
PROMETHAZINE,0.04075639,70.0,425.0276,ATXN2;CBX1,PROMETHAZINE
PERPHENAZINE,0.06000539,34.99462,188.8771,ATXN2;CBX1,PERPHENAZINE
NICARDIPINE,0.06000539,34.99462,188.8771,ATXN2;CBX1,NICARDIPINE
PIMOZIDE,0.07853264,23.32616,114.4171,ATXN2;CBX1,PIMOZIDE
AMSACRINE,0.07853264,23.32616,114.4171,ATXN2;CBX1,AMSACRINE
TRIFLUOPERAZINE,0.1051207,17.49194,79.03189,ATXN2;CBX1,TRIFLUOPERAZINE
FENRETINIDE,0.1733409,11.65771,45.82676,ATXN2;CBX1,FENRETINIDE
N DESMETHYLCLOZAPINE,0.1859221,inf,inf,ATXN2,N DESMETHYLCLOZAPINE
PAPAVERINE,0.1859221,inf,inf,CBX1,PAPAVERINE
THIORIDAZINE,0.1859221,inf,inf,CBX1,THIORIDAZINE
FLUPHENAZINE,0.1859221,inf,inf,CBX1,FLUPHENAZINE
RALOXIFENE,0.2274472,7.76822,25.72106,ATXN2;CBX1,RALOXIFENE
OLAPARIB,0.2422601,6.353861,19.05043,PARP1;SF3B1,OLAPARIB
IDARUBICIN,0.2422601,6.353861,19.05043,ATXN2;CBX1,IDARUBICIN
PYRIDOSTIGMINE,0.2422601,34.81283,100.7548,CBX1,PYRIDOSTIGMINE
TRIMETHOPRIM,0.2422601,34.81283,100.7548,CBX1,TRIMETHOPRIM
AFIMOXIFENE,0.2422601,34.81283,100.7548,ATXN2,AFIMOXIFENE
MAPROTILINE,0.2422601,34.81283,100.7548,ATXN2,MAPROTILINE
MITOXANTRONE,0.2422601,5.823477,16.66858,ATXN2;CBX1,MITOXANTRONE
NIFEDIPINE,0.2422601,5.823477,16.66858,ATXN2;CBX1,NIFEDIPINE
COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,0.299222,4.656631,11.71088,COL28A1;COL2A1,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM
FENOLDOPAM,0.299222,17.40374,43.55657,CBX1,FENOLDOPAM
KETOCONAZOLE,0.299222,17.40374,43.55657,CBX1,KETOCONAZOLE
TENIPOSIDE,0.299222,17.40374,43.55657,NOP2,TENIPOSIDE
GOSSYPOL,0.3083758,4.107527,9.537256,ATXN2;CBX1,GOSSYPOL
LAMOTRIGINE,0.3083758,11.60071,25.85749,HLA-DQB1,LAMOTRIGINE
NIRAPARIB,0.3083758,11.60071,25.85749,PARP1,NIRAPARIB
INTERFERON BETA 1B,0.3083758,11.60071,25.85749,IFNAR1,INTERFERON BETA 1B
OMEPRAZOLE,0.3083758,11.60071,25.85749,CBX1,OMEPRAZOLE
VELIPARIB,0.3083758,11.60071,25.85749,PARP1,VELIPARIB
NAPROXEN,0.3083758,11.60071,25.85749,CBX1,NAPROXEN
FLUSPIRILENE,0.3083758,11.60071,25.85749,CBX1,FLUSPIRILENE
TAMOXIFEN,0.3182562,3.674024,7.907588,ATXN2;CBX1,TAMOXIFEN
DABIGATRAN,0.3182562,8.699198,17.56955,HNRNPC,DABIGATRAN
TICLOPIDINE,0.3182562,8.699198,17.56955,HLA-DQB1,TICLOPIDINE
IUPHAR.LIGAND:1713,0.3182562,8.699198,17.56955,ACTN2,IUPHAR.LIGAND:1713
