term,fdr,Odds Ratio,Combined Score,Genes,description
IUPHAR.LIGAND:14,0.01554363,inf,inf,A1BG;A2M,IUPHAR.LIGAND:14
IUPHAR.LIGAND:707,0.01554363,14.25541,113.9399,C7;C8B;C2;C1QC,IUPHAR.LIGAND:707
IUPHAR.LIGAND:52,0.1160683,24.44815,129.7781,A1BG;A2M,IUPHAR.LIGAND:52
BEVACIZUMAB,0.1160683,9.245787,47.65347,GGH;GC;EGFR,BEVACIZUMAB
IUPHAR.LIGAND:56,0.1160683,20.95238,106.1432,A1BG;A2M,IUPHAR.LIGAND:56
TRIAMCINOLONE,0.1198292,18.33056,88.93467,BCHE;SERPINA6,TRIAMCINOLONE
PEMETREXED,0.12442,16.29136,75.91725,GGH;EGFR,PEMETREXED
ZONISAMIDE,0.1403846,inf,inf,CA1,ZONISAMIDE
ISRADIPINE,0.1403846,inf,inf,CACNA2D1,ISRADIPINE
PREGABALIN,0.1495652,72.59341,261.4524,CACNA2D1,PREGABALIN
PERTUZUMAB,0.1495652,72.59341,261.4524,EGFR,PERTUZUMAB
OXYMETHOLONE,0.1495652,72.59341,261.4524,PLG,OXYMETHOLONE
IUPHAR.LIGAND:50,0.1495652,72.59341,261.4524,A1BG,IUPHAR.LIGAND:50
CETUXIMAB,0.1495652,8.614379,30.98333,GC;EGFR,CETUXIMAB
BMS 690514,0.1495652,36.29121,116.2384,EGFR,BMS 690514
CANERTINIB,0.1495652,36.29121,116.2384,EGFR,CANERTINIB
IUPHAR.LIGAND:91,0.1495652,36.29121,116.2384,A1BG,IUPHAR.LIGAND:91
SAFINAMIDE,0.1495652,36.29121,116.2384,CACNA2D1,SAFINAMIDE
TRICHLORMETHIAZIDE,0.1495652,36.29121,116.2384,CA1,TRICHLORMETHIAZIDE
LIDOCAINE,0.1495652,36.29121,116.2384,EGFR,LIDOCAINE
ACARBOSE,0.1495652,36.29121,116.2384,AMY2A,ACARBOSE
CHLOROTHIAZIDE,0.1495652,36.29121,116.2384,CA1,CHLOROTHIAZIDE
IUPHAR.LIGAND:2644,0.1495652,36.29121,116.2384,BCHE,IUPHAR.LIGAND:2644
UROKINASE,0.1495652,36.29121,116.2384,PLG,UROKINASE
BRIGATINIB,0.1495652,36.29121,116.2384,EGFR,BRIGATINIB
CURCUMIN,0.1650597,5.850667,17.2479,CA1;EGFR,CURCUMIN
FELODIPINE,0.1650597,24.19048,70.68552,CACNA2D1,FELODIPINE
ZIPRASIDONE,0.1650597,24.19048,70.68552,CNTN4,ZIPRASIDONE
SPIRONOLACTONE,0.1650597,24.19048,70.68552,ADIPOQ,SPIRONOLACTONE
XL647,0.1650597,24.19048,70.68552,EGFR,XL647
LUSUTROMBOPAG,0.1744735,18.14011,49.08109,SERPINC1,LUSUTROMBOPAG
DANAZOL,0.1744735,18.14011,49.08109,PLG,DANAZOL
CAFFEINE,0.1744735,18.14011,49.08109,SHH,CAFFEINE
OSIMERTINIB,0.1744735,14.50989,36.71149,EGFR,OSIMERTINIB
