term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0030195,0.01035857,19.9274,221.1523,CPB2;APOH;F12;PLG;KLKB1,Negative Regulation of Blood Coagulation (GO:0030195)
GO:0051917,0.05420423,31.7817,259.9358,F12;PLG;KLKB1,Regulation of Fibrinolysis (GO:0051917)
GO:0030853,0.05420423,146.8,1100.566,CEACAM1;C1QC,Negative Regulation of Granulocyte Differentiation (GO:0030853)
GO:0150146,0.05420423,146.8,1100.566,C1QB;C1QC,Cell Junction Disassembly (GO:0150146)
GO:0033089,0.05420423,146.8,1100.566,SHH;VNN1,Positive Regulation of T Cell Differentiation in Thymus (GO:0033089)
GO:0051838,0.05420423,146.8,1100.566,CFHR2;CFHR1,Cytolysis by Host of Symbiont Cells (GO:0051838)
GO:0035113,0.05420423,146.8,1100.566,SHH;MEGF8,Embryonic Appendage Morphogenesis (GO:0035113)
GO:0006508,0.05593136,4.130748,29.98907,SHH;CPB2;CPB1;CFH;F12;PLG;PEPD;KLKB1;TRHDE,Proteolysis (GO:0006508)
GO:0048584,0.05593136,11.07744,79.1422,ADIPOQ;C8B;CFP;EGFR,Positive Regulation of Response to Stimulus (GO:0048584)
GO:0010954,0.05593136,20.21246,143.6904,CLEC3B;F12;KLKB1,Positive Regulation of Protein Processing (GO:0010954)
GO:0030194,0.06267256,18.52528,127.7469,F12;APOH;PLG,Positive Regulation of Blood Coagulation (GO:0030194)
GO:0035108,0.06267256,73.38889,499.9899,SHH;MEGF8,Limb Morphogenesis (GO:0035108)
GO:0002455,0.08873199,48.91852,308.7265,C1QB;C1QC,Humoral Immune Response Mediated by Circulating Immunoglobulin (GO:0002455)
GO:0034440,0.08873199,48.91852,308.7265,ADIPOQ;PLA2G7,Lipid Oxidation (GO:0034440)
GO:0098883,0.09719646,36.68333,216.965,C1QB;C1QC,Synapse Pruning (GO:0098883)
GO:0030852,0.09719646,36.68333,216.965,CEACAM1;C1QC,Regulation of Granulocyte Differentiation (GO:0030852)
GO:1901072,0.09719646,36.68333,216.965,CHI3L1;CTBS,Glucosamine-Containing Compound Catabolic Process (GO:1901072)
GO:0051873,0.09719646,36.68333,216.965,CFHR2;CFHR1,Killing by Host of Symbiont Cells (GO:0051873)
GO:0033081,0.09719646,36.68333,216.965,SHH;VNN1,Regulation of T Cell Differentiation in Thymus (GO:0033081)
GO:0016137,0.1024945,29.34222,163.9358,FUCA1;FUCA2,Glycoside Metabolic Process (GO:0016137)
GO:0010756,0.1024945,29.34222,163.9358,CLEC3B;F12,Positive Regulation of Plasminogen Activation (GO:0010756)
GO:0007158,0.1024945,29.34222,163.9358,CNTN4;NCAM2,Neuron Cell-Cell Adhesion (GO:0007158)
GO:0003073,0.1024945,29.34222,163.9358,PRCP;KLKB1,Regulation of Systemic Arterial Blood Pressure (GO:0003073)
GO:0061371,0.1024945,29.34222,163.9358,SHH;MEGF8,Determination of Heart Left/Right Asymmetry (GO:0061371)
GO:0003143,0.1024945,29.34222,163.9358,SHH;MEGF8,Embryonic Heart Tube Morphogenesis (GO:0003143)
GO:0032375,0.1128678,24.44815,129.7781,SHH;ADIPOQ,Negative Regulation of Cholesterol Transport (GO:0032375)
GO:0007413,0.1128678,24.44815,129.7781,CNTN4;MEGF8,Axonal Fasciculation (GO:0007413)
GO:0002673,0.1128678,24.44815,129.7781,F12;KLKB1,Regulation of Acute Inflammatory Response (GO:0002673)
GO:0007368,0.1128678,24.44815,129.7781,SHH;MEGF8,Determination of Left/Right Symmetry (GO:0007368)
GO:0030326,0.1128678,24.44815,129.7781,SHH;MEGF8,Embryonic Limb Morphogenesis (GO:0030326)
GO:0046466,0.1307489,20.95238,106.1432,FUCA1;ENPP2,Membrane Lipid Catabolic Process (GO:0046466)
GO:0060541,0.1307489,20.95238,106.1432,SHH;CHI3L1,Respiratory System Development (GO:0060541)
GO:0030323,0.1307489,20.95238,106.1432,SHH;CHI3L1,Respiratory Tube Development (GO:0030323)
GO:0032091,0.1423164,8.531979,42.24439,CFHR2;CFHR1;ADIPOQ,Negative Regulation of Protein Binding (GO:0032091)
GO:0032652,0.1444709,18.33056,88.93467,ORM1;CEACAM1,Regulation of Interleukin-1 Production (GO:0032652)
GO:0051180,0.1444709,18.33056,88.93467,AFM;GC,Vitamin Transport (GO:0051180)
GO:0030324,0.1444709,18.33056,88.93467,SHH;CHI3L1,Lung Development (GO:0030324)
GO:0050819,0.166032,16.29136,75.91725,PROCR;APOH,Negative Regulation of Coagulation (GO:0050819)
GO:0042551,0.166032,16.29136,75.91725,C1QA;B4GALT5,Neuron Maturation (GO:0042551)
GO:0019318,0.1697847,7.389888,33.9184,H6PD;FUCA1;FUCA2,Hexose Metabolic Process (GO:0019318)
GO:0050820,0.1697847,14.66,65.77304,F12;APOH,Positive Regulation of Coagulation (GO:0050820)
GO:0045765,0.1697847,3.939504,17.47533,CEACAM1;LRG1;APOH;CHI3L1;KLKB1,Regulation of Angiogenesis (GO:0045765)
GO:0002762,0.1697847,13.32525,57.67724,CEACAM1;C1QC,Negative Regulation of Myeloid Leukocyte Differentiation (GO:0002762)
GO:0002526,0.1697847,13.32525,57.67724,ITIH4;VNN1,Acute Inflammatory Response (GO:0002526)
GO:0010755,0.1697847,13.32525,57.67724,CLEC3B;F12,Regulation of Plasminogen Activation (GO:0010755)
GO:0140448,0.1697847,13.32525,57.67724,BCHE;PLA2G7,Signaling Receptor Ligand Precursor Processing (GO:0140448)
GO:0006704,0.1697847,inf,inf,SERPINA6,Glucocorticoid Biosynthetic Process (GO:0006704)
GO:0009948,0.1697847,inf,inf,SHH,Anterior/Posterior Axis Specification (GO:0009948)
GO:0060402,0.1697847,inf,inf,CACNA2D1,Calcium Ion Transport Into Cytosol (GO:0060402)
GO:0061458,0.1697847,inf,inf,SHH,Reproductive System Development (GO:0061458)
GO:2000027,0.1697847,inf,inf,SHH,Regulation of Animal Organ Morphogenesis (GO:2000027)
GO:0071907,0.1697847,inf,inf,MEGF8,Determination of Digestive Tract Left/Right Asymmetry (GO:0071907)
GO:1905208,0.1697847,inf,inf,EGFR,Negative Regulation of Cardiocyte Differentiation (GO:1905208)
GO:0035050,0.1697847,inf,inf,MEGF8,Embryonic Heart Tube Development (GO:0035050)
GO:0050808,0.1697847,4.647017,19.86986,C1QB;C1QA;CNTN4;C1QC,Synapse Organization (GO:0050808)
GO:0045596,0.1697847,4.647017,19.86986,SHH;ADIPOQ;CNTN4;EGFR,Negative Regulation of Cell Differentiation (GO:0045596)
GO:0007156,0.1763833,6.329374,26.60364,CEACAM1;CNTN4;NECTIN1,Homophilic Cell Adhesion via Plasma Membrane Adhesion Molecules (GO:0007156)
GO:0006954,0.1763833,3.70206,15.55832,CCL14;AOC3;ORM1;VNN1;CHI3L1,Inflammatory Response (GO:0006954)
GO:0030201,0.176799,12.21296,51.0888,EXT1;NAGLU,Heparan Sulfate Proteoglycan Metabolic Process (GO:0030201)
GO:0046475,0.1955646,11.27179,45.63892,ENPP2;PLA2G7,Glycerophospholipid Catabolic Process (GO:0046475)
GO:0001914,0.1955646,11.27179,45.63892,AZGP1;CEACAM1,Regulation of T Cell Mediated Cytotoxicity (GO:0001914)
GO:0060562,0.2144944,10.46508,41.06806,SHH;MEGF8,Epithelial Tube Morphogenesis (GO:0060562)
GO:0010874,0.2144944,10.46508,41.06806,SHH;ADIPOQ,Regulation of Cholesterol Efflux (GO:0010874)
GO:0008589,0.2180375,9.765926,37.18864,SHH;MEGF8,Regulation of Smoothened Signaling Pathway (GO:0008589)
GO:0010466,0.2180375,9.154167,33.86195,CST3;FETUB,Negative Regulation of Peptidase Activity (GO:0010466)
GO:0045601,0.2180375,72.59341,261.4524,CEACAM1,Regulation of Endothelial Cell Differentiation (GO:0045601)
GO:0038134,0.2180375,72.59341,261.4524,EGFR,ERBB2-EGFR Signaling Pathway (GO:0038134)
GO:0008211,0.2180375,72.59341,261.4524,SERPINA6,Glucocorticoid Metabolic Process (GO:0008211)
GO:0042359,0.2180375,72.59341,261.4524,GC,Vitamin D Metabolic Process (GO:0042359)
GO:0007250,0.2180375,72.59341,261.4524,CHI3L1,Activation of NF-kappaB-inducing Kinase Activity (GO:0007250)
GO:0003085,0.2180375,72.59341,261.4524,PRCP,Negative Regulation of Systemic Arterial Blood Pressure (GO:0003085)
GO:1900107,0.2180375,72.59341,261.4524,SHH,Regulation of Nodal Signaling Pathway (GO:1900107)
GO:0048663,0.2180375,72.59341,261.4524,SHH,Neuron Fate Commitment (GO:0048663)
GO:0045059,0.2180375,72.59341,261.4524,SHH,Positive Thymic T Cell Selection (GO:0045059)
GO:0050873,0.2180375,72.59341,261.4524,ADIPOQ,Brown Fat Cell Differentiation (GO:0050873)
GO:0002320,0.2180375,72.59341,261.4524,SHH,Lymphoid Progenitor Cell Differentiation (GO:0002320)
GO:0017038,0.2180375,72.59341,261.4524,LAMP2,Protein Import (GO:0017038)
GO:0086012,0.2180375,72.59341,261.4524,CACNA2D1,Membrane Depolarization During Cardiac Muscle Cell Action Potential (GO:0086012)
GO:0046130,0.2180375,72.59341,261.4524,ADA2,Purine Ribonucleoside Catabolic Process (GO:0046130)
GO:0006032,0.2180375,72.59341,261.4524,CTBS,Chitin Catabolic Process (GO:0006032)
GO:0006030,0.2180375,72.59341,261.4524,CTBS,Chitin Metabolic Process (GO:0006030)
GO:0019695,0.2180375,72.59341,261.4524,BCHE,Choline Metabolic Process (GO:0019695)
GO:0072044,0.2180375,72.59341,261.4524,SHH,Collecting Duct Development (GO:0072044)
GO:0046637,0.2180375,72.59341,261.4524,SHH,Regulation of Alpha-Beta T Cell Differentiation (GO:0046637)
GO:0045776,0.2180375,72.59341,261.4524,PRCP,Negative Regulation of Blood Pressure (GO:0045776)
GO:0002684,0.2180375,8.614379,30.98333,C8B;CFP,Positive Regulation of Immune System Process (GO:0002684)
GO:0044319,0.2346742,8.134568,28.47244,CEACAM1;LRG1,"Wound Healing, Spreading of Cells (GO:0044319)"
GO:0045582,0.2346742,8.134568,28.47244,SHH;VNN1,Positive Regulation of T Cell Differentiation (GO:0045582)
GO:0016486,0.2438563,7.705263,26.26666,BCHE;PLA2G7,Peptide Hormone Processing (GO:0016486)
GO:0010594,0.2438563,4.511351,15.23454,CEACAM1;APOH;PRCP,Regulation of Endothelial Cell Migration (GO:0010594)
GO:0031638,0.2438563,7.318889,24.31653,F12;KLKB1,Zymogen Activation (GO:0031638)
GO:0030193,0.2438563,7.318889,24.31653,APOH;F12,Regulation of Blood Coagulation (GO:0030193)
GO:0009890,0.2438563,7.318889,24.31653,CEACAM1;ADIPOQ,Negative Regulation of Biosynthetic Process (GO:0009890)
GO:0050730,0.2438563,6.969312,22.58248,ENPP2;EGFR,Regulation of Peptidyl-Tyrosine Phosphorylation (GO:0050730)
GO:0051006,0.2438563,36.29121,116.2384,APOH,Positive Regulation of Lipoprotein Lipase Activity (GO:0051006)
GO:0001655,0.2438563,36.29121,116.2384,SHH,Urogenital System Development (GO:0001655)
GO:0033084,0.2438563,36.29121,116.2384,SHH,Regulation of Immature T Cell Proliferation in Thymus (GO:0033084)
GO:0016139,0.2438563,36.29121,116.2384,FUCA2,Glycoside Catabolic Process (GO:0016139)
GO:1901658,0.2438563,36.29121,116.2384,FUCA2,Glycosyl Compound Catabolic Process (GO:1901658)
GO:0046085,0.2438563,36.29121,116.2384,ADA2,Adenosine Metabolic Process (GO:0046085)
GO:0007405,0.2438563,36.29121,116.2384,SHH,Neuroblast Proliferation (GO:0007405)
GO:0048368,0.2438563,36.29121,116.2384,SHH,Lateral Mesoderm Development (GO:0048368)
GO:0007339,0.2438563,36.29121,116.2384,FETUB,Binding of Sperm to Zona Pellucida (GO:0007339)
GO:0071211,0.2438563,36.29121,116.2384,LAMP2,Protein Targeting to Vacuole Involved in Autophagy (GO:0071211)
GO:0072075,0.2438563,36.29121,116.2384,SHH,Metanephric Mesenchyme Development (GO:0072075)
GO:0060307,0.2438563,36.29121,116.2384,CACNA2D1,Regulation of Ventricular Cardiac Muscle Cell Membrane Repolarization (GO:0060307)
GO:0005976,0.2438563,36.29121,116.2384,EXT1,Polysaccharide Metabolic Process (GO:0005976)
GO:0002544,0.2438563,36.29121,116.2384,VNN1,Chronic Inflammatory Response (GO:0002544)
GO:0046638,0.2438563,36.29121,116.2384,SHH,Positive Regulation of Alpha-Beta T Cell Differentiation (GO:0046638)
GO:0090103,0.2438563,36.29121,116.2384,NECTIN1,Cochlea Morphogenesis (GO:0090103)
GO:0048841,0.2438563,36.29121,116.2384,MEGF8,Regulation of Axon Extension Involved in Axon Guidance (GO:0048841)
GO:0003140,0.2438563,36.29121,116.2384,SHH,Determination of Left/Right Asymmetry in Lateral Mesoderm (GO:0003140)
GO:0061053,0.2438563,36.29121,116.2384,SHH,Somite Development (GO:0061053)
GO:1902750,0.2438563,36.29121,116.2384,CFH,Negative Regulation of Cell Cycle G2/M Phase Transition (GO:1902750)
GO:0001934,0.2449405,3.254745,10.38188,ADIPOQ;ENPP2;CHI3L1;EGFR,Positive Regulation of Protein Phosphorylation (GO:0001934)
