term,fdr,Odds Ratio,Combined Score,Genes,description
Regulation of Complement Cascade,9.018294e-11,15.77737,452.1576,C1QB;C1QA;CPB2;IGKV2D-30;CFH;CFI;C8B;CFP;C2;IGHG3;C6;C7;CFHR2;CFHR1;CFB;C1QC,Regulation of Complement Cascade
Complement Cascade,1.997061e-10,14.12914,383.8951,C1QB;C1QA;CPB2;IGKV2D-30;CFH;CFI;C8B;CFP;C2;IGHG3;C6;C7;CFHR2;CFHR1;CFB;C1QC,Complement Cascade
Innate Immune System,2.422939e-09,4.913117,119.2369,C1QB;C1QA;ORM1;CPB2;PGLYRP2;IGKV2D-30;CFH;CRISP3;CFI;HP;PRCP;A1BG;C8B;CFP;LILRA3;C2;CST3;IGHG3;C6;C7;LAMP2;FUCA1;FUCA2;GGH;OSCAR;BST1;CEACAM1;VNN1;LRG1;CFHR2;CFHR1;IGHE;CHI3L1;CFB;C1QC,Innate Immune System
Immune System,9.805221e-06,3.249843,50.94365,C1QB;C1QA;ORM1;CPB2;PGLYRP2;IGKV2D-30;CFH;CRISP3;CFI;HP;PRCP;A1BG;C8B;CFP;LILRA3;C2;CST3;IGHG3;CA1;C6;C7;LAMP2;MRC1;FUCA1;FUCA2;GGH;OSCAR;BST1;CEACAM1;VNN1;LRG1;CFHR2;CFHR1;IGHD;IGHE;CHI3L1;CFB;C1QC,Immune System
Intrinsic Pathway of Fibrin Clot Formation,2.262548e-05,27.04514,393.7115,SERPINC1;F12;F11;PRCP;A2M;KLKB1,Intrinsic Pathway of Fibrin Clot Formation
Formation of Fibrin Clot (Clotting Cascade),2.262548e-05,18.05451,260.6007,PROCR;SERPINC1;F12;F11;PRCP;A2M;KLKB1,Formation of Fibrin Clot (Clotting Cascade)
Neutrophil Degranulation,0.0001869939,4.019643,48.91083,ORM1;FUCA1;CRISP3;FUCA2;HP;GGH;PRCP;A1BG;CFP;LILRA3;OSCAR;CST3;BST1;CEACAM1;VNN1;LRG1;LAMP2;CHI3L1,Neutrophil Degranulation
Initial Triggering of Complement,0.000454885,8.407979,93.71074,IGHG3;C1QB;C1QA;IGKV2D-30;CFP;CFB;C1QC;C2,Initial Triggering of Complement
Activation of C3 and C5,0.002360773,55.64326,521.9878,CFP;CFB;C2,Activation of C3 and C5
Terminal Pathway of Complement,0.003365712,44.50787,397.0529,C6;C7;C8B,Terminal Pathway of Complement
Platelet Degranulation,0.004810188,5.573574,47.2001,ITIH4;ORM1;CLEC3B;APOH;LAMP2;PLG;A1BG;A2M,Platelet Degranulation
Response to Elevated Platelet Cytosolic Ca2+,0.005536952,5.376398,44.306,ITIH4;ORM1;CLEC3B;APOH;LAMP2;PLG;A1BG;A2M,Response to Elevated Platelet Cytosolic Ca2+
Hemostasis,0.01072901,2.866791,21.49888,ITIH4;ORM1;IGKV2D-30;SERPINC1;F12;F11;PLG;PRCP;A1BG;PROCR;CLEC3B;CEACAM1;APOH;LAMP2;A2M;KLKB1,Hemostasis
Defects of Contact Activation System (CAS) and Kallikrein Kinin System (KKS),0.01821622,18.52528,127.7469,F12;F11;KLKB1,Defects of Contact Activation System (CAS) and Kallikrein Kinin System (KKS)
Alternative Complement Activation,0.01847191,73.38889,499.9899,CFP;CFB,Alternative Complement Activation
Post-translational Modification Synthesis of GPI-anchored Proteins,0.02208426,9.339489,61.35792,BST1;VNN1;CNTN4;ART3,Post-translational Modification Synthesis of GPI-anchored Proteins
Diseases of Hemostasis,0.02611323,14.81348,93.94013,F12;F11;KLKB1,Diseases of Hemostasis
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.02868525,4.995656,30.88644,CST3;SERPINC1;IGFBP2;FUCA2;PLG;IGFBP7,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
Classical Antibody-Mediated Complement Activation,0.02868525,6.066926,37.22886,IGHG3;C1QB;C1QA;IGKV2D-30;C1QC,Classical Antibody-Mediated Complement Activation
Creation of C4 and C2 Activators,0.04469274,5.366995,30.27866,IGHG3;C1QB;C1QA;IGKV2D-30;C1QC,Creation of C4 and C2 Activators
Peptide Hormone Metabolism,0.05684715,6.483202,34.70001,BCHE;CPB2;CPB1;PLA2G7,Peptide Hormone Metabolism
"Platelet Activation, Signaling and Aggregation",0.1129334,2.901134,13.40134,ITIH4;ORM1;CLEC3B;APOH;LAMP2;PLG;A1BG;A2M,"Platelet Activation, Signaling and Aggregation"
"Synthesis, Secretion, and Deacylation of Ghrelin",0.1329392,13.32525,57.67724,BCHE;PLA2G7,"Synthesis, Secretion, and Deacylation of Ghrelin"
Metabolism of Angiotensinogen to Angiotensins,0.1329392,13.32525,57.67724,CPB2;CPB1,Metabolism of Angiotensinogen to Angiotensins
Vitamin B5 (Pantothenate) Metabolism,0.1329392,13.32525,57.67724,VNN1;ENPP2,Vitamin B5 (Pantothenate) Metabolism
Scavenging of Heme From Plasma,0.1415497,4.574825,19.33521,HPX;CD163;IGKV2D-30;HP,Scavenging of Heme From Plasma
N-glycan Antennae Elongation in the Medial trans-Golgi,0.1902476,9.765926,37.18864,FUCA1;B4GALT5,N-glycan Antennae Elongation in the Medial trans-Golgi
Activation of Matrix Metalloproteinases,0.1902476,9.765926,37.18864,PLG;KLKB1,Activation of Matrix Metalloproteinases
Glucocorticoid Biosynthesis,0.1902476,72.59341,261.4524,SERPINA6,Glucocorticoid Biosynthesis
PTK6 Promotes HIF1A Stabilization,0.1902476,72.59341,261.4524,EGFR,PTK6 Promotes HIF1A Stabilization
Signaling by Overexpressed Wild-Type EGFR in Cancer,0.1902476,72.59341,261.4524,EGFR,Signaling by Overexpressed Wild-Type EGFR in Cancer
Presynaptic Depolarization and Calcium Channel Opening,0.1902476,72.59341,261.4524,CACNA2D1,Presynaptic Depolarization and Calcium Channel Opening
Inhibition of Signaling by Overexpressed EGFR,0.1902476,72.59341,261.4524,EGFR,Inhibition of Signaling by Overexpressed EGFR
Digestion of Dietary Carbohydrate,0.1902476,72.59341,261.4524,AMY2A,Digestion of Dietary Carbohydrate
EGFR Interacts With Phospholipase C-gamma,0.1902476,72.59341,261.4524,EGFR,EGFR Interacts With Phospholipase C-gamma
ERBB2 Activates PTK6 Signaling,0.1902476,72.59341,261.4524,EGFR,ERBB2 Activates PTK6 Signaling
Post-translational Protein Phosphorylation,0.1902476,3.708523,13.26887,CST3;SERPINC1;FUCA2;IGFBP7,Post-translational Protein Phosphorylation
Common Pathway of Fibrin Clot Formation,0.2193511,7.705263,26.26666,PROCR;SERPINC1,Common Pathway of Fibrin Clot Formation
Formation of Lateral Plate Mesoderm,0.2560491,36.29121,116.2384,SHH,Formation of Lateral Plate Mesoderm
TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors,0.2560491,36.29121,116.2384,EGFR,TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors
Binding and Uptake of Ligands by Scavenger Receptors,0.261439,3.218874,10.16331,HPX;CD163;IGKV2D-30;HP,Binding and Uptake of Ligands by Scavenger Receptors
Modulation by Mtb of Host Immune System,0.3082637,24.19048,70.68552,MRC1,Modulation by Mtb of Host Immune System
Prednisone ADME,0.3082637,24.19048,70.68552,SERPINA6,Prednisone ADME
Creatine Metabolism,0.3082637,24.19048,70.68552,CKM,Creatine Metabolism
AMPK Inhibits chREBP Transcriptional Activation Activity,0.3136257,18.14011,49.08109,ADIPOQ,AMPK Inhibits chREBP Transcriptional Activation Activity
Fibronectin Matrix Formation,0.3136257,18.14011,49.08109,CEACAM1,Fibronectin Matrix Formation
Formation of Axial Mesoderm,0.3136257,18.14011,49.08109,SHH,Formation of Axial Mesoderm
Neurotransmitter Clearance,0.3136257,18.14011,49.08109,BCHE,Neurotransmitter Clearance
HDL Assembly,0.3136257,18.14011,49.08109,A2M,HDL Assembly
ERBB2 Regulates Cell Motility,0.3136257,18.14011,49.08109,EGFR,ERBB2 Regulates Cell Motility
Vitamin D (Calciferol) Metabolism,0.3136257,18.14011,49.08109,GC,Vitamin D (Calciferol) Metabolism
Release of Hh-Np From the Secreting Cell,0.3136257,18.14011,49.08109,SHH,Release of Hh-Np From the Secreting Cell
Metabolism of Water-Soluble Vitamins and Cofactors,0.3136257,3.29029,8.699321,BST1;VNN1;ENPP2,Metabolism of Water-Soluble Vitamins and Cofactors
Heparan Sulfate Heparin (HS-GAG) Metabolism,0.3136257,4.565972,11.59857,EXT1;NAGLU,Heparan Sulfate Heparin (HS-GAG) Metabolism
Reversible Hydration of Carbon Dioxide,0.3136257,14.50989,36.71149,CA1,Reversible Hydration of Carbon Dioxide
Nectin Necl Trans Heterodimerization,0.3136257,14.50989,36.71149,NECTIN1,Nectin Necl Trans Heterodimerization
GRB2 Events in EGFR Signaling,0.3136257,14.50989,36.71149,EGFR,GRB2 Events in EGFR Signaling
GRB2 Events in ERBB2 Signaling,0.3136257,14.50989,36.71149,EGFR,GRB2 Events in ERBB2 Signaling
PI3K Events in ERBB2 Signaling,0.3136257,14.50989,36.71149,EGFR,PI3K Events in ERBB2 Signaling
CD163 Mediating an Anti-Inflammatory Response,0.3136257,14.50989,36.71149,CD163,CD163 Mediating an Anti-Inflammatory Response
Glycosphingolipid Biosynthesis,0.3136257,14.50989,36.71149,B4GALT5,Glycosphingolipid Biosynthesis
Defective F9 Activation,0.3136257,14.50989,36.71149,F11,Defective F9 Activation
Ligand-receptor Interactions,0.3136257,14.50989,36.71149,SHH,Ligand-receptor Interactions
Reactions Specific to the Complex N-glycan Synthesis Pathway,0.3136257,14.50989,36.71149,FUCA1,Reactions Specific to the Complex N-glycan Synthesis Pathway
Erythrocytes Take up Oxygen and Release Carbon Dioxide,0.3322864,12.08974,28.80613,CA1,Erythrocytes Take up Oxygen and Release Carbon Dioxide
SHC1 Events in EGFR Signaling,0.3322864,12.08974,28.80613,EGFR,SHC1 Events in EGFR Signaling
Aspirin ADME,0.3322864,12.08974,28.80613,BCHE,Aspirin ADME
Digestion,0.3322864,12.08974,28.80613,AMY2A,Digestion
Digestion and Absorption,0.3322864,12.08974,28.80613,AMY2A,Digestion and Absorption
EGFR Transactivation by Gastrin,0.3322864,12.08974,28.80613,EGFR,EGFR Transactivation by Gastrin
Degradation of the Extracellular Matrix,0.344093,2.858602,6.670813,PLG;A2M;KLKB1,Degradation of the Extracellular Matrix
Defective Factor IX Causes Hemophilia B,0.366732,10.36107,23.3734,F11,Defective Factor IX Causes Hemophilia B
Glycosaminoglycan Metabolism,0.3743252,2.617576,5.615914,EXT1;NAGLU;B4GALT5,Glycosaminoglycan Metabolism
Erythrocytes Take up Carbon Dioxide and Release Oxygen,0.3743252,9.06456,19.44181,CA1,Erythrocytes Take up Carbon Dioxide and Release Oxygen
Mucopolysaccharidoses,0.3743252,9.06456,19.44181,NAGLU,Mucopolysaccharidoses
O2 CO2 Exchange in Erythrocytes,0.3743252,9.06456,19.44181,CA1,O2 CO2 Exchange in Erythrocytes
HuR (ELAVL1) Binds and Stabilizes mRNA,0.3743252,9.06456,19.44181,ENPP2,HuR (ELAVL1) Binds and Stabilizes mRNA
Drug ADME,0.3743252,3.558808,7.623324,BCHE;SERPINA6,Drug ADME
N-Glycan Antennae Elongation,0.3743252,8.056166,16.48414,B4GALT5,N-Glycan Antennae Elongation
SHC1 Events in ERBB2 Signaling,0.3743252,8.056166,16.48414,EGFR,SHC1 Events in ERBB2 Signaling
Activation of SMO,0.3743252,8.056166,16.48414,SHH,Activation of SMO
GAB1 Signalosome,0.3743252,8.056166,16.48414,EGFR,GAB1 Signalosome
Signaling by ERBB2 TMD JMD Mutants,0.3743252,8.056166,16.48414,EGFR,Signaling by ERBB2 TMD JMD Mutants
"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS",0.3743252,8.056166,16.48414,EXT1,"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS"
Defective EXT2 Causes Exostoses 2,0.3743252,8.056166,16.48414,EXT1,Defective EXT2 Causes Exostoses 2
