Protein_Group	Genes	SAX_62001_B_vs_RAW_62001_B_logFC	SAX_62001_B_vs_RAW_62001_B_pval	Removed?	Contaminant?
A0A075B6H7	IGKV3-7	1.91250107278379	0.0028915025037259	No	No
A0A075B6I1	IGLV4-60	7.85083708716073	1.6902292489117e-07	No	No
A0A075B6I4	IGLV10-54	3.5546937689435	6.841170586270659e-11	No	No
A0A075B6I9	IGLV7-46	2.81445419114652	1.00257933577043e-07	No	No
A0A075B6J6	IGLV3-22	4.0661406004196	3.5273415870220403e-10	No	No
A0A075B6J9	IGLV2-18	3.89647365498568	6.08488501565481e-09	No	No
A0A075B6K4	IGLV3-10	2.3712322450186	4.04087033037794e-07	No	No
A0A075B6K6	IGLV4-3	1.82077633603115	0.0002441819704316	No	No
A0A075B6S2	IGKV2D-29	1.76661956000561	0.0015525024529671	No	No
A0A087WSZ0	IGKV1D-8	1.95002634551055	0.0001042664250714	No	No
A0A0A0MS14	IGHV1-45	1.36199042148749	0.0037204263593055	No	No
A0A0A0MT96	IGKJ3	10.9851757413101	4.41579857190387e-39	No	No
A0A0B4J1V1	IGHV3-21	7.09696184861002	4.36452663558803e-22	No	No
A0A0B4J1V6	IGHV3-73	1.9074870273969	0.0001111388837492	No	No
A0A0B4J1Y8	IGLV9-49	1.75333372477905	0.0019327694584296	No	No
A0A0C4DH29	IGHV1-3	2.08641990804704	1.93480161048819e-05	No	No
A0A0C4DH33	IGHV1-24	6.73794174013074	3.3745097008486e-22	No	No
A0A0C4DH38	IGHV5-51	2.32483156823254	0.0001102056145174	No	No
A0A0J9YWP8	TRBJ1-3	2.18481218568735	4.94170256146309e-08	No	No
A0A0J9YY99	gene	3.35761102787469	2.96135470118612e-07	No	No
A0A1B0GTC6	C3orf85	6.2283430322045	2.29687086450999e-21	No	No
A0AVT1	UBA6	4.25755892941317	1.30743847176141e-08	No	No
A0FGR8	ESYT2	5.6387096236084	1.7687677271567998e-14	No	No
A0MZ66	SHTN1	2.47450480027531	2.75856486263181e-05	No	No
A1L4H1	SSC5D	3.39379374511103	1.1128117167989e-07	No	No
A2VDF0	FUOM	2.29774772709036	1.44452117935363e-05	No	No
A4D1P6	WDR91	4.43189588624863	2.01293111662631e-11	No	No
A5D8V6	VPS37C	5.07310845945687	1.44584306695836e-18	No	No
A6NDB9	PALM3	7.8965418883323	3.61711763654517e-17	No	No
A6NDG6	PGP	5.59215055003458	1.24953927826384e-13	No	No
