Protein_Group	Genes	SAX_62001_M3_vs_RAW_62001_M3_logFC	SAX_62001_M3_vs_RAW_62001_M3_pval	Removed?	Contaminant?
A0A075B6I4	IGLV10-54	2.50998635734634	5.66304273297176e-07	No	No
A0A075B6I9	IGLV7-46	2.87156681153852	6.25495296483605e-08	No	No
A0A075B6J6	IGLV3-22	3.99485579136	5.897714318830741e-10	No	No
A0A075B6J9	IGLV2-18	3.6300206381224	3.67109786627678e-08	No	No
A0A075B6K4	IGLV3-10	2.04175424396762	7.5814408041815e-06	No	No
A0A075B6S2	IGKV2D-29	2.280304091082	6.88003908076786e-05	No	No
A0A0A0MS00	IGLV3-32	3.08948862201234	7.7458550120448e-09	No	No
A0A0A0MS14	IGHV1-45	1.84747606716571	0.0001293013364274	No	No
A0A0A0MT96	IGKJ3	1.72974939904239	4.01564096471227e-06	No	No
A0A0B4J1V6	IGHV3-73	1.4087021621994	0.0033315780811749	No	No
A0A0C4DH29	IGHV1-3	2.01176101948139	3.47164931440215e-05	No	No
A0A0C4DH31	IGHV1-18	1.80999858350163	0.0006209799906114	No	No
A0A0C4DH33	IGHV1-24	5.31128412022513	1.42550731158722e-17	No	No
A0A0C4DH39	IGHV1-58	2.96838242639708	7.979033614311e-05	No	No
A0A0G2JMI3	IGHV1-69-2	9.07511332248592	1.10967629859808e-28	No	No
A0A0J9YY99	gene	2.80444925955248	1.0057654560671e-05	No	No
A0A1B0GTC6	C3orf85	3.12600304734947	6.10721978172106e-10	No	No
A0MZ66	SHTN1	2.53088427338081	1.9144448668092e-05	No	No
A1L4H1	SSC5D	2.05500831553623	0.0005430162915866	No	No
A2VDF0	FUOM	3.20244000515408	1.33514288086733e-08	No	No
A4D1P6	WDR91	2.23334523374523	0.0001032584831667	No	No
A6NDB9	PALM3	7.54190751502932	2.38724632998442e-16	No	No
A6NDG6	PGP	6.99405339475788	1.9581225955532e-17	No	No
A6NH11	GLTPD2	5.29062122329741	0.0020178571397689	No	No
A6NHL2	TUBAL3	9.25986174328551	1.1978639015479502e-25	No	No
A6NMZ7	COL6A6	3.4127989426337	0.0007390624146175	No	No
B0I1T2	MYO1G	5.38537432640187	4.4257910189665e-15	No	No
B1AKI9	ISM1	4.15288373082202	7.0346385071336e-05	No	No
B2RUZ4	SMIM1	5.8348502585445	3.18948243061371e-19	No	No
E9PAV3	NACA	11.0523487599012	3.3062922211132e-33	No	No
O00139	KIF2A	7.54877241616667	8.000597323381671e-19	No	No
O00142	TK2	2.06862796786204	0.0041746136804604	No	No
O00151	PDLIM1	11.1356379652947	5.448475940046601e-32	No	No
O00154	ACOT7	6.19307808005511	6.162414984964829e-12	No	No
O00159	MYO1C	7.32532219228826	5.1531761554159204e-21	No	No
O00161	SNAP23	8.89702435727235	5.98627284836058e-32	No	No
O00182	LGALS9	3.6226092406805	1.6002405248673199e-13	No	No
O00186	STXBP3	6.87606231385236	1.33775554766475e-18	No	No
O00187	MASP2	6.11308983043261	4.6194079504515e-22	No	No
O00194	RAB27B	9.54168089632819	3.4632954980858903e-31	No	No
O00203	AP3B1	7.64864842919979	3.36739300129977e-24	No	No
O00231	PSMD11	10.5351489861081	8.967096080542449e-30	No	No
O00232	PSMD12	4.23016428959109	2.78032059492954e-07	No	No
O00233	PSMD9	5.45876068904527	1.04335476436694e-10	No	No
O00264	PGRMC1	6.2457486125526	9.59068720927225e-19	No	No
O00273	DFFA	4.42374432905578	6.219451584047521e-15	No	No
O00299	CLIC1	5.32080548637008	6.35158229553074e-19	No	No
O00303	EIF3F	7.92610026257624	3.03978849154121e-24	No	No
O00339	MATN2	8.89652106071426	3.1060328160157804e-14	No	No
O00401	WASL	4.66187866542884	7.42934903200744e-08	No	No
O00410	IPO5	8.91956359717739	5.22690711082821e-23	No	No
O00429	DNM1L	8.20696532612469	3.7507087569787703e-19	No	No
O00461	GOLIM4	12.8531036822472	4.78796328190833e-37	No	No
O00468	AGRN	5.9432975458497	1.06014383131388e-18	No	No
O00487	PSMD14	8.9869668429468	4.5431715510864104e-31	No	No
O00499	BIN1	6.71547270355922	2.02631850383823e-17	No	No
O00505	KPNA3	3.55374194419836	1.31006949153307e-06	No	No
O00533	CHL1	1.08297552528566	0.0099194690105992	No	No
O00541	PES1	2.22882088247318	0.005913903848258	No	No
O00560	SDCBP	6.81388204390834	4.1122696342072305e-23	No	No
O00567	NOP56	2.99048365227622	0.0009717329562668	No	No
O00571	DDX3X	6.69244426124144	1.3570029738940401e-17	No	No
O00584	RNASET2	1.84371520486128	0.0012082671697555	No	No
O00587	MFNG	6.21491107112868	2.48570905347006e-17	No	No
O00592	PODXL	6.58258163148426	3.3194377518921e-27	No	No
O00629	KPNA4	6.38129366649178	2.21303651668957e-18	No	No
O00743	PPP6C	8.71930050847524	3.40489895143151e-23	No	No
O00748	CES2	6.28253666609787	1.72002597424712e-08	No	No
O14497	ARID1A	9.40131743104222	2.61561317454673e-27	No	No
O14498	ISLR	2.99350745783741	6.430413878511161e-10	No	No
O14561	NDUFAB1	8.08066254908819	8.31793356728262e-25	No	No
O14579	COPE	11.3420224335762	3.44295863540557e-33	No	No
O14594	NCAN	8.5817877338604	1.8030729267490697e-30	No	No
O14656	TOR1A	8.77929849366534	5.032082538149351e-19	No	No
O14657	TOR1B	3.43092490114308	9.047003865013811e-09	No	No
O14672	ADAM10	6.10956678106406	1.83041673679831e-16	No	No
O14737	PDCD5	6.92154683652925	1.2376769350446701e-10	No	No
O14744	PRMT5	6.87101014045643	2.4454683008857902e-23	No	No
O14745	SLC9A3R1	4.98535626659339	3.93049699703399e-10	No	No
O14773	TPP1	10.2253957169558	1.0574860010979699e-12	No	No
O14786	NRP1	6.75667050599917	1.14945851022513e-25	No	No
O14817	TSPAN4	5.10257984934951	2.57636020409685e-16	No	No
O14818	PSMA7	6.8480365747718	9.57436862082324e-18	No	No
O14917	PCDH17	6.6584803084498	2.1961069342341899e-16	No	No
O14936	CASK	4.21166950175501	7.35311775218061e-08	No	No
O14949	UQCRQ	2.99839063101855	1.8190576239128e-07	No	No
O14964	HGS	5.78097498173007	2.4138541171379602e-17	No	No
O14974	PPP1R12A	8.31084543500227	3.99871264928724e-25	No	No
O14979	HNRNPDL	6.40991765069827	7.769515659101361e-15	No	No
O14980	XPO1	6.55391623060003	1.9657471130348e-15	No	No
O15027	SEC16A	5.59897659561379	7.21031073857693e-12	No	No
O15031	PLXNB2	1.99181144901409	0.000418663771081	No	No
O15042	U2SURP	4.88060194695842	5.619174937003439e-18	No	No
O15067	PFAS	3.16468036552122	6.83419858296781e-05	No	No
O15116	LSM1	8.79029543731292	3.28005596399515e-26	No	No
O15117	FYB1	9.83143375046924	2.04703848112224e-34	No	No
O15123	ANGPT2	5.49597561299597	1.19817786956489e-08	No	No
O15143	ARPC1B	8.96618173464739	2.25134454091403e-24	No	No
O15144	ARPC2	5.17275299362186	1.1488173612777401e-17	No	No
O15145	ARPC3	8.44858968663852	4.54199741688395e-27	No	No
O15173	PGRMC2	2.80720296620983	3.3597550195293e-07	No	No
O15204	ADAMDEC1	6.20905137502901	7.63220233072146e-11	No	No
O15212	PFDN6	5.95314267741128	1.83179124175288e-17	No	No
O15230	LAMA5	9.75022807906886	9.43737685435311e-15	No	No
O15240	VGF	5.37737484677493	1.66608937412177e-20	No	No
O15335	CHAD	5.0007844716861	6.94409890580375e-08	No	No
O15347	HMGB3	6.30096902801301	5.87608378810728e-22	No	No
O15355	PPM1G	10.0216215417319	1.38652568426633e-20	No	No
O15371	EIF3D	9.10442348526482	9.51454711010416e-29	No	No
O15372	EIF3H	7.1240741479003	6.45087720588692e-17	No	No
O15400	STX7	4.06262290623698	2.99660519408922e-13	No	No
O15427	SLC16A3	7.1274602734027	3.0397933059043e-23	No	No
O15460	P4HA2	5.88158780007433	1.7607571395807602e-09	No	No
O15466	ST8SIA5	5.87410442284493	3.57922406011973e-11	No	No
O15498	YKT6	6.5169892084516	3.10699605555022e-14	No	No
O15511	ARPC5	4.97931118819854	1.85176024642035e-13	No	No
O15514	POLR2D	3.12330490399472	8.36239811376711e-12	No	No
O15533	TAPBP	5.36979055456101	1.6743147178781402e-15	No	No
O15551	CLDN3	6.20308588820744	6.6233981249004696e-18	No	No
O43157	PLXNB1	7.15904997484762	2.5142875775887302e-21	No	No
O43169	CYB5B	3.49021665227955	6.98502425107734e-07	No	No
O43173	ST8SIA3	4.47121794959667	5.38320869017866e-10	No	No
O43175	PHGDH	6.16976724761719	4.51152246567059e-12	No	No
O43242	PSMD3	4.42725034397051	2.13500670447108e-05	No	No
O43390	HNRNPR	2.23089835793111	0.0024961416511457	No	No
O43396	TXNL1	7.81296788655132	1.24983371685615e-22	No	No
O43399	TPD52L2	6.45050878164873	3.22336100596959e-13	No	No
O43432	EIF4G3	4.88639364694953	1.45661594776364e-14	No	No
O43488	AKR7A2	6.97062247155925	1.07559985741904e-18	No	No
O43491	EPB41L2	8.61755470093022	1.55480354448122e-24	No	No
O43493	TGOLN2	3.06898307829569	4.892747843648369e-12	No	No
O43504	LAMTOR5	8.53151499638364	3.7502715120385597e-28	No	No
O43505	B4GAT1	3.80143452554654	6.0760474287116e-14	No	No
O43516	WIPF1	6.98107822536828	1.8322983214373998e-19	No	No
O43529	CHST10	5.98492051247183	2.32331239449505e-16	No	No
O43598	DNPH1	2.9170598623884	7.09278641558515e-07	No	No
O43633	CHMP2A	2.53766792037909	3.04427051689524e-05	No	No
O43653	PSCA	1.62150307156113	0.0006965975726116	No	No
O43670	ZNF207	3.76552364195674	9.28269165547727e-08	No	No
O43681	GET3	11.8658765875923	1.95977200677494e-32	No	No
