Protein_Group	Genes	SAX_62001_M3_vs_SAX_62001_B_logFC	SAX_62001_M3_vs_SAX_62001_B_pval	Removed?	Contaminant?
A0A075B6K2	IGLV3-12	2.38093693633007	0.0018522415470965	No	No
A0A0A0MS00	IGLV3-32	3.30096435123372	1.29106780120362e-09	No	No
A0A0A0MT89	IGKJ1	1.42456530887256	0.0038741538942542	No	No
A0A0C4DH31	IGHV1-18	1.49177263600927	0.0041760829078984	No	No
A0A0G2JMI3	IGHV1-69-2	8.4607758733725	4.04922815952014e-27	No	No
O00629	KPNA4	1.43766791831504	0.0061014470999876	No	No
O15042	U2SURP	1.30955346489593	0.0015708382058219	No	No
O43752	STX6	3.74968203157971	5.5602155619777505e-09	No	No
O75044	SRGAP2	3.32432188072841	2.17335145424518e-07	No	No
O75342	ALOX12B	6.01069751290178	1.52850431383303e-06	No	No
O75487	GPC4	1.76364799859422	7.82450471679015e-05	No	No
O75594	PGLYRP1	3.07086305274036	6.367891478531461e-09	No	No
O75844	ZMPSTE24	1.5746221140137	0.0060170443801411	No	No
O75995	SASH3	1.99536495131623	0.0037705398052065	No	No
O94933	SLITRK3	2.15377770978479	1.14230321977106e-07	No	No
O95232	LUC7L3	1.42928695449615	0.0073904914272926	No	No
O95757	HSPA4L	2.88509711008774	0.0001288006328593	No	No
P00488	F13A1	1.39838119172984	0.0004182993404838	No	No
P01350	GAST	3.54762513112464	3.51253857872697e-12	No	No
P01718	IGLV3-27	6.26820727485889	2.3264030239960002e-17	No	No
P02751	FN1	1.58314745443526	0.0005231821336515	No	No
P03950	ANG	1.92421342886479	0.008602711838518	No	No
P04066	FUCA1	3.74812550605007	3.41080605916606e-05	No	No
P04275	VWF	1.33053458836292	0.0029249502830672	No	No
P04839	CYBB	3.11956677065687	0.0006507414848197	No	No
P05160	F13B	1.7627898870609	0.0004929857503411	No	No
P06315	IGKV5-2	2.98041188616234	0.0006729734120226	No	No
P06731	CEACAM5	4.52514205467399	3.73821904161901e-14	No	No
P06870	KLK1	1.27167879940368	0.0019334118783015	No	No
P07478	PRSS2	1.72666200028676	0.0009933027665451	No	No
P07585	DCN	1.50316797277748	0.0002378012162393	No	No
P08572	COL4A2	2.03763382823267	0.0030353094742582	No	No
P09681	GIP	2.02346989532282	0.0003234101370039	No	No
P10645	CHGA	2.90711433003184	1.48279024583512e-07	No	No
P10915	HAPLN1	2.50335335571082	5.08525871487156e-05	No	No
P12110	COL6A2	1.70342830399614	0.001525368495709	No	No
P13611	VCAN	1.8399171032458	0.0019245722005462	No	No
P15085	CPA1	3.13582260134971	0.0015769025765193	No	No
P15692	VEGFA	8.37606842177777	3.39081859503256e-33	No	No
P15814	IGLL1	2.77416027212615	1.99968743457494e-05	No	No
P16444	DPEP1	6.04250940994306	8.77136880015018e-11	No	No
P18583	SON	1.88810234286917	8.66718592884261e-05	No	No
P18827	SDC1	1.52226519236092	1.26989676329185e-05	No	No
P19801	AOC1	1.56742770081874	0.0024429005084929	No	No
P22735	TGM1	3.58617473510668	0.003558133583029	No	No
P23921	RRM1	3.11368447730925	1.6179214363768e-07	No	No
