Protein_Group	Genes	SAX_Pooled_vs_RAW_Pooled_logFC	SAX_Pooled_vs_RAW_Pooled_pval	Removed?	Contaminant?
A0A075B6H7	IGKV3-7	2.13340347510501	7.75131106911789e-06	No	No
A0A075B6H9	IGLV4-69	4.32710295923548	5.05836205307202e-07	No	No
A0A075B6I0	IGLV8-61	2.94503642849637	5.421902153224529e-11	No	No
A0A075B6I1	IGLV4-60	5.53346691481992	1.81796879655146e-07	No	No
A0A075B6I4	IGLV10-54	1.98158707835981	4.70096388292706e-08	No	No
A0A075B6I7	IGLV5-48	7.17868321159295	3.23810537144517e-35	No	No
A0A075B6I9	IGLV7-46	2.47648595792522	3.20121831516399e-10	No	No
A0A075B6J1	IGLV5-37	0.956820847730985	5.48736737999088e-05	No	No
A0A075B6J6	IGLV3-22	5.04034722633214	3.21652559374889e-19	No	No
A0A075B6J9	IGLV2-18	3.17792321791392	1.05229144860672e-10	No	No
A0A075B6K0	IGLV3-16	1.04491294761462	0.002118769090554	No	No
A0A075B6K2	IGLV3-12	1.58363820286909	0.0032655435685139	No	No
A0A075B6K4	IGLV3-10	2.25345530168573	2.07415902154053e-10	No	No
A0A075B6K5	IGLV3-9	1.22493723802287	0.0006602191251606	No	No
A0A075B6K6	IGLV4-3	3.74826976477285	1.77911363534954e-16	No	No
A0A075B6S2	IGKV2D-29	1.37928674771606	0.0005326578141217	No	No
A0A075B6S5	IGKV1-27	2.34519358080696	1.55791609421497e-10	No	No
A0A075B7E8	IGHV3OR16-13	1.09105357206025	0.0001146604157006	No	No
A0A087WSX0	IGLV5-45	2.19817934147153	0.0002101772376075	No	No
A0A087WSZ0	IGKV1D-8	0.967598571258215	0.0049431146501376	No	No
A0A0A0MRZ9	IGLV5-52	2.41447508189015	1.44060651008648e-07	No	No
A0A0A0MS14	IGHV1-45	1.04158095669385	0.0018126366879538	No	No
A0A0A0MS15	IGHV3-49	1.01574271846582	0.0028785519147977	No	No
A0A0A0MT89	IGKJ1	1.15636561909556	0.0010364767969986	No	No
A0A0A0MT96	IGKJ3	12.3615456021778	1.6213114824731e-50	No	No
A0A0B4J1U7	IGHV6-1	2.01875768031805	2.93158755091121e-06	No	No
A0A0B4J1V0	IGHV3-15	1.18626169325189	0.0005393182523314	No	No
A0A0B4J1V1	IGHV3-21	1.42546472757866	5.84045543837408e-05	No	No
A0A0B4J1V2	IGHV2-26	2.01659924087055	5.30783491125536e-07	No	No
A0A0B4J1V6	IGHV3-73	1.46514884677029	3.25642731136048e-05	No	No
A0A0B4J1X5	IGHV3-74	2.24418327134255	9.37174894610426e-07	No	No
A0A0B4J1Y8	IGLV9-49	1.59923087469798	9.58242057473807e-05	No	No
A0A0B4J1Y9	IGHV3-72	1.64679165628746	1.04877550225044e-07	No	No
A0A0C4DH24	IGKV6-21	1.55556593508654	3.31995517379461e-05	No	No
A0A0C4DH25	IGKV3D-20	1.10617877629008	0.0001875538760039	No	No
A0A0C4DH29	IGHV1-3	1.57967894098404	5.95095587008034e-06	No	No
A0A0C4DH31	IGHV1-18	1.55451919507952	4.7421969968195e-05	No	No
A0A0C4DH33	IGHV1-24	4.25913124241849	5.921840410121101e-20	No	No
A0A0C4DH34	IGHV4-28	1.65114142997476	0.0015482455743341	No	No
A0A0C4DH35	IGHV3-35	1.44196999569197	1.210402004431e-05	No	No
A0A0C4DH38	IGHV5-51	1.82011853483121	2.37900081703134e-05	No	No
A0A0C4DH39	IGHV1-58	1.4700955676624	0.0042990877430494	No	No
A0A0C4DH43	IGHV2-70D	1.6081954187028	0.0001145474409709	No	No
A0A0C4DH67	IGKV1-8	2.43339405431416	4.53541685491764e-07	No	No
A0A0G2JMI3	IGHV1-69-2	3.28499793529862	2.8762526149973803e-15	No	No
A0A0G2JRQ6	gene	1.45785542690608	0.0004204325460438	No	No
A0A0G2JS06	IGLV5-39	2.63998238263122	4.80370054651245e-09	No	No
A0A0J9YX35	IGHV3-64D	1.07022741579689	0.0009515029258149	No	No
A0A0J9YXX1	IGHV5-10-1	3.43257272013314	2.55041080558391e-06	No	No
A0A1B0GTC6	C3orf85	7.97443343256979	1.71580718335629e-34	No	No
A0AVT1	UBA6	7.1537112934973	1.1721988835622099e-22	No	No
A0FGR8	ESYT2	9.14159740833791	3.01851196720879e-31	No	No
A0M8Q6	IGLC7	3.72842016773456	2.54243899216131e-05	No	No
A1A4S6	ARHGAP10	6.07347935222871	2.22991796174743e-22	No	No
A1L4H1	SSC5D	3.14077648016358	8.03879589086097e-11	No	No
A1X283	SH3PXD2B	5.16006632319794	3.2000803330549e-22	No	No
A2NJV5	IGKV2-29	2.15104033143051	4.29505338377808e-10	No	No
A2RRP1	NBAS	4.05411458387906	2.0367931179047703e-09	No	No
A2RUS2	DENND3	6.94905632760057	1.8679555713552102e-21	No	No
A4D1P6	WDR91	3.34795670415454	2.27896562260192e-12	No	No
A5YKK6	CNOT1	2.06227762607656	0.0002331425848869	No	No
A6NDG6	PGP	2.71004807527083	1.44027188906486e-08	No	No
A6NDU8	C5orf51	6.02688907756618	2.77842413542623e-26	No	No
A6NHL2	TUBAL3	12.5703465197004	8.441310473463669e-41	No	No
A6NMZ7	COL6A6	2.65749418085883	0.0002325080306382	No	No
A6QL63	BTBD11	4.98640099010568	6.06795486348621e-17	No	No
B0I1T2	MYO1G	6.05396626791331	6.11298940735053e-24	No	No
B1AKI9	ISM1	4.3015812951965	4.7167719304858e-08	No	No
B2RUZ4	SMIM1	8.11509535836715	7.0831770571342096e-34	No	No
B9A064	IGLL5	1.13436976333344	0.0022489471548162	No	No
E9PAV3	NACA	5.78076562243845	2.29366348735992e-26	No	No
O00116	AGPS	8.20976610196756	4.08630092414587e-31	No	No
O00139	KIF2A	9.32694499817242	1.2107883115623698e-30	No	No
O00142	TK2	2.98859353827623	9.27739711748561e-08	No	No
O00151	PDLIM1	6.42790172943351	2.19054629203771e-27	No	No
O00154	ACOT7	4.99371834603927	6.2951075955394e-14	No	No
O00159	MYO1C	9.76061604756896	5.07186717102199e-35	No	No
O00161	SNAP23	12.3737592721556	2.6789631676989e-48	No	No
O00170	AIP	6.76573341431049	1.0580996300418301e-25	No	No
O00178	GTPBP1	4.25168542843627	6.06405024603453e-13	No	No
O00186	STXBP3	9.05427988979531	7.73998597760598e-32	No	No
O00187	MASP2	6.80947622160597	4.87651354156685e-32	No	No
O00194	RAB27B	8.20350158061632	9.195437266450329e-36	No	No
O00203	AP3B1	8.71115136072958	5.82342870332699e-35	No	No
O00217	NDUFS8	6.83897335723978	3.3838585749854998e-31	No	No
O00231	PSMD11	4.63807729907128	1.0407299157129701e-19	No	No
O00232	PSMD12	8.88385865072763	1.22100913262603e-24	No	No
O00233	PSMD9	7.34154786167197	1.24426518244432e-21	No	No
O00264	PGRMC1	6.02092722475002	4.954060600705571e-25	No	No
O00299	CLIC1	5.40203886220092	2.328631278355e-26	No	No
O00303	EIF3F	10.8666313621935	1.88419343197216e-39	No	No
O00330	PDHX	6.42863864941456	1.13709637243507e-19	No	No
O00339	MATN2	8.36743567853592	2.68495729346406e-19	No	No
O00391	QSOX1	2.07609023227721	2.35788465713502e-08	No	No
O00399	DCTN6	7.03399950807266	2.0937688201329598e-22	No	No
O00410	IPO5	11.0782083615687	1.13511844850649e-35	No	No
O00429	DNM1L	6.68742257066569	5.86815556795686e-22	No	No
O00442	RTCA	4.65147129572032	1.9865794149348202e-14	No	No
O00453	LST1	4.4273714345905	5.59802687726239e-19	No	No
O00461	GOLIM4	10.7567842968212	4.06991440925068e-41	No	No
O00468	AGRN	7.50316966182123	5.456674023351161e-31	No	No
O00483	NDUFA4	8.18732604381852	1.19728363237793e-29	No	No
O00487	PSMD14	10.680250779592	1.80030222756832e-43	No	No
O00499	BIN1	5.97552155103305	7.3143002747729695e-22	No	No
O00501	CLDN5	7.68080000304064	1.23856173711855e-31	No	No
O00505	KPNA3	6.95613680182221	1.22769471728152e-21	No	No
O00533	CHL1	2.52968583077638	2.52464758751829e-12	No	No
O00534	VWA5A	7.63810096321099	8.828289973238101e-24	No	No
O00560	SDCBP	11.0228179115059	3.6156316662211696e-42	No	No
O00567	NOP56	1.90395233185218	0.0027433240643108	No	No
O00571	DDX3X	8.15790319219536	7.71722558110988e-29	No	No
O00587	MFNG	5.27982154202821	7.85613736790852e-21	No	No
O00592	PODXL	7.36767746029683	7.463693521250151e-38	No	No
O00602	FCN1	7.57186360082602	9.37962937337807e-07	No	No
O00629	KPNA4	6.49725367272095	8.51954159367806e-26	No	No
O00743	PPP6C	11.5181253670291	2.34828155240141e-37	No	No
O00748	CES2	5.91400538525839	3.8925191007372796e-12	No	No
O00754	MAN2B1	4.44321271623174	2.03224967119328e-11	No	No
O14498	ISLR	2.62153368054929	7.14983284421372e-13	No	No
O14523	C2CD2L	7.10414132256491	1.1763863673852098e-28	No	No
O14545	TRAFD1	8.36021741666718	3.43463150469972e-22	No	No
O14548	COX7A2L	5.66747700269235	3.44169539068459e-24	No	No
O14561	NDUFAB1	6.83981364044014	9.270454191114819e-29	No	No
O14579	COPE	10.9268967315808	1.41236620822959e-40	No	No
O14594	NCAN	8.84278347191665	2.34176255055592e-39	No	No
O14617	AP3D1	9.79729076841772	2.29711750896045e-25	No	No
O14618	CCS	8.62792646714146	3.65205979020774e-19	No	No
O14639	ABLIM1	6.08862817827003	1.27485226222251e-27	No	No
O14653	GOSR2	6.01515025507485	6.555483469430439e-28	No	No
O14656	TOR1A	8.73739945959066	4.8580129299975196e-26	No	No
O14672	ADAM10	12.1884297124587	6.58657093327799e-39	No	No
O14730	RIOK3	2.00361783934065	1.30275412142774e-06	No	No
O14734	ACOT8	7.31395645267913	6.83058464931455e-29	No	No
O14735	CDIPT	6.53868210462544	3.48975158996269e-17	No	No
O14737	PDCD5	6.17915728199232	4.83795707434279e-14	No	No
O14744	PRMT5	8.14551689196102	6.081536061054161e-35	No	No
O14745	SLC9A3R1	5.1399137678375	8.59350960106487e-16	No	No
O14773	TPP1	7.88159800059596	4.8538190776974303e-14	No	No
O14786	NRP1	7.00660777981914	2.31166621142759e-34	No	No
O14787	TNPO2	5.94255270574831	9.025303514446299e-13	No	No
O14791	APOL1	2.61702736900125	8.41089625562345e-14	No	No
O14793	MSTN	3.25345026633506	8.98072331680831e-07	No	No
O14818	PSMA7	9.49828937062698	5.59377066605823e-32	No	No
O14828	SCAMP3	8.33252278190545	1.882905511122e-31	No	No
O14841	OPLAH	3.6368746293201	1.64048306452139e-11	No	No
O14874	BCKDK	4.14680801542852	4.18543215768756e-14	No	No
O14880	MGST3	6.51905673231782	2.5711795216615e-24	No	No
O14908	GIPC1	4.70534955837851	1.608023010911e-20	No	No
O14917	PCDH17	6.12479195342538	2.29905534117448e-21	No	No
O14920	IKBKB	6.90279331870364	5.44174437483778e-25	No	No
O14949	UQCRQ	5.92947352239519	9.0719405976514e-24	No	No
O14957	UQCR11	6.88119598722927	2.37072802403565e-32	No	No
O14964	HGS	6.87986907337595	5.39782588130984e-28	No	No
O14974	PPP1R12A	11.6854300508046	4.58656652359133e-41	No	No
