Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,Reactome_Pathways_2024__AKT Phosphorylates Targets in the Cytosol,-0.6402098397876776,-1.4390524085939675,0.0751445086705202,0.8614691523123031,1.0,4/12,7.51%,TSC2;AKT2;AKT3;CHUK,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ABC Transporters in Lipid Homeostasis,0.6880035344587982,1.2818289187595335,0.1643410852713178,0.6683465525653032,1.0,2/7,9.32%,ABCA3;PEX3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ALK Mutants Bind TKIs,0.6246933911567509,1.258857490902915,0.1966463414634146,0.6955892606050148,1.0,2/10,1.56%,HIP1;EIF2AK3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Acetylcholine Regulates Insulin Secretion,0.6365746533866677,1.2428267703455331,0.2200956937799043,0.7160956106387782,1.0,5/9,26.60%,PLCB1;GNA15;GNA14;MARCKS;GNA11,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of AMPK Downstream of NMDARs,-0.5103277129562771,-1.240406343443154,0.2215743440233236,0.9140998138346532,1.0,11/14,29.65%,TUBA4B;PRKAB1;PRKAA1;PRKAG2;TUBB1;TUBA8;PRKAG1;TUBB4A;TUBAL3;TUBA4A;PRKAB2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Aberrant Regulation of Mitotic Cell Cycle Due to RB1 Defects,0.5624700088001549,1.199508628099695,0.2540861812778603,0.7637852817112213,1.0,6/13,12.33%,CDK6;ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of HOX Genes During Differentiation,0.6375049938222881,1.1530482707458296,0.3056,0.7761408885061437,1.0,1/6,0.48%,RBBP4,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Cyclin B,0.5583494409345212,1.1207919564812696,0.3267175572519084,0.804461770947635,1.0,5/10,12.33%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Aberrant Regulation of Mitotic Exit in Cancer Due to RB1 Defects,0.5583494409345212,1.1207919564812696,0.3267175572519084,0.804461770947635,1.0,5/10,12.33%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC-Cdc20 Mediated Degradation of Nek2A,0.5435077197483827,1.1167215284813985,0.3392857142857143,0.8031252635456431,1.0,5/11,12.33%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activated NTRK2 Signals Through FYN,-0.5812968180537998,-1.0734018799046254,0.3985330073349633,0.9705163760277452,1.0,4/5,25.05%,NTRK2;BDNF;SRC;FYN,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of BH3-only Proteins,-0.4432479189592639,-1.0649724010035626,0.3628808864265928,0.9714689669693388,1.0,7/15,23.19%,AKT2;AKT3;DYNLL1;BID;YWHAZ;BAD;YWHAG,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis,0.4515234686434727,1.0194436208038546,0.4359351988217967,0.8780670071001282,1.0,9/19,24.93%,B3GALT6;DCN;NCAN;AGRN;CSPG4;GPC4;B4GALT7;HSPG2;VCAN,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,0.3691695940675413,0.954197273719728,0.5165289256198347,0.9078660535979048,1.0,5/41,12.33%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin,0.3691695940675413,0.954197273719728,0.5165289256198347,0.9078660535979048,1.0,5/41,12.33%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ABC Transporter Disorders,0.3649540172600813,0.954140758244303,0.5400552486187845,0.9073019995210692,1.0,1/43,0.73%,ABCA3,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__AXIN Missense Mutants Destabilize the Destruction Complex,-0.4379845517941926,-0.9511453862101916,0.5028409090909091,1.0,1.0,3/10,8.43%,PPP2R1B;PPP2R5C;PPP2CB,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC Truncation Mutants Have Impaired AXIN Binding,-0.4379845517941926,-0.9511453862101916,0.5028409090909091,1.0,1.0,3/10,8.43%,PPP2R1B;PPP2R5C;PPP2CB,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Acetylcholine Neurotransmitter Release Cycle,0.5530700937901164,0.941207589826115,0.5945945945945946,0.9112177897501555,1.0,2/5,17.89%,UNC13B;RAB3A,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint,0.3613495214967379,0.9347611642044262,0.5612104539202201,0.9054948813812688,1.0,5/42,12.33%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.3613495214967379,0.9347611642044262,0.5612104539202201,0.9054948813812688,1.0,5/42,12.33%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.3613495214967379,0.9347611642044262,0.5612104539202201,0.9054948813812688,1.0,5/42,12.33%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of BAD and Translocation to Mitochondria,-0.3932558592934871,-0.928087921120362,0.5264623955431755,1.0,1.0,6/14,23.19%,AKT2;AKT3;BID;YWHAZ;BAD;YWHAG,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ADORA2B Mediated Anti-Inflammatory Cytokines Production,-0.3330063536912597,-0.8868989538516813,0.6479750778816199,1.0,1.0,15/24,30.31%,GNG7;GNG5;GNAZ;GNG12;PRKAR2A;ADCY6;PRKACB;PRKAR2B;GNG2;PRKAR1A;GNAS;GNG10;PRKACA;GNB1;GNAI2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activated NTRK2 Signals Through PI3K,-0.4310032694878461,-0.8102327468994319,0.6514423076923077,1.0,1.0,2/5,15.12%,NTRK2;BDNF,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins,0.3080531101489338,0.8085217957379317,0.7647058823529411,0.9485326932181964,1.0,6/45,15.15%,ANAPC5;ANAPC4;CDC27;ANAPC1;ANAPC2;CUL1,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activated NTRK2 Signals Through RAS,-0.3853176535700603,-0.769063355746071,0.7007481296758105,1.0,1.0,2/6,15.12%,NTRK2;BDNF,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of ATR in Response to Replication Stress,-0.4037435565877481,-0.7370732697534279,0.7605263157894737,1.0,1.0,1/5,4.12%,CDK2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activated NTRK2 Signals Through FRS2 and FRS3,-0.3555369580417503,-0.7140253369921818,0.7688564476885644,1.0,1.0,2/6,15.12%,NTRK2;BDNF,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ABC-family Proteins Mediated Transport,0.258648369460364,0.7094945924509005,0.91218872870249,0.9793554906333254,1.0,3/58,10.04%,ABCA3;PEX3;ABCB1,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA,-0.2388859132297803,-0.6844681739264353,0.9293286219081272,1.0,1.0,35/35,76.28%,PSMD13;PSMC6;PSMA2;PSMC1;PSMD11;PSMC2;PSMB1;PSMB7;PSMC3;PSMD6;PSMD7;PSMA5;PSMB4;PSMB3;PSMB2;PSMA3;PSMD14;PSMA4;PSMC5;ADRM1;PSMD8;PSMA1;PSMD2;PSMA7;EIF4G1;PSMD12;PSMD1;PSMB6;PSMB5;PSMD3;HSPA8;PSMA6;PABPC1;PSMC4;HSBP1,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of GABAB Receptors,-0.270348777048316,-0.6787437724130034,0.856353591160221,0.998462388825924,1.0,10/16,34.95%,GNG7;GNG5;GNG12;ADCY6;GNG2;GNG10;GNB1;GNAI2;ADCY3;GNB4,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ARMS-mediated Activation,0.3857366328079015,0.6767633811908803,0.8520408163265306,0.9902655967355558,1.0,1/5,13.50%,CRK,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__AURKA Activation by TPX2,0.250828446463022,0.640978263453727,0.929496402877698,0.9872900089837344,1.0,10/36,22.34%,CEP250;HAUS4;HAUS3;DYNC1H1;CEP135;CEP41;HAUS6;SSNA1;DYNC1I2;NDE1,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activated NOTCH1 Transmits Signal to the Nucleus,0.2978884826111017,0.6335812037927496,0.8992248062015504,0.9889907342541672,1.0,5/13,36.46%,NOTCH1;ARRB2;PSEN2;ARRB1;MIB1,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress,-0.3017989631929601,-0.6308212958665286,0.8453038674033149,1.0,1.0,3/8,15.70%,EXOSC4;ATF6;EXOSC2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of G Protein Gated Potassium Channels,-0.2680535567335282,-0.607511533627791,0.9261213720316622,1.0,1.0,6/11,30.22%,GNG7;GNG5;GNG12;GNG2;GNG10;GNB1,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 12,-0.2399928838285002,-0.5997634181785509,0.9234828496042216,1.0,1.0,15/15,76.08%,GNG7;GNG5;GNG12;GNG2;GNG10;GNB1;GNAI2;GNB4;GNAI1;GNAI3;GNB2;P2RY12;GNG8;GNB5;GNG11,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of C3 and C5,0.2983112195978248,0.5596568570770071,0.9456869009584664,0.9991571692094884,1.0,2/7,21.84%,C2;C5,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ADP Signalling Through P2Y Purinoceptor 1,0.213022509530331,0.487839387649533,0.9849624060150376,0.9999343666384428,1.0,6/19,29.72%,GNA15;GNA14;GNG11;GNA11;GNB5;GNG8,Reactome_Pathways_2024
