Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2025__Extracellular Structure Organization (GO:0043062),0.7411477842217973,1.9483243632503198,0.0,0.006470217710619277,0.012,17/41,10.38%,LRP12;MMP25;IBSP;ADAMTS5;MMP1;NF1;MATN2;MMP14;COL3A1;COL1A2;FURIN;COL28A1;COL5A2;COL14A1;MMP2;ECM2;MMP3
prerank,GO_Biological_Process_2025__External Encapsulating Structure Organization (GO:0045229),0.7411477842217973,1.9483243632503198,0.0,0.006470217710619277,0.012,17/41,10.38%,LRP12;MMP25;IBSP;ADAMTS5;MMP1;NF1;MATN2;MMP14;COL3A1;COL1A2;FURIN;COL28A1;COL5A2;COL14A1;MMP2;ECM2;MMP3
prerank,GO_Biological_Process_2025__Extracellular Matrix Organization (GO:0030198),0.6529042800962764,1.9032087808025282,0.0,0.017917525967868768,0.048,30/82,16.50%,LRP12;MMP25;IBSP;HMCN1;ADAMTS5;MMP1;NF1;MATN2;MMP14;COL3A1;COL1A2;COL5A1;FURIN;COL28A1;LAMC1;TLL1;COL5A2;COL14A1;MMP2;ECM2;TGFB2;ADAM15;MMP3;POSTN;NID1;COL1A1;MMP23B;ATP7A;APLP1;LOXL1
prerank,GO_Biological_Process_2025__Peptidyl-Threonine Phosphorylation (GO:0018107),-0.746922331390392,-1.9030379654758842,0.0,0.9377761404781225,0.51,2/17,2.54%,PRKDC;DYRK1A
prerank,GO_Biological_Process_2025__Regulation of Interleukin-12 Production (GO:0032655),0.8184023107624644,1.894493670779986,0.0,0.016673253331211214,0.059,3/19,2.48%,LGALS9;LILRB1;PLCB1
prerank,GO_Biological_Process_2025__Cytosolic Transport (GO:0016482),-0.5649685839680929,-1.8832735153714986,0.0,0.6398053345520094,0.603,18/71,12.95%,DOP1B;PHETA2;SLC66A2;RAB29;PLEKHJ1;GAK;ERC1;RBSN;VPS52;VTI1A;WASHC2A;MON2;AP2A1;SNX6;VPS13C;SNX2;SNX5;WASHC2C
prerank,GO_Biological_Process_2025__Receptor Recycling (GO:0001881),-0.8738618549928145,-1.8790686571023434,0.00554016620498615,0.45409876909890445,0.625,4/9,2.52%,RAB43;PHETA2;PLEKHJ1;USP9X
prerank,GO_Biological_Process_2025__Negative Regulation of Cytoplasmic Pattern Recognition Receptor Signaling Pathway (GO:0039532),-0.7111058503162736,-1.871293741364555,0.0028011204481792717,0.3867066127670537,0.667,2/18,0.07%,PRKDC;TARBP2
prerank,GO_Biological_Process_2025__Synaptic Vesicle Endocytosis (GO:0048488),-0.7196168001515567,-1.855073096952583,0.0,0.3968910633249344,0.742,9/20,19.30%,GAK;FCHO2;AP2M1;VAMP2;CDK5;STON1;SNCA;OPHN1;SYNJ1
prerank,DGIdb_Drug_Targets_2024__SF1126,-0.8417642880807216,-1.853035530732378,0.002967359050445104,0.33964974550291854,0.75,2/12,1.30%,PRKDC;PIK3C2A
prerank,GO_Biological_Process_2025__Mitotic DNA Damage Checkpoint Signaling (GO:0044773),-0.7882998567209475,-1.8340374102784218,0.0,0.3859143287774025,0.824,4/13,10.47%,PRKDC;CDK2;MRE11;BABAM1
prerank,GO_Biological_Process_2025__Skeletal System Development (GO:0001501),0.6517362514661446,1.8306798415397736,0.0,0.0726655219808011,0.272,27/70,16.48%,TCOF1;CHI3L1;HAPLN3;STC1;EIF2AK3;LAMA5;HAPLN1;CHRD;PCSK5;MMP14;ALPL;FGFR3;NOTUM;MRPL13;COL1A2;BMP5;TLL1;IGF1;TGFB2;HYAL3;PKDCC;NCAN;COL1A1;SLC10A7;ATP7A;BMP7;BGLAP
prerank,DGIdb_Drug_Targets_2024__ATALUREN,0.7053715708983676,1.8271119180530533,0.0,0.06884975256171795,0.293,15/37,8.87%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS8;RPS11;RPL17;RPL24;RPL4;RPL38;RPL27A;RPL11;RPS14;RPLP0
prerank,GO_Biological_Process_2025__Positive Regulation of Lymphocyte Differentiation (GO:0045621),-0.8136904956306078,-1.8223231817265484,0.005050505050505051,0.40347062172990195,0.871,2/10,1.06%,PRKDC;SMARCA2
prerank,GO_Biological_Process_2025__Peptidyl-Threonine Modification (GO:0018210),-0.6987857324126913,-1.819653638255744,0.006006006006006006,0.3734298537889585,0.88,3/19,3.41%,PRKDC;DYRK1A;GALNT2
prerank,GO_Biological_Process_2025__Cytoplasmic Translation (GO:0002181),0.6455581454166004,1.8151866303421067,0.0,0.07849582804971078,0.363,31/57,23.97%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS8;RPS11;RPL4;RACK1;RPL38;RPL27A;MRPL13;RPL11;RPS14;RPLP0;RPS10;EIF2B5;RPS16;RPL12;RPS19;RPL22;RPS21;RPS9;RPL10A;RPSA;RPS15A;RPS3;EIF4A2;SARS1;RPL23;RPS20
prerank,GO_Biological_Process_2025__Establishment of Protein Localization to Mitochondrial Membrane (GO:0090151),0.7781832002985787,1.8147815106001832,0.0,0.06918155859815997,0.366,2/21,0.20%,TOMM20;TOMM6
prerank,DGIdb_Drug_Targets_2024__MT 3724,0.6976036340421873,1.8102662543694492,0.0,0.06746722740987622,0.394,15/38,8.87%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS8;RPS11;RPL17;RPL24;RPL4;RPL38;RPL27A;RPL11;RPS14;RPLP0
prerank,GO_Biological_Process_2025__Positive Regulation of Non-Canonical NF-kappaB Signal Transduction (GO:1901224),0.751056935983567,1.8066581476601629,0.0058309037900874635,0.06579713702645142,0.418,4/22,5.70%,LGALS9;PYCARD;TERF2IP;C1QTNF4
prerank,GO_Biological_Process_2025__Regulation of Fat Cell Differentiation (GO:0045598),-0.7359240283548432,-1.8043686648526864,0.0030211480362537764,0.4183691620262075,0.917,6/16,5.61%,TRIO;CARM1;RARRES2;LEP;LPL;ENPP1
prerank,GO_Biological_Process_2025__Negative Regulation of Natural Killer Cell Mediated Cytotoxicity (GO:0045953),0.8713933329898809,1.8001297914971992,0.0,0.06949828254203642,0.452,3/11,4.99%,LGALS9;LILRB1;PVR
prerank,GO_Biological_Process_2025__Import Into the Mitochondrion (GO:0170036),0.7435722528866345,1.7997150977476115,0.0,0.06437037106975076,0.453,5/25,3.25%,TOMM20;MCUR1;PNPT1;TOMM40L;TIMM17B
prerank,GO_Biological_Process_2025__Protein Transmembrane Import Into Intracellular Organelle (GO:0044743),0.8026352674887661,1.7968527863427946,0.0015128593040847202,0.0635536177492781,0.48,5/18,3.90%,TOMM20;TOMM40L;PEX16;TIMM17B;PEX7
prerank,DGIdb_Drug_Targets_2024__CYCLOHEXIMIDE,0.6858337650759678,1.7927362736965402,0.0,0.06598200038961197,0.52,15/40,8.87%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS8;RPS11;RPL17;RPL24;RPL4;RPL38;RPL27A;RPL11;RPS14;RPLP0
prerank,DGIdb_Drug_Targets_2024__DORLIMOMAB ARITOX,0.6906164743555916,1.7869920913813082,0.0014367816091954023,0.06894929437265054,0.555,24/37,20.24%,RPL18;RPS25;RPL29;RPL7A;RPS5;RPS11;RPL17;RPL24;RPL4;RPL38;RPL27A;RPL11;RPS14;RPLP0;RPS10;RPS16;RPL12;RPS19;RPL22;RPS21;RPS9;RPL10A;RPSA;RPS15A
prerank,GO_Biological_Process_2025__Regulation of Bicellular Tight Junction Assembly (GO:2000810),0.8881514745893574,1.7833661587751442,0.0032679738562091504,0.0699281221801545,0.582,3/10,2.47%,RNASE1;MYO1E;TJP1
prerank,GO_Biological_Process_2025__Response to Interleukin-1 (GO:0070555),0.725863094299405,1.7794110961548197,0.0,0.07202142791006073,0.611,6/26,4.74%,LGALS9;CHI3L1;PYCARD;GBP2;SMPD1;USP32
prerank,GO_Biological_Process_2025__Positive Regulation of mRNA Catabolic Process (GO:0061014),0.7540131624793135,1.7790273601848787,0.00303951367781155,0.06846264551920227,0.614,7/22,7.75%,PNPT1;DHX36;TNRC6B;GIGYF2;CNOT7;MOV10;QKI
prerank,GO_Biological_Process_2025__Regulation of Clathrin-Dependent Endocytosis (GO:2000369),-0.8603348422958115,-1.777265031794774,0.0026041666666666665,0.5404817325766383,0.97,3/8,6.69%,DGKD;WASL;TNK2
prerank,GO_Biological_Process_2025__Receptor Metabolic Process (GO:0043112),-0.7600302855793142,-1.7766345639011754,0.002849002849002849,0.49955906408086365,0.97,6/12,13.24%,RAB43;PHETA2;PLEKHJ1;NEDD4;SH3GLB1;NEDD4L
prerank,GO_Biological_Process_2025__Protein Insertion Into Mitochondrial Outer Membrane (GO:0045040),0.8913188460768967,1.7750979544864702,0.0,0.06709118056857527,0.643,2/11,0.20%,TOMM20;TOMM6
prerank,GO_Biological_Process_2025__Outer Mitochondrial Membrane Organization (GO:0007008),0.8913188460768967,1.7750979544864702,0.0,0.06709118056857527,0.643,2/11,0.20%,TOMM20;TOMM6
prerank,GO_Biological_Process_2025__Positive Regulation of Immune Response (GO:0050778),0.6968200336190437,1.7745796407676415,0.0,0.06418076762035532,0.643,7/33,9.81%,LGALS9;LILRB1;PYCARD;ITGAM;ITGB2;FADD;TGFB2
prerank,GO_Biological_Process_2025__Mitochondrial Transport (GO:0006839),0.7141459641111865,1.7719375791113705,0.002777777777777778,0.06465693082849613,0.656,2/30,0.20%,TOMM20;TOMM6
prerank,GO_Biological_Process_2025__Negative Regulation of Leukocyte Mediated Cytotoxicity (GO:0001911),0.9054639122895822,1.7689509458677148,0.0016556291390728477,0.06604382760137135,0.673,3/8,4.99%,LGALS9;LILRB1;PVR
prerank,GO_Biological_Process_2025__Regulation of Nitric Oxide Biosynthetic Process (GO:0045428),0.7512153149657447,1.7668943743789973,0.0015015015015015015,0.06627825577929233,0.686,2/21,0.23%,RNASE1;CAV1
prerank,GO_Biological_Process_2025__Microtubule Anchoring at Microtubule Organizing Center (GO:0072393),-0.917119381716477,-1.7602216834907458,0.009569377990430622,0.5685607204056773,0.987,1/5,0.41%,KIF3A
