Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,DGIdb_Drug_Targets_2024__BYL719,0.6692455216593454,1.8886729575944037,0.0010729613733905,0.4814281423018615,0.801,9/12,25.80%,PIK3R1;PI4KA;MTOR;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__BGJ398,0.651359143374924,1.86547508233042,0.0,0.4382167091798718,0.877,10/13,25.80%,PIK3R1;MTOR;FGFR2;PIK3CG;PIK3R4;FGFR1;FGFR3;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__ACETAZOLAMIDE,-0.7349294037676848,-1.8258888294165416,0.0100502512562814,0.2015811545007534,0.911,3/5,4.62%,CA3;CA1;MMP2,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__METFORMIN HYDROCHLORIDE,0.4920936070997483,1.8046332087171228,0.001001001001001,0.4627911501538277,0.983,35/46,37.58%,NDUFA10;MT-ND5;NDUFS3;MTOR;NDUFA9;NDUFV1;NDUFA13;NDUFS2;NDUFS4;NDUFS8;NDUFA6;NDUFB3;NDUFA12;NDUFS5;NDUFA2;NDUFA11;NDUFB1;NDUFB4;NDUFA8;NDUFAB1;NDUFB8;NDUFA1;GPD2;NDUFB9;MT-ND4;NDUFAF4;NDUFS1;NDUFV3;NDUFS7;PRKAB1;NDUFV2;NDUFA5;NDUFA4;MT-ND1;NDUFS6,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__GEDATOLISIB,0.7132730214683494,1.8037148490291284,0.0011248593925759,0.4326725529043847,0.983,7/8,27.18%,PIK3R1;MTOR;AKT1;PIK3CG;PTEN;PIK3CB;AKT1S1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__BUPARLISIB,0.6818241895504791,1.784430270373275,0.0022446689113355,0.4408555753247262,0.993,6/9,23.81%,PIK3R1;FGFR2;PIK3CG;PTEN;FGFR1;PIK3CB,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__PX 866,0.6264070185550046,1.7681430147593131,0.0053304904051172,0.4446836673309129,0.999,8/12,25.80%,PIK3R1;MTOR;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__PICTILISIB,0.618124583849825,1.7426807256254344,0.0065005417118093,0.4310740089897133,0.999,8/12,23.81%,PIK3R1;JAK2;YES1;PIK3CG;PTEN;FGFR1;FGFR3;PIK3CB,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__XL147,0.6420462925081998,1.730754043402854,0.0098901098901098,0.4248904351483575,1.0,7/10,25.80%,PIK3R1;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB;PIK3C3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__BAY80 6946,0.6838744194065208,1.7207886764615632,0.0113122171945701,0.4172804108688585,1.0,6/8,23.81%,PIK3R1;PIK3CG;PIK3R4;PTEN;PIK3R6;PIK3CB,DGIdb_Drug_Targets_2024
