Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,Reactome_Pathways_2024__Activation of C3 and C5,-0.683089481626432,-2.0481812810492537,0.0,0.0575917637883416,0.399,5/7,4.49%,CFB;C2;CFP;C3;C5,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ABC Transporter Disorders,0.4933055915498099,1.788120087257061,0.0,0.4816401940456444,0.992,38/42,47.38%,PSMC1;PSMB7;SEL1L;ABCB6;PSMC4;ADRM1;PSMD8;ERLIN2;ERLEC1;PSMD11;PSMC2;PSMD13;PSMD3;ABCA3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSMB3;PSMB1;ERLIN1;PSMA4;ABCD1;PSMB2;VCP;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;OS9;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__ABC-family Proteins Mediated Transport,0.4479279338906993,1.6846963570422229,0.0,0.377431160551526,1.0,46/58,47.38%,ABCC4;PSMC1;PSMB7;SEL1L;ABCB6;PSMC4;ADRM1;PSMD8;ABCF1;EIF2S2;ABCC1;ABCC3;ERLIN2;EIF2S3;ERLEC1;ABCD3;PSMD11;PSMC2;PSMD13;PSMD3;ABCA3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSMB3;PSMB1;ERLIN1;PSMA4;EIF2S1;ABCD1;PSMB2;VCP;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;OS9;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,0.461471462683265,1.649557673782973,0.004004004004004,0.4206129495481138,1.0,33/39,47.38%,PSMC1;PSMB7;ANAPC4;PSMC4;ADRM1;PSMD8;ANAPC7;PSMD11;PSMC2;PSMD13;PSMD3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSMB3;PSMB1;CDC16;PSMA4;CDC23;PSMB2;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin,0.461471462683265,1.649557673782973,0.004004004004004,0.4206129495481138,1.0,33/39,47.38%,PSMC1;PSMB7;ANAPC4;PSMC4;ADRM1;PSMD8;ANAPC7;PSMD11;PSMC2;PSMD13;PSMD3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSMB3;PSMB1;CDC16;PSMA4;CDC23;PSMB2;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.4543155008502975,1.6327368790614392,0.005005005005005,0.4293866570797823,1.0,33/40,47.38%,PSMC1;PSMB7;ANAPC4;PSMC4;ADRM1;PSMD8;ANAPC7;PSMD11;PSMC2;PSMD13;PSMD3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSMB3;PSMB1;CDC16;PSMA4;CDC23;PSMB2;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.4543155008502975,1.6327368790614392,0.005005005005005,0.4293866570797823,1.0,33/40,47.38%,PSMC1;PSMB7;ANAPC4;PSMC4;ADRM1;PSMD8;ANAPC7;PSMD11;PSMC2;PSMD13;PSMD3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSMB3;PSMB1;CDC16;PSMA4;CDC23;PSMB2;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint,0.4543155008502975,1.6327368790614392,0.005005005005005,0.4293866570797823,1.0,33/40,47.38%,PSMC1;PSMB7;ANAPC4;PSMC4;ADRM1;PSMD8;ANAPC7;PSMD11;PSMC2;PSMD13;PSMD3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSMB3;PSMB1;CDC16;PSMA4;CDC23;PSMB2;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__AUF1 (hnRNP D0) Binds and Destabilizes mRNA,0.4313708477804701,1.5284650534528463,0.0090452261306532,0.4772020757845874,1.0,30/36,47.38%,PSMC1;PSMB7;PSMC4;ADRM1;PSMD8;PSMD11;PSMC2;PSMD13;PSMD3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;EIF4G1;PSMB3;PSMB1;PSMA4;PSMB2;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
prerank,Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins,0.4168715725466024,1.5121299604320608,0.012012012012012,0.4819954639828724,1.0,33/43,47.38%,PSMC1;PSMB7;ANAPC4;PSMC4;ADRM1;PSMD8;ANAPC7;PSMD11;PSMC2;PSMD13;PSMD3;PSMD6;PSMA7;PSMC6;PSMD7;PSMD2;PSMB3;PSMB1;CDC16;PSMA4;CDC23;PSMB2;PSMA3;PSMC5;PSMB4;PSMB5;PSMD14;PSMD1;PSMA6;PSMC3;PSMA5;PSMA1;PSMA2,Reactome_Pathways_2024
