Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,DGIdb_Drug_Targets_2024__PEMBROLIZUMAB,-0.7811088295687885,-2.208697725801084,0.0,0.0302030514490003,0.076,6/6,22.12%,MET;EGFR;B2M;PDCD1LG2;KIT;IDH1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__CARFILZOMIB,0.5910315742034267,2.056420817650777,0.0,0.0075958602935826,0.059,32/40,30.89%,PSMB3;PSMB8;PSMA7;PSMB10;PSMB1;PSMC2;PSMD11;PSMC6;PSMD5;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMB9;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;PSMC4;PSMB2;PSMB6;PSMB7;PSMD8;PSME2,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__BORTEZOMIB,0.567721692140766,2.025200738261685,0.0,0.0134714816383244,0.114,37/49,31.34%,PSMB3;PSMB8;PSMA7;HSPA4;PSMB10;PSMB1;PSMC2;PSMD11;PSMC6;PSMD5;PSMC1;PSMC3;PSMA2;PSMC5;PSMA5;PSMB9;PSMA4;PSMA1;PSMB4;PSMD13;PSMD1;PSMB5;PSMA6;PSMA3;PSMD7;PSMD6;PSMD14;CTSB;PSMC4;PSMB2;PSMB6;FGFR3;PSMB7;CAPN1;PSMD8;PSME2;PRSS2,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__PONATINIB,0.6900181261620015,1.7813513070096842,0.0034207525655644,0.2382113524577249,0.963,5/9,8.03%,PDGFRB;SRC;FGFR2;FGFR1;PDGFRA,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__HALOPERIDOL,0.6533112458824551,1.7737313961200236,0.0021668472372697,0.2055490062165988,0.976,6/10,13.85%,HSPA4;MAOB;MAPK14;LDLR;TOR1A;NTS,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__E 3810,0.7330595482546205,1.680773322333341,0.0071770334928229,0.3095261114366152,1.0,6/6,26.87%,PDGFRB;FGFR2;FGFR1;PDGFRA;FLT4;FGFR3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__LENVATINIB,0.7269842517446694,1.671006125366004,0.0084643288996372,0.3255049543455847,1.0,5/6,22.82%,PDGFRB;FGFR2;FGFR1;PDGFRA;FLT4,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__DOVITINIB,0.5283489668818753,1.669864908521953,0.0051706308169596,0.3216633140052881,1.0,15/20,37.16%,PDGFRB;SRC;ROCK2;FGFR2;FGFR1;PDGFRA;LYN;NTRK2;FLT4;FGFR3;AXL;FYN;SLK;PRKCD;BTK,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__TOZASERTIB,0.5458765091099385,1.6692685378441805,0.0020725388601036,0.3165092311881346,1.0,13/17,37.16%,PDGFRB;MYLK;SRC;FGFR1;LYN;NTRK2;FLT4;FGFR3;AXL;FYN;SLK;PAK1;BTK,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__DORAMAPIMOD,0.6474637347146251,1.637855146013014,0.0126291618828932,0.3703912758353584,1.0,5/8,22.82%,PDGFRB;MAPK14;LYN;NTRK2;FLT4,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__NINTEDANIB,0.6453595630063477,1.6267629014790577,0.0136674259681093,0.3938936282335784,1.0,6/8,26.87%,PDGFRB;FGFR2;FGFR1;PDGFRA;FLT4;FGFR3,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__FLUTICASONE PROPIONATE,0.7409405749733682,1.6170273236068504,0.0171779141104294,0.4163124626727704,1.0,2/5,5.12%,HSPA4;PLA2G4A,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__CYCLOSPORINE,-0.4329218106995884,-1.6166095753908576,0.0263157894736842,0.5378455353248295,0.994,11/11,56.94%,FCGR3B;ANPEP;FCGR3A;ATIC;VCAM1;PPIA;UMOD;IMPDH2;PPP3R1;ITGB2;ITGAL,DGIdb_Drug_Targets_2024
