Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2025__Negative Regulation of Cholesterol Transport (GO:0032375),-0.9436915441878221,-2.652377197958162,0.0,0.0011902367615009512,0.001,6/6,5.76%,ADIPOQ;APOC1;APOA2;APOC2;APOE;APOC3
prerank,GO_Biological_Process_2025__Negative Regulation of Peptidase Activity (GO:0010466),-0.6033263238386541,-2.541409669326535,0.0,0.003570710284502854,0.005,14/14,39.85%,CST3;FETUB;TIMP2;ECM1;TIMP1;CSTA;VTN;CSTB;SERPINB1;UBXN1;GAPDH;SERPINB9;SERPINE1;SERPINB6
prerank,GO_Biological_Process_2025__Phospholipid Efflux (GO:0033700),-0.7564935064935064,-2.4811271244030944,0.0,0.004364201458836821,0.008,9/9,24.50%,APOA4;APOC1;APOA1;APOA2;APOC2;APOE;APOC3;ABCA7;APOA5
prerank,GO_Biological_Process_2025__tRNA Wobble Base Modification (GO:0002097),-0.7579228713249332,-2.315270549320544,0.0,0.011426272910409133,0.043,7/7,24.33%,MOCS3;KDELR2;ELP3;CTU2;ELP6;ELP5;ELP2
prerank,GO_Biological_Process_2025__tRNA Wobble Uridine Modification (GO:0002098),-0.7579228713249332,-2.315270549320544,0.0,0.011426272910409133,0.043,7/7,24.33%,MOCS3;KDELR2;ELP3;CTU2;ELP6;ELP5;ELP2
prerank,GO_Biological_Process_2025__T Cell Mediated Immunity (GO:0002456),-0.5986628462273161,-2.300227680536203,0.0,0.009918639679174593,0.045,10/10,40.27%,CD8A;CTSH;JAG1;C4BPA;CADM1;GNL1;CRTAM;CD46;HLA-A;MYO1G
prerank,GO_Biological_Process_2025__One-Carbon Compound Transport (GO:0019755),-0.7551408734771768,-2.20783820527847,0.0,0.024654904345376847,0.127,4/7,1.30%,HBG1;HBG2;HBD;HBB
prerank,GO_Biological_Process_2025__Cholesterol Efflux (GO:0033344),-0.5403206528529827,-2.1933399339660635,0.0,0.02454863320595712,0.141,12/13,24.50%,APOA4;APOC1;APOA1;APOA2;APOC2;APOM;APOE;APOC3;NPC1;ABCA7;TSKU;APOA5
prerank,GO_Biological_Process_2025__Carbon Dioxide Transport (GO:0015670),-0.816999231731,-2.1796847008849665,0.0,0.022019380087767597,0.157,4/6,1.30%,HBG1;HBG2;HBD;HBB
prerank,GO_Biological_Process_2025__Gas Transport (GO:0015669),-0.816999231731,-2.1796847008849665,0.0,0.022019380087767597,0.157,4/6,1.30%,HBG1;HBG2;HBD;HBB
prerank,GO_Biological_Process_2025__Regulation of Fibrinolysis (GO:0051917),-0.6088617265087853,-2.0703427159333496,0.0,0.051829400796268695,0.344,9/9,39.24%,F12;KLKB1;PLG;SERPINF2;GLMN;THBD;VTN;SERPINE1;THBS1
prerank,Reactome_Pathways_2024__Activation of C3 and C5,-0.6878579610538373,-2.0234427946204017,0.013986013986013986,0.06764512261197073,0.449,7/7,31.33%,CFB;C2;CFP;C5;C3;C4A;C4B
prerank,GO_Biological_Process_2025__Gonad Development (GO:0008406),-0.5805958747135218,-1.9823788285941082,0.0,0.08523926345826043,0.546,9/9,42.06%,BASP1;KIT;MEA1;NUP107;KITLG;INHBA;CSDE1;TGFB2;MKKS
prerank,GO_Biological_Process_2025__Plasminogen Activation (GO:0031639),-0.7730916030534352,-1.9779487247915832,0.0,0.0817862688974225,0.561,5/5,22.78%,KLKB1;FGB;FGA;FGG;PGK1
prerank,GO_Biological_Process_2025__Protein Activation Cascade (GO:0072376),-0.4387306442362837,-1.9760253221537365,0.0,0.0723812730587766,0.565,14/14,56.26%,F12;F13B;FGB;FGA;FGG;F13A1;THBD;GP1BB;GP1BA;FBLN1;GP5;FLNA;F8;GP9
prerank,"GO_Biological_Process_2025__Blood Coagulation, Fibrin Clot Formation (GO:0072378)",-0.4387306442362837,-1.9760253221537365,0.0,0.0723812730587766,0.565,14/14,56.26%,F12;F13B;FGB;FGA;FGG;F13A1;THBD;GP1BB;GP1BA;FBLN1;GP5;FLNA;F8;GP9
prerank,DGIdb_Drug_Targets_2024__BYL719,0.7130934694393207,1.9661106139261526,0.0,0.6078968122261434,0.407,9/11,24.50%,MTOR;PIK3R1;PI4KA;PIK3R4;PIK3R6;PIK3CB;PIK3CG;PIK3C3;PTEN
