Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,GO_Biological_Process_2025__Negative Regulation of Lipid Metabolic Process (GO:0045833),-0.8412315122245698,-2.5628805433317923,0.0,0.0079714033144052,0.007,7/7,16.08%,CEACAM1;APOC1;APOD;APOA2;APOE;APOC2;APOC3,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Homophilic Cell Adhesion via Plasma Membrane Adhesion Molecules (GO:0007156),-0.3567195590048996,-2.444603447443796,0.0,0.0130958768736658,0.02,28/32,42.83%,CEACAM6;NECTIN1;CEACAM5;CNTN4;CEACAM1;ROBO4;HMCN1;PVR;PTK7;CADM4;PTPRM;SDK1;SDK2;CDH17;CDH13;CD84;PLXNB2;PKD1;CADM2;ITGB1;NECTIN2;BSG;NECTIN3;L1CAM;DSG2;CADM1;PECAM1;CELSR2,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Regulation of Telomerase RNA Localization to Cajal Body (GO:1904872),0.9556293389677032,2.3760211591455107,0.0,0.0001968072989219,0.001,7/7,4.64%,CCT4;CCT8;CCT3;TCP1;CCT5;CCT6A;CCT7,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Positive Regulation of Telomerase RNA Localization to Cajal Body (GO:1904874),0.9556293389677032,2.3760211591455107,0.0,0.0001968072989219,0.001,7/7,4.64%,CCT4;CCT8;CCT3;TCP1;CCT5;CCT6A;CCT7,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Regulation of Protein Localization to Cajal Body (GO:1904869),0.9556293389677032,2.3760211591455107,0.0,0.0001968072989219,0.001,7/7,4.64%,CCT4;CCT8;CCT3;TCP1;CCT5;CCT6A;CCT7,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Chaperone Mediated Protein Folding Independent of Cofactor (GO:0051086),0.9556293389677032,2.3760211591455107,0.0,0.0001968072989219,0.001,7/7,4.64%,CCT4;CCT8;CCT3;TCP1;CCT5;CCT6A;CCT7,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Positive Regulation of Protein Localization to Cajal Body (GO:1904871),0.9556293389677032,2.3760211591455107,0.0,0.0001968072989219,0.001,7/7,4.64%,CCT4;CCT8;CCT3;TCP1;CCT5;CCT6A;CCT7,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Negative Regulation of Cholesterol Transport (GO:0032375),-0.8409776704888352,-2.3096615523907724,0.0,0.0223958474071386,0.052,6/6,16.08%,ADIPOQ;APOC1;APOA2;APOE;APOC2;APOC3,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Regulation of Telomere Maintenance via Telomerase (GO:0032210),0.7544202663614491,2.272228873502028,0.0,0.0003280121648699,0.002,13/14,20.12%,HNRNPU;CCT4;CCT8;CCT3;CCT2;TCP1;CCT5;CCT6A;CCT7;PTGES3;HNRNPC;CTNNB1;HNRNPD,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Positive Regulation of Telomere Maintenance via Telomere Lengthening (GO:1904358),0.7502415629683714,2.212591206434986,0.0,0.0014057664208711,0.009,12/13,20.12%,CCT4;CCT8;CCT3;CCT2;TCP1;CCT5;CCT6A;CCT7;HNRNPA2B1;PTGES3;CTNNB1;HNRNPD,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Positive Regulation of Telomere Maintenance via Telomerase (GO:0032212),0.7455855336469137,2.167145369276752,0.0,0.003321123169308,0.026,11/12,20.12%,CCT4;CCT8;CCT3;CCT2;TCP1;CCT5;CCT6A;CCT7;PTGES3;CTNNB1;HNRNPD,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Plasminogen Activation (GO:0031639),-0.7510561255280628,-2.058313490510681,0.0,0.1191155409552559,0.367,6/6,25.06%,KLKB1;PLAT;FGG;PGK1;FGA;FGB,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Positive Regulation of DNA Biosynthetic Process (GO:2000573),0.6368813383223492,2.018391841646694,0.0,0.0377213989600415,0.261,13/18,21.84%,CCT4;CCT8;CCT3;CCT2;TCP1;CCT5;CCT6A;CCT7;PTGES3;PDGFRB;CTNNB1;HNRNPD;PCNA,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Skeletal System Morphogenesis (GO:0048705),0.7781971541876265,2.0107775616781565,0.0,0.0377870013930155,0.284,6/8,12.35%,LRP5;FGFR2;PDGFRA;FGFR1;LAMA5;FGFR3,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Phosphatidylinositol-Mediated Signaling (GO:0048015),0.82923053275059,1.9952902388325615,0.001207729468599,0.0458024259309279,0.35,5/6,7.89%,PLCB3;PLCB1;PLCB2;FGFR1;PLCB4,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Myofibril Assembly (GO:0030239),0.688293526793845,1.9823211775508456,0.001088139281828,0.0496938429777939,0.399,9/12,20.75%,TPM1;PDGFRA;BMP10;CSRP1;MYL9;TMOD3;FLII;PDGFRB;FLNC,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Positive Regulation of Small Molecule Metabolic Process (GO:0062013),-0.7656108597285068,-1.967037401139576,0.0,0.1951095858859195,0.597,5/5,23.58%,APOA1;APOE;CES1;GPLD1;PARK7,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__'De Novo' Post-Translational Protein Folding (GO:0051084),0.603865825252725,1.948490167743598,0.0,0.0750138589352532,0.559,11/19,10.90%,HSPA9;CCT4;CCT8;CCT3;CCT2;TCP1;CCT5;CCT6A;CCT7;ENTPD5;PTGES3,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Fatty Acid Beta-Oxidation (GO:0006635),0.5787676703264498,1.9210341385761305,0.0010204081632653,0.0796522873692472,0.686,15/23,25.03%,HSD17B4;HSD17B10;HADHA;ECHDC2;ETFA;ACADVL;HADHB;DECR1;ETFB;HADH;ECHS1;ACADM;ACOX1;ETFDH;IVD,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Regulation of Myeloid Cell Differentiation (GO:0045637),0.7772411711439782,1.918861386259268,0.0022962112514351,0.0701946032821643,0.7,7/7,22.44%,HSPA9;EIF6;PAF1;LEO1;LYN;PRMT1;PURB,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Sterol Metabolic Process (GO:0016125),-0.4281391830559757,-1.9098104243858056,0.0,0.2427210968386258,0.735,15/15,57.41%,APOA4;APOB;APOA1;APOL2;APOE;LCAT;CES1;CETP;FDX1;ANGPTL3;PMVK;APOA5;NSDHL;TSKU;APOF,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Ras Protein Signal Transduction (GO:0007265),0.6058639949773713,1.905280151047735,0.0,0.0751718313491036,0.765,12/16,31.69%,G3BP1;G3BP2;GRB2;CRKL;RALB;RALA;PRKCSH;DOK3;GRAP2;DOK2;RRAS;RASGRP2,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Fatty Acid Oxidation (GO:0019395),0.5943991392848128,1.8963464485140995,0.002061855670103,0.0807729955992194,0.806,12/19,23.55%,HSD17B4;HSD17B10;HADHA;ECHDC2;ADH5;HADHB;DECR1;HADH;ECHS1;ACADM;ALOX12;ACOX1,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Regulation of Lamellipodium Assembly (GO:0010591),0.6199897174905545,1.891535116210581,0.001063829787234,0.0819111978113181,0.815,11/14,26.27%,ACTR2;DMTN;CDC42;ACTR3;RAC2;WAS;WASF2;CYFIP1;TWF2;NCKAP1;BRK1,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Killing by Host of Symbiont Cells (GO:0051873),-0.6674713337356669,-1.8469106079505384,0.0217391304347826,0.3218454088191128,0.856,6/6,33.40%,CFHR1;CFHR2;DCD;CFHR5;PF4;GAPDH,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Response to Transforming Growth Factor Beta (GO:0071559),0.6921658464125022,1.8297123841929583,0.0045197740112994,0.1421604722546262,0.958,8/9,29.97%,ROCK2;LIMS1;MXRA5;CRKL;PDE3A;TGFB1;ROCK1;PDCD5,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Regulation of BMP Signaling Pathway (GO:0030510),0.5599444894614689,1.8286524411697496,0.0010362694300518,0.1394474942200246,0.959,14/19,37.35%,SORL1;TNFAIP6;BMP4;UBE2O;FST;TWSG1;FSTL3;CHRDL2;PPP3CA;PRMT1;NOTCH1;PCSK6;NUMA1;VWC2,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Establishment of Mitotic Spindle Localization (GO:0040001),0.6717092481362698,1.8283397663445973,0.0,0.1355817782729537,0.96,5/10,7.02%,MAPRE1;KPNB1;NSFL1C;DCTN1;PAFAH1B1,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Cilium Assembly (GO:0060271),0.5202995867194793,1.8167386435673385,0.0020304568527918,0.15046812581215,0.971,14/28,13.89%,TXNDC15;WDR44;MAPRE2;DCTN1;ACTR2;EHD1;EHD3;RAB8A;ACTR3;EHD4;RAB1A;SEPTIN2;ARF4;SEPTIN7,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Prostaglandin Biosynthetic Process (GO:0001516),0.7142860822926409,1.813261292601234,0.0034562211981566,0.1514547934203817,0.978,4/7,15.21%,TBXAS1;PTGS1;PTGES3;PLA2G4A,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Protein Neddylation (GO:0045116),0.6501510574018126,1.8001401847557066,0.0044247787610619,0.1654001341356605,0.987,10/10,35.18%,COPS4;COPS5;COPS6;COPS8;COPS7A;NAE1;GPS1;UBE2M;COPS3;UBA3,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Lymphocyte Mediated Immunity (GO:0002449),-0.553743961352657,-1.7974196595932952,0.0,0.3862967352203062,0.931,8/8,44.79%,CR2;CR1;GNL1;CD46;MYO1G;JAG1;CD8A;C4BPA,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__ATP Biosynthetic Process (GO:0006754),0.6097642245173626,1.7960486313860726,0.0043336944745395,0.1674989687311458,0.988,11/12,33.31%,ATP5F1B;ATP5PO;ATP5PD;ATP5MG;ATP5PB;ATP5F1C;ATP5F1D;ATP5MK;TGFB1;ATP5ME;ATP5PF,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Energy Derivation by Oxidation of Organic Compounds (GO:0015980),0.582777169406211,1.785652417174755,0.0042553191489361,0.1827459353279268,0.995,12/14,34.67%,UQCRC2;COX5A;COX5B;UQCRC1;COX4I1;GFPT1;COX6C;COX7A2;ADGRF5;UQCRB;NDUFS1;NDUFA4,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Regulation of cAMP/PKA Signal Transduction (GO:0141161),0.7917638248878669,1.7792496720661302,0.0075662042875157,0.1863765120790924,0.996,4/5,17.74%,PRKAR2B;PRKAR2A;PRKAR1A;APP,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__DNA-templated Transcription Elongation (GO:0006354),0.7893370385688905,1.7745590080456692,0.0049140049140049,0.1910710861850844,0.997,2/5,11.87%,PAF1;LEO1,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Negative Regulation of Microtubule Polymerization (GO:0031115),0.7913028766599822,1.773113580199662,0.0025094102885821,0.189052154166817,0.998,3/5,7.68%,SNCA;MAPRE1;TUBB4A,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Protein Deneddylation (GO:0000338),0.6575052854122624,1.7728133259528382,0.0067567567567567,0.1852277066830595,0.998,9/9,34.43%,COPS4;COPS5;COPS6;COPS8;COPS7B;COPS7A;GPS1;TOR1A;COPS3,GO_Biological_Process_2025
prerank,GO_Biological_Process_2025__Phospholipid Efflux (GO:0033700),-0.5549516908212561,-1.7708701604744788,0.0390625,0.3694797198586028,0.954,8/8,44.67%,APOA4;APOC1;APOA1;APOA2;APOE;APOC2;APOC3;APOA5,GO_Biological_Process_2025
