2025-08-10 18:16:53,611 prerank2112810759120::[DEBUG   ] Input data is a DataFrame with gene names
2025-08-10 18:16:53,614 prerank2112810759120::[INFO    ] Input gene rankings contains duplicated IDs
2025-08-10 18:16:53,617 prerank2112810759120::[INFO    ] Parsing data files for GSEA.............................
2025-08-10 18:16:53,617 prerank2112810759120::[INFO    ] Enrichr library gene sets already downloaded in: C:\Users\lwoods\.cache/gseapy, use local file
2025-08-10 18:16:53,664 prerank2112810759120::[INFO    ] Enrichr library gene sets already downloaded in: C:\Users\lwoods\.cache/gseapy, use local file
2025-08-10 18:16:53,664 prerank2112810759120::[INFO    ] Enrichr library gene sets already downloaded in: C:\Users\lwoods\.cache/gseapy, use local file
2025-08-10 18:16:53,712 prerank2112810759120::[INFO    ] 3682 gene_sets have been filtered out when max_size=1000 and min_size=5
2025-08-10 18:16:53,712 prerank2112810759120::[INFO    ] 2380 gene_sets used for further statistical testing.....
2025-08-10 18:16:53,712 prerank2112810759120::[INFO    ] Start to run GSEA...Might take a while..................
2025-08-10 18:18:02,372 prerank2112810759120::[INFO    ] Start to generate gseapy reports, and produce figures...
2025-08-10 18:18:02,372 prerank2112810759120::[INFO    ] Congratulations. GSEApy runs successfully................

