Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Category
prerank,DGIdb_Drug_Targets_2024__PEMBROLIZUMAB,-0.5539757767245919,-2.0225062831797205,0.0094339622641509,0.2072491659797571,0.482,10/10,44.77%,EGFR;MET;PDCD1LG2;B2M;KIT;IDH1;PTEN;KRAS;JAK1;JAK2,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__HYDROCHLOROTHIAZIDE,0.7054578485695198,2.007175806168705,0.0,0.0974712095436027,0.295,7/11,13.94%,PTGS1;NUCB2;PDE3A;LRRC15;USP5;CSK;PRKCA,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__E 3810,0.7376530351665409,1.791321758327412,0.0011933174224343,0.2045791502419602,0.994,5/6,14.18%,FGFR2;PDGFRA;FGFR3;PDGFRB;FGFR1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__CARFILZOMIB,0.4718996731256319,1.7698755245933715,0.001004016064257,0.2085821448868522,0.997,25/41,24.68%,PSMB7;PSMC5;PSMD13;PSMD1;PSMD14;PSMD7;PSMA7;PSMD4;PSMB5;PSMD8;PSMA2;PSMB8;PSMB9;PSMD12;PSMB1;PSMB3;PSMB10;PSMA5;PSMA1;PSMA3;PSMA4;PSMB4;PSMA6;PSMB2;PSMF1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__PRAVASTATIN,0.6024698382819158,1.7035451343131307,0.0043478260869565,0.3227455784538174,1.0,7/11,32.75%,ADAMTS1;LDLR;RHOA;MMP3;LPL;BAX;MTTP,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__RISPERIDONE,0.6293995345554316,1.7014206798738396,0.0089385474860335,0.3230092227071021,1.0,5/9,18.22%,PSMD14;NTS;PPA2;LRP1B;HTT,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__ATALUREN,-0.2313215560108229,-1.6913979660752372,0.0,0.4888809093385503,0.988,55/57,69.43%,RPL14;RPS16;RPL10A;RPL6;RPS25;RPS7;RPL4;RPS13;RPS27;RPL11;RPS28;RPS17;RPS2;RPL12;RPS4X;RPS18;RPS10;RPL7;RPL30;RPL31;RPS8;RPS14;RPL23A;RPS6;RPL38;RPS15A;RPL17;RPL13;RPL7A;RPL8;RPS23;RPS5;RPL22;RPL35;RPS19;RPL19;RPL24;RPS24;RPSA;RPLP0;RPS3;RPL23;RPL27;RPS11;RPL27A;RPS21;RPL5;RPL29;RPL35A;RPL3;RPL34;RPL28;RPS3A;RPLP1;RPL18A,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__CELECOXIB,0.5499420409749238,1.6877904927178864,0.0075593952483801,0.3605122009550424,1.0,8/14,23.71%,ATP2A3;PTGS1;ATP2A2;STAT3;HSPA4;CTNNB1;CASP3;PDK1,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__MIDOSTAURIN,0.5390914247572124,1.6838301877929862,0.0073606729758149,0.3673832201034635,1.0,9/15,21.66%,PRKCB;PRKCD;PDGFRA;FGFR3;PRKCA;PDGFRB;FGFR1;PRKCQ;IDH2,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__MT 3724,-0.2292719550723974,-1.675964583862554,0.0,0.4969437536040642,0.992,56/58,69.43%,RPL14;RPS9;RPS16;RPL10A;RPL6;RPS25;RPS7;MS4A1;RPL4;RPS13;RPS27;RPL11;RPS28;RPS17;RPS2;RPL12;RPS4X;RPS18;RPS10;RPL7;RPL30;RPL31;RPS8;RPS14;RPL23A;RPS6;RPL38;RPS15A;RPL17;RPL13;RPL7A;RPL8;RPS23;RPS5;RPL22;RPL35;RPS19;RPL19;RPL24;RPS24;RPSA;RPLP0;RPS3;RPL23;RPL27;RPS11;RPL27A;RPS21;RPL5;RPL29;RPL35A;RPL3;RPL34;RPS3A;RPLP1;RPL18A,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__MASITINIB,0.5947754762294065,1.6714076383450789,0.0186813186813186,0.3559022147713461,1.0,6/10,13.97%,LYN;FGFR2;PDGFRA;FGFR3;PTK2;PDGFRB,DGIdb_Drug_Targets_2024
prerank,DGIdb_Drug_Targets_2024__PANITUMUMAB,-0.6266105706021562,-1.662169713303944,0.0388349514563106,0.4997401978299554,0.993,5/5,37.45%,EGFR;MET;PTEN;KRAS;MAP2K1,DGIdb_Drug_Targets_2024
