Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2025__Oxygen Transport (GO:0015671),-0.9527464337147784,-2.5407358274657152,0.0,0.0049739868510250826,0.005,4/5,4.50%,MB;HBG1;HBB;HBD
prerank,GO_Biological_Process_2025__Negative Regulation of Cholesterol Transport (GO:0032375),-0.837915601023018,-2.3407680800360007,0.0,0.015419359238177758,0.029,6/6,16.40%,ADIPOQ;APOC1;APOA2;APOC2;APOE;APOC3
prerank,Reactome_Pathways_2024__APC C-mediated Degradation of Cell Cycle Proteins,0.643173696324473,2.2516882550020862,0.0,0.0020012022043812334,0.002,27/32,25.56%,PSMA6;PSMB3;PSMB4;PSMA7;PSMB7;PSMC2;PSMD2;PSMD11;PSMB5;PSMA1;PSMC6;PSMA5;PSMC3;PSMD13;PSMC5;PSMC1;PSMB2;PSMB1;PSMA2;PSMA4;PSMD1;PSMD7;PSMD14;SKP1;PSMA3;PSMB6;PSMC4
prerank,GO_Biological_Process_2025__Regulation of Telomerase RNA Localization to Cajal Body (GO:1904872),0.9002238567316918,2.246315429017326,0.0,0.0005003005510953083,0.003,7/7,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7
prerank,GO_Biological_Process_2025__Positive Regulation of Protein Localization to Cajal Body (GO:1904871),0.9002238567316918,2.246315429017326,0.0,0.0005003005510953083,0.003,7/7,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7
prerank,GO_Biological_Process_2025__Positive Regulation of Telomerase RNA Localization to Cajal Body (GO:1904874),0.9002238567316918,2.246315429017326,0.0,0.0005003005510953083,0.003,7/7,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7
prerank,GO_Biological_Process_2025__Regulation of Protein Localization to Cajal Body (GO:1904869),0.9002238567316918,2.246315429017326,0.0,0.0005003005510953083,0.003,7/7,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7
prerank,GO_Biological_Process_2025__Chaperone Mediated Protein Folding Independent of Cofactor (GO:0051086),0.9002238567316918,2.246315429017326,0.0,0.0005003005510953083,0.003,7/7,10.18%,CCT4;CCT8;TCP1;CCT3;CCT5;CCT6A;CCT7
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.639904867040611,2.2365793751640615,0.0,0.00045481868281391664,0.005,26/31,25.56%,PSMA6;PSMB3;PSMB4;PSMA7;PSMB7;PSMC2;PSMD2;PSMD11;PSMB5;PSMA1;PSMC6;PSMA5;PSMC3;PSMD13;PSMC5;PSMC1;PSMB2;PSMB1;PSMA2;PSMA4;PSMD1;PSMD7;PSMD14;PSMA3;PSMB6;PSMC4
prerank,Reactome_Pathways_2024__APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,0.639904867040611,2.2365793751640615,0.0,0.00045481868281391664,0.005,26/31,25.56%,PSMA6;PSMB3;PSMB4;PSMA7;PSMB7;PSMC2;PSMD2;PSMD11;PSMB5;PSMA1;PSMC6;PSMA5;PSMC3;PSMD13;PSMC5;PSMC1;PSMB2;PSMB1;PSMA2;PSMA4;PSMD1;PSMD7;PSMD14;PSMA3;PSMB6;PSMC4
prerank,Reactome_Pathways_2024__Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins,0.639904867040611,2.2365793751640615,0.0,0.00045481868281391664,0.005,26/31,25.56%,PSMA6;PSMB3;PSMB4;PSMA7;PSMB7;PSMC2;PSMD2;PSMD11;PSMB5;PSMA1;PSMC6;PSMA5;PSMC3;PSMD13;PSMC5;PSMC1;PSMB2;PSMB1;PSMA2;PSMA4;PSMD1;PSMD7;PSMD14;PSMA3;PSMB6;PSMC4
prerank,Reactome_Pathways_2024__APC C Cdc20 Mediated Degradation of Securin,0.639904867040611,2.2365793751640615,0.0,0.00045481868281391664,0.005,26/31,25.56%,PSMA6;PSMB3;PSMB4;PSMA7;PSMB7;PSMC2;PSMD2;PSMD11;PSMB5;PSMA1;PSMC6;PSMA5;PSMC3;PSMD13;PSMC5;PSMC1;PSMB2;PSMB1;PSMA2;PSMA4;PSMD1;PSMD7;PSMD14;PSMA3;PSMB6;PSMC4
prerank,Reactome_Pathways_2024__APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint,0.639904867040611,2.2365793751640615,0.0,0.00045481868281391664,0.005,26/31,25.56%,PSMA6;PSMB3;PSMB4;PSMA7;PSMB7;PSMC2;PSMD2;PSMD11;PSMB5;PSMA1;PSMC6;PSMA5;PSMC3;PSMD13;PSMC5;PSMC1;PSMB2;PSMB1;PSMA2;PSMA4;PSMD1;PSMD7;PSMD14;PSMA3;PSMB6;PSMC4
prerank,Reactome_Pathways_2024__AURKA Activation by TPX2,0.6684182663507594,2.189544482079656,0.0,0.0009172176770080653,0.011,16/20,22.02%,TUBB;TUBA4A;MAPRE1;DCTN2;DCTN1;TUBB4B;PPP2R1A;CKAP5;YWHAG;PAFAH1B1;TUBB4A;PRKAR2B;ACTR1A;HSP90AA1;YWHAE;DYNC1H1
