Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Oxygen Transport (GO:0015671)	4.670233e-07	3.689484e-04	0	0	2.288348e+02	3.335699e+03	HBG1;MB;HBB;HBD
GO_Biological_Process_2025	Gas Transport (GO:0015669)	3.180072e-06	1.256128e-03	0	0	7.625507e+01	9.652830e+02	HBG1;MB;HBB;HBD
GO_Biological_Process_2025	Regulation of Interleukin-1 Production (GO:0032652)	1.830636e-05	4.820675e-03	0	0	3.811014e+01	4.157154e+02	ORM1;CEACAM1;SIRPA;ORM2
GO_Biological_Process_2025	Carbon Dioxide Transport (GO:0015670)	1.051394e-04	2.076504e-02	0	0	5.669828e+01	5.193689e+02	HBG1;HBB;HBD
GO_Biological_Process_2025	One-Carbon Compound Transport (GO:0019755)	1.816097e-04	2.869433e-02	0	0	4.251724e+01	3.662287e+02	HBG1;HBB;HBD
GO_Biological_Process_2025	Hydrogen Peroxide Metabolic Process (GO:0042743)	2.389209e-04	3.145792e-02	0	0	1.631304e+01	1.360406e+02	HBG1;HBB;APOA4;HBD
GO_Biological_Process_2025	Positive Regulation of Phagocytosis (GO:0050766)	5.775470e-04	6.518030e-02	0	0	8.444272e+00	6.296658e+01	FCN2;AHSG;SIRPA;CFP;MERTK
GO_Biological_Process_2025	Negative Regulation of Granulocyte Differentiation (GO:0030853)	9.278910e-04	6.663944e-02	0	0	1.124615e+02	7.852735e+02	CEACAM1;C1QC
GO_Biological_Process_2025	Cell Junction Disassembly (GO:0150146)	9.278910e-04	6.663944e-02	0	0	1.124615e+02	7.852735e+02	C1QB;C1QC
GO_Biological_Process_2025	Polysaccharide Metabolic Process (GO:0005976)	9.278910e-04	6.663944e-02	0	0	1.124615e+02	7.852735e+02	EXT1;EXT2
GO_Biological_Process_2025	Cytolysis by Host of Symbiont Cells (GO:0051838)	9.278910e-04	6.663944e-02	0	0	1.124615e+02	7.852735e+02	CFHR2;CFHR1
GO_Biological_Process_2025	Lipid Transport (GO:0006869)	1.660922e-03	9.056385e-02	0	0	6.515152e+00	4.169946e+01	FABP1;CEACAM1;GM2A;NPC2;APOA4
GO_Biological_Process_2025	Positive Regulation of Protein Processing (GO:0010954)	1.724394e-03	9.056385e-02	0	0	1.544436e+01	9.827058e+01	CLEC3B;F12;KLKB1
GO_Biological_Process_2025	Hydrogen Peroxide Catabolic Process (GO:0042744)	1.724394e-03	9.056385e-02	0	0	1.544436e+01	9.827058e+01	HBG1;HBB;HBD
GO_Biological_Process_2025	Polysaccharide Biosynthetic Process (GO:0000271)	1.834205e-03	9.056385e-02	0	0	5.622222e+01	3.542643e+02	EXT1;EXT2
GO_Biological_Process_2025	Heparan Sulfate Proteoglycan Biosynthetic Process, Chain Elongation (GO:0015014)	1.834205e-03	9.056385e-02	0	0	5.622222e+01	3.542643e+02	EXT1;EXT2
GO_Biological_Process_2025	Positive Regulation of Response to Stimulus (GO:0048584)	2.055875e-03	9.553772e-02	0	0	8.441868e+00	5.223029e+01	ADIPOQ;C8B;CFP;EGFR
GO_Biological_Process_2025	Defense Response to Gram-positive Bacterium (GO:0050830)	2.601644e-03	1.112680e-01	0	0	7.857271e+00	4.676343e+01	FCN2;PGLYRP2;ANG;RNASE1
GO_Biological_Process_2025	Reg of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002858)	3.021508e-03	1.112680e-01	0	0	3.747578e+01	2.174345e+02	CEACAM1;PVR
GO_Biological_Process_2025	Humoral Immune Response Mediated by Circulating Immunoglobulin (GO:0002455)	3.021508e-03	1.112680e-01	0	0	3.747578e+01	2.174345e+02	C1QB;C1QC
GO_Biological_Process_2025	Sphingolipid Catabolic Process (GO:0030149)	3.098604e-03	1.112680e-01	0	0	1.212931e+01	7.006865e+01	GM2A;ENPP2;SMPDL3A
GO_Biological_Process_2025	Muscle Organ Development (GO:0007517)	3.098604e-03	1.112680e-01	0	0	1.212931e+01	7.006865e+01	TAGLN;CFH;ITGA11
GO_Biological_Process_2025	Superoxide Metabolic Process (GO:0006801)	3.670543e-03	1.260752e-01	0	0	1.131897e+01	6.347015e+01	MB;APOA4;RNASE1
GO_Biological_Process_2025	Regulation of Phagocytosis (GO:0050764)	3.976271e-03	1.263915e-01	0	0	6.900659e+00	3.814278e+01	AHSG;ADIPOQ;SIRPA;MERTK
GO_Biological_Process_2025	Regulation of Granulocyte Differentiation (GO:0030852)	4.479700e-03	1.263915e-01	0	0	2.810256e+01	1.519843e+02	CEACAM1;C1QC
GO_Biological_Process_2025	Regulation of Nitric Oxide Metabolic Process (GO:0080164)	4.479700e-03	1.263915e-01	0	0	2.810256e+01	1.519843e+02	SIRPA;RNASE1
GO_Biological_Process_2025	Synapse Pruning (GO:0098883)	4.479700e-03	1.263915e-01	0	0	2.810256e+01	1.519843e+02	C1QB;C1QC
GO_Biological_Process_2025	Killing by Host of Symbiont Cells (GO:0051873)	4.479700e-03	1.263915e-01	0	0	2.810256e+01	1.519843e+02	CFHR2;CFHR1
GO_Biological_Process_2025	Response to Hydrogen Peroxide (GO:0042542)	5.755302e-03	1.567824e-01	0	0	9.428161e+00	4.862700e+01	FABP1;HBB;SIRPA
GO_Biological_Process_2025	Regulation of Systemic Arterial Blood Pressure (GO:0003073)	6.198944e-03	1.574895e-01	0	0	2.247863e+01	1.142673e+02	PRCP;KLKB1
GO_Biological_Process_2025	Positive Regulation of Plasminogen Activation (GO:0010756)	6.198944e-03	1.574895e-01	0	0	2.247863e+01	1.142673e+02	CLEC3B;F12
GO_Biological_Process_2025	Negative Regulation of Endocytosis (GO:0045806)	6.578676e-03	1.574895e-01	0	0	8.930581e+00	4.486654e+01	ADIPOQ;SIRPA;RNASE1
GO_Biological_Process_2025	Negative Regulation of Biosynthetic Process (GO:0009890)	6.578676e-03	1.574895e-01	0	0	8.930581e+00	4.486654e+01	CEACAM1;ADIPOQ;SIRPA
GO_Biological_Process_2025	Axonal Fasciculation (GO:0007413)	8.169663e-03	1.844010e-01	0	0	1.872934e+01	9.003810e+01	CNTN4;MEGF8
GO_Biological_Process_2025	Regulation of Acute Inflammatory Response (GO:0002673)	8.169663e-03	1.844010e-01	0	0	1.872934e+01	9.003810e+01	F12;KLKB1
GO_Biological_Process_2025	Negative Regulation of Blood Coagulation (GO:0030195)	8.426453e-03	1.849138e-01	0	0	8.077586e+00	3.858162e+01	CPB2;F12;KLKB1
GO_Biological_Process_2025	Regulation of Nitric Oxide Biosynthetic Process (GO:0045428)	9.453169e-03	2.018379e-01	0	0	7.709248e+00	3.593593e+01	HBB;SIRPA;RNASE1
GO_Biological_Process_2025	Regulation of Opsonization (GO:1903027)	1.038253e-02	2.050550e-01	0	0	1.605128e+01	7.331633e+01	FCN2;CFP
GO_Biological_Process_2025	Carbohydrate Biosynthetic Process (GO:0016051)	1.038253e-02	2.050550e-01	0	0	1.605128e+01	7.331633e+01	EXT1;EXT2
GO_Biological_Process_2025	Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012)	1.038253e-02	2.050550e-01	0	0	1.605128e+01	7.331633e+01	EXT1;EXT2
GO_Biological_Process_2025	Positive Regulation of Phosphorylation (GO:0042327)	1.244344e-02	2.303294e-01	0	0	4.834783e+00	2.120807e+01	ADIPOQ;ANG;RNASE1;EGFR
GO_Biological_Process_2025	Regulation of Fibrinolysis (GO:0051917)	1.282847e-02	2.303294e-01	0	0	1.404274e+01	6.117139e+01	F12;KLKB1
GO_Biological_Process_2025	Cellular Response to Superoxide (GO:0071451)	1.282847e-02	2.303294e-01	0	0	1.404274e+01	6.117139e+01	MB;APOA4
GO_Biological_Process_2025	Regulation of Biosynthetic Process (GO:0009889)	1.282847e-02	2.303294e-01	0	0	1.404274e+01	6.117139e+01	SIRPA;RNASE1
GO_Biological_Process_2025	Negative Regulation of Protein Binding (GO:0032091)	1.426679e-02	2.504614e-01	0	0	6.519231e+00	2.770556e+01	CFHR2;CFHR1;ADIPOQ
GO_Biological_Process_2025	Negative Regulation of Leukocyte Mediated Cytotoxicity (GO:0001911)	1.549865e-02	2.605092e-01	0	0	1.248053e+01	5.200641e+01	CEACAM1;PVR
GO_Biological_Process_2025	Cellular Response to Xenobiotic Stimulus (GO:0071466)	1.549865e-02	2.605092e-01	0	0	1.248053e+01	5.200641e+01	ADIPOQ;FBP1
GO_Biological_Process_2025	Calcium Ion Transport Into Cytosol (GO:0060402)	1.776371e-02	2.640677e-01	0	0	inf	inf	CACNA2D1
GO_Biological_Process_2025	Determination of Digestive Tract Left/Right Asymmetry (GO:0071907)	1.776371e-02	2.640677e-01	0	0	inf	inf	MEGF8
GO_Biological_Process_2025	Embryonic Heart Tube Development (GO:0035050)	1.776371e-02	2.640677e-01	0	0	inf	inf	MEGF8
GO_Biological_Process_2025	Glucocorticoid Biosynthetic Process (GO:0006704)	1.776371e-02	2.640677e-01	0	0	inf	inf	SERPINA6
GO_Biological_Process_2025	Lymphatic Endothelial Cell Differentiation (GO:0060836)	1.776371e-02	2.640677e-01	0	0	inf	inf	TIE1
GO_Biological_Process_2025	Negative Regulation of Cardiocyte Differentiation (GO:1905208)	1.776371e-02	2.640677e-01	0	0	inf	inf	EGFR
GO_Biological_Process_2025	Negative Regulation of Interleukin-6 Production (GO:0032715)	1.838446e-02	2.640677e-01	0	0	1.123077e+01	4.488095e+01	ORM1;SIRPA
GO_Biological_Process_2025	Glycosaminoglycan Biosynthetic Process (GO:0006024)	1.838446e-02	2.640677e-01	0	0	1.123077e+01	4.488095e+01	EXT1;EXT2
GO_Biological_Process_2025	Regulation of Interleukin-1 Beta Production (GO:0032651)	2.024028e-02	2.855325e-01	0	0	5.646552e+00	2.202201e+01	ORM1;SIRPA;ORM2
GO_Biological_Process_2025	Negative Regulation of Myeloid Leukocyte Differentiation (GO:0002762)	2.147754e-02	2.888765e-01	0	0	1.020824e+01	3.920726e+01	CEACAM1;C1QC
GO_Biological_Process_2025	Regulation of Plasminogen Activation (GO:0010755)	2.147754e-02	2.888765e-01	0	0	1.020824e+01	3.920726e+01	CLEC3B;F12
GO_Biological_Process_2025	Defense Response to Bacterium (GO:0042742)	2.157432e-02	2.888765e-01	0	0	3.351393e+00	1.285679e+01	FCN2;PGLYRP2;ANG;CFP;RNASE1
GO_Biological_Process_2025	Regulation of Fatty Acid Biosynthetic Process (GO:0042304)	2.476974e-02	3.156144e-01	0	0	9.356125e+00	3.460019e+01	CEACAM1;APOA4
GO_Biological_Process_2025	Negative Regulation of Natural Killer Cell Mediated Cytotoxicity (GO:0045953)	2.476974e-02	3.156144e-01	0	0	9.356125e+00	3.460019e+01	CEACAM1;PVR
GO_Biological_Process_2025	Heparan Sulfate Proteoglycan Metabolic Process (GO:0030201)	2.476974e-02	3.156144e-01	0	0	9.356125e+00	3.460019e+01	EXT1;EXT2
