Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
DGIdb_Drug_Targets_2024	BRIGATINIB	9.123880e-04	5.539806e-02	0	0	1.134483e+02	7.940750e+02	EML4;EGFR
DGIdb_Drug_Targets_2024	CYC 116	9.310598e-04	5.539806e-02	0	0	5.921913e+00	4.133014e+01	LTK;CDK2;DYRK1A;CSNK1D;EGFR;CSNK1G1
DGIdb_Drug_Targets_2024	SIROLIMUS	1.683004e-03	6.675915e-02	0	0	1.558103e+01	9.951875e+01	RPTOR;EML4;EGFR
DGIdb_Drug_Targets_2024	AFATINIB	4.406178e-03	1.310838e-01	0	0	2.834914e+01	1.537869e+02	EML4;EGFR
DGIdb_Drug_Targets_2024	CENISERTIB	9.024492e-03	2.147829e-01	0	0	4.238027e+00	1.995184e+01	LTK;CDK2;CSNK1D;EGFR;CSNK1G1
DGIdb_Drug_Targets_2024	SF1126	2.113964e-02	2.696044e-01	0	0	1.029781e+01	3.971457e+01	PRKDC;PIK3C2A
DGIdb_Drug_Targets_2024	AZD 1152 HQPA	2.113964e-02	2.696044e-01	0	0	1.029781e+01	3.971457e+01	CSNK1D;EGFR
DGIdb_Drug_Targets_2024	CARBOPLATIN	2.315360e-02	2.696044e-01	0	0	5.338859e+00	2.010403e+01	CDK2;HLA-C;EGFR
DGIdb_Drug_Targets_2024	LAPATINIB	2.438242e-02	2.696044e-01	0	0	9.438218e+00	3.505253e+01	HLA-C;EGFR
DGIdb_Drug_Targets_2024	SOTRASTAURIN	2.680176e-02	2.696044e-01	0	0	5.023274e+00	1.818067e+01	LTK;CDK2;EGFR
DGIdb_Drug_Targets_2024	CRIZOTINIB	3.142699e-02	2.696044e-01	0	0	8.087438e+00	2.798325e+01	EML4;EGFR
DGIdb_Drug_Targets_2024	ILORASERTIB	3.291042e-02	2.696044e-01	0	0	3.517409e+00	1.200831e+01	LTK;CSNK1D;EGFR;CSNK1G1
DGIdb_Drug_Targets_2024	BAY1000394	3.492125e-02	2.696044e-01	0	0	5.623932e+01	1.886638e+02	CDK2
DGIdb_Drug_Targets_2024	PERTUZUMAB	3.492125e-02	2.696044e-01	0	0	5.623932e+01	1.886638e+02	EGFR
DGIdb_Drug_Targets_2024	LOVASTATIN	3.916764e-02	2.696044e-01	0	0	7.074353e+00	2.292023e+01	CETP;CDK2
DGIdb_Drug_Targets_2024	LINIFANIB	4.183420e-02	2.696044e-01	0	0	4.161188e+00	1.320778e+01	LTK;CSNK1D;CSNK1G1
DGIdb_Drug_Targets_2024	HARMINE	5.192573e-02	2.696044e-01	0	0	2.811538e+01	8.316364e+01	DYRK1A
DGIdb_Drug_Targets_2024	BMS 690514	5.192573e-02	2.696044e-01	0	0	2.811538e+01	8.316364e+01	EGFR
DGIdb_Drug_Targets_2024	CANERTINIB	5.192573e-02	2.696044e-01	0	0	2.811538e+01	8.316364e+01	EGFR
DGIdb_Drug_Targets_2024	LIDOCAINE	5.192573e-02	2.696044e-01	0	0	2.811538e+01	8.316364e+01	EGFR
DGIdb_Drug_Targets_2024	DINACICLIB	5.192573e-02	2.696044e-01	0	0	2.811538e+01	8.316364e+01	CDK2
DGIdb_Drug_Targets_2024	LAMOTRIGINE	6.863310e-02	2.696044e-01	0	0	1.874074e+01	5.020608e+01	HLA-C
DGIdb_Drug_Targets_2024	ALECTINIB	6.863310e-02	2.696044e-01	0	0	1.874074e+01	5.020608e+01	EML4
DGIdb_Drug_Targets_2024	RGB 286638	6.863310e-02	2.696044e-01	0	0	1.874074e+01	5.020608e+01	CDK2
DGIdb_Drug_Targets_2024	SELICICLIB	6.863310e-02	2.696044e-01	0	0	1.874074e+01	5.020608e+01	CDK2
DGIdb_Drug_Targets_2024	XL647	6.863310e-02	2.696044e-01	0	0	1.874074e+01	5.020608e+01	EGFR
DGIdb_Drug_Targets_2024	VALPROIC ACID	7.095509e-02	2.696044e-01	0	0	4.916042e+00	1.300641e+01	CPS1;HLA-C
DGIdb_Drug_Targets_2024	ALISERTIB	7.095509e-02	2.696044e-01	0	0	4.916042e+00	1.300641e+01	LTK;EGFR
DGIdb_Drug_Targets_2024	BEVACIZUMAB	8.117337e-02	2.696044e-01	0	0	4.521379e+00	1.135394e+01	EML4;EGFR
DGIdb_Drug_Targets_2024	RG 1530	8.186978e-02	2.696044e-01	0	0	3.095336e+00	7.746466e+00	LTK;CDK2;EGFR
