Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Peptidyl-Tyrosine Autophosphorylation (GO:0038083)	4.142270e-04	3.023307e-01	0	0	2.858696e+01	2.226666e+02	LTK;DYRK1A;EGFR
GO_Biological_Process_2025	Receptor Recycling (GO:0001881)	7.929396e-04	3.023307e-01	0	0	2.143370e+01	1.530315e+02	RAB43;PHETA2;PLEKHJ1
GO_Biological_Process_2025	Diacylglycerol Metabolic Process (GO:0046339)	1.043719e-03	3.023307e-01	0	0	1.904928e+01	1.307726e+02	LIPE;DGKD;DGAT1
GO_Biological_Process_2025	Mitotic G1 DNA Damage Checkpoint Signaling (GO:0031571)	1.803740e-03	3.134901e-01	0	0	5.671552e+01	3.583226e+02	PRKDC;CDK2
GO_Biological_Process_2025	Mitotic G1/S Transition Checkpoint Signaling (GO:0044819)	1.803740e-03	3.134901e-01	0	0	5.671552e+01	3.583226e+02	PRKDC;CDK2
GO_Biological_Process_2025	Receptor Metabolic Process (GO:0043112)	2.523550e-03	3.654941e-01	0	0	1.317993e+01	7.884353e+01	RAB43;PHETA2;PLEKHJ1
GO_Biological_Process_2025	Positive Regulation of DNA Replication (GO:0045740)	6.097812e-03	4.327160e-01	0	0	2.267586e+01	1.156429e+02	CDK2;EGFR
GO_Biological_Process_2025	Endomembrane System Organization (GO:0010256)	7.815576e-03	4.327160e-01	0	0	3.311067e+00	1.606409e+01	RAB43;PHETA2;DOP1B;REEP3;RAB29;CSNK1D;PLEKHJ1
GO_Biological_Process_2025	rRNA Methylation (GO:0031167)	8.037178e-03	4.327160e-01	0	0	1.889368e+01	9.113701e+01	TFB1M;MRM3
GO_Biological_Process_2025	Acylglycerol Metabolic Process (GO:0006639)	8.233283e-03	4.327160e-01	0	0	8.149068e+00	3.911203e+01	CETP;DGKD;DGAT1
GO_Biological_Process_2025	Cytosolic Transport (GO:0016482)	9.545349e-03	4.327160e-01	0	0	4.175965e+00	1.942534e+01	PHETA2;SLC66A2;DOP1B;RAB29;PLEKHJ1
GO_Biological_Process_2025	Triglyceride Metabolic Process (GO:0006641)	1.145224e-02	4.327160e-01	0	0	7.127174e+00	3.185540e+01	LIPE;CETP;DGAT1
GO_Biological_Process_2025	Regulation of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042058)	1.394733e-02	4.327160e-01	0	0	6.576923e+00	2.809969e+01	DGKD;EGFR;PTPN2
GO_Biological_Process_2025	Protein Localization to Cilium (GO:0061512)	1.525183e-02	4.327160e-01	0	0	1.259004e+01	5.266484e+01	RAB29;CSNK1D
GO_Biological_Process_2025	Positive Regulation of Autophagy (GO:0010508)	1.662253e-02	4.327160e-01	0	0	4.405533e+00	1.804945e+01	SCOC;ATG101;PIK3C2A;ATG13
GO_Biological_Process_2025	Alditol Metabolic Process (GO:0019400)	1.761443e-02	4.327160e-01	0	0	inf	inf	COQ3
GO_Biological_Process_2025	Double-Strand Break Repair via Alternative Nonhomologous End Joining (GO:0097681)	1.761443e-02	4.327160e-01	0	0	inf	inf	PRKDC
GO_Biological_Process_2025	Vascular Associated Smooth Muscle Contraction (GO:0014829)	1.761443e-02	4.327160e-01	0	0	inf	inf	PIK3C2A
GO_Biological_Process_2025	Vasoconstriction (GO:0042310)	1.761443e-02	4.327160e-01	0	0	inf	inf	PIK3C2A
GO_Biological_Process_2025	Negative Regulation of Cardiocyte Differentiation (GO:1905208)	1.761443e-02	4.327160e-01	0	0	inf	inf	EGFR
GO_Biological_Process_2025	Negative Regulation of Epidermal Growth Factor Receptor Signaling Pathway (GO:0042059)	1.809346e-02	4.327160e-01	0	0	1.132931e+01	4.545551e+01	EGFR;PTPN2
GO_Biological_Process_2025	Positive Regulation of G1/S Transition of Mitotic Cell Cycle (GO:1900087)	1.809346e-02	4.327160e-01	0	0	1.132931e+01	4.545551e+01	RPTOR;EGFR
GO_Biological_Process_2025	Negative Regulation of ERBB Signaling Pathway (GO:1901185)	1.809346e-02	4.327160e-01	0	0	1.132931e+01	4.545551e+01	EGFR;PTPN2
GO_Biological_Process_2025	Regulation of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032434)	1.869544e-02	4.327160e-01	0	0	4.241066e+00	1.687722e+01	ZYG11B;CDK2;CSNK1D;N4BP1
GO_Biological_Process_2025	Phosphorylation (GO:0016310)	2.112865e-02	4.327160e-01	0	0	2.685401e+00	1.035793e+01	LIPE;LTK;DGKD;PRKDC;CDK2;DYRK1A;CSNK1D
GO_Biological_Process_2025	Positive Regulation of Peptidyl-Serine Phosphorylation (GO:0033138)	2.438242e-02	4.327160e-01	0	0	9.438218e+00	3.505253e+01	RPTOR;EGFR
GO_Biological_Process_2025	Peptidyl-Serine Phosphorylation (GO:0018105)	2.680176e-02	4.327160e-01	0	0	5.023274e+00	1.818067e+01	PRKDC;CDK2;DYRK1A
GO_Biological_Process_2025	Positive Regulation of Phosphate Metabolic Process (GO:0045937)	2.781405e-02	4.327160e-01	0	0	8.710875e+00	3.120422e+01	BCL10;EGFR
GO_Biological_Process_2025	Peptidyl-Serine Modification (GO:0018209)	3.073929e-02	4.327160e-01	0	0	4.742754e+00	1.651528e+01	PRKDC;CDK2;DYRK1A
GO_Biological_Process_2025	Peptidyl-Tyrosine Phosphorylation (GO:0018108)	3.073929e-02	4.327160e-01	0	0	4.742754e+00	1.651528e+01	LTK;DYRK1A;EGFR
GO_Biological_Process_2025	Positive Regulation of Canonical Wnt Signaling Pathway (GO:0090263)	3.073929e-02	4.327160e-01	0	0	4.742754e+00	1.651528e+01	CSNK1D;EGFR;CSNK1G1
GO_Biological_Process_2025	Negative Regulation of Cell Differentiation (GO:0045596)	3.141632e-02	4.327160e-01	0	0	3.572917e+00	1.236382e+01	CETP;TRIO;SMARCA2;EGFR
GO_Biological_Process_2025	Cellular Response to Glucose Stimulus (GO:0071333)	3.142699e-02	4.327160e-01	0	0	8.087438e+00	2.798325e+01	RAB43;RPTOR
GO_Biological_Process_2025	Mitotic DNA Damage Checkpoint Signaling (GO:0044773)	3.142699e-02	4.327160e-01	0	0	8.087438e+00	2.798325e+01	PRKDC;CDK2
GO_Biological_Process_2025	Regulation of Epithelial Cell Apoptotic Process (GO:1904035)	3.492125e-02	4.327160e-01	0	0	5.623932e+01	1.886638e+02	CARM1
GO_Biological_Process_2025	ERBB2-EGFR Signaling Pathway (GO:0038134)	3.492125e-02	4.327160e-01	0	0	5.623932e+01	1.886638e+02	EGFR
GO_Biological_Process_2025	Cellular Response to Acidic pH (GO:0071468)	3.492125e-02	4.327160e-01	0	0	5.623932e+01	1.886638e+02	RAB43
GO_Biological_Process_2025	Synaptic Transmission, Glutamatergic (GO:0035249)	3.492125e-02	4.327160e-01	0	0	5.623932e+01	1.886638e+02	NAPB
