Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
DGIdb_Drug_Targets_2024	ATALUREN	4.138377e-03	2.396845e-01	0	0	3.435884e+00	1.885425e+01	RPL7A;RPS25;RPS8;RPS5;RPL38;RPS11;RPL29;RPL18
DGIdb_Drug_Targets_2024	MT 3724	4.543351e-03	2.396845e-01	0	0	3.377119e+00	1.821648e+01	RPL7A;RPS25;RPS8;RPS5;RPL38;RPS11;RPL29;RPL18
DGIdb_Drug_Targets_2024	CYCLOHEXIMIDE	5.942591e-03	2.396845e-01	0	0	3.212198e+00	1.646447e+01	RPL7A;RPS25;RPS8;RPS5;RPL38;RPS11;RPL29;RPL18
DGIdb_Drug_Targets_2024	DORLIMOMAB ARITOX	1.459052e-02	4.413632e-01	0	0	2.943481e+00	1.244322e+01	RPL7A;RPS25;RPS5;RPL38;RPS11;RPL29;RPL18
DGIdb_Drug_Targets_2024	DEXAMETHASONE	3.562242e-02	5.645182e-01	0	0	3.520330e+00	1.173952e+01	RET;TJP1;CDK6;TG
DGIdb_Drug_Targets_2024	LY2835219	3.940867e-02	5.645182e-01	0	0	inf	inf	CDK6
DGIdb_Drug_Targets_2024	ETANERCEPT	5.650183e-02	5.645182e-01	0	0	6.132634e+00	1.762201e+01	CERS6;ALPL
DGIdb_Drug_Targets_2024	CALCITRIOL	7.727006e-02	5.645182e-01	0	0	2.446388e+01	6.263851e+01	TG
DGIdb_Drug_Targets_2024	INFLIXIMAB	1.031450e-01	5.645182e-01	0	0	4.085878e+00	9.281560e+00	CERS6;ALPL
DGIdb_Drug_Targets_2024	ERLOTINIB	1.043009e-01	5.645182e-01	0	0	2.833333e+00	6.404679e+00	RET;NF1;PKN2
DGIdb_Drug_Targets_2024	DIAZOXIDE	1.136446e-01	5.645182e-01	0	0	1.223004e+01	2.659641e+01	CCK
DGIdb_Drug_Targets_2024	AMINOGLUTETHIMIDE	1.136446e-01	5.645182e-01	0	0	1.223004e+01	2.659641e+01	TG
DGIdb_Drug_Targets_2024	ISOTRETINOIN	1.136446e-01	5.645182e-01	0	0	1.223004e+01	2.659641e+01	TG
DGIdb_Drug_Targets_2024	AZD1480	1.136446e-01	5.645182e-01	0	0	1.223004e+01	2.659641e+01	RET
DGIdb_Drug_Targets_2024	IL 2	1.428998e-01	5.645182e-01	0	0	3.267176e+00	6.356655e+00	TG;CD244
DGIdb_Drug_Targets_2024	LAMOTRIGINE	1.485905e-01	5.645182e-01	0	0	8.152091e+00	1.554246e+01	PPT1
DGIdb_Drug_Targets_2024	PAMIDRONATE	1.485905e-01	5.645182e-01	0	0	8.152091e+00	1.554246e+01	SPP1
DGIdb_Drug_Targets_2024	ALECTINIB	1.485905e-01	5.645182e-01	0	0	8.152091e+00	1.554246e+01	RET
DGIdb_Drug_Targets_2024	VEMURAFENIB	1.567810e-01	5.645182e-01	0	0	3.062500e+00	5.674523e+00	NF1;MITF
DGIdb_Drug_Targets_2024	COLCHICINE	1.567810e-01	5.645182e-01	0	0	3.062500e+00	5.674523e+00	TUBB6;MAP2
DGIdb_Drug_Targets_2024	AMIODARONE	1.821635e-01	5.645182e-01	0	0	6.113118e+00	1.040973e+01	TG
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:1713	1.821635e-01	5.645182e-01	0	0	6.113118e+00	1.040973e+01	ACTN2
DGIdb_Drug_Targets_2024	OCTREOTIDE	1.821635e-01	5.645182e-01	0	0	6.113118e+00	1.040973e+01	TG
DGIdb_Drug_Targets_2024	AMUVATINIB	1.821635e-01	5.645182e-01	0	0	6.113118e+00	1.040973e+01	RET
DGIdb_Drug_Targets_2024	ALVOCIDIB	1.821635e-01	5.645182e-01	0	0	6.113118e+00	1.040973e+01	CDK6
