Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Positive Regulation of Cell Adhesion (GO:0045785)	3.417333e-04	2.394213e-01	0	0	4.696324e+00	3.748361e+01	RET;AFDN;IBSP;LAMA2;LAMA1;CHRD;SAA2;RNASE1;FBLN2
GO_Biological_Process_2025	Positive Regulation of Extrinsic Apoptotic Signaling Pathway (GO:2001238)	6.751786e-04	2.394213e-01	0	0	8.854109e+00	6.463972e+01	RET;PYCARD;CAV1;HTRA2;PKN2
GO_Biological_Process_2025	Protein Transmembrane Import Into Intracellular Organelle (GO:0044743)	6.751786e-04	2.394213e-01	0	0	8.854109e+00	6.463972e+01	PEX16;PEX7;TIMM17B;TOMM20;TOMM40L
GO_Biological_Process_2025	Negative Regulation of Cell Migration (GO:0030336)	9.120867e-04	2.394213e-01	0	0	3.410628e+00	2.387363e+01	AFDN;RBBP4;CHRD;NF1;STC1;MITF;MIA3;EPPK1;THY1;RNASE1;DCN
GO_Biological_Process_2025	DNA Double-Strand Break Processing (GO:0000729)	1.107806e-03	2.394213e-01	0	0	2.464368e+01	1.677094e+02	EXD2;RAD50;UBE2V2
GO_Biological_Process_2025	Negative Regulation of Cell Motility (GO:2000146)	1.282621e-03	2.394213e-01	0	0	3.814158e+00	2.539790e+01	AFDN;RBBP4;CHRD;NF1;STC1;MITF;MIA3;EPPK1;THY1
GO_Biological_Process_2025	DNA Replication-Dependent Chromatin Assembly (GO:0006335)	1.547376e-03	2.394213e-01	0	0	inf	inf	NASP;RBBP4
GO_Biological_Process_2025	Endocrine System Development (GO:0035270)	1.547376e-03	2.394213e-01	0	0	inf	inf	TG;NF1
GO_Biological_Process_2025	Gamma-Delta T Cell Activation (GO:0046629)	1.547376e-03	2.394213e-01	0	0	inf	inf	JAML;CD3E
GO_Biological_Process_2025	Positive Regulation of DNA-templated Transcription Initiation (GO:2000144)	1.547376e-03	2.394213e-01	0	0	inf	inf	DHX36;MITF
GO_Biological_Process_2025	Positive Regulation of Hormone Metabolic Process (GO:0032352)	1.547376e-03	2.394213e-01	0	0	inf	inf	HPN;MIA3
GO_Biological_Process_2025	Regulation of Extrinsic Apoptotic Signaling Pathway in Absence of Ligand (GO:2001239)	2.924341e-03	3.303747e-01	0	0	1.478161e+01	8.624605e+01	RET;IFI6;HTRA2
GO_Biological_Process_2025	Regulation of Smooth Muscle Contraction (GO:0006940)	2.924341e-03	3.303747e-01	0	0	1.478161e+01	8.624605e+01	CNN1;SETD3;CAV1
GO_Biological_Process_2025	Import Into the Mitochondrion (GO:0170036)	3.047161e-03	3.303747e-01	0	0	5.896304e+00	3.416050e+01	MCUR1;PNPT1;TIMM17B;TOMM20;TOMM40L
GO_Biological_Process_2025	Skeletal System Development (GO:0001501)	3.085315e-03	3.303747e-01	0	0	3.304671e+00	1.910464e+01	LAMA5;TCOF1;CHRD;STC1;ALPL;CHI3L1;HAPLN3;MRPL13;HAPLN1
GO_Biological_Process_2025	Extracellular Structure Organization (GO:0043062)	3.571927e-03	3.303747e-01	0	0	3.956226e+00	2.229195e+01	ADAMTS5;MMP25;IBSP;MMP1;NF1;LRP12;MATN2
GO_Biological_Process_2025	External Encapsulating Structure Organization (GO:0045229)	3.991948e-03	3.303747e-01	0	0	3.867704e+00	2.136317e+01	ADAMTS5;MMP25;IBSP;MMP1;NF1;LRP12;MATN2
