Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:14	4.031538e-04	4.958792e-02	0	0	inf	inf	A1BG;A2M
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:707	1.436177e-03	8.832487e-02	0	0	9.513631e+00	6.227405e+01	C7;C8B;C2;C1QC
DGIdb_Drug_Targets_2024	OSIMERTINIB	5.734166e-03	1.410605e-01	0	0	2.466165e+01	1.272865e+02	MET;EGFR
DGIdb_Drug_Targets_2024	SULTHIAME	5.734166e-03	1.410605e-01	0	0	2.466165e+01	1.272865e+02	CA1;CA3
DGIdb_Drug_Targets_2024	ETHOXZOLAMIDE	5.734166e-03	1.410605e-01	0	0	2.466165e+01	1.272865e+02	CA1;CA3
DGIdb_Drug_Targets_2024	ACETAZOLAMIDE	7.922227e-03	1.602726e-01	0	0	1.972632e+01	9.543755e+01	CA1;CA3
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:52	1.042423e-02	1.602726e-01	0	0	1.643609e+01	7.500811e+01	A1BG;A2M
DGIdb_Drug_Targets_2024	PANITUMUMAB	1.042423e-02	1.602726e-01	0	0	1.643609e+01	7.500811e+01	MET;EGFR
DGIdb_Drug_Targets_2024	MK 2461	1.322683e-02	1.626900e-01	0	0	1.408593e+01	6.092880e+01	MERTK;MET
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:56	1.322683e-02	1.626900e-01	0	0	1.408593e+01	6.092880e+01	A1BG;A2M
DGIdb_Drug_Targets_2024	TRIAMCINOLONE	1.631708e-02	1.824546e-01	0	0	1.232331e+01	5.071711e+01	BCHE;SERPINA6
DGIdb_Drug_Targets_2024	ISRADIPINE	2.015212e-02	1.906700e-01	0	0	inf	inf	CACNA2D1
DGIdb_Drug_Targets_2024	ZONISAMIDE	2.015212e-02	1.906700e-01	0	0	inf	inf	CA1
DGIdb_Drug_Targets_2024	TRASTUZUMAB	3.130909e-02	2.208597e-01	0	0	8.210526e+00	2.844001e+01	MET;EGFR
DGIdb_Drug_Targets_2024	LAPATINIB	3.130909e-02	2.208597e-01	0	0	8.210526e+00	2.844001e+01	MET;EGFR
DGIdb_Drug_Targets_2024	PEMBROLIZUMAB	3.565674e-02	2.208597e-01	0	0	7.577791e+00	2.526297e+01	MET;EGFR
DGIdb_Drug_Targets_2024	PREGABALIN	3.990115e-02	2.208597e-01	0	0	4.897761e+01	1.577740e+02	CACNA2D1
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:50	3.990115e-02	2.208597e-01	0	0	4.897761e+01	1.577740e+02	A1BG
DGIdb_Drug_Targets_2024	PERTUZUMAB	3.990115e-02	2.208597e-01	0	0	4.897761e+01	1.577740e+02	EGFR
DGIdb_Drug_Targets_2024	OXYMETHOLONE	3.990115e-02	2.208597e-01	0	0	4.897761e+01	1.577740e+02	PLG
DGIdb_Drug_Targets_2024	CRIZOTINIB	4.022225e-02	2.208597e-01	0	0	7.035446e+00	2.260724e+01	MET;EGFR
DGIdb_Drug_Targets_2024	CETUXIMAB	5.512348e-02	2.208597e-01	0	0	5.791243e+00	1.678406e+01	MET;EGFR
DGIdb_Drug_Targets_2024	SAFINAMIDE	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	CACNA2D1
DGIdb_Drug_Targets_2024	CHLOROTHIAZIDE	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	CA1
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:2644	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	BCHE
DGIdb_Drug_Targets_2024	UROKINASE	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	PLG
DGIdb_Drug_Targets_2024	ISOTRETINOIN	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	CA3
DGIdb_Drug_Targets_2024	BMS 690514	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	EGFR
DGIdb_Drug_Targets_2024	CANERTINIB	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	EGFR
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:91	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	A1BG
DGIdb_Drug_Targets_2024	TRICHLORMETHIAZIDE	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	CA1
DGIdb_Drug_Targets_2024	LIDOCAINE	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	EGFR
DGIdb_Drug_Targets_2024	BRIGATINIB	5.925504e-02	2.208597e-01	0	0	2.448507e+01	6.919248e+01	EGFR
DGIdb_Drug_Targets_2024	FELODIPINE	7.822164e-02	2.405315e-01	0	0	1.632090e+01	4.158905e+01	CACNA2D1
DGIdb_Drug_Targets_2024	SPIRONOLACTONE	7.822164e-02	2.405315e-01	0	0	1.632090e+01	4.158905e+01	ADIPOQ
DGIdb_Drug_Targets_2024	MGCD265	7.822164e-02	2.405315e-01	0	0	1.632090e+01	4.158905e+01	MET
DGIdb_Drug_Targets_2024	ZIPRASIDONE	7.822164e-02	2.405315e-01	0	0	1.632090e+01	4.158905e+01	CNTN4
DGIdb_Drug_Targets_2024	XL647	7.822164e-02	2.405315e-01	0	0	1.632090e+01	4.158905e+01	EGFR
DGIdb_Drug_Targets_2024	CLOFIBRATE	7.822164e-02	2.405315e-01	0	0	1.632090e+01	4.158905e+01	FABP1
DGIdb_Drug_Targets_2024	ALTIRATINIB	7.822164e-02	2.405315e-01	0	0	1.632090e+01	4.158905e+01	MET
DGIdb_Drug_Targets_2024	LUSUTROMBOPAG	9.680862e-02	2.670802e-01	0	0	1.223881e+01	2.857785e+01	SERPINC1
DGIdb_Drug_Targets_2024	DANAZOL	9.680862e-02	2.670802e-01	0	0	1.223881e+01	2.857785e+01	PLG
DGIdb_Drug_Targets_2024	AMUVATINIB	9.680862e-02	2.670802e-01	0	0	1.223881e+01	2.857785e+01	MET
DGIdb_Drug_Targets_2024	CURCUMIN	1.020672e-01	2.670802e-01	0	0	3.933233e+00	8.976124e+00	CA1;EGFR
DGIdb_Drug_Targets_2024	IPILIMUMAB	1.150235e-01	2.670802e-01	0	0	9.789552e+00	2.117107e+01	EGFR
DGIdb_Drug_Targets_2024	NALTREXONE	1.150235e-01	2.670802e-01	0	0	9.789552e+00	2.117107e+01	DBH
DGIdb_Drug_Targets_2024	GABAPENTIN	1.150235e-01	2.670802e-01	0	0	9.789552e+00	2.117107e+01	CACNA2D1
DGIdb_Drug_Targets_2024	IBRUTINIB	1.150235e-01	2.670802e-01	0	0	9.789552e+00	2.117107e+01	EGFR
DGIdb_Drug_Targets_2024	CRENOLANIB	1.150235e-01	2.670802e-01	0	0	9.789552e+00	2.117107e+01	MET
DGIdb_Drug_Targets_2024	FLUTICASONE PROPIONATE	1.150235e-01	2.670802e-01	0	0	9.789552e+00	2.117107e+01	CD163
DGIdb_Drug_Targets_2024	AFATINIB	1.150235e-01	2.670802e-01	0	0	9.789552e+00	2.117107e+01	EGFR
DGIdb_Drug_Targets_2024	NEVIRAPINE	1.150235e-01	2.670802e-01	0	0	9.789552e+00	2.117107e+01	ADIPOQ
DGIdb_Drug_Targets_2024	ERLOTINIB	1.150833e-01	2.670802e-01	0	0	3.640769e+00	7.871701e+00	MET;EGFR
DGIdb_Drug_Targets_2024	NERATINIB	1.328738e-01	2.867276e-01	0	0	8.156716e+00	1.646315e+01	EGFR
DGIdb_Drug_Targets_2024	FORETINIB	1.328738e-01	2.867276e-01	0	0	8.156716e+00	1.646315e+01	MET
DGIdb_Drug_Targets_2024	JNJ 26483327	1.328738e-01	2.867276e-01	0	0	8.156716e+00	1.646315e+01	EGFR
DGIdb_Drug_Targets_2024	CEP 11981	1.328738e-01	2.867276e-01	0	0	8.156716e+00	1.646315e+01	EGFR
DGIdb_Drug_Targets_2024	DIGOXIN	1.503666e-01	3.134761e-01	0	0	6.990405e+00	1.324457e+01	CST3
DGIdb_Drug_Targets_2024	TESTOSTERONE	1.503666e-01	3.134761e-01	0	0	6.990405e+00	1.324457e+01	DBH
DGIdb_Drug_Targets_2024	CARBOPLATIN	1.563015e-01	3.169787e-01	0	0	2.976077e+00	5.523505e+00	SERPINC1;EGFR
DGIdb_Drug_Targets_2024	GEFITINIB	1.634236e-01	3.169787e-01	0	0	2.888103e+00	5.231536e+00	MET;EGFR
DGIdb_Drug_Targets_2024	CUDC 101	1.675091e-01	3.169787e-01	0	0	6.115672e+00	1.092698e+01	EGFR
DGIdb_Drug_Targets_2024	PEGINTERFERON ALFA 2A	1.675091e-01	3.169787e-01	0	0	6.115672e+00	1.092698e+01	EGFR
DGIdb_Drug_Targets_2024	TALAZOPARIB	1.675091e-01	3.169787e-01	0	0	6.115672e+00	1.092698e+01	EGFR
DGIdb_Drug_Targets_2024	AT9283	1.675091e-01	3.169787e-01	0	0	6.115672e+00	1.092698e+01	MERTK
DGIdb_Drug_Targets_2024	FLUOROURACIL	1.706031e-01	3.179421e-01	0	0	2.805156e+00	4.960681e+00	HBB;EGFR
DGIdb_Drug_Targets_2024	LEVODOPA	1.843082e-01	3.238558e-01	0	0	5.435323e+00	9.191925e+00	DBH
DGIdb_Drug_Targets_2024	THIOGUANINE	1.843082e-01	3.238558e-01	0	0	5.435323e+00	9.191925e+00	HBB
DGIdb_Drug_Targets_2024	OPIOIDS	1.843082e-01	3.238558e-01	0	0	5.435323e+00	9.191925e+00	DBH
DGIdb_Drug_Targets_2024	CABOZANTINIB	1.843082e-01	3.238558e-01	0	0	5.435323e+00	9.191925e+00	MET
DGIdb_Drug_Targets_2024	PD 0166285	1.924344e-01	3.249316e-01	0	0	2.582509e+00	4.255974e+00	MET;EGFR
DGIdb_Drug_Targets_2024	NIVOLUMAB	2.007708e-01	3.249316e-01	0	0	4.891045e+00	7.853020e+00	EGFR
DGIdb_Drug_Targets_2024	ATEZOLIZUMAB	2.007708e-01	3.249316e-01	0	0	4.891045e+00	7.853020e+00	EGFR
DGIdb_Drug_Targets_2024	FENOFIBRATE	2.007708e-01	3.249316e-01	0	0	4.891045e+00	7.853020e+00	ADIPOQ
DGIdb_Drug_Targets_2024	VATALANIB	2.007708e-01	3.249316e-01	0	0	4.891045e+00	7.853020e+00	EGFR
DGIdb_Drug_Targets_2024	PEMETREXED	2.007708e-01	3.249316e-01	0	0	4.891045e+00	7.853020e+00	EGFR
DGIdb_Drug_Targets_2024	NICOTINE	2.169035e-01	3.377105e-01	0	0	4.445726e+00	6.794415e+00	DBH
DGIdb_Drug_Targets_2024	AZACITIDINE	2.169035e-01	3.377105e-01	0	0	4.445726e+00	6.794415e+00	HBB
DGIdb_Drug_Targets_2024	RADIOTHERAPY	2.169035e-01	3.377105e-01	0	0	4.445726e+00	6.794415e+00	OSMR
DGIdb_Drug_Targets_2024	AZD 1152 HQPA	2.327130e-01	3.533790e-01	0	0	4.074627e+00	5.940600e+00	EGFR
DGIdb_Drug_Targets_2024	DISULFIRAM	2.327130e-01	3.533790e-01	0	0	4.074627e+00	5.940600e+00	DBH
DGIdb_Drug_Targets_2024	SIROLIMUS	2.482056e-01	3.591681e-01	0	0	3.760620e+00	5.240416e+00	EGFR
DGIdb_Drug_Targets_2024	DORAMAPIMOD	2.482056e-01	3.591681e-01	0	0	3.760620e+00	5.240416e+00	EGFR
DGIdb_Drug_Targets_2024	MENADIONE	2.482056e-01	3.591681e-01	0	0	3.760620e+00	5.240416e+00	HBB
DGIdb_Drug_Targets_2024	NIFEDIPINE	2.482056e-01	3.591681e-01	0	0	3.760620e+00	5.240416e+00	CACNA2D1
DGIdb_Drug_Targets_2024	PREDNISOLONE	2.633877e-01	3.767056e-01	0	0	3.491471e+00	4.658071e+00	PLG
DGIdb_Drug_Targets_2024	MERCAPTOPURINE	2.782654e-01	3.934096e-01	0	0	3.258209e+00	4.167836e+00	HBB
DGIdb_Drug_Targets_2024	MLN 8054	3.071317e-01	4.244630e-01	0	0	2.874012e+00	3.392710e+00	EGFR
DGIdb_Drug_Targets_2024	VEMURAFENIB	3.071317e-01	4.244630e-01	0	0	2.874012e+00	3.392710e+00	MET
DGIdb_Drug_Targets_2024	HEPARIN	3.211322e-01	4.340578e-01	0	0	2.713930e+00	3.082760e+00	SERPINC1
DGIdb_Drug_Targets_2024	CAPECITABINE	3.211322e-01	4.340578e-01	0	0	2.713930e+00	3.082760e+00	SIRPA
DGIdb_Drug_Targets_2024	PALBOCICLIB	3.348518e-01	4.381572e-01	0	0	2.570699e+00	2.812518e+00	MET
DGIdb_Drug_Targets_2024	DACTOLISIB	3.348518e-01	4.381572e-01	0	0	2.570699e+00	2.812518e+00	MET
DGIdb_Drug_Targets_2024	PROGESTERONE	3.348518e-01	4.381572e-01	0	0	2.570699e+00	2.812518e+00	CR2
DGIdb_Drug_Targets_2024	BORTEZOMIB	3.417419e-01	4.424658e-01	0	0	1.686803e+00	1.811120e+00	F12;PLG
