Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Regulation of Complement Cascade	5.539484e-32	1.606450e-29	0	0	3.001429e+01	2.160153e+03	C1QB;C1QA;CPB2;CFH;IGHV3-23;CFI;IGHV4-34;IGLV3-1;IGHV1-69;CFP;C8B;C2;IGLV2-8;IGHG4;IGHG2;C6;IGLV3-27;C7;IGLV5-45;CR2;CR1;IGHV3-11;IGKV1D-16;IGLV7-43;IGLV5-37;IGLV1-51;CFHR2;IGLV2-23;IGKV4-1;CFB;IGKV2-30;IGLV3-19;C1QC
Reactome_Pathways_2024	Complement Cascade	1.796341e-30	2.604694e-28	0	0	2.622206e+01	1.795996e+03	C1QB;C1QA;CPB2;CFH;IGHV3-23;CFI;IGHV4-34;IGLV3-1;IGHV1-69;C8B;CFP;C2;IGLV2-8;IGHG4;IGLV3-27;IGHG2;C6;IGLV5-45;C7;CR2;CR1;IGHV3-11;IGKV1D-16;IGLV7-43;IGLV5-37;IGLV1-51;CFHR2;IGLV2-23;IGKV4-1;CFB;IGLV3-19;IGKV2-30;C1QC
Reactome_Pathways_2024	Initial Triggering of Complement	3.042037e-22	2.940635e-20	0	0	2.425349e+01	1.201624e+03	C1QB;C1QA;IGHV3-11;IGHV3-23;IGHV4-34;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV7-43;CFP;C2;IGLV2-8;IGHG4;IGLV5-37;IGHG2;IGLV1-51;IGLV3-27;IGLV5-45;IGLV2-23;IGKV4-1;CFB;IGKV2-30;IGLV3-19;C1QC
Reactome_Pathways_2024	Classical Antibody-Mediated Complement Activation	2.988107e-20	2.166378e-18	0	0	2.610183e+01	1.173462e+03	C1QB;C1QA;IGHV3-11;IGHV3-23;IGHV4-34;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV7-43;IGLV2-8;IGHG4;IGLV5-37;IGHG2;IGLV3-27;IGLV1-51;IGLV5-45;IGLV2-23;IGKV4-1;IGKV2-30;IGLV3-19;C1QC
Reactome_Pathways_2024	Creation of C4 and C2 Activators	4.245898e-19	2.462621e-17	0	0	2.220760e+01	9.394518e+02	C1QB;C1QA;IGHV3-11;IGHV3-23;IGHV4-34;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV7-43;IGLV2-8;IGHG4;IGLV5-37;IGHG2;IGLV3-27;IGLV1-51;IGLV5-45;IGLV2-23;IGKV4-1;IGKV2-30;IGLV3-19;C1QC
Reactome_Pathways_2024	Scavenging of Heme From Plasma	1.464881e-18	7.080257e-17	0	0	2.312334e+01	9.495542e+02	CD163;IGHV3-11;IGHV3-23;IGHV4-34;HP;HBB;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV7-43;IGLV2-8;IGLV5-37;HPX;IGLV3-27;IGLV1-51;IGLV5-45;IGLV2-23;IGKV4-1;IGKV2-30;IGLV3-19
Reactome_Pathways_2024	Innate Immune System	7.227908e-18	2.994419e-16	0	0	5.453613e+00	2.152464e+02	SERPINA3;ORM1;SERPINA1;PGLYRP2;CRISP3;IGHV3-23;IGHV4-34;HP;HBB;C8B;ORM2;IGLV2-8;IGHG4;IGHG2;SIRPA;CR2;CR1;AHSG;OSCAR;IGLV5-37;CEACAM1;IGKV4-1;IGHE;CHI3L1;CFB;IGLV3-19;IGKV2-30;C1QB;C1QA;CPB2;CFH;CFI;IGLV3-1;PRCP;IGHV1-69;A1BG;CFP;LILRA3;C2;CST3;IGLV3-27;C6;IGLV5-45;C7;AGA;SIGLEC14;IGHV3-11;IGKV1D-16;IGLV7-43;IGLV1-51;LRG1;CFHR2;IGLV2-23;C1QC
Reactome_Pathways_2024	FCGR Activation	1.572371e-15	5.632190e-14	0	0	1.854701e+01	6.321969e+02	IGHV3-11;IGHV3-23;IGHV4-34;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV7-43;IGLV2-8;IGHG4;IGLV5-37;IGHG2;IGLV3-27;IGLV1-51;IGLV5-45;IGLV2-23;IGKV4-1;IGKV2-30;IGLV3-19
Reactome_Pathways_2024	Binding and Uptake of Ligands by Scavenger Receptors	1.747921e-15	5.632190e-14	0	0	1.484668e+01	5.044954e+02	CD163;IGHV3-11;IGHV3-23;IGHV4-34;HP;HBB;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV7-43;IGLV2-8;HPX;IGLV5-37;IGLV1-51;IGLV3-27;IGLV5-45;IGLV2-23;IGKV4-1;IGKV2-30;IGLV3-19
Reactome_Pathways_2024	Role of Phospholipids in Phagocytosis	5.705160e-15	1.654497e-13	0	0	1.696219e+01	5.563158e+02	IGHV3-11;IGHV3-23;IGHV4-34;IGLV3-1;IGHV1-69;IGKV1D-16;IGLV7-43;IGLV2-8;IGHG4;IGLV5-37;IGHG2;IGLV1-51;IGLV3-27;IGLV5-45;IGLV2-23;IGKV4-1;IGKV2-30;IGLV3-19
