Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Carbon Dioxide Transport (GO:0015670)	1.477652e-06	9.394591e-04	0	0	1.124103e+02	1.509114e+03	HBG2;CA2;HBB;HBD
GO_Biological_Process_2025	One-Carbon Compound Transport (GO:0019755)	3.399731e-06	9.394591e-04	0	0	7.492877e+01	9.434892e+02	HBG2;CA2;HBB;HBD
GO_Biological_Process_2025	Gas Transport (GO:0015669)	3.399731e-06	9.394591e-04	0	0	7.492877e+01	9.434892e+02	HBG2;CA2;HBB;HBD
GO_Biological_Process_2025	Negative Regulation of Granulocyte Differentiation (GO:0030853)	5.749737e-06	1.191633e-03	0	0	inf	inf	CEACAM1;INPP5D;C1QC
GO_Biological_Process_2025	Oxygen Transport (GO:0015671)	5.598943e-05	7.893866e-03	0	0	8.359322e+01	8.184067e+02	HBG2;HBB;HBD
GO_Biological_Process_2025	Negative Regulation of Blood Coagulation (GO:0030195)	5.713293e-05	7.893866e-03	0	0	1.487976e+01	1.453772e+02	CPB2;APOH;F12;PLG;KLKB1
GO_Biological_Process_2025	Positive Regulation of Response to Stimulus (GO:0048584)	2.064252e-04	2.444664e-02	0	0	1.086207e+01	9.217087e+01	ADIPOQ;C8B;CFP;B2M;EGFR
GO_Biological_Process_2025	Regulation of Fibrinolysis (GO:0051917)	6.287745e-04	6.468009e-02	0	0	2.386562e+01	1.759311e+02	F12;PLG;KLKB1
GO_Biological_Process_2025	Antimicrobial Humoral Response (GO:0019730)	7.021964e-04	6.468009e-02	0	0	8.057882e+00	5.851068e+01	CCL14;RARRES2;ANG;PPBP;B2M
GO_Biological_Process_2025	Negative Regulation of Leukocyte Mediated Cytotoxicity (GO:0001911)	8.532025e-04	6.627054e-02	0	0	2.087924e+01	1.475434e+02	CEACAM1;INPP5D;PVR
GO_Biological_Process_2025	Cell Junction Disassembly (GO:0150146)	9.592840e-04	6.627054e-02	0	0	1.105378e+02	7.681630e+02	C1QB;C1QC
GO_Biological_Process_2025	Polysaccharide Metabolic Process (GO:0005976)	9.592840e-04	6.627054e-02	0	0	1.105378e+02	7.681630e+02	EXT1;EXT2
GO_Biological_Process_2025	Antimicrobial Humoral Immune Response Mediated by Antimicrobial Peptide (GO:0061844)	1.696081e-03	8.731580e-02	0	0	8.961368e+00	5.716846e+01	CCL14;ANG;PPBP;B2M
GO_Biological_Process_2025	Negative Regulation of Natural Killer Cell Mediated Cytotoxicity (GO:0045953)	1.809090e-03	8.731580e-02	0	0	1.517797e+01	9.584781e+01	CEACAM1;INPP5D;PVR
GO_Biological_Process_2025	Positive Regulation of Protein Processing (GO:0010954)	1.809090e-03	8.731580e-02	0	0	1.517797e+01	9.584781e+01	CLEC3B;F12;KLKB1
GO_Biological_Process_2025	Hydrogen Peroxide Catabolic Process (GO:0042744)	1.809090e-03	8.731580e-02	0	0	1.517797e+01	9.584781e+01	HBG2;HBB;HBD
GO_Biological_Process_2025	Polysaccharide Biosynthetic Process (GO:0000271)	1.895880e-03	8.731580e-02	0	0	5.526050e+01	3.463768e+02	EXT1;EXT2
GO_Biological_Process_2025	Heparan Sulfate Proteoglycan Biosynthetic Process, Chain Elongation (GO:0015014)	1.895880e-03	8.731580e-02	0	0	5.526050e+01	3.463768e+02	EXT1;EXT2
GO_Biological_Process_2025	Regulation of Angiogenesis (GO:0045765)	2.106201e-03	8.810048e-02	0	0	4.281739e+00	2.638780e+01	CEACAM1;LRG1;COL4A2;APOH;TIE1;CHI3L1;KLKB1
GO_Biological_Process_2025	Positive Regulation of Phosphorylation (GO:0042327)	2.140588e-03	8.810048e-02	0	0	6.120690e+00	3.762189e+01	RARRES2;ADIPOQ;ANG;RNASE1;EGFR
GO_Biological_Process_2025	Positive Regulation of Blood Coagulation (GO:0030194)	2.231737e-03	8.810048e-02	0	0	1.391102e+01	8.492641e+01	F12;APOH;PLG
GO_Biological_Process_2025	Negative Regulation of Endopeptidase Activity (GO:0010951)	2.710798e-03	9.587173e-02	0	0	1.283898e+01	7.588497e+01	FETUB;TIMP1;RECK
GO_Biological_Process_2025	Defense Response to Gram-positive Bacterium (GO:0050830)	2.764180e-03	9.587173e-02	0	0	7.720601e+00	4.548215e+01	RARRES2;ANG;B2M;RNASE1
GO_Biological_Process_2025	Inflammatory Response (GO:0006954)	2.933962e-03	9.587173e-02	0	0	4.018519e+00	2.343360e+01	CCL14;AOC3;ORM1;VNN1;CHI3L1;PPBP;RNASE1
GO_Biological_Process_2025	Reg of Natural Killer Cell Mediated Cytotoxicity Directed Against Tumor Cell Target (GO:0002858)	3.122481e-03	9.587173e-02	0	0	3.683473e+01	2.125043e+02	CEACAM1;PVR
GO_Biological_Process_2025	Antifungal Humoral Response (GO:0019732)	3.122481e-03	9.587173e-02	0	0	3.683473e+01	2.125043e+02	RARRES2;ANG
GO_Biological_Process_2025	Humoral Immune Response Mediated by Circulating Immunoglobulin (GO:0002455)	3.122481e-03	9.587173e-02	0	0	3.683473e+01	2.125043e+02	C1QB;C1QC
GO_Biological_Process_2025	Negative Regulation of Peptidase Activity (GO:0010466)	3.847407e-03	1.071353e-01	0	0	1.112373e+01	6.185189e+01	CST3;FETUB;TIMP1
GO_Biological_Process_2025	Hydrogen Peroxide Metabolic Process (GO:0042743)	3.847407e-03	1.071353e-01	0	0	1.112373e+01	6.185189e+01	HBG2;HBB;HBD
GO_Biological_Process_2025	Positive Regulation of Immune System Process (GO:0002684)	4.509135e-03	1.071353e-01	0	0	1.042691e+01	5.632250e+01	C8B;CFP;B2M
GO_Biological_Process_2025	Regulation of Granulocyte Differentiation (GO:0030852)	4.628478e-03	1.071353e-01	0	0	2.762185e+01	1.484820e+02	CEACAM1;C1QC
GO_Biological_Process_2025	Negative Regulation of Neuron Differentiation (GO:0045665)	4.628478e-03	1.071353e-01	0	0	2.762185e+01	1.484820e+02	CNTN4;B2M
GO_Biological_Process_2025	Regulation of Membrane Depolarization (GO:0003254)	4.628478e-03	1.071353e-01	0	0	2.762185e+01	1.484820e+02	CFH;B2M
GO_Biological_Process_2025	Synapse Pruning (GO:0098883)	4.628478e-03	1.071353e-01	0	0	2.762185e+01	1.484820e+02	C1QB;C1QC
GO_Biological_Process_2025	Glucosamine-Containing Compound Catabolic Process (GO:1901072)	4.628478e-03	1.071353e-01	0	0	2.762185e+01	1.484820e+02	CHI3L1;CTBS
GO_Biological_Process_2025	Homophilic Cell Adhesion via Plasma Membrane Adhesion Molecules (GO:0007156)	4.652438e-03	1.071353e-01	0	0	6.580191e+00	3.533802e+01	CEACAM1;CNTN4;PVR;NECTIN1
GO_Biological_Process_2025	Negative Regulation of Receptor Binding (GO:1900121)	6.403546e-03	1.361164e-01	0	0	2.209412e+01	1.115953e+02	ADIPOQ;B2M
GO_Biological_Process_2025	Regulation of Systemic Arterial Blood Pressure (GO:0003073)	6.403546e-03	1.361164e-01	0	0	2.209412e+01	1.115953e+02	PRCP;KLKB1
GO_Biological_Process_2025	Positive Regulation of Plasminogen Activation (GO:0010756)	6.403546e-03	1.361164e-01	0	0	2.209412e+01	1.115953e+02	CLEC3B;F12
GO_Biological_Process_2025	Positive Regulation of Protein Phosphorylation (GO:0001934)	7.210425e-03	1.494361e-01	0	0	3.804006e+00	1.876222e+01	RARRES2;ADIPOQ;ENPP2;CHI3L1;RNASE1;EGFR
GO_Biological_Process_2025	Axonal Fasciculation (GO:0007413)	8.437635e-03	1.554400e-01	0	0	1.840896e+01	8.790378e+01	CNTN4;MEGF8
GO_Biological_Process_2025	Regulation of Receptor Binding (GO:1900120)	8.437635e-03	1.554400e-01	0	0	1.840896e+01	8.790378e+01	ADIPOQ;B2M
GO_Biological_Process_2025	Response to UV-A (GO:0070141)	8.437635e-03	1.554400e-01	0	0	1.840896e+01	8.790378e+01	TIMP1;EGFR
GO_Biological_Process_2025	Regulation of Acute Inflammatory Response (GO:0002673)	8.437635e-03	1.554400e-01	0	0	1.840896e+01	8.790378e+01	F12;KLKB1
GO_Biological_Process_2025	Negative Regulation of Cell Communication (GO:0010648)	8.437635e-03	1.554400e-01	0	0	1.840896e+01	8.790378e+01	INPP5D;ADIPOQ
GO_Biological_Process_2025	Regulation of Immune Response (GO:0050776)	9.928534e-03	1.777536e-01	0	0	5.195786e+00	2.396474e+01	INPP5D;C8B;CFP;B2M
GO_Biological_Process_2025	Negative Regulation of Natural Killer Cell Mediated Immunity (GO:0002716)	1.072096e-02	1.777536e-01	0	0	1.577671e+01	7.155613e+01	INPP5D;PVR
GO_Biological_Process_2025	Carbohydrate Biosynthetic Process (GO:0016051)	1.072096e-02	1.777536e-01	0	0	1.577671e+01	7.155613e+01	EXT1;EXT2
GO_Biological_Process_2025	Digestive Tract Development (GO:0048565)	1.072096e-02	1.777536e-01	0	0	1.577671e+01	7.155613e+01	RARRES2;MEGF8
GO_Biological_Process_2025	Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012)	1.072096e-02	1.777536e-01	0	0	1.577671e+01	7.155613e+01	EXT1;EXT2
GO_Biological_Process_2025	Positive Regulation of Protein Modification Process (GO:0031401)	1.230111e-02	1.999533e-01	0	0	4.854701e+00	2.135130e+01	RARRES2;ADIPOQ;RNASE1;EGFR
GO_Biological_Process_2025	Regulation of Endothelial Cell Proliferation (GO:0001936)	1.316583e-02	2.005949e-01	0	0	4.750682e+00	2.057107e+01	LRG1;APOH;TIE1;ANG
GO_Biological_Process_2025	Regulation of Interleukin-1 Production (GO:0032652)	1.324402e-02	2.005949e-01	0	0	1.380252e+01	5.968499e+01	ORM1;CEACAM1
GO_Biological_Process_2025	Vitamin Transport (GO:0051180)	1.324402e-02	2.005949e-01	0	0	1.380252e+01	5.968499e+01	AFM;GC
GO_Biological_Process_2025	Negative Regulation of Protein Catabolic Process (GO:0042177)	1.355044e-02	2.005949e-01	0	0	6.664068e+00	2.866440e+01	CST3;TIMP1;EGFR
GO_Biological_Process_2025	Heterophilic Cell-Cell Adhesion via Plasma Membrane Cell Adhesion Molecules (GO:0007157)	1.355044e-02	2.005949e-01	0	0	6.664068e+00	2.866440e+01	CD209;PVR;NECTIN1
GO_Biological_Process_2025	Regulation of Endothelial Cell Migration (GO:0010594)	1.406843e-02	2.046093e-01	0	0	4.650997e+00	1.983102e+01	CEACAM1;APOH;PRCP;RNASE1
GO_Biological_Process_2025	Negative Regulation of Protein Binding (GO:0032091)	1.491825e-02	2.062642e-01	0	0	6.406780e+00	2.694160e+01	CFHR2;ADIPOQ;B2M
GO_Biological_Process_2025	Regulation of Receptor-Mediated Endocytosis (GO:0048259)	1.491825e-02	2.062642e-01	0	0	6.406780e+00	2.694160e+01	ADIPOQ;B2M;RNASE1
GO_Biological_Process_2025	Proteolysis (GO:0006508)	1.492865e-02	2.062642e-01	0	0	2.668610e+00	1.122010e+01	CELA2A;CPA1;CPB2;CFH;F12;PLG;PEPD;KLKB1
GO_Biological_Process_2025	Neuron Maturation (GO:0042551)	1.599754e-02	2.174093e-01	0	0	1.226704e+01	5.072814e+01	C1QA;B4GALT5
GO_Biological_Process_2025	Determination of Digestive Tract Left/Right Asymmetry (GO:0071907)	1.806226e-02	2.268729e-01	0	0	inf	inf	MEGF8
GO_Biological_Process_2025	Embryonic Heart Tube Development (GO:0035050)	1.806226e-02	2.268729e-01	0	0	inf	inf	MEGF8
GO_Biological_Process_2025	Glucocorticoid Biosynthetic Process (GO:0006704)	1.806226e-02	2.268729e-01	0	0	inf	inf	SERPINA6
GO_Biological_Process_2025	Lymphatic Endothelial Cell Differentiation (GO:0060836)	1.806226e-02	2.268729e-01	0	0	inf	inf	TIE1
GO_Biological_Process_2025	Negative Regulation of Cardiocyte Differentiation (GO:1905208)	1.806226e-02	2.268729e-01	0	0	inf	inf	EGFR
GO_Biological_Process_2025	Positive Regulation of Coagulation (GO:0050820)	1.897253e-02	2.312975e-01	0	0	1.103866e+01	4.376565e+01	F12;APOH
GO_Biological_Process_2025	Glycosaminoglycan Biosynthetic Process (GO:0006024)	1.897253e-02	2.312975e-01	0	0	1.103866e+01	4.376565e+01	EXT1;EXT2
GO_Biological_Process_2025	Negative Regulation of Epithelial Cell Proliferation (GO:0050680)	2.114625e-02	2.449442e-01	0	0	5.549153e+00	2.139916e+01	CEACAM1;APOH;B2M
GO_Biological_Process_2025	Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742)	2.203202e-02	2.449442e-01	0	0	3.332307e+00	1.271361e+01	CEACAM1;CD209;CNTN4;PVR;NECTIN1
GO_Biological_Process_2025	Negative Regulation of Myeloid Leukocyte Differentiation (GO:0002762)	2.216021e-02	2.449442e-01	0	0	1.003361e+01	3.822262e+01	CEACAM1;C1QC
GO_Biological_Process_2025	Acute Inflammatory Response (GO:0002526)	2.216021e-02	2.449442e-01	0	0	1.003361e+01	3.822262e+01	ITIH4;VNN1
GO_Biological_Process_2025	Negative Regulation of Signaling (GO:0023057)	2.216021e-02	2.449442e-01	0	0	1.003361e+01	3.822262e+01	INPP5D;ADIPOQ
GO_Biological_Process_2025	Regulation of Plasminogen Activation (GO:0010755)	2.216021e-02	2.449442e-01	0	0	1.003361e+01	3.822262e+01	CLEC3B;F12
GO_Biological_Process_2025	Defense Response to Fungus (GO:0050832)	2.216021e-02	2.449442e-01	0	0	1.003361e+01	3.822262e+01	RARRES2;ANG
