Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Extracellular Matrix Organization (GO:0030198)	8.718193e-12	3.729643e-08	0	0	4.155700e+00	1.058274e+02	ITGB1;APP;COL18A1;ECM2;COL14A1;COL12A1;LOXL3;PLOD3;LAMC1;LOXL1;CTSS;ADAMTS5;MMP25;IBSP;ADAMTS1;FLOT1;CTSG;QSOX1;ADAMTS8;PRSS2;POSTN;MMP7;EXOC8;MMP1;ITGA2;MMP2;APLP1;MMP3;ADAM10;NPNT;MMP9;MMP14;ADAM15;LOX;MMP19;COL6A6;GAS6;DDR2;MATN2;COL15A1;COL11A2;DPT;FURIN;NID1;NID2;ADAMTS13;SERPINH1;CRTAP;TGFB2;TGFB1;LUM;COL1A1;COL3A1;BMP1;COL5A1;P4HA1;COL5A3;COL5A2;TLL2;TLL1;TGFBI
GO_Biological_Process_2025	Cell-Matrix Adhesion (GO:0007160)	1.777822e-11	3.802761e-08	0	0	4.588976e+00	1.135911e+02	ITGB1;ECM2;ITGAM;ITGB5;ITGB3;ITGA2B;ITGB2;ILK;ITGAE;PTPRK;ITGAL;ARHGAP6;TNN;EMILIN1;ITGAV;MADCAM1;CD34;FGB;CD96;FGA;ITGA4;ITGA2;FGG;ITGA1;NPNT;BCAM;ADAM15;CTTN;CDH11;ANGPTL3;ITGA7;ITGA6;ITGA5;ARHGEF7;VCL;CD44;CD63;SRC;NID2;THSD1;FBLN5;THBS3;VTN;ADAMTS13;VCAM1;CCL21;FN1;L1CAM;LYVE1;COL3A1;ZYX;ITGBL1;HPSE;FERMT3
GO_Biological_Process_2025	Integrin-Mediated Signaling Pathway (GO:0007229)	2.525196e-09	3.600929e-06	0	0	4.194499e+00	8.303827e+01	ITGB1;NRP1;LAMA5;ITGAM;ITGB5;SRC;ITGB3;CUL3;ITGA2B;ITGB2;PLEK;ILK;FBLN1;ITGAE;ITGAL;CDC42;PPP3CA;VTN;ADAMTS13;ADAMTS1;ITGAV;MADCAM1;FYB1;MPIG6B;ITGA4;SYK;ITGA2;ITGA1;ERBIN;FN1;ADAM10;PTK2;COL3A1;TEC;ADAM15;PTPRA;ANGPTL3;ZYX;ITGA7;MYH9;ITGBL1;ITGA6;CD47;ITGA5;CDH17;FERMT3
GO_Biological_Process_2025	Positive Regulation of Cellular Component Organization (GO:0051130)	9.880574e-08	1.056727e-04	0	0	4.162556e+00	6.714248e+01	CAMK2B;VCP;CD151;DCTN1;FAF1;NRXN1;BRK1;TREM2;ASAP1;PARK7;CLU;ADD1;CDH5;LGALS3;LMAN1;RELN;FLOT1;RPS3;APOE;BID;SNCA;TGFB2;TMED9;TGFB1;GPX1;TMEM30A;ANXA2;SYK;MMP1;SURF4;MMP3;BMP7;APOA5;MPP7;WARS1;TFR2;APOC2
GO_Biological_Process_2025	Supramolecular Fiber Organization (GO:0097435)	1.415678e-07	1.211254e-04	0	0	2.352467e+00	3.709955e+01	APP;HSP90AB1;TNFAIP6;COL14A1;COL12A1;LOXL3;PLOD3;ARHGAP6;LOXL1;PPP1R9B;EFEMP2;SLK;RAC2;EMILIN1;CD36;EMD;CAP1;TMOD1;TPM4;TPM3;ACTN1;TMOD3;TPM1;RHOG;ARAP1;CKAP5;CD2AP;CLIP1;KIF2A;LOX;HCLS1;TAGLN2;DBN1;DDR2;TNXB;FLII;COL11A2;LTBP4;DPT;SLAIN2;FURIN;LTBP3;CORO1A;CORO1B;FBLN5;CORO1C;CNN2;SPTA1;CDC42;SERPINH1;MAP4;BID;SNCA;CARMIL1;DYNC1H1;CRTAP;TGFB2;MARCKSL1;CDSN;LUM;TBCB;COL1A1;FKBP1A;MFAP4;COL3A1;DLG1;MARCKS;BMP1;COL5A1;P4HA1;COL5A3;COL5A2;FAT1;TLL2;TLL1;VIM;TARDBP;MYO1G
GO_Biological_Process_2025	Cell-Cell Adhesion via Plasma-Membrane Adhesion Molecules (GO:0098742)	2.193068e-07	1.563657e-04	0	0	3.037194e+00	4.656867e+01	ITGB1;CD84;ITGAM;PTPRS;ITGB2;LRRC4;ITGAL;CELSR2;CDH8;PTPRF;CDH6;CDH5;ALCAM;CDH2;BSG;HMCN2;CLDN5;SELENOP;CDH11;PECAM1;CDH13;DSG1;DSG2;CDH15;CDH17;CDH19;NLGN1;NRXN1;NEXN;UMOD;ATP2C1;SLITRK1;CDH23;GPC4;LRRC4B;LGALS7B;TGFB2;VCAM1;CADM1;CRTAM;PCDHGC3;L1CAM;SELL;FAT2;PLXNB2;DCHS1;ESAM;FAT4;NECTIN2;CBLN1
GO_Biological_Process_2025	Positive Regulation of Signal Transduction (GO:0009967)	3.282747e-07	1.778459e-04	0	0	2.533607e+00	3.782527e+01	ITGB1;APP;ITGB3;LOXL3;ILK;MIA3;PTPRJ;TREM2;LAMC1;TXNDC15;LMNB2;CDH5;ESM1;CTSH;ITGAV;VWF;IL1R1;PRKCB;ATP6AP2;SLC39A14;F7;PECAM1;CD226;CDH15;ITGA5;GAS6;ATP6V0C;MACF1;CD63;NLGN1;TNXB;LAMA2;LAMA1;SRC;NRXN1;LY96;NID1;AGPAT1;HSP90B1;VTN;RELN;PDCD10;MGAT5;RPS3;FLNA;SNX5;JAG2;CD74;PRNP;TGFB2;JAG1;TGFB1;STAT3;GDF2;LAMB1;SORL1;TSPAN14;PTPRC;AXL;FASN;GHRL;IL7R;FGFR2;LIMS1
GO_Biological_Process_2025	Endoderm Formation (GO:0001706)	3.325777e-07	1.778459e-04	0	0	1.877756e+01	2.800934e+02	ITGB5;ITGA4;LAMA4;MMP2;COL12A1;ITGB2;FN1;LAMB1;INHBA;MMP9;VTN;MMP14;COL6A1;ITGA7;ITGAV;ITGA5
GO_Biological_Process_2025	Homotypic Cell-Cell Adhesion (GO:0034109)	1.113300e-06	5.291885e-04	0	0	5.100285e+00	6.991564e+01	STXBP3;ITGB3;PLEK;HSPB1;ILK;CSRP1;UBASH3B;FLNA;CLIC1;CD99;FGB;FGA;PDGFRA;ACTN1;FGG;RAP2B;CDHR2;GNAS;TYRO3;MYH9;CDHR5;TLN1;PPIA;VCL;FERMT3;TJP2
GO_Biological_Process_2025	Positive Regulation of Cell Migration (GO:0030335)	1.431219e-06	6.122754e-04	0	0	2.023688e+00	2.723274e+01	ITGB1;NRP1;NRP2;SPARC;CSF1;PDCD6;FLT4;ITGB3;CLSTN1;EMC10;MIA3;CX3CL1;CRKL;MYLK;PPP3CA;CDH5;C1QBP;BSG;CTSH;CPNE3;MADCAM1;PDGFRB;PDGFRA;MMP7;ANXA3;SEMA6D;ADAM10;ACTN4;F7;MMP14;ADAM17;KIT;ANGPTL3;PECAM1;CDH13;ITGA6;PFN1;ARHGEF7;GPLD1;DDR2;CSF1R;CEMIP;CD151;NOTCH1;ROCK2;SRC;PDGFA;FBLN1;SEMA3F;THBS1;RTN4;PPM1F;CDC42;SDCBP;VTN;RRAS;GPNMB;PDCD10;PODXL;PDGFD;MGAT5;PDGFC;NCKAP1L;STX4;S100A11;CHGA;SPAG9;CARMIL1;HSPA8;TGFB2;DMTN;TGFB1;CCL21;HSPA5;ANGPT1;EGF;RDX;STAT3;SEMA4C;FN1;LAMB1;SOD2;PTK2;COL1A1;PROC;PTPRC;CASS4;CALR;PKN1;FERMT3
