Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Metabolism of Folate and Pterines	3.458715e-04	1.348899e-01	0	0	3.047222e+01	2.428466e+02	ALDH1L1;MTHFS;ALDH1L2
Reactome_Pathways_2024	Molybdenum Cofactor Biosynthesis	1.597470e-03	2.265026e-01	0	0	6.042202e+01	3.890776e+02	MOCS2;MOCS3
Reactome_Pathways_2024	Miscellaneous Transport and Binding Events	1.742328e-03	2.265026e-01	0	0	1.522222e+01	9.669967e+01	LRRC8C;NIPA1;ADD2
Reactome_Pathways_2024	AMPK Inhibits chREBP Transcriptional Activation Activity	2.633641e-03	2.567800e-01	0	0	4.027523e+01	2.392102e+02	STK11;ADIPOR1
Reactome_Pathways_2024	Metabolism of Water-Soluble Vitamins and Cofactors	5.872843e-03	4.580818e-01	0	0	4.733672e+00	2.431884e+01	ALDH1L1;MOCS2;MOCS3;MTHFS;ALDH1L2
Reactome_Pathways_2024	Metabolism of Vitamins and Cofactors	1.001735e-02	5.765828e-01	0	0	3.528163e+00	1.624168e+01	ALDH1L1;MOCS2;MOCS3;MTHFS;COQ8A;ALDH1L2
Reactome_Pathways_2024	Ethanol Oxidation	1.122619e-02	5.765828e-01	0	0	1.509174e+01	6.775447e+01	ADH4;ADH1B
Reactome_Pathways_2024	FOXO-mediated Transcription	1.182734e-02	5.765828e-01	0	0	7.010684e+00	3.110880e+01	IGFBP1;STK11;TXNIP
Reactome_Pathways_2024	ATF4 Activates Genes in Response to Endoplasmic Reticulum Stress	1.357355e-02	5.874642e-01	0	0	1.341284e+01	5.767030e+01	IGFBP1;EXOSC8
Reactome_Pathways_2024	Phase I - Functionalization of Compounds	1.549028e-02	5.874642e-01	0	0	6.282567e+00	2.618287e+01	ADH4;ADH1B;EPHX1
Reactome_Pathways_2024	NR1H2 & NR1H3 Regulate Gene Expression Linked to Triglyceride Lipolysis in Adipose	1.656950e-02	5.874642e-01	0	0	inf	inf	PLIN1
Reactome_Pathways_2024	Interferon Alpha Beta Signaling	2.453259e-02	7.296771e-01	0	0	5.200794e+00	1.928326e+01	BST2;IFIT1;GBP2
Reactome_Pathways_2024	Gluconeogenesis	2.482127e-02	7.296771e-01	0	0	9.280169e+00	3.430001e+01	ALDOB;ENO3
Reactome_Pathways_2024	Mitochondrial Translation Initiation	2.708580e-02	7.296771e-01	0	0	3.751546e+00	1.353837e+01	MRPS15;MRPS30;MTIF3;MRPL13
Reactome_Pathways_2024	PERK Regulates Gene Expression	2.806450e-02	7.296771e-01	0	0	8.615990e+00	3.078708e+01	IGFBP1;EXOSC8
Reactome_Pathways_2024	HDMs Demethylate Histones	3.286696e-02	7.540068e-01	0	0	5.988182e+01	2.045136e+02	JMJD6
Reactome_Pathways_2024	Signalling to P38 via RIT and RIN	3.286696e-02	7.540068e-01	0	0	5.988182e+01	2.045136e+02	BRAF
Reactome_Pathways_2024	Mitochondrial Translation	3.534048e-02	7.644542e-01	0	0	3.431354e+00	1.147008e+01	MRPS15;MRPS30;MTIF3;MRPL13
Reactome_Pathways_2024	Prostanoid Ligand Receptors	4.889675e-02	7.644542e-01	0	0	2.993636e+01	9.034927e+01	PTGER4
Reactome_Pathways_2024	Glycerophospholipid Catabolism	4.889675e-02	7.644542e-01	0	0	2.993636e+01	9.034927e+01	GDE1
Reactome_Pathways_2024	Energy Dependent Regulation of mTOR by LKB1-AMPK	5.067195e-02	7.644542e-01	0	0	6.025688e+00	1.797091e+01	STK11;MTOR
Reactome_Pathways_2024	Regulation of PTEN Gene Transcription	5.927091e-02	7.644542e-01	0	0	5.476230e+00	1.547384e+01	MTOR;HDAC7
Reactome_Pathways_2024	Regulation of FOXO Transcriptional Activity by Acetylation	6.466321e-02	7.644542e-01	0	0	1.995455e+01	5.464678e+01	TXNIP
Reactome_Pathways_2024	FOXO-mediated Transcription of Cell Death Genes	6.466321e-02	7.644542e-01	0	0	1.995455e+01	5.464678e+01	STK11
Reactome_Pathways_2024	Fructose Catabolism	6.466321e-02	7.644542e-01	0	0	1.995455e+01	5.464678e+01	ALDOB
Reactome_Pathways_2024	Serine Biosynthesis	6.466321e-02	7.644542e-01	0	0	1.995455e+01	5.464678e+01	PHGDH
Reactome_Pathways_2024	RND1 GTPase Cycle	6.833105e-02	7.644542e-01	0	0	5.018349e+00	1.346619e+01	RRAS2;ARHGAP35
Reactome_Pathways_2024	ARMS-mediated Activation	8.017063e-02	7.644542e-01	0	0	1.496364e+01	3.776220e+01	BRAF
Reactome_Pathways_2024	Eicosanoid Ligand-Binding Receptors	8.017063e-02	7.644542e-01	0	0	1.496364e+01	3.776220e+01	PTGER4
Reactome_Pathways_2024	Synthesis of PIPs at the ER Membrane	8.017063e-02	7.644542e-01	0	0	1.496364e+01	3.776220e+01	PI4K2B
Reactome_Pathways_2024	SARS-CoV-1 Activates Modulates Innate Immune Responses	8.270125e-02	7.644542e-01	0	0	4.458716e+00	1.111344e+01	BST2;RCAN3
Reactome_Pathways_2024	Negative Feedback Regulation of MAPK Pathway	9.542323e-02	7.644542e-01	0	0	1.196909e+01	2.812058e+01	BRAF
Reactome_Pathways_2024	Reversible Hydration of Carbon Dioxide	9.542323e-02	7.644542e-01	0	0	1.196909e+01	2.812058e+01	CA1
Reactome_Pathways_2024	Fructose Metabolism	9.542323e-02	7.644542e-01	0	0	1.196909e+01	2.812058e+01	ALDOB
Reactome_Pathways_2024	MTOR Signalling	1.031284e-01	7.644542e-01	0	0	3.881030e+00	8.816846e+00	STK11;MTOR
Reactome_Pathways_2024	Mitochondrial Translation Elongation	1.094861e-01	7.644542e-01	0	0	2.703566e+00	5.980173e+00	MRPS15;MRPS30;MRPL13
Reactome_Pathways_2024	Mitochondrial Translation Termination	1.094861e-01	7.644542e-01	0	0	2.703566e+00	5.980173e+00	MRPS15;MRPS30;MRPL13
Reactome_Pathways_2024	Negative Regulation of FLT3	1.104251e-01	7.644542e-01	0	0	9.972727e+00	2.197408e+01	SH2B3
Reactome_Pathways_2024	RA Biosynthesis Pathway	1.104251e-01	7.644542e-01	0	0	9.972727e+00	2.197408e+01	ADH4
Reactome_Pathways_2024	Erythrocytes Take up Oxygen and Release Carbon Dioxide	1.104251e-01	7.644542e-01	0	0	9.972727e+00	2.197408e+01	CA1
Reactome_Pathways_2024	SHOC2 M1731 Mutant Abolishes MRAS Complex Function	1.104251e-01	7.644542e-01	0	0	9.972727e+00	2.197408e+01	BRAF
Reactome_Pathways_2024	Sema4D Mediated Inhibition of Cell Attachment and Migration	1.104251e-01	7.644542e-01	0	0	9.972727e+00	2.197408e+01	ARHGAP35
Reactome_Pathways_2024	Gain-of-function MRAS Complexes Activate RAF Signaling	1.104251e-01	7.644542e-01	0	0	9.972727e+00	2.197408e+01	BRAF
Reactome_Pathways_2024	Signaling by MRAS-complex Mutants	1.104251e-01	7.644542e-01	0	0	9.972727e+00	2.197408e+01	BRAF
Reactome_Pathways_2024	Role of LAT2 NTAL LAB on Calcium Mobilization	1.130064e-01	7.644542e-01	0	0	2.663399e+00	5.807038e+00	IGLV3-22;IGHE;IGHV3-9
