Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
DGIdb_Drug_Targets_2024	SULTHIAME	6.630982e-05	3.414956e-03	0	0	6.660606e+01	6.408284e+02	CA1;CA3;CA2
DGIdb_Drug_Targets_2024	ETHOXZOLAMIDE	6.630982e-05	3.414956e-03	0	0	6.660606e+01	6.408284e+02	CA1;CA3;CA2
DGIdb_Drug_Targets_2024	ACETAZOLAMIDE	1.147584e-04	3.940039e-03	0	0	4.994697e+01	4.531529e+02	CA1;CA3;CA2
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:14	2.295894e-04	5.911928e-03	0	0	inf	inf	A1BG;A2M
DGIdb_Drug_Targets_2024	CHLOROTHIAZIDE	6.819171e-04	1.170624e-02	0	0	1.319200e+02	9.617763e+02	CA1;CA2
DGIdb_Drug_Targets_2024	TRICHLORMETHIAZIDE	6.819171e-04	1.170624e-02	0	0	1.319200e+02	9.617763e+02	CA1;CA2
DGIdb_Drug_Targets_2024	XL647	1.350279e-03	1.986839e-02	0	0	6.595000e+01	4.357609e+02	EGFR;EPHB4
DGIdb_Drug_Targets_2024	IPILIMUMAB	3.309032e-03	4.260379e-02	0	0	3.296500e+01	1.882664e+02	B2M;EGFR
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:52	6.055142e-03	6.107289e-02	0	0	2.197000e+01	1.121974e+02	A1BG;A2M
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:707	6.180068e-03	6.107289e-02	0	0	9.056474e+00	4.606508e+01	C7;C2;C1QC
DGIdb_Drug_Targets_2024	BEVACIZUMAB	7.688640e-03	6.107289e-02	0	0	8.299242e+00	4.040081e+01	GC;EGFR;VEGFA
DGIdb_Drug_Targets_2024	CURCUMIN	7.688640e-03	6.107289e-02	0	0	8.299242e+00	4.040081e+01	CA1;CA2;EGFR
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:56	7.708228e-03	6.107289e-02	0	0	1.882857e+01	9.160979e+01	A1BG;A2M
DGIdb_Drug_Targets_2024	TRIAMCINOLONE	9.540153e-03	6.995031e-02	0	0	1.647250e+01	7.663412e+01	BCHE;SERPINA6
DGIdb_Drug_Targets_2024	NIVOLUMAB	1.154520e-02	6.995031e-02	0	0	1.464000e+01	6.531615e+01	B2M;EGFR
DGIdb_Drug_Targets_2024	FENOFIBRATE	1.154520e-02	6.995031e-02	0	0	1.464000e+01	6.531615e+01	ADIPOQ;VEGFA
DGIdb_Drug_Targets_2024	PEMETREXED	1.154520e-02	6.995031e-02	0	0	1.464000e+01	6.531615e+01	EGFR;VEGFA
DGIdb_Drug_Targets_2024	ZONISAMIDE	1.522603e-02	8.712670e-02	0	0	inf	inf	CA1
DGIdb_Drug_Targets_2024	PEMBROLIZUMAB	2.118663e-02	1.148539e-01	0	0	1.012923e+01	3.904195e+01	B2M;EGFR
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:50	3.022253e-02	1.297050e-01	0	0	6.530693e+01	2.285199e+02	A1BG
DGIdb_Drug_Targets_2024	MONTELUKAST	3.022253e-02	1.297050e-01	0	0	6.530693e+01	2.285199e+02	LTA4H
DGIdb_Drug_Targets_2024	PERTUZUMAB	3.022253e-02	1.297050e-01	0	0	6.530693e+01	2.285199e+02	EGFR
DGIdb_Drug_Targets_2024	OXYMETHOLONE	3.022253e-02	1.297050e-01	0	0	6.530693e+01	2.285199e+02	PLG
DGIdb_Drug_Targets_2024	ATROPINE	3.022253e-02	1.297050e-01	0	0	6.530693e+01	2.285199e+02	GUCA2A
DGIdb_Drug_Targets_2024	CETUXIMAB	3.317303e-02	1.363019e-01	0	0	7.741176e+00	2.636659e+01	GC;EGFR
DGIdb_Drug_Targets_2024	TOPIRAMATE	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	CA2
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:2644	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	BCHE
DGIdb_Drug_Targets_2024	UROKINASE	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	PLG
DGIdb_Drug_Targets_2024	ISOTRETINOIN	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	CA3
DGIdb_Drug_Targets_2024	BMS 690514	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	EGFR
DGIdb_Drug_Targets_2024	CANERTINIB	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	EGFR
DGIdb_Drug_Targets_2024	IUPHAR.LIGAND:91	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	A1BG
DGIdb_Drug_Targets_2024	LIDOCAINE	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	EGFR
DGIdb_Drug_Targets_2024	BRIGATINIB	4.499287e-02	1.363019e-01	0	0	3.264851e+01	1.012512e+02	EGFR
DGIdb_Drug_Targets_2024	SPIRONOLACTONE	5.954044e-02	1.495772e-01	0	0	2.176238e+01	6.139383e+01	ADIPOQ
DGIdb_Drug_Targets_2024	LENALIDOMIDE	5.954044e-02	1.495772e-01	0	0	2.176238e+01	6.139383e+01	VEGFA
DGIdb_Drug_Targets_2024	4SC 202	5.954044e-02	1.495772e-01	0	0	2.176238e+01	6.139383e+01	VEGFA
DGIdb_Drug_Targets_2024	ZIPRASIDONE	5.954044e-02	1.495772e-01	0	0	2.176238e+01	6.139383e+01	CNTN4
DGIdb_Drug_Targets_2024	CILOSTAZOL	5.954044e-02	1.495772e-01	0	0	2.176238e+01	6.139383e+01	VEGFA
