Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Platelet Activation, Signaling and Aggregation	4.173348e-12	3.059308e-09	0	0	3.474632e+00	9.104335e+01	SPARC;WDR1;ITGA2B;PLEK;CTSW;CLEC1B;CAP1;FCER1G;PRKCB;GP1BB;ACTN1;PRKCD;GTPBP2;SYTL4;TUBA4A;MMRN1;LCK;LCP2;NHLRC2;TLN1;MGLL;VCL;SRC;STXBP2;ENDOD1;PDGFB;ITPR1;RASGRP2;THBS1;TTN;GNA13;TBXA2R;GNA11;PLCG2;FLNA;FYN;LY6G6F;PTPN1;TGFB2;TGFB1;EGF;VEGFC;RAB27B;PPBP;GP6;GNG11;GP5;COL1A1;SELP;GP9;GNAQ;GNB1;FERMT3;PF4
Reactome_Pathways_2024	Hemostasis	5.325165e-12	3.059308e-09	0	0	2.546952e+00	6.611524e+01	IGHM;CD84;SPARC;WDR1;DOCK8;IGHV3-23;ITGA2B;PLEK;ATP2A3;CTSW;IGLV2-33;IGLV2-8;DOCK10;IGKV1-16;KIF5B;TUBB1;ITGAV;CLEC1B;IGHV3-9;PF4V1;PRKG1;CAP1;FCER1G;PRKCB;GP1BB;ACTN1;PRKCD;IRAG1;GTPBP2;SYTL4;TUBA4A;DOK2;KIF2A;MMRN1;STIM1;LCK;PRKAR1A;PDE5A;LCP2;CD47;NHLRC2;TLN1;VCL;MGLL;IGHV2-70;SRC;STXBP2;ENDOD1;PDGFB;ITPR1;RASGRP2;THBS1;GLG1;TTN;GNA13;TBXA2R;PRKAR2B;GNA11;INPP5D;PLCG2;FLNA;FYN;LY6G6F;PTPN1;CARMIL1;TGFB2;TGFB1;ANGPT1;EGF;VEGFC;RAB27B;PPBP;IGLV7-43;GP6;GP5;GNG11;COL1A1;SELP;GP9;EHD3;SELL;GNAQ;GNB1;GNAS;ESAM;VPS45;PF4;FERMT3;TUBA8
Reactome_Pathways_2024	Cell-extracellular Matrix Interactions	2.037241e-08	7.802633e-06	0	0	4.516337e+01	7.998019e+02	VASP;ACTN1;ILK;FLNA;PARVB;FLNC;RSU1;FERMT2;LIMS1
Reactome_Pathways_2024	Response to Elevated Platelet Cytosolic Ca2+	1.178148e-07	3.384230e-05	0	0	3.457266e+00	5.515775e+01	SPARC;WDR1;ITGA2B;STXBP2;PLEK;ENDOD1;PDGFB;CTSW;THBS1;TTN;FLNA;LY6G6F;CAP1;TGFB2;TGFB1;PRKCB;EGF;ACTN1;VEGFC;RAB27B;PPBP;GTPBP2;SYTL4;TUBA4A;SELP;MMRN1;NHLRC2;TLN1;VCL;FERMT3;PF4
Reactome_Pathways_2024	Platelet Degranulation	1.877157e-07	4.313708e-05	0	0	3.454336e+00	5.350192e+01	SPARC;WDR1;ITGA2B;STXBP2;PLEK;ENDOD1;PDGFB;CTSW;THBS1;TTN;FLNA;LY6G6F;CAP1;TGFB2;TGFB1;EGF;ACTN1;VEGFC;RAB27B;PPBP;GTPBP2;SYTL4;TUBA4A;SELP;MMRN1;NHLRC2;TLN1;VCL;FERMT3;PF4
Reactome_Pathways_2024	Signal Transduction	9.465792e-06	1.812699e-03	0	0	1.574066e+00	1.820852e+01	CYFIP1;NCKAP1;SPARC;ITGA2B;CRKL;MYLK;PSMD8;DOCK10;CDH5;PSMD6;FNTA;KIF5B;WDR91;TUBB1;PIP4K2A;PSMD1;PIP4K2C;SH3GL1;MAP2K2;PRKCB;USP4;ACTN1;TMOD3;PRKCD;TUBA4A;CLIP1;PRKAR1A;ELMO1;TLN1;MYL9;VCL;OPTN;ATP6V1A;CETP;GNAZ;PSMD12;PSMD11;PSMD14;PSMD13;PDGFB;ITPR1;ARHGAP18;STK4;IQGAP2;RASGRP2;KALRN;LTBP1;SPTA1;NCKIPSD;TBXA2R;PRKAR2B;RDH11;PLCG2;RAB6A;HMOX2;TGFB2;TGFB1;MCAM;ARPC4;PPBP;STAM;GNG11;COL1A1;CCT6A;DIAPH1;ARPC2;COL5A1;ARPC3;GNAQ;GNB1;PDE3A;GNAS;FERMT2;BCL2L1;PICALM;CDC42SE2;TUBA8;ARPC1B;DOCK8;SNAP23;ATP2A3;ECE1;PCSK6;ARHGAP6;HINT2;NCK2;ITGAV;EMD;PRKG1;GIT1;PPP1R12A;MMP7;ARAP1;SPTB;DNM1;PPM1A;KIF2A;CTTN;RASA3;LCK;ALDH1A1;KIT;MYH9;PDE5A;MAPRE1;MGLL;ROCK1;ROCK2;SRC;LAMA4;COL11A2;RAP1GDS1;FURIN;ADD3;THBS1;HDAC6;GNA13;PGRMC2;CCL5;GNA11;FLNA;FYN;EPS15;PTPN1;NTRK2;ANGPT1;EGF;USP9X;ERBIN;VEGFC;AP2B1;PTPN12;SEPTIN7;MPP7;WDR11;PSMC6;TAOK3;PSMC1;CARM1;RGS10;ESYT1;PF4;TJP2
Reactome_Pathways_2024	Muscle Contraction	1.351848e-05	2.218962e-03	0	0	3.872768e+00	4.341936e+01	TNNC1;TMOD3;ITPR1;ATP2A3;CACNA2D2;MYLK;TTN;STIM1;TNNT1;CALD1;MYL2;MYL3;TNNI1;TCAP;PDE5A;TLN1;MYL9;VCL
Reactome_Pathways_2024	Proteasome Assembly	1.906770e-05	2.738598e-03	0	0	4.448529e+00	4.834446e+01	PSMD12;PSMD11;PSMD14;PSMD13;PSMB9;PSMD8;PSMD6;PSMC6;PSMD5;PSMC1;PSMD1;PSME2;PSMG1;PSMF1;PSMG2
Reactome_Pathways_2024	Striated Muscle Contraction	3.187049e-05	3.616009e-03	0	0	1.000988e+01	1.036406e+02	TNNT1;TMOD3;TNNC1;MYL2;MYL3;TNNI1;TCAP;TTN
Reactome_Pathways_2024	Signaling by Rho GTPases	3.329061e-05	3.616009e-03	0	0	1.885012e+00	1.943492e+01	CYFIP1;NCKAP1;ARPC1B;DOCK8;SNAP23;ARHGAP6;MYLK;DOCK10;HINT2;KIF5B;WDR91;TUBB1;NCK2;EMD;GIT1;PPP1R12A;PRKCB;ACTN1;TMOD3;PRKCD;ARAP1;TUBA4A;CLIP1;KIF2A;CTTN;LCK;MYH9;PDE5A;MAPRE1;MYL9;ROCK1;ROCK2;SRC;ARHGAP18;IQGAP2;ADD3;KALRN;GNA13;NCKIPSD;PGRMC2;FLNA;HMOX2;USP9X;MCAM;ERBIN;ARPC4;STAM;MPP7;WDR11;CCT6A;DIAPH1;ARPC2;TAOK3;ARPC3;ESYT1;FERMT2;PICALM;CDC42SE2;TUBA8;TJP2
