Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
DGIdb_Drug_Targets_2024	CARFILZOMIB	4.787690e-16	2.092221e-13	0	0	3.579043e+01	1.262519e+03	PSMD10;PSMD12;PSMD11;PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMD5;PSMB3;PSMD2;PSMD3;PSMB1;PSMD1;PSMF1;ADRM1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSMC1;PSMC2;PSME1;PSME2
DGIdb_Drug_Targets_2024	DORLIMOMAB ARITOX	6.168633e-14	8.985642e-12	0	0	7.880133e+00	2.396877e+02	RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL38;RPS11;RPS10;RPS13;RPS9;RPS7;RPS5;RPL23;RPS6;RPL22;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPS2;RPL15;RPL18;RPL17;RPL19;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS23
DGIdb_Drug_Targets_2024	ATALUREN	6.168633e-14	8.985642e-12	0	0	7.880133e+00	2.396877e+02	RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL38;RPS11;RPS10;RPS13;RPS7;RPS8;RPL23;RPS5;RPS6;RPL22;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS23
DGIdb_Drug_Targets_2024	BORTEZOMIB	1.315015e-13	1.153468e-11	0	0	8.745342e+00	2.593847e+02	PLAT;PSMD8;PSMD9;PSMD6;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PSMD1;CAPN1;PRSS3;PRSS2;CTSB;F2;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME1;PSME2;PSMD10;PSMD12;PSMD11;PSMD14;PSMD13;PSMA7;PSMB10;PSMB6;PSMB7;PSMB4;PSMB5;PSMB2;PSMB3;PSMB1;PSMF1;HSPA4;ADRM1;PSMB8;NFKB1;PSMB9;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;FGFR3
DGIdb_Drug_Targets_2024	CYCLOHEXIMIDE	1.319757e-13	1.153468e-11	0	0	7.007057e+00	2.078024e+02	RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL38;RPS11;RPS10;RPS13;RPS9;RPS7;RPS8;RPS5;RPL23;RPS6;RPL22;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPS2;RPL15;RPL18;RPL17;RPL19;RPL23A;EEF2;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS23
DGIdb_Drug_Targets_2024	MT 3724	2.047544e-13	1.491295e-11	0	0	7.272246e+00	2.124730e+02	RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL38;RPS11;RPS10;RPS13;RPS9;RPS7;RPS8;RPS5;RPL23;RPS6;RPL22;RPSA;RPS3A;RPL24;RPL27;RPL29;RPL12;RPL11;RPS15A;RPS3;RPL14;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;RPL23A;RPS25;RPS27;RPL27A;RPS20;RPS21;RPS23
DGIdb_Drug_Targets_2024	PALIFERMIN	2.472647e-03	1.543638e-01	0	0	inf	inf	NRP1;FGFR4;HSPG2;FGFR3;FGFR2;FGFR1
DGIdb_Drug_Targets_2024	EPTIFIBATIDE	6.728451e-03	3.267037e-01	0	0	inf	inf	FGB;FGA;ITGB3;ITGA2B;FGG
DGIdb_Drug_Targets_2024	PI 88	6.728451e-03	3.267037e-01	0	0	inf	inf	FLT4;HPSE;TFPI;FGFR2;FGFR1
DGIdb_Drug_Targets_2024	MASITINIB	8.152528e-03	3.562655e-01	0	0	5.168160e+00	2.485589e+01	PDGFRB;LYN;HCK;PDGFRA;CSF1R;SRC;FGFR3;FGFR2;PTK2
DGIdb_Drug_Targets_2024	MARIMASTAT	1.185792e-02	3.986086e-01	0	0	1.032859e+01	4.580480e+01	ADAM17;MMP7;MMP1;MMP3;ADAM10;MMP9
DGIdb_Drug_Targets_2024	E 3810	1.185792e-02	3.986086e-01	0	0	1.032859e+01	4.580480e+01	PDGFRB;PDGFRA;FLT4;FGFR3;FGFR2;FGFR1
DGIdb_Drug_Targets_2024	SULFASALAZINE	1.185792e-02	3.986086e-01	0	0	1.032859e+01	4.580480e+01	G6PD;NT5E;HLA-B;PTGS1;ACAT1;TYMP
DGIdb_Drug_Targets_2024	PIOGLITAZONE	1.511341e-02	4.210016e-01	0	0	6.026037e+00	2.526219e+01	G6PD;TGFB1;HSPA4;SLC2A1;LPL;GHRL;THBS1
DGIdb_Drug_Targets_2024	CISPLATIN	1.521558e-02	4.210016e-01	0	0	1.854938e+00	7.763724e+00	HMGB1;HSD17B10;OSGEP;TMEM43;ANPEP;TGM2;HSPA8;NTRK2;G6PD;RRM1;RARS1;UBE2I;XRCC5;HSPA4;MDH2;CBX1;ACTL6A;XRCC1;ASS1;SMARCA4;GCLC;GNAS;FAS;TOP1;GCLM;FGFR3;CDH17;CD44;FGFR1
DGIdb_Drug_Targets_2024	LAMIVUDINE	1.697575e-02	4.210016e-01	0	0	4.592050e+00	1.871705e+01	NT5C;PCYT2;MMP1;HLA-B;PGK1;CMPK1;DCK;NME1
DGIdb_Drug_Targets_2024	HEPARIN	1.749501e-02	4.210016e-01	0	0	2.954050e+00	1.195161e+01	SRGN;LIPC;FCGR3B;F10;VWF;HSPA4;SDC1;HPSE;TFPI;F2;SERPINA5;TGM2
DGIdb_Drug_Targets_2024	CILENGITIDE	1.830442e-02	4.210016e-01	0	0	inf	inf	ITGB5;ITGB3;ITGAV;ITGA5
DGIdb_Drug_Targets_2024	ISTAROXIME	1.830442e-02	4.210016e-01	0	0	inf	inf	ATP2A2;ATP1B3;ATP1A1;ATP1B1
DGIdb_Drug_Targets_2024	INSULIN	2.751564e-02	5.819197e-01	0	0	2.488898e+00	8.942612e+00	YWHAE;PCSK1;PTPN1;INSR;NOP2;LPL;SLC2A3;IRS2;ENO2;IBSP;GHRL;ARF6;EIF4G1
DGIdb_Drug_Targets_2024	THALIDOMIDE	2.929374e-02	5.819197e-01	0	0	2.584183e+00	9.123150e+00	DDB1;FCGR3B;VWF;XRCC5;ITGB2;HLA-B;RPL13;CTNNB1;IL6R;NFKB1;FGFR2;CHST3
DGIdb_Drug_Targets_2024	AGS 16C3F	3.263617e-02	5.819197e-01	0	0	5.163074e+00	1.766977e+01	TUBB6;TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A
DGIdb_Drug_Targets_2024	NIFEDIPINE	3.387642e-02	5.819197e-01	0	0	3.099430e+00	1.049168e+01	CAMK2B;HSPA4;CBX1;MAPK1;NTS;HSD17B10;MMP9;ELANE;NFKB1
DGIdb_Drug_Targets_2024	TRIAMCINOLONE	3.443558e-02	5.819197e-01	0	0	4.016409e+00	1.352994e+01	G6PD;TGFB1;ANXA1;MMP1;SLC2A1;LPL;NFKB1
DGIdb_Drug_Targets_2024	ANG1005	3.443558e-02	5.819197e-01	0	0	4.016409e+00	1.352994e+01	TUBB6;LRP1;TUBB;TUBB1;TUBB4B;TUBB4A;TUBA4A
DGIdb_Drug_Targets_2024	ATENOLOL	3.462223e-02	5.819197e-01	0	0	3.443223e+00	1.158045e+01	FTO;LRRC15;TGFB1;GALNT2;PLA2G4A;SLC4A1;SNX9;LDLR
DGIdb_Drug_Targets_2024	SUNITINIB	4.236126e-02	5.859365e-01	0	0	2.239478e+00	7.080156e+00	PDGFRB;CSF1R;PDGFRA;FLT4;PDGFA;VEGFC;POR;EWSR1;PDGFD;PDGFC;CA9;FGFR2;FGFR1
