Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_Pathways_2024	Regulation of Complement Cascade	2.576331e-15	6.775750e-13	0	0	1.769593e+01	5.944489e+02	C1QB;C1QA;CR2;CPB2;IGHV2-5;IGKV2D-30;CFI;IGHV4-39;CFP;C2;IGLV5-37;IGHG1;CFHR2;IGLV3-21;CFHR1;CFB;IGKV2-30;C1QC
Reactome_Pathways_2024	Complement Cascade	1.414885e-14	1.860574e-12	0	0	1.580891e+01	5.041325e+02	C1QB;C1QA;CR2;CPB2;IGHV2-5;IGKV2D-30;CFI;IGHV4-39;CFP;C2;IGLV5-37;IGHG1;CFHR2;IGLV3-21;CFHR1;CFB;IGKV2-30;C1QC
Reactome_Pathways_2024	Initial Triggering of Complement	9.293166e-11	7.667850e-09	0	0	1.483185e+01	3.426032e+02	C1QB;C1QA;IGHV2-5;IGKV2D-30;IGHV4-39;CFP;C2;IGLV5-37;IGHG1;IGLV3-21;CFB;IGKV2-30;C1QC
Reactome_Pathways_2024	Innate Immune System	1.166213e-10	7.667850e-09	0	0	4.587819e+00	1.049330e+02	C1QB;C1QA;ORM1;CPB2;IGHV2-5;IGKV2D-30;CRISP3;CFI;HP;HBB;IGHV4-39;PRCP;A1BG;CFP;LILRA3;C2;CST3;IGHG1;IGLV3-21;AGA;CR2;SIGLEC14;AHSG;OSCAR;CHIT1;IGLV5-37;CEACAM1;VNN1;LRG1;CFHR2;CFHR1;CHI3L1;CFB;IGKV2-30;C1QC
Reactome_Pathways_2024	Classical Antibody-Mediated Complement Activation	2.870396e-08	1.509828e-06	0	0	1.335373e+01	2.319040e+02	C1QB;IGLV5-37;C1QA;IGHG1;IGHV2-5;IGKV2D-30;IGLV3-21;IGHV4-39;IGKV2-30;C1QC
Reactome_Pathways_2024	Scavenging of Heme From Plasma	3.844066e-08	1.684982e-06	0	0	1.289712e+01	2.202074e+02	IGLV5-37;HPX;CD163;IGHV2-5;IGKV2D-30;IGLV3-21;HP;HBB;IGHV4-39;IGKV2-30
Reactome_Pathways_2024	Immune System	5.495897e-08	2.064887e-06	0	0	3.303115e+00	5.521711e+01	C1QB;C1QA;ORM1;CPB2;IGHV2-5;IGKV2D-30;CRISP3;CFI;HP;HBB;IGHV4-39;PRCP;A1BG;CFP;LILRA3;C2;CST3;CA1;IGHG1;IGLV3-21;MRC1;AGA;ICOSLG;CR2;SIGLEC14;ERAP2;AHSG;OSCAR;CHIT1;IGLV5-37;CEACAM1;VNN1;LRG1;CFHR2;CFHR1;IGHD;CHI3L1;CFB;IGKV2-30;C1QC
Reactome_Pathways_2024	Creation of C4 and C2 Activators	8.731684e-08	2.870541e-06	0	0	1.169589e+01	1.901017e+02	C1QB;IGLV5-37;C1QA;IGHG1;IGHV2-5;IGKV2D-30;IGLV3-21;IGHV4-39;IGKV2-30;C1QC
Reactome_Pathways_2024	Hemostasis	1.084942e-07	3.170443e-06	0	0	4.359982e+00	6.991914e+01	ITIH4;ORM1;IGHV2-5;IGKV2D-30;HBG2;AHSG;HBG1;F12;F11;HBB;IGHV4-39;PRCP;HBD;A1BG;MERTK;SELE;IGLV5-37;CLEC3B;CEACAM1;IGLV3-21;CEACAM5;A2M;IGKV2-30
Reactome_Pathways_2024	Binding and Uptake of Ligands by Scavenger Receptors	9.277460e-07	2.439972e-05	0	0	8.811520e+00	1.223965e+02	IGLV5-37;HPX;CD163;IGHV2-5;IGKV2D-30;IGLV3-21;HP;HBB;IGHV4-39;IGKV2-30
