Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Negative Regulation of Blood Coagulation (GO:0030195)	1.514411e-05	1.035857e-02	0	0	1.992740e+01	2.211523e+02	CPB2;APOH;F12;PLG;KLKB1
GO_Biological_Process_2025	Regulation of Fibrinolysis (GO:0051917)	2.805414e-04	5.420423e-02	0	0	3.178170e+01	2.599358e+02	F12;PLG;KLKB1
GO_Biological_Process_2025	Negative Regulation of Granulocyte Differentiation (GO:0030853)	5.547216e-04	5.420423e-02	0	0	1.468000e+02	1.100566e+03	CEACAM1;C1QC
GO_Biological_Process_2025	Cell Junction Disassembly (GO:0150146)	5.547216e-04	5.420423e-02	0	0	1.468000e+02	1.100566e+03	C1QB;C1QC
GO_Biological_Process_2025	Positive Regulation of T Cell Differentiation in Thymus (GO:0033089)	5.547216e-04	5.420423e-02	0	0	1.468000e+02	1.100566e+03	SHH;VNN1
GO_Biological_Process_2025	Cytolysis by Host of Symbiont Cells (GO:0051838)	5.547216e-04	5.420423e-02	0	0	1.468000e+02	1.100566e+03	CFHR2;CFHR1
GO_Biological_Process_2025	Embryonic Appendage Morphogenesis (GO:0035113)	5.547216e-04	5.420423e-02	0	0	1.468000e+02	1.100566e+03	SHH;MEGF8
GO_Biological_Process_2025	Proteolysis (GO:0006508)	7.031351e-04	5.593136e-02	0	0	4.130748e+00	2.998907e+01	SHH;CPB2;CPB1;CFH;F12;PLG;PEPD;KLKB1;TRHDE
GO_Biological_Process_2025	Positive Regulation of Response to Stimulus (GO:0048584)	7.892336e-04	5.593136e-02	0	0	1.107744e+01	7.914220e+01	ADIPOQ;C8B;CFP;EGFR
GO_Biological_Process_2025	Positive Regulation of Protein Processing (GO:0010954)	8.177100e-04	5.593136e-02	0	0	2.021246e+01	1.436904e+02	CLEC3B;F12;KLKB1
GO_Biological_Process_2025	Positive Regulation of Blood Coagulation (GO:0030194)	1.012012e-03	6.267256e-02	0	0	1.852528e+01	1.277469e+02	F12;APOH;PLG
GO_Biological_Process_2025	Limb Morphogenesis (GO:0035108)	1.099519e-03	6.267256e-02	0	0	7.338889e+01	4.999899e+02	SHH;MEGF8
GO_Biological_Process_2025	Humoral Immune Response Mediated by Circulating Immunoglobulin (GO:0002455)	1.816152e-03	8.873199e-02	0	0	4.891852e+01	3.087265e+02	C1QB;C1QC
GO_Biological_Process_2025	Lipid Oxidation (GO:0034440)	1.816152e-03	8.873199e-02	0	0	4.891852e+01	3.087265e+02	ADIPOQ;PLA2G7
GO_Biological_Process_2025	Synapse Pruning (GO:0098883)	2.699902e-03	9.719646e-02	0	0	3.668333e+01	2.169650e+02	C1QB;C1QC
GO_Biological_Process_2025	Regulation of Granulocyte Differentiation (GO:0030852)	2.699902e-03	9.719646e-02	0	0	3.668333e+01	2.169650e+02	CEACAM1;C1QC
GO_Biological_Process_2025	Glucosamine-Containing Compound Catabolic Process (GO:1901072)	2.699902e-03	9.719646e-02	0	0	3.668333e+01	2.169650e+02	CHI3L1;CTBS
GO_Biological_Process_2025	Killing by Host of Symbiont Cells (GO:0051873)	2.699902e-03	9.719646e-02	0	0	3.668333e+01	2.169650e+02	CFHR2;CFHR1
GO_Biological_Process_2025	Regulation of T Cell Differentiation in Thymus (GO:0033081)	2.699902e-03	9.719646e-02	0	0	3.668333e+01	2.169650e+02	SHH;VNN1
GO_Biological_Process_2025	Glycoside Metabolic Process (GO:0016137)	3.746142e-03	1.024945e-01	0	0	2.934222e+01	1.639358e+02	FUCA1;FUCA2
GO_Biological_Process_2025	Positive Regulation of Plasminogen Activation (GO:0010756)	3.746142e-03	1.024945e-01	0	0	2.934222e+01	1.639358e+02	CLEC3B;F12
GO_Biological_Process_2025	Neuron Cell-Cell Adhesion (GO:0007158)	3.746142e-03	1.024945e-01	0	0	2.934222e+01	1.639358e+02	CNTN4;NCAM2
GO_Biological_Process_2025	Regulation of Systemic Arterial Blood Pressure (GO:0003073)	3.746142e-03	1.024945e-01	0	0	2.934222e+01	1.639358e+02	PRCP;KLKB1
GO_Biological_Process_2025	Determination of Heart Left/Right Asymmetry (GO:0061371)	3.746142e-03	1.024945e-01	0	0	2.934222e+01	1.639358e+02	SHH;MEGF8
GO_Biological_Process_2025	Embryonic Heart Tube Morphogenesis (GO:0003143)	3.746142e-03	1.024945e-01	0	0	2.934222e+01	1.639358e+02	SHH;MEGF8
GO_Biological_Process_2025	Negative Regulation of Cholesterol Transport (GO:0032375)	4.950342e-03	1.128678e-01	0	0	2.444815e+01	1.297781e+02	SHH;ADIPOQ
GO_Biological_Process_2025	Axonal Fasciculation (GO:0007413)	4.950342e-03	1.128678e-01	0	0	2.444815e+01	1.297781e+02	CNTN4;MEGF8
GO_Biological_Process_2025	Regulation of Acute Inflammatory Response (GO:0002673)	4.950342e-03	1.128678e-01	0	0	2.444815e+01	1.297781e+02	F12;KLKB1
