Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
DGIdb_Drug_Targets_2024	CARFILZOMIB	7.802121e-10	4.088311e-07	0	0	1.857446e+01	3.895334e+02	PSMD10;PSMD12;PSMD11;PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMD9;PSMB7;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMD5;PSMB3;PSMD2;PSMD3;PSMB1;PSMD1;PSMF1;ADRM1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMC5;PSMA4;PSMC6;PSMA1;PSMC3;PSMA2;PSMC4;PSMC1;PSMC2;PSME1;PSME2
DGIdb_Drug_Targets_2024	BORTEZOMIB	2.616036e-06	6.854013e-04	0	0	4.033895e+00	5.185109e+01	PSMD8;PSMD9;PSMD6;PSMD7;PSMD4;PSMD5;PSMD2;PSMD3;PSMD1;CAPN1;PRSS3;PRSS2;CTSB;F2;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMA2;PSME1;PSME2;PSMD10;PSMD12;PSMD11;PSMD14;PSMD13;PSMA7;PSMB10;PSMB6;PSMB7;PSMB4;PSMB5;PSMB2;PSMB3;PSMB1;PSMF1;HSPA4;ADRM1;PSMB8;NFKB1;PSMB9;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;FGFR3
DGIdb_Drug_Targets_2024	ATALUREN	2.640452e-04	4.611990e-02	0	0	2.605204e+00	2.146529e+01	RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPL18A;RPS19;RPS18;RPL35;RPL38;RPS11;RPS10;RPS8;RPL23;RPS5;RPS6;RPL22;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;RPS3;RPL13;RPL15;RPS2;RPL17;RPL19;RPL35A;RPL23A;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
DGIdb_Drug_Targets_2024	CYCLOHEXIMIDE	4.324474e-04	5.665061e-02	0	0	2.425965e+00	1.879165e+01	RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPL18A;RPS19;RPS18;RPL35;RPL38;RPS11;RPS10;RPS8;RPS5;RPL23;RPS6;RPL22;RPS3A;RPSA;RPL24;RPL27;RPL29;RPL28;RPL12;RPL11;RPS15A;RPS3;RPL13;RPS2;RPL15;RPL17;RPL19;IDH1;RPL35A;RPL23A;EEF2;RPS28;RPS27;RPL27A;RPS20;RPS21;RPS24;RPS23
DGIdb_Drug_Targets_2024	DORLIMOMAB ARITOX	6.792362e-04	7.118395e-02	0	0	2.408800e+00	1.757109e+01	RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL8;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS15A;RPL18A;RPS19;RPS18;RPS3;RPL35;RPL13;RPL38;RPS2;RPL15;RPS11;RPS10;RPL17;RPL19;RPS5;RPL23;RPS6;RPL22;RPL35A;RPSA;RPS3A;RPL23A;RPS28;RPS27;RPL27A;RPL24;RPL27;RPS20;RPL29;RPL28;RPS21;RPS24;RPS23
DGIdb_Drug_Targets_2024	MT 3724	1.177045e-03	1.027952e-01	0	0	2.281296e+00	1.538677e+01	RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPL12;RPLP0;RPL11;RPL8;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS15A;RPS19;RPL18A;RPS18;RPS3;RPL35;RPL13;RPL38;RPL15;RPS2;RPS11;RPS10;RPL17;RPL19;RPS8;RPS5;RPL23;RPS6;RPL22;RPL35A;RPSA;RPS3A;RPL23A;RPS28;RPS27;RPL27A;RPL24;RPL27;RPS20;RPL29;RPS21;RPS24;RPS23
DGIdb_Drug_Targets_2024	CEDIRANIB	5.652397e-03	3.905501e-01	0	0	2.813213e+00	1.456028e+01	CAMK2B;CSF1R;SRC;FLT4;STK3;SLK;FYN;MAP4K4;PDGFRB;LYN;ACVR1;PDGFRA;MAP4K2;MAP2K2;SYK;MINK1;FER;AXL;LCK;TAOK1;KIT;FGFR3;FRK;FGFR2;FGFR1
DGIdb_Drug_Targets_2024	WORTMANNIN	5.962596e-03	3.905501e-01	0	0	inf	inf	HSP90AA1;HSPA4;F2R;SPP1;AKT1;MYO9B;EIF2B1;PRKAB1
DGIdb_Drug_Targets_2024	COLLAGENASE CLOSTRIDIUM HISTOLYTICUM	1.153081e-02	6.713493e-01	0	0	4.194563e+00	1.871921e+01	COL18A1;COL15A1;COL11A1;COL11A2;COL1A1;COL3A1;COL1A2;COL2A1;COL5A1;COL6A2;COL5A2;COL6A1;COL6A3;COL6A6
DGIdb_Drug_Targets_2024	MIDOSTAURIN	1.748849e-02	7.747819e-01	0	0	3.370523e+00	1.363785e+01	PDGFRB;PDGFRA;NPM1;PRKCB;IDH2;PRKCD;PRKCA;CBL;KIT;PRKCQ;JAK2;JAK3;FGFR3;JAK1;FGFR1
DGIdb_Drug_Targets_2024	LEUCOVORIN	1.832797e-02	7.747819e-01	0	0	3.893845e+00	1.557276e+01	PDGFRB;ABCC4;MAP2K1;ABCC1;RALBP1;SHMT1;KLC1;DPYD;BAX;KRAS;CSPG4;UMPS;FGFR2
DGIdb_Drug_Targets_2024	ENTRECTINIB	1.981311e-02	7.747819e-01	0	0	2.099667e+00	8.233659e+00	CSF1R;PRKAA1;SRC;FLT4;STK3;RPS6KA3;TBK1;SLK;FYN;JAK2;JAK3;MAP4K4;LYN;MAP4K2;NTRK2;SYK;PTK2;EML4;FER;LCK;AXL;TAOK1;KIT;BTK;PRKCQ;FGFR3;FRK;FGFR1
