Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2025	Positive Regulation of Cell Migration (GO:0030335)	2.288600e-06	3.302194e-03	0	0	2.022284e+00	2.626456e+01	SPARC;CSF1;PDCD6;CLSTN1;EMC10;CIB1;CCAR1;CRKL;MYLK;CDH5;AKT2;BSG;AKT1;CPNE3;ACVR1;PDGFRB;PDGFRA;SEMA6D;F2R;ADAM10;PRKCA;ACTN4;ADAM17;CLDN3;MYADM;PLAA;PFN1;GPLD1;IGSF8;CSF1R;CEMIP;SEMA7A;CD151;NOTCH1;PDGFB;PDGFA;FBLN1;FUT1;RTN4;SDCBP;VTN;RRAS;PDCD10;DDRGK1;PODXL;PDGFD;PDGFC;PLCG2;NCKAP1L;S100A11;CARMIL1;HSPA8;TGFB2;TGFB1;HSPA5;RDX;FN1;IGF1;PTK2;COL1A1;VIL1;DAB2;FER;PROC;PTPRC;CASS4;CALR;FERMT2;FERMT3;ITGB1;NRP1;DOCK5;NRP2;FLT4;ITGB3;MIA3;PIK3CB;CX3CL1;VSIR;PIK3CG;PPP3CA;FYCO1;GLIPR2;C1QBP;RACK1;CTSH;MADCAM1;GFUS;BCAS3;MMP7;ANXA3;FGR;PTP4A1;F7;MMP14;KIT;ANGPTL3;NUMB;PECAM1;RAPGEF2;CDH13;ITGA6;ARHGEF2;ARHGEF7;DDR2;LRRC15;ROCK2;SRC;SEMA3B;CXCR4;SEMA3F;THBS1;HDAC6;PPM1F;CDC42;MIEN1;GPNMB;MGAT5;CCL5;PTK2B;STX4;MAP4K4;CLASP2;CHGA;SPAG9;DMTN;ANGPT1;EGF;STAT3;LAMB1;SOD2;RAB11A;MTOR;TJP1;PKN1
GO_Biological_Process_2025	Cytoplasmic Translation (GO:0002181)	2.394786e-06	3.302194e-03	0	0	3.104398e+00	4.017779e+01	EIF4A2;EIF4A1;RPL5;RPL30;RPL3;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPL18A;RPS19;RPS18;RACK1;RPL35;RPLP2;RPL38;RPS11;EIF2B1;RPS10;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPS3A;GTPBP1;SARS1;EEF1D;RPL27;ETF1;RPL29;RPL28;RPL12;RPL11;RPS15A;RPS3;RPL15;RPS2;RPL19;EIF2B5;RWDD1;EIF2B4;EIF2B3;EIF2B2;VTA1;RPL35A;RPL23A;EIF2S2;RPS28;EIF3M;EIF2S3;RPS27;RPL27A;EIF3I;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2025	Protein Transport (GO:0015031)	2.423787e-06	3.302194e-03	0	0	1.948599e+00	2.519574e+01	VPS29;STEAP3;TFRC;CLSTN3;PDCD6;CLU;ARL6IP5;TOM1;ARFIP1;VPS35;SIL1;NSF;ARRDC1;PRKCB;TANGO2;STX8;VPS33A;STX7;VPS33B;SCAMP1;FAM91A1;SCAMP3;SCAMP2;PDIA4;RUFY1;RAB32;OLFM2;RAB31;TFR2;RAB34;RAB35;ERP29;SCG5;TXNIP;PREB;RAB38;SCG2;GPLD1;OPTN;MACF1;COPB2;COPA;RAB5B;RAB5C;TMED10;SAR1A;STXBP3;SAR1B;STXBP1;MTTP;STXBP2;SEL1L;VPS26A;VPS26B;LTBP3;HSP90B1;TIMM50;SNX4;SCFD1;SNX1;GRPEL1;MYO6;TBC1D13;SNX9;APOE;APOB;RAB6A;RAB11FIP3;RAB6B;SPTBN1;SNX6;CTSA;GSDMD;HSPA9;SYNRG;SURF4;ASPSCR1;TIMM44;LRP1B;EHD1;CHMP2A;GNAS;RAB5A;ARF4;C17ORF75;CLTC;ARHGAP1;AP2A1;MIA3;VLDLR;CHMP1B;TMED2;CD36;TMED7;TMED5;TMED4;YWHAH;SEC13;TMED9;FGG;COPZ2;AP3B1;COPZ1;DNM2;RCN3;CTTN;CANX;MYH9;ARHGEF2;ARF5;ARF6;RAB7A;STX12;RAB1A;RAMP3;RAB1B;USO1;ASAP1;NAPG;STX11;HDAC6;RAB21;GGA1;GGA3;SNX27;STX6;STX5;STX4;CD74;NPM1;CMTM6;AP3D1;RAB11A;ARCN1;WDR11;RAB10;SEC23IP;SNX18;KRT18;RAB14;SNX17;SNX15;RAB18;RAB3GAP2;COPG2;COPG1;VPS45
GO_Biological_Process_2025	Integrin-Mediated Signaling Pathway (GO:0007229)	2.735869e-06	3.302194e-03	0	0	3.444707e+00	4.412346e+01	ITGB1;NRP1;ITGAM;ITGB5;ITGB3;ITGA2B;ITGB2;PLEK;ILK;ITGAE;ITGAL;PPP3CA;ADAMTS1;ITGAV;MADCAM1;ITGA4;SYK;ITGA2;ITGA1;ADAM10;APOA1;FGR;HCK;ADAM15;ANGPTL3;ITGA7;MYH9;ITGA6;CD47;ITGA5;CDH17;ITGA9;LAMA5;SEMA7A;SRC;CUL3;FBLN1;CDC42;VTN;ADAMTS13;PTK2B;FYB1;MPIG6B;RCC2;ERBIN;FN1;ISG15;PTK2;COL3A1;DAB2;CD40LG;TEC;PTPRA;ZYX;CCM2;FERMT2;FERMT3
GO_Biological_Process_2025	Platelet Aggregation (GO:0070527)	8.504642e-06	7.281023e-03	0	0	8.422634e+00	9.833340e+01	STXBP3;ITGB3;STXBP1;PLEK;HSPB1;ILK;PIK3CB;PIK3CG;SLC6A4;CSRP1;UBASH3B;FLNA;CLIC1;FGB;FGA;PDGFRA;ACTN1;FGG;FIBP;RAP2B;GNAS;TYRO3;MYH9;TLN1;MYL9;PPIA;VCL;FERMT3
GO_Biological_Process_2025	Homotypic Cell-Cell Adhesion (GO:0034109)	9.048496e-06	7.281023e-03	0	0	5.960743e+00	6.922158e+01	STXBP3;ITGB3;STXBP1;PLEK;HSPB1;ILK;PIK3CB;PIK3CG;SLC6A4;CSRP1;UBASH3B;FLNA;CLIC1;CD99;FGB;FGA;PDGFRA;ACTN1;FGG;FIBP;RAP2B;CEACAM5;CDHR2;GNAS;TYRO3;MYH9;CDHR5;TLN1;MYL9;PPIA;VCL;FERMT3;TJP2
GO_Biological_Process_2025	Supramolecular Fiber Organization (GO:0097435)	1.234048e-05	8.511405e-03	0	0	2.067891e+00	2.337260e+01	APP;COL12A1;INPPL1;LOXL3;PLOD3;CIB1;PLOD1;LOXL1;SAMD14;EFEMP2;SLK;BASP1;CHORDC1;ZNF207;AGFG1;TMOD1;TPM4;TPM3;ACTN1;TMOD3;TPM1;CD2AP;CLIP2;CLIP1;LOX;ELMO1;TAGLN2;MYL9;TUBGCP2;FLII;LTBP4;DPT;SLAIN2;LTBP3;CORO1A;CORO1B;FBLN5;CNN3;CORO1C;MTM1;CNN2;SPTA1;MYO6;SERPINH1;MAP4;CARMIL1;CRTAP;TGFB2;FUS;MYO5A;TBCB;HOOK3;ARHGAP25;COL1A1;DLG1;COL1A2;BMP1;COL5A1;P4HA1;COL5A2;FAT1;TUBGCP3;HSP90AB1;TNFAIP6;SH3KBP1;COL14A1;ARHGAP6;PPP1R9B;FYCO1;RAC2;EMILIN1;CD36;EMD;COLGALT1;CAP1;RHOG;RHOF;ARAP1;CKAP5;RHOA;COL2A1;KIF2A;HCLS1;EVL;ARHGEF2;DBN1;DDR2;TNXB;COL11A1;COL11A2;FURIN;CDC42;BID;SNCA;DYNC1H1;MARCKSL1;USP9X;LUM;FKBP1A;MFAP4;COL3A1;MARCKS;BAX;TLL2;EPPK1;TLL1;VIM;TARDBP;MYO1G
GO_Biological_Process_2025	Regulation of Cell Adhesion (GO:0030155)	2.077871e-05	1.210894e-02	0	0	2.719020e+00	2.931534e+01	RIPOR2;ADAMDEC1;MIA3;PTPRJ;LAMC1;CELSR2;LMNB2;PIK3CG;PPP1R9B;PPP1CB;PPP3CA;IBSP;TNN;C1QBP;RAC2;TNR;ITGAV;PRSS2;TGM2;PPP1R12A;TESC;TNNC1;TPM1;MINK1;IL18;ADAM10;PRKCA;REXO2;MYADM;CDH13;DSG2;TNXB;LAMA2;ROCK1;LAMA1;ROCK2;SRC;CXCR4;FBLN1;NID1;FUT1;KNG1;ATXN3;VTN;PODXL;CCL5;PTK2B;STX4;RSU1;LYN;ANGPT1;LAMB1;PTPN11;AZU1;PTK2;FES;PLXNB3;PLXNB2;SAA2;PLXNB1;TGFBI;P4HB;SIPA1
GO_Biological_Process_2025	Protein Localization to Cell Periphery (GO:1990778)	2.257260e-05	1.210894e-02	0	0	2.763623e+00	2.956738e+01	C2CD5;PLEKHF1;CD81;F11R;IKBKB;EFR3A;BSG;FLOT1;FLOT2;TMED2;RAB8A;ACTN2;TESC;TTC7B;ATP1B3;ATP1B1;ANK1;GAK;RAP2A;RABEP1;PACS2;PACS1;RAB34;MYADM;RAPGEF2;TNIK;EZR;GAS6;ARF6;RAMP3;ROCK1;ROCK2;ARL3;STXBP1;TSPAN33;HSP90B1;LRP6;RAP1A;EPB41L3;FLNA;RAB11FIP3;SPTBN1;S100A10;CLASP2;FYB1;JUP;SEC16A;DENND4C;RDX;MYO5A;RAB11A;EHD1;RAB10;EHD2;TSPAN15;DLG1;EHD3;TSPAN14;EHD4;SLMAP;RAB13
GO_Biological_Process_2025	Regulation of Platelet Activation (GO:0010543)	2.906409e-05	1.309587e-02	0	0	1.036638e+01	1.082873e+02	LYN;PDGFRA;FCER1G;SYK;GP1BB;PLEK;PDGFB;PDGFA;PLA2G4A;GP1BA;PRKCA;PEAR1;GP5;THBD;GP9;C1QTNF1;TEC;GNAQ;SELENOP;FLNA;SVEP1;PRKCQ;JAK2
