Protein_Group	Genes	EV_Blast__250nM Palbo_set2_vs_EV_Blast__Non Treated_set2_logFC	EV_Blast__250nM Palbo_set2_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A0A087WUL8	NBPF19	1.04871415573147	9.48368132325906e-13	No	No
A1A5D9	BICDL2	1.35235184621835	1.94987655727864e-20	No	No
A1Z1Q3	MACROD2	1.34724117174182	0.0047018749279856	No	No
A2A2Y4	FRMD3	1.13853646184111	0.0033675412613817	No	No
A2RUS2	DENND3	1.06874690332089	1.50748253168859e-05	No	No
A6NMD0	IFITM10	1.42935488243537	9.32253260228757e-06	No	No
O00526	UPK2	1.30406026726916	0.0001827530984547	No	No
O00534	VWA5A	1.44710729168228	5.536005890760671e-09	No	No
O00590	ACKR2	1.9469176745039	3.68956360021439e-05	No	No
O14863	SLC30A4	1.3048546498515	0.0004450236796716	No	No
O15232	MATN3	1.30841903693141	1.80609546759897e-11	No	No
O15484	CAPN5	1.04272804890886	4.44694290738946e-13	No	No
O43610	SPRY3	1.48112088294453	6.35126643649362e-05	No	No
O60238	BNIP3L	1.24942158033321	3.9475044910061205e-20	No	No
O60268	KIAA0513	1.15551327914979	2.3317404144845602e-21	No	No
O60443	GSDME	1.21203981278284	1.33052460012738e-11	No	No
O75056	SDC3	1.74296241811326	1.11346018492819e-05	No	No
O75363	BCAS1	1.7136168242901	1.2947448515315101e-25	No	No
O76039	CDKL5	1.63616366702347	3.31051869131906e-05	No	No
O94827	PLEKHG5	1.10525789334504	1.17187439459246e-08	No	No
O95255	ABCC6	1.57667890667417	4.70104146447363e-16	No	No
O95833	CLIC3	1.11316874357574	1.3266901948394801e-24	No	No
P01033	TIMP1	1.14586766142137	1.04080516120783e-05	No	No
P01876	IGHA1	1.7239243965519	1.39212836417152e-05	No	No
P04798	CYP1A1	1.95627396751659	3.22270937175693e-06	No	No
P05981	HPN	1.14243820791617	9.13457589875393e-08	No	No
P07476	IVL	1.12340369369194	9.007578529251931e-23	No	No
P08294	SOD3	1.3978849457598	2.68806750983214e-23	No	No
P0DPF2	NBPF20	1.41624857220763	4.95851745223167e-05	No	No
P11137	MAP2	1.05639169824486	8.9157426235991e-24	No	No
P12273	PIP	1.65784262573546	4.6509487125847e-21	No	No
P12429	ANXA3	1.14090711610515	3.20400942051568e-19	No	No
P13688	CEACAM1	2.4091416524625	9.79336872066927e-10	No	No
P14061	HSD17B1	1.47839657655505	2.83469031422686e-08	No	No
P15289	ARSA	1.11127097459478	6.463792098639711e-19	No	No
P16870	CPE	1.09655541166354	1.1581472088867101e-21	No	No
P17600	SYN1	1.47264117969624	2.0587775018492298e-18	No	No
P19021	PAM	1.21679698448964	1.87059482808736e-21	No	No
P22680	CYP7A1	2.04394310373003	0.0001531905059322	No	No
P23297	S100A1	1.12184707836109	2.34691920825962e-08	No	No
P24385	CCND1	1.12471331771208	9.345654466469419e-26	No	No
P29400	COL4A5	1.19608611963832	8.76502723898945e-07	No	No
P34741	SDC2	1.0440462449234	1.71387273144156e-22	No	No
P35408	PTGER4	1.23067823063466	0.0001373569009576	No	No
P35475	IDUA	1.20369318868491	1.41102117411893e-16	No	No
P35869	AHR	1.16001094795735	7.52825229896106e-24	No	No
P42330	AKR1C3	1.16695901493441	7.63160489099762e-08	No	No
P42772	CDKN2B	1.99584046597017	1.07826893613143e-16	No	No
P43234	CTSO	1.00115528440355	5.52800144748614e-06	No	No
P49703	ARL4D	1.27848357491038	6.19781137370214e-06	No	No
P50135	HNMT	1.32631570577782	6.43353345398111e-06	No	No
P51178	PLCD1	1.05533399314446	3.02626986504976e-14	No	No
P54868	HMGCS2	1.08195441146381	5.07213985008163e-19	No	No
P55345	PRMT2	1.30515778291351	1.91951805477759e-05	No	No
P55808	XG	1.03132384336822	2.1247492660098001e-10	No	No
P55809	OXCT1	1.00390422406571	3.34754711398177e-05	No	No
P58511	SMIM11A	1.41446838938228	0.0071349818469907	No	No
P61587	RND3	1.40333826601016	7.85917071194928e-14	No	No
P62699	YPEL5	1.12122850741837	6.28303523437907e-32	No	No
P68543	UBXN2A	1.24063897998805	0.0055275264105851	No	No
Q00534	CDK6	1.28393542161819	6.103479122368119e-12	No	No
Q00887	PSG9	1.5220586005186	3.74449025813417e-07	No	No
Q05682	CALD1	1.36551179821624	4.54380183295987e-26	No	No
Q0IIM8	TBC1D8B	1.35574231857225	3.50790595170187e-12	No	No
Q12841	FSTL1	1.52730273461872	1.1604346804095099e-16	No	No
Q13018	PLA2R1	1.26360954577948	0.0002335379602526	No	No
Q13751	LAMB3	1.15719190902133	0.001108563623546	No	No
Q13753	LAMC2	1.30328087375928	1.51730636616113e-07	No	No
Q14749	GNMT	1.23000125261851	1.40916947819546e-16	No	No
Q14764	MVP	1.48191933264495	7.162771381825559e-36	No	No
Q14766	LTBP1	1.03658371771241	3.0069837262427298e-18	No	No
Q15173	PPP2R5B	1.05781790070733	5.15150539173142e-16	No	No
Q16270	IGFBP7	1.43187461974366	6.10850272929466e-06	No	No
Q1RMZ1	BMT2	1.76359395931846	0.0004923685660609	No	No
Q32M88	PGGHG	1.27103089204854	1.91768317025229e-07	No	No
Q5H9U9	DDX60L	1.88706856405843	0.0015442986722488	No	No
Q5SXH7	PLEKHS1	1.13980001414309	0.0038972551090339	No	No
Q5VWT5	FYB2	1.73428948883124	2.22753062852721e-07	No	No
Q60I27	ALS2CL	1.04330471886327	4.50726150248557e-07	No	No
Q6T310	RASL11A	1.11753121259787	3.86399643611337e-06	No	No
Q6UWH4	GASK1B	2.07436864339837	1.68287003938654e-06	No	No
Q6UXI9	NPNT	1.0634082285135	8.42727339632513e-05	No	No
Q6UXK5	LRRN1	1.87016520253345	1.44497670967914e-08	No	No
Q6ZVM7	TOM1L2	1.12397751174038	8.28498560480274e-30	No	No
Q6ZW33	MICALCL	1.05230314092633	0.0030754496775899	No	No
Q71U36	TUBA1A	1.65727600916658	2.82998271922043e-06	No	No
Q76N32	CEP68	1.01542675677518	0.0002592864329208	No	No
Q7L311	ARMCX2	1.11616200944576	1.5172566965397602e-15	No	No
Q7Z3G6	PRICKLE2	1.29118216925966	1.05260702018053e-05	No	No
Q7Z404	TMC4	1.16977312232263	3.37457670328062e-23	No	No
Q7Z465	BNIPL	1.11588161585725	6.28180706850556e-24	No	No
Q7Z7D3	VTCN1	1.16635319406918	1.17787195310722e-19	No	No
Q86VV4	RANBP3L	1.59731580973854	1.22559346074184e-06	No	No
Q86XI6	PPP1R3B	1.75571717516369	0.0033433130394585	No	No
Q86YB7	ECHDC2	1.17908862341954	0.0034558796153348	No	No
Q8IV31	TMEM139	1.23023091909389	3.43986824839068e-08	No	No
Q8IVI9	NOSTRIN	1.068335577684	0.0001896846071213	No	No
Q8IWP9	CCDC28A	1.35765049708867	4.66787712707392e-07	No	No
Q8IWW8	ADHFE1	1.16414031828431	5.34976757737116e-10	No	No
Q8IXQ9	ETFBKMT	1.33614914535515	3.70969147498262e-05	No	No
Q8IZJ3	CPAMD8	1.40098790333243	3.14697649921454e-17	No	No
Q8N3J5	PPM1K	1.47348558205049	1.32243028660045e-05	No	No
Q8N4U5	TCP11L2	1.00971839578398	0.0065980210154943	No	No
Q8N5J2	MINDY1	1.07693760733532	7.78678861091572e-26	No	No
Q8N6N6	NATD1	1.68885433364575	1.79413088437477e-14	No	No
Q8NDA8	MROH1	1.04424092533557	1.38312664413884e-15	No	No
Q8NEP3	DNAAF1	1.03524684565331	0.0023107090214425	No	No
Q8NG66	NEK11	1.21927854892896	0.0014208623450923	No	No
Q8TB45	DEPTOR	1.4949312679297	3.98416519359049e-28	No	No
Q8TCX5	RHPN1	1.01793372976551	1.22925797652277e-14	No	No
Q8WVV4	POF1B	1.0412748643613	8.94137409264436e-10	No	No
Q92508	PIEZO1	1.28593607003619	1.68581978440654e-29	No	No
Q969W9	PMEPA1	1.19613301495288	0.0002971110493794	No	No
Q96AV8	E2F7	2.06546403360247	0.0070187901385926	No	No
Q96D70	R3HDM4	1.02568918687465	4.75152680050635e-05	No	No
Q96EG1	ARSG	1.20214468386971	1.01032610316335e-08	No	No
Q96JK9	MAML3	1.87853227619164	0.0005830531773822	No	No
Q96NY7	CLIC6	1.81939596551792	2.30788382637588e-17	No	No
Q96QE2	SLC2A13	1.09402558260328	0.0001147210300892	No	No
Q99489	DDO	1.19775783987085	4.75317407730082e-06	No	No
Q99574	SERPINI1	2.2345464534861	5.40688843730722e-27	No	No
Q99990	VGLL1	2.0642000808954	2.18235513401741e-05	No	No
Q9BQR3	PRSS27	1.34414592166549	2.06666958815618e-06	No	No
Q9BRK3	MXRA8	1.0137146751902	5.18681753249956e-12	No	No
Q9BSW7	SYT17	1.15883360108889	0.0061961436136525	No	No
Q9BUX1	CHAC1	2.4326685235187	0.009897262594561	No	No
Q9BW04	SARG	1.62997317832184	2.03447265997312e-08	No	No
Q9BZD2	SLC29A3	1.89000171793273	3.64004389976667e-08	No	No
Q9BZQ4	NMNAT2	1.47682587676644	0.0045551897839413	No	No
Q9C0I3	CCSER1	1.25178955533106	0.0003212787616764	No	No
Q9H0Q0	CYRIA	1.23971511281963	0.001188095219199	No	No
Q9H3M7	TXNIP	1.43360834158733	1.4201850768553199e-12	No	No
Q9H3S1	SEMA4A	1.25006376533842	0.0004271337887255	No	No
Q9H4M3	FBXO44	1.31852525794107	0.0018870104183421	No	No
Q9H7X2	C1orf115	1.11124062099405	6.80400424910166e-06	No	No
Q9H841	NIPAL2	1.16639120180828	0.0002231978985432	No	No
Q9HB63	NTN4	1.65711151445528	0.0003993433720457	No	No
Q9NNX1	TUFT1	1.07721554030348	1.90009309494827e-23	No	No
Q9NPE6	SPAG4	1.46065309945598	0.0016935231994849	No	No
Q9NRW4	DUSP22	1.07493001739077	5.80508786105303e-19	No	No
Q9NRZ5	AGPAT4	1.0452922149683	7.75850667013663e-08	No	No
Q9NUK0	MBNL3	1.4904965640612	0.0010378439040154	No	No
Q9NX95	SYBU	1.55200654535517	1.52377839450987e-05	No	No
Q9NZV1	CRIM1	1.03707129391024	2.64357428170099e-14	No	No
Q9P212	PLCE1	1.00472259904166	1.27303530400724e-09	No	No
Q9P232	CNTN3	1.61093218415082	8.87975594469057e-05	No	No
Q9UBN1	CACNG4	1.32286267168548	9.280558245994961e-09	No	No
Q9UBS3	DNAJB9	1.08228260883559	1.23251574783063e-05	No	No
Q9UDR5	AASS	1.33415260536307	1.65597665553386e-06	No	No
Q9UKB3	DNAJC12	1.70943481044143	1.2954503557884e-06	No	No
Q9UKI2	CDC42EP3	2.10043998332768	4.07160898567585e-06	No	No
Q9UMW8	USP18	1.16581166690373	0.0001457976633088	No	No
Q9UPQ0	LIMCH1	1.22651728388551	2.4475280442557e-24	No	No
Q9Y2D5	AKAP2	1.11580429611	1.7606778613984102e-09	No	No
Q9Y2J2	EPB41L3	1.02637310829812	1.62008138374614e-05	No	No
