Protein_Group	Genes	NF1_sg_1.1_2_250nM Palbo_vs_NF1_sg_1.1_2_Non Treated_logFC	NF1_sg_1.1_2_250nM Palbo_vs_NF1_sg_1.1_2_Non Treated_pval	Removed?	Contaminant?
A0A087WTH1	TMEM265	1.2702154835696	7.40607304540043e-07	No	No
A0A0C4DGP1		1.21517995939488	0.0001538759361025	No	No
A0A140G945;P02489	CRYAA2;CRYAA	2.02514406890371	0.0002802294468606	No	No
A0A1B0GUS4	UBE2L5	1.3484197185047	0.0036830264987093	No	No
A1A5D9	BICDL2	1.35071651828777	2.0437522261792002e-20	No	No
A1Z1Q3	MACROD2	1.25618365326155	0.0080425626688776	No	No
A4D0S4	LAMB4	1.03459767708897	7.64656825009841e-06	No	No
A6NKN8	PCP4L1	1.8453385580565	0.001396283695283	No	No
A6NMD0	IFITM10	2.02443742963241	7.669751195256831e-09	No	No
O00534	VWA5A	1.17930462872258	5.27539845209311e-07	No	No
O00716	E2F3	1.06610981059648	4.5272628193929197e-13	No	No
O14863	SLC30A4	1.12119412969903	0.0021499475503001	No	No
O15232	MATN3	1.03530921625151	9.247506809585211e-09	No	No
O15393	TMPRSS2	1.5930219581409	9.67817526913473e-16	No	No
O43745	CHP2	2.01668494303629	1.75584265748766e-06	No	No
O43795	MYO1B	1.01835814859851	4.2228842450698e-27	No	No
O43934	MFSD11	2.00923459693	0.0092520046714414	No	No
O60262	GNG7	1.29779491276253	0.0017579970002843	No	No
O75056	SDC3	1.2930510930243	0.0006503737145272	No	No
O75129	ASTN2	1.00983546610075	0.0053288674213379	No	No
O75363	BCAS1	2.02362412124987	1.17708855464287e-28	No	No
O94827	PLEKHG5	1.12682571090274	7.359387636920131e-09	No	No
O95255	ABCC6	1.43837418278613	1.1093456087578201e-14	No	No
O95633	FSTL3	1.38009280762441	0.001668643744407	No	No
P02461	COL3A1	1.84736119701225	2.1172950465262403e-46	No	No
P05981	HPN	1.19491729302363	3.34728705816326e-08	No	No
P07476	IVL	1.79377907831351	2.6572876441029404e-31	No	No
P09603	CSF1	1.11465353804882	0.0048739204683744	No	No
