Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast  _Non Treated_pval	Removed?	Contaminant?
A0A0J9YWL9	TEX13C	1.3400292257011	3.0550432549085e-05	No	No
A6NCS6	C2orf72	2.02295703540829	1.19205815912085e-27	No	No
O00590	ACKR2	2.51505608255764	4.12920256112601e-07	No	No
O14810	CPLX1	1.31919878724266	0.0014647368394979	No	No
O14880	MGST3	1.00544240793735	0.0004179792211316	No	No
O14957	UQCR11	1.2399503192445	0.0024702267851303	No	No
O15229	KMO	2.2165141722839	4.32486687483797e-29	No	No
O15347	HMGB3	1.04323125119913	5.01375037312729e-18	No	No
O15393	TMPRSS2	1.82653237536634	7.121251668692269e-18	No	No
O15431	SLC31A1	1.20599141838305	2.1746213754297601e-10	No	No
O15481	MAGEB4	1.37678501004888	3.7784004315244697e-16	No	No
O43295	SRGAP3	1.32250690356575	1.11217187952716e-15	No	No
O60356	NUPR1	1.02366303906442	0.0077449873058634	No	No
O75155	CAND2	1.03839301271949	1.3079120524996e-15	No	No
O75582	RPS6KA5	1.03502398581122	2.05581753678785e-27	No	No
O94921	CDK14	2.06666491809608	1.15940682604072e-07	No	No
O95154	AKR7A3	1.06666455104122	5.1672316080449403e-20	No	No
O95274	LYPD3	1.64745242734994	7.49632463145648e-13	No	No
O95340	PAPSS2	2.04101053355128	3.56781660004788e-36	No	No
O95398	RAPGEF3	1.29737922409599	0.0057023078973548	No	No
O95406	CNIH1	1.43089827136232	0.0017542789330777	No	No
O95751	LDOC1	1.38229428112986	0.0017172713768341	No	No
O95848	NUDT14	1.13289466607916	0.0049348510865849	No	No
O96006	ZBED1	1.00889701971944	8.06533878221196e-10	No	No
P00747	PLG	1.34262633363509	0.0014741922006974	No	No
P01876	IGHA1	2.03516079366096	7.13661811269957e-07	No	No
P02461	COL3A1	5.13621062335531	1.61620137543966e-66	No	No
P02649	APOE	1.0764384186569	4.03886209358043e-31	No	No
P02749	APOH	1.26986456717812	0.001227097093173	No	No
P02792	FTL	2.37599284187844	1.2109660709385e-05	No	No
P02794	FTH1	1.38222403509547	2.2942245254337303e-15	No	No
P04279	SEMG1	1.06455568600014	0.0008854872554907	No	No
P04798	CYP1A1	1.24617208681252	0.0014992067053705	No	No
P05090	APOD	1.63191841618225	2.92414292266077e-27	No	No
P07195	LDHB	2.0700259905613	2.65681043732799e-10	No	No
P07476	IVL	1.4378360330077	3.40161729655554e-27	No	No
P08195	SLC3A2	1.28252272205283	1.54458542787033e-38	No	No
P08247	SYP	1.5080381529418	7.330195690519579e-11	No	No
P09668	CTSH	1.47888632209353	3.14852951882536e-28	No	No
P12429	ANXA3	1.27474978948967	4.39735323809137e-21	No	No
P13688	CEACAM1	1.06454578666789	0.0014593213733026	No	No
P14061	HSD17B1	6.76024421961429	5.56251963477643e-32	No	No
P15391	CD19	1.36086186583486	0.0012431903405481	No	No
P15408	FOSL2	1.33737092466651	2.89754358928707e-06	No	No
P15559	NQO1	1.4721821743251	1.69682436473074e-29	No	No
P15884	TCF4	1.42049723472426	6.37226428661642e-16	No	No
P20749	BCL3	1.16073328531242	5.09514870546157e-16	No	No
P21333	FLNA	1.06202258490699	1.79894069061326e-40	No	No
P21397	MAOA	2.06893665970556	0.0012195417557074	No	No
P21695	GPD1	1.54844124449854	2.52142826095934e-21	No	No
P21741	MDK	1.40779061054421	9.1485612548812e-07	No	No
P22415	USF1	1.19769652066801	4.14220029310732e-05	No	No
P22531;P22532;P35325;P35326	SPRR2E;SPRR2D;SPRR2B;SPRR2A	3.00431969110342	0.001793290705784	No	No
P24468	NR2F2	1.01202184611989	7.26958655963324e-23	No	No
P25311	AZGP1	2.29635091887045	2.8669995096818098e-36	No	No
P25815	S100P	1.50625697353598	1.06743085089159e-16	No	No
P25942	CD40	1.0383834827709	1.99354728647517e-06	No	No
P29034	S100A2	1.09622670901677	0.0093218279547313	No	No
P29728	OAS2	1.2904644579751	2.12321254343038e-06	No	No
P29966	MARCKS	2.74009948391143	4.54541940301539e-08	No	No
P30988	CALCR	2.10041838266172	6.97933876245179e-13	No	No
P31513	FMO3	1.61482088963146	9.985932296091041e-09	No	No
P31997	CEACAM8	2.82408536107492	1.04152758578781e-13	No	No
P40199	CEACAM6	2.13313152713815	2.40674116467133e-09	No	No
P42330	AKR1C3	2.29332195089571	2.07329370900479e-16	No	No
P43355	MAGEA1	1.50761566743878	2.0416131238329e-06	No	No
P43357	MAGEA3	1.49228682366228	5.1058156909700605e-15	No	No
