Protein_Group	Genes	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_logFC	NF1_sg_1.1_2_Non Treated_vs_EV_Blast__Non Treated_set2_pval	Removed?	Contaminant?
A0A0J9YWL9	TEX13C	2.61819698523917	9.80823194370914e-12	No	No
A6NCS6	C2orf72	1.94219716467093	6.64597261783399e-27	No	No
A6NEE1	PLEKHD1	1.27690935538747	2.13562705111001e-10	No	No
O00590	ACKR2	2.83717112030495	3.05701084758988e-08	No	No
O15229	KMO	2.49090688276616	2.85411111584519e-31	No	No
O15347	HMGB3	1.18845583351694	3.59377580128178e-20	No	No
O15393	TMPRSS2	1.84749662183649	4.66894862517935e-18	No	No
O15481	MAGEB4	1.50218404767758	1.64599711658671e-17	No	No
O43593	HR	1.03741990416809	4.41996545084683e-05	No	No
O43610	SPRY3	1.12162435289571	0.0016973495337968	No	No
O60356	NUPR1	1.06281205780855	0.0058363340835307	No	No
O60443	GSDME	1.31711423957415	1.0793775644132599e-12	No	No
O75155	CAND2	1.0796209673507	3.34415365263221e-16	No	No
O75582	RPS6KA5	1.64292596219644	4.1791639078358695e-36	No	No
O76039	CDKL5	1.01631754702991	0.0063559743784621	No	No
O76074	PDE5A	1.12512000153465	9.70633141719902e-08	No	No
O94921	CDK14	1.92677292465632	4.99329815737382e-07	No	No
O94991	SLITRK5	1.29614052720509	8.56082795197726e-05	No	No
O95154	AKR7A3	1.31855323582683	1.14243447000594e-23	No	No
O95274	LYPD3	1.1855178206872	7.198693644564621e-09	No	No
O95340	PAPSS2	2.01646242237272	6.08615420795194e-36	No	No
O95406	CNIH1	1.47475541155531	0.0013054346666688	No	No
O95751	LDOC1	1.37990261696495	0.0017460325573351	No	No
O95848	NUDT14	1.13894124344947	0.0047279056579627	No	No
O96006	ZBED1	1.12989799009894	3.60061270261999e-11	No	No
P01024	C3	1.23034497270407	0.0001482087634908	No	No
P01859	IGHG2	2.28651645468506	0.0001909529594511	No	No
P01876	IGHA1	3.69023075349566	1.22517949146508e-13	No	No
P02461	COL3A1	5.11247756048773	1.99479872978208e-66	No	No
P02792	FTL	2.49408383109066	5.34924037057841e-06	No	No
P02794	FTH1	1.52067158284133	7.95812384580713e-17	No	No
P04279	SEMG1	2.2834558737209	1.1049356358806802e-09	No	No
P05090	APOD	1.77395188760125	8.48424745857037e-29	No	No
P07195	LDHB	2.39795866872512	3.9110250588891395e-12	No	No
P07476	IVL	1.54437757506819	1.64642703018249e-28	No	No
P08247	SYP	1.72905245651557	1.28887751276591e-12	No	No
P09668	CTSH	1.33011807421868	2.751757378247e-26	No	No
P09913	IFIT2	1.101250306737	0.0013235971080148	No	No
P09914	IFIT1	1.15299199079363	3.9914301304743005e-10	No	No
P12273	PIP	1.28636247403564	6.69287789369895e-17	No	No
P12429	ANXA3	1.04749901303593	7.85119843047904e-18	No	No
P13688	CEACAM1	3.13319818284392	4.99448401774338e-13	No	No
P14061	HSD17B1	5.77399948547352	4.97332222146969e-29	No	No
P14672	SLC2A4	1.5428040141801	0.0049986408119581	No	No
P15391	CD19	1.38235227825226	0.0010596319099222	No	No
P15559	NQO1	1.38743066705392	2.13307096567133e-28	No	No
P15884	TCF4	5.14878277500767	5.2421980969349503e-39	No	No
P17026	ZNF22	1.20035357268733	1.6716801712453002e-09	No	No
P20749	BCL3	1.00254383988937	7.33919069276202e-14	No	No
P21397	MAOA	2.05424799249807	0.0013101201933371	No	No
P21695	GPD1	1.47688293191264	1.6099389023764202e-20	No	No
P21741	MDK	1.27754016182738	5.43424706000244e-06	No	No
P22531;P22532;P35325;P35326	SPRR2E;SPRR2D;SPRR2B;SPRR2A	2.74590670303917	0.0040021416886505	No	No
P22680	CYP7A1	1.61567328030401	0.0020845439746898	No	No
P25311	AZGP1	2.94700412855185	4.38796631975248e-41	No	No
P25815	S100P	1.92131984028904	1.15813431855532e-20	No	No
P29728	OAS2	1.40925420634906	3.85197784841347e-07	No	No
P29966	MARCKS	3.01361282191357	4.8061841519440905e-09	No	No
P30047	GCHFR	1.05634876774535	1.71911090958274e-10	No	No
P30988	CALCR	2.48961812808225	2.6061557181976703e-15	No	No
P31150	GDI1	1.07823929041004	3.7240583657826303e-25	No	No
P31513	FMO3	1.59108782676388	1.42130975309468e-08	No	No
P31997	CEACAM8	3.04451598556442	8.64163353039548e-15	No	No
P35869	AHR	1.15054501190772	1.05139149564513e-23	No	No
P36952	SERPINB5	1.2223455237718	0.0004392509901195	No	No
P40199	CEACAM6	1.76605961906059	1.91886595819875e-07	No	No
P42330	AKR1C3	2.6927789368488	5.70516420249812e-19	No	No
P43355	MAGEA1	1.65522537832492	3.30671218443311e-07	No	No
P43357	MAGEA3	1.4685537607947	8.794113680975211e-15	No	No
P43365	MAGEA12	2.35362746894174	1.81946707275569e-18	No	No
P46821	MAP1B	1.11543259392263	2.04176567659377e-10	No	No
P47712	PLA2G4A	1.68594192522646	4.3911672096732905e-15	No	No
P47895	ALDH1A3	3.12529578320089	1.9892302056079498e-22	No	No
P48436	SOX9	1.38841125340015	5.2858613808755994e-12	No	No
P49184	DNASE1L1	1.15932875484985	0.0009691685766256	No	No
P49326	FMO5	1.57259812057065	1.70340523601908e-10	No	No
P49662	CASP4	1.39672451295738	3.37570230265498e-10	No	No
P49902	NT5C2	1.43291490691095	2.7657968143832504e-31	No	No
P50591	TNFSF10	1.14618838236342	0.0008083511442875	No	No
P51606	RENBP	5.02443483407143	4.6929681738188096e-18	No	No
P51608	MECP2	1.02705432565583	3.12315337067039e-33	No	No
P52895	AKR1C2	2.05928650807506	1.96556288682222e-08	No	No
P53004	BLVRA	1.16370269610804	4.66880665259962e-28	No	No
P54868	HMGCS2	2.08465502938191	1.1010109989399798e-30	No	No
P56277	CMC4	1.548277355725	0.0087182916453295	No	No
P57073	SOX8	1.9921620577654	1.4802973086793102e-09	No	No
P61968	LMO4	1.12415830231342	8.34513875301329e-07	No	No
P62324	BTG1	1.04507364243593	6.09526560142431e-08	No	No
P68431	H3C12	1.76101341879619	0.0020792346347888	No	No
P78337	PITX1	1.01998846127829	2.6598123461709202e-09	No	No
P78380	OLR1	2.50131237090698	5.74662037666434e-13	No	No
Q00013	MPP1	1.33226099933175	2.4030126351400698e-11	No	No
Q00534	CDK6	1.12171537154562	2.86790712423259e-10	No	No
